date,source,installed_capacity_mw,available_capacity_mw,availability_factor,efficiency,fuel_cost_naira_per_mwh,capacity_utilization
2020-09-01,Solar,25,19.69,0.788,0.2,0.0,0.433
2020-09-01,Wind,10,2.6,0.26,0.35,0.0,0.866
2020-10-01,Natural Gas,10500,6132.13,0.584,0.45,15112.74,0.722
2020-10-01,Hydro,2040,1660.74,0.814,0.85,2377.43,0.877
2020-10-01,Coal,30,10.65,0.355,0.35,24972.49,0.481
2020-10-01,Solar,25,18.97,0.759,0.2,0.0,0.666
2020-10-01,Wind,10,2.78,0.278,0.35,0.0,0.467
2020-11-01,Natural Gas,10500,6731.09,0.641,0.45,13437.37,0.387
2020-11-01,Hydro,2040,847.7,0.416,0.85,2388.52,0.445
2020-11-01,Coal,30,11.41,0.38,0.35,27616.2,0.443
2020-11-01,Solar,25,20.38,0.815,0.2,0.0,0.679
2020-11-01,Wind,10,2.84,0.284,0.35,0.0,0.354
2020-12-01,Natural Gas,10500,6656.39,0.634,0.45,13924.68,0.412
2020-12-01,Hydro,2040,785.91,0.385,0.85,2072.71,0.707
2020-12-01,Coal,30,10.23,0.341,0.35,25120.93,0.436
2020-12-01,Solar,25,20.12,0.805,0.2,0.0,0.715
2020-12-01,Wind,10,2.72,0.272,0.35,0.0,0.383
2021-01-01,Natural Gas,10500,6150.42,0.586,0.45,14582.97,0.855
2021-01-01,Hydro,2040,901.11,0.442,0.85,2077.31,0.696
2021-01-01,Coal,30,11.67,0.389,0.35,29384.81,0.618
2021-01-01,Solar,25,18.83,0.753,0.2,0.0,0.838
2021-01-01,Wind,10,2.96,0.296,0.35,0.0,0.503
2021-02-01,Natural Gas,10500,6158.75,0.587,0.45,18809.09,0.838
2021-02-01,Hydro,2040,902.45,0.442,0.85,2557.49,0.685
2021-02-01,Coal,30,10.35,0.345,0.35,24858.73,0.839
2021-02-01,Solar,25,20.0,0.8,0.2,0.0,0.361
2021-02-01,Wind,10,2.85,0.285,0.35,0.0,0.396
2021-03-01,Natural Gas,10500,6363.02,0.606,0.45,18574.08,0.691
2021-03-01,Hydro,2040,811.18,0.398,0.85,2495.2,0.442
2021-03-01,Coal,30,10.79,0.36,0.35,31584.65,0.69
2021-03-01,Solar,25,20.77,0.831,0.2,0.0,0.641
2021-03-01,Wind,10,2.59,0.259,0.35,0.0,0.459
2021-04-01,Natural Gas,10500,6051.03,0.576,0.45,20513.77,0.536
2021-04-01,Hydro,2040,903.13,0.443,0.85,2420.65,0.777
2021-04-01,Coal,30,11.1,0.37,0.35,29634.39,0.596
2021-04-01,Solar,25,18.68,0.747,0.2,0.0,0.468
2021-04-01,Wind,10,2.56,0.256,0.35,0.0,0.406
2021-05-01,Natural Gas,10500,6764.04,0.644,0.45,20382.11,0.849
2021-05-01,Hydro,2040,1662.54,0.815,0.85,1854.22,0.857
2021-05-01,Coal,30,10.97,0.366,0.35,34116.53,0.878
2021-05-01,Solar,25,20.78,0.831,0.2,0.0,0.531
2021-05-01,Wind,10,2.93,0.293,0.35,0.0,0.402
2021-06-01,Natural Gas,10500,6371.28,0.607,0.45,20259.47,0.718
2021-06-01,Hydro,2040,1717.59,0.842,0.85,1929.4,0.669
2021-06-01,Coal,30,11.98,0.399,0.35,24610.97,0.611
2021-06-01,Solar,25,20.86,0.834,0.2,0.0,0.718
2021-06-01,Wind,10,2.87,0.287,0.35,0.0,0.476
2021-07-01,Natural Gas,10500,6629.83,0.631,0.45,19389.78,0.82
2021-07-01,Hydro,2040,1812.11,0.888,0.85,2310.44,0.601
2021-07-01,Coal,30,11.64,0.388,0.35,30474.59,0.721
2021-07-01,Solar,25,20.6,0.824,0.2,0.0,0.503
2021-07-01,Wind,10,2.72,0.272,0.35,0.0,0.647
2021-08-01,Natural Gas,10500,5838.05,0.556,0.45,17012.63,0.626
2021-08-01,Hydro,2040,1639.51,0.804,0.85,2383.57,0.318
2021-08-01,Coal,30,10.27,0.342,0.35,32459.91,0.516
2021-08-01,Solar,25,18.47,0.739,0.2,0.0,0.762
2021-08-01,Wind,10,2.65,0.265,0.35,0.0,0.351
2021-09-01,Natural Gas,10500,5854.16,0.558,0.45,17466.35,0.624
2021-09-01,Hydro,2040,1736.15,0.851,0.85,2508.0,0.886
2021-09-01,Coal,30,11.13,0.371,0.35,26714.0,0.777
2021-09-01,Solar,25,18.93,0.757,0.2,0.0,0.347
2021-09-01,Wind,10,2.56,0.256,0.35,0.0,0.802
2021-10-01,Natural Gas,10500,6513.75,0.62,0.45,16621.78,0.404
2021-10-01,Hydro,2040,1603.68,0.786,0.85,2070.22,0.63
2021-10-01,Coal,30,11.49,0.383,0.35,30592.27,0.468
2021-10-01,Solar,25,21.11,0.844,0.2,0.0,0.633
2021-10-01,Wind,10,2.83,0.283,0.35,0.0,0.449
2021-11-01,Natural Gas,10500,6165.68,0.587,0.45,19029.14,0.309
2021-11-01,Hydro,2040,796.28,0.39,0.85,1882.32,0.324
2021-11-01,Coal,30,11.74,0.391,0.35,31092.07,0.585
2021-11-01,Solar,25,18.37,0.735,0.2,0.0,0.584
2021-11-01,Wind,10,2.63,0.263,0.35,0.0,0.539
2021-12-01,Natural Gas,10500,6431.73,0.613,0.45,18182.15,0.327
2021-12-01,Hydro,2040,831.88,0.408,0.85,2415.79,0.602
2021-12-01,Coal,30,11.74,0.391,0.35,30574.98,0.398
2021-12-01,Solar,25,18.29,0.731,0.2,0.0,0.316
2021-12-01,Wind,10,2.81,0.281,0.35,0.0,0.645
2022-01-01,Natural Gas,10500,6198.64,0.59,0.45,20974.49,0.575
2022-01-01,Hydro,2040,855.43,0.419,0.85,3112.07,0.532
2022-01-01,Coal,30,11.93,0.398,0.35,38423.26,0.417
2022-01-01,Solar,25,18.28,0.731,0.2,0.0,0.311
2022-01-01,Wind,10,2.59,0.259,0.35,0.0,0.343
2022-02-01,Natural Gas,10500,6127.8,0.584,0.45,22574.09,0.314
2022-02-01,Hydro,2040,892.45,0.437,0.85,2414.2,0.371
2022-02-01,Coal,30,11.45,0.382,0.35,34767.77,0.826
2022-02-01,Solar,25,20.41,0.816,0.2,0.0,0.469
2022-02-01,Wind,10,2.63,0.263,0.35,0.0,0.784
2022-03-01,Natural Gas,10500,6815.28,0.649,0.45,19144.12,0.523
2022-03-01,Hydro,2040,887.21,0.435,0.85,2476.57,0.858
2022-03-01,Coal,30,11.75,0.392,0.35,32123.45,0.751
2022-03-01,Solar,25,20.47,0.819,0.2,0.0,0.842
2022-03-01,Wind,10,2.78,0.278,0.35,0.0,0.492
2022-04-01,Natural Gas,10500,6718.04,0.64,0.45,18958.32,0.307
2022-04-01,Hydro,2040,904.97,0.444,0.85,2212.58,0.492
2022-04-01,Coal,30,11.91,0.397,0.35,39021.78,0.644
2022-04-01,Solar,25,20.08,0.803,0.2,0.0,0.476
2022-04-01,Wind,10,2.7,0.27,0.35,0.0,0.751
2022-05-01,Natural Gas,10500,6611.63,0.63,0.45,22135.62,0.355
2022-05-01,Hydro,2040,1696.76,0.832,0.85,2176.9,0.63
2022-05-01,Coal,30,10.99,0.366,0.35,38189.89,0.511
2022-05-01,Solar,25,18.44,0.737,0.2,0.0,0.757
2022-05-01,Wind,10,2.83,0.283,0.35,0.0,0.35
2022-06-01,Natural Gas,10500,6518.87,0.621,0.45,16447.37,0.793
2022-06-01,Hydro,2040,1755.1,0.86,0.85,2202.07,0.351
2022-06-01,Coal,30,11.98,0.399,0.35,31399.73,0.522
2022-06-01,Solar,25,20.65,0.826,0.2,0.0,0.892
2022-06-01,Wind,10,2.89,0.289,0.35,0.0,0.35
2022-07-01,Natural Gas,10500,6596.85,0.628,0.45,20300.94,0.555
2022-07-01,Hydro,2040,1810.21,0.887,0.85,2233.65,0.596
2022-07-01,Coal,30,10.22,0.341,0.35,32648.04,0.334
2022-07-01,Solar,25,18.44,0.738,0.2,0.0,0.69
2022-07-01,Wind,10,2.89,0.289,0.35,0.0,0.877
2022-08-01,Natural Gas,10500,6185.02,0.589,0.45,18137.13,0.821
2022-08-01,Hydro,2040,1622.18,0.795,0.85,3135.09,0.307
2022-08-01,Coal,30,11.95,0.398,0.35,27020.79,0.835
2022-08-01,Solar,25,19.74,0.79,0.2,0.0,0.344
2022-08-01,Wind,10,2.8,0.28,0.35,0.0,0.614
2022-09-01,Natural Gas,10500,6445.6,0.614,0.45,21390.77,0.573
2022-09-01,Hydro,2040,1733.43,0.85,0.85,2734.2,0.841
2022-09-01,Coal,30,10.28,0.343,0.35,30165.74,0.87
2022-09-01,Solar,25,20.9,0.836,0.2,0.0,0.672
2022-09-01,Wind,10,2.67,0.267,0.35,0.0,0.578
2022-10-01,Natural Gas,10500,6162.99,0.587,0.45,20501.31,0.347
2022-10-01,Hydro,2040,1828.95,0.897,0.85,3159.41,0.719
2022-10-01,Coal,30,11.16,0.372,0.35,30543.5,0.788
2022-10-01,Solar,25,20.25,0.81,0.2,0.0,0.847
2022-10-01,Wind,10,2.92,0.292,0.35,0.0,0.735
2022-11-01,Natural Gas,10500,6429.23,0.612,0.45,19188.76,0.86
2022-11-01,Hydro,2040,899.56,0.441,0.85,2163.84,0.316
2022-11-01,Coal,30,10.88,0.363,0.35,37169.57,0.892
2022-11-01,Solar,25,18.54,0.742,0.2,0.0,0.529
2022-11-01,Wind,10,2.99,0.299,0.35,0.0,0.803
2022-12-01,Natural Gas,10500,6281.07,0.598,0.45,19161.59,0.464
2022-12-01,Hydro,2040,788.06,0.386,0.85,3030.88,0.788
2022-12-01,Coal,30,12.0,0.4,0.35,39630.52,0.633
2022-12-01,Solar,25,20.51,0.821,0.2,0.0,0.81
2022-12-01,Wind,10,2.66,0.266,0.35,0.0,0.377
2023-01-01,Natural Gas,10500,6777.96,0.646,0.45,23782.0,0.437
2023-01-01,Hydro,2040,872.79,0.428,0.85,3185.48,0.515
2023-01-01,Coal,30,10.4,0.347,0.35,40631.29,0.612
2023-01-01,Solar,25,20.52,0.821,0.2,0.0,0.811
2023-01-01,Wind,10,2.8,0.28,0.35,0.0,0.826
2023-02-01,Natural Gas,10500,6214.32,0.592,0.45,19473.42,0.317
2023-02-01,Hydro,2040,884.28,0.433,0.85,3188.13,0.722
2023-02-01,Coal,30,10.58,0.353,0.35,32491.54,0.309
2023-02-01,Solar,25,19.18,0.767,0.2,0.0,0.535
2023-02-01,Wind,10,2.75,0.275,0.35,0.0,0.509
2023-03-01,Natural Gas,10500,6327.45,0.603,0.45,25401.53,0.538
2023-03-01,Hydro,2040,865.96,0.424,0.85,3482.64,0.87
2023-03-01,Coal,30,10.46,0.349,0.35,44509.74,0.595
2023-03-01,Solar,25,18.89,0.755,0.2,0.0,0.888
2023-03-01,Wind,10,2.77,0.277,0.35,0.0,0.68
2023-04-01,Natural Gas,10500,6047.1,0.576,0.45,18942.77,0.377
2023-04-01,Hydro,2040,797.93,0.391,0.85,2618.22,0.383
2023-04-01,Coal,30,11.35,0.378,0.35,33183.67,0.507
2023-04-01,Solar,25,20.92,0.837,0.2,0.0,0.701
2023-04-01,Wind,10,2.63,0.263,0.35,0.0,0.325
2023-05-01,Natural Gas,10500,5974.2,0.569,0.45,20792.71,0.406
2023-05-01,Hydro,2040,1585.03,0.777,0.85,2580.18,0.576
2023-05-01,Coal,30,10.57,0.352,0.35,35957.59,0.602
2023-05-01,Solar,25,20.26,0.811,0.2,0.0,0.78
2023-05-01,Wind,10,2.83,0.283,0.35,0.0,0.824
2023-06-01,Natural Gas,10500,6743.99,0.642,0.45,18807.85,0.466
2023-06-01,Hydro,2040,1782.63,0.874,0.85,3343.81,0.411
2023-06-01,Coal,30,10.58,0.353,0.35,36051.92,0.591
2023-06-01,Solar,25,20.03,0.801,0.2,0.0,0.578
2023-06-01,Wind,10,2.89,0.289,0.35,0.0,0.451
2023-07-01,Natural Gas,10500,6531.54,0.622,0.45,26419.49,0.607
2023-07-01,Hydro,2040,1707.14,0.837,0.85,2563.8,0.568
2023-07-01,Coal,30,11.16,0.372,0.35,34105.17,0.462
2023-07-01,Solar,25,19.27,0.771,0.2,0.0,0.493
2023-07-01,Wind,10,2.65,0.265,0.35,0.0,0.372
2023-08-01,Natural Gas,10500,6712.93,0.639,0.45,23667.18,0.707
2023-08-01,Hydro,2040,1777.94,0.872,0.85,3039.85,0.352
2023-08-01,Coal,30,11.17,0.372,0.35,39342.62,0.747
2023-08-01,Solar,25,19.44,0.778,0.2,0.0,0.47
2023-08-01,Wind,10,2.71,0.271,0.35,0.0,0.642
2023-09-01,Natural Gas,10500,6165.8,0.587,0.45,27252.7,0.663
2023-09-01,Hydro,2040,1625.93,0.797,0.85,2557.24,0.392
2023-09-01,Coal,30,10.64,0.355,0.35,32861.26,0.412
2023-09-01,Solar,25,18.97,0.759,0.2,0.0,0.838
2023-09-01,Wind,10,2.59,0.259,0.35,0.0,0.546
2023-10-01,Natural Gas,10500,6806.96,0.648,0.45,19272.88,0.539
2023-10-01,Hydro,2040,1827.59,0.896,0.85,3486.46,0.79
2023-10-01,Coal,30,10.66,0.355,0.35,33016.49,0.701
2023-10-01,Solar,25,21.02,0.841,0.2,0.0,0.643
2023-10-01,Wind,10,2.68,0.268,0.35,0.0,0.412
2023-11-01,Natural Gas,10500,6132.62,0.584,0.45,22132.71,0.605
2023-11-01,Hydro,2040,813.68,0.399,0.85,2573.12,0.666
2023-11-01,Coal,30,10.72,0.357,0.35,39257.41,0.393
2023-11-01,Solar,25,19.6,0.784,0.2,0.0,0.331
2023-11-01,Wind,10,2.7,0.27,0.35,0.0,0.338
2023-12-01,Natural Gas,10500,6814.72,0.649,0.45,21192.06,0.786
2023-12-01,Hydro,2040,815.36,0.4,0.85,3262.58,0.756
2023-12-01,Coal,30,11.27,0.376,0.35,37589.58,0.547
2023-12-01,Solar,25,19.17,0.767,0.2,0.0,0.798
2023-12-01,Wind,10,2.98,0.298,0.35,0.0,0.739
2024-01-01,Natural Gas,10500,6761.88,0.644,0.45,22889.94,0.34
2024-01-01,Hydro,2040,882.35,0.433,0.85,3602.22,0.805
2024-01-01,Coal,30,10.45,0.348,0.35,48889.4,0.421
2024-01-01,Solar,25,18.58,0.743,0.2,0.0,0.789
2024-01-01,Wind,10,2.85,0.285,0.35,0.0,0.515
2024-02-01,Natural Gas,10500,6699.28,0.638,0.45,25106.41,0.79
2024-02-01,Hydro,2040,840.77,0.412,0.85,3325.83,0.578
2024-02-01,Coal,30,10.74,0.358,0.35,48055.86,0.602
2024-02-01,Solar,25,18.8,0.752,0.2,0.0,0.53
2024-02-01,Wind,10,2.79,0.279,0.35,0.0,0.675
2024-03-01,Natural Gas,10500,5920.92,0.564,0.45,30850.71,0.677
2024-03-01,Hydro,2040,826.42,0.405,0.85,2993.28,0.776
2024-03-01,Coal,30,11.32,0.377,0.35,44310.39,0.836
2024-03-01,Solar,25,20.58,0.823,0.2,0.0,0.487
2024-03-01,Wind,10,2.66,0.266,0.35,0.0,0.32
2024-04-01,Natural Gas,10500,6384.67,0.608,0.45,28989.35,0.826
2024-04-01,Hydro,2040,827.4,0.406,0.85,3947.52,0.366
2024-04-01,Coal,30,11.72,0.391,0.35,37209.91,0.538
2024-04-01,Solar,25,20.6,0.824,0.2,0.0,0.438
2024-04-01,Wind,10,2.88,0.288,0.35,0.0,0.685
2024-05-01,Natural Gas,10500,6511.68,0.62,0.45,26683.45,0.451
2024-05-01,Hydro,2040,1655.8,0.812,0.85,3052.5,0.845
2024-05-01,Coal,30,11.25,0.375,0.35,41991.04,0.577
2024-05-01,Solar,25,21.08,0.843,0.2,0.0,0.652
2024-05-01,Wind,10,2.78,0.278,0.35,0.0,0.311
2024-06-01,Natural Gas,10500,6694.09,0.638,0.45,30769.76,0.639
2024-06-01,Hydro,2040,1752.46,0.859,0.85,4089.18,0.724
2024-06-01,Coal,30,10.47,0.349,0.35,45059.44,0.664
2024-06-01,Solar,25,19.41,0.777,0.2,0.0,0.861
2024-06-01,Wind,10,2.97,0.297,0.35,0.0,0.368
2024-07-01,Natural Gas,10500,6809.48,0.649,0.45,29791.5,0.375
2024-07-01,Hydro,2040,1814.2,0.889,0.85,4015.57,0.611
2024-07-01,Coal,30,11.26,0.375,0.35,41958.71,0.333
2024-07-01,Solar,25,19.13,0.765,0.2,0.0,0.303
2024-07-01,Wind,10,2.7,0.27,0.35,0.0,0.622
2024-08-01,Natural Gas,10500,6742.95,0.642,0.45,24622.64,0.508
2024-08-01,Hydro,2040,1763.71,0.865,0.85,3431.16,0.435
2024-08-01,Coal,30,11.01,0.367,0.35,37443.72,0.406
2024-08-01,Solar,25,19.65,0.786,0.2,0.0,0.849
2024-08-01,Wind,10,2.71,0.271,0.35,0.0,0.679
2024-09-01,Natural Gas,10500,5814.66,0.554,0.45,27951.26,0.407
2024-09-01,Hydro,2040,1825.28,0.895,0.85,3006.42,0.549
2024-09-01,Coal,30,10.35,0.345,0.35,52415.52,0.601
2024-09-01,Solar,25,19.96,0.798,0.2,0.0,0.75
2024-09-01,Wind,10,2.64,0.264,0.35,0.0,0.423
2024-10-01,Natural Gas,10500,5996.47,0.571,0.45,21371.63,0.583
2024-10-01,Hydro,2040,1716.16,0.841,0.85,2890.35,0.765
2024-10-01,Coal,30,11.02,0.367,0.35,44151.74,0.564
2024-10-01,Solar,25,19.34,0.774,0.2,0.0,0.393
2024-10-01,Wind,10,2.63,0.263,0.35,0.0,0.868
2024-11-01,Natural Gas,10500,6183.43,0.589,0.45,23829.28,0.686
2024-11-01,Hydro,2040,836.58,0.41,0.85,2833.93,0.394
2024-11-01,Coal,30,11.49,0.383,0.35,46504.75,0.316
2024-11-01,Solar,25,18.77,0.751,0.2,0.0,0.703
2024-11-01,Wind,10,2.56,0.256,0.35,0.0,0.78
2024-12-01,Natural Gas,10500,5984.04,0.57,0.45,27838.02,0.443
2024-12-01,Hydro,2040,793.99,0.389,0.85,3138.66,0.733
2024-12-01,Coal,30,11.74,0.391,0.35,49500.72,0.538
2024-12-01,Solar,25,20.19,0.808,0.2,0.0,0.476
2024-12-01,Wind,10,2.95,0.295,0.35,0.0,0.351
