date,disco,customer_class,tariff_naira_per_kwh,fixed_charge_naira,vat_percent,regulatory_charge_percent,effective_tariff_naira_per_kwh
2020-04-01,Ibadan,Commercial,34.02,1500,7.5,1.5,37.08
2020-04-01,Ibadan,Industrial,29.86,5000,7.5,1.5,32.55
2020-04-01,Ibadan,Special,45.25,2500,7.5,1.5,49.33
2020-04-01,Ikeja,Residential,26.07,750,7.5,1.5,28.41
2020-04-01,Ikeja,Commercial,37.25,1500,7.5,1.5,40.61
2020-04-01,Ikeja,Industrial,32.82,5000,7.5,1.5,35.78
2020-04-01,Ikeja,Special,49.31,2500,7.5,1.5,53.75
2020-04-01,Jos,Residential,24.02,750,7.5,1.5,26.18
2020-04-01,Jos,Commercial,35.1,1500,7.5,1.5,38.26
2020-04-01,Jos,Industrial,28.69,5000,7.5,1.5,31.27
2020-04-01,Jos,Special,42.63,2500,7.5,1.5,46.46
2020-04-01,Kaduna,Residential,24.64,750,7.5,1.5,26.86
2020-04-01,Kaduna,Commercial,34.64,1500,7.5,1.5,37.76
2020-04-01,Kaduna,Industrial,29.55,5000,7.5,1.5,32.21
2020-04-01,Kaduna,Special,42.76,2500,7.5,1.5,46.61
2020-04-01,Kano,Residential,23.28,750,7.5,1.5,25.37
2020-04-01,Kano,Commercial,34.36,1500,7.5,1.5,37.45
2020-04-01,Kano,Industrial,30.62,5000,7.5,1.5,33.38
2020-04-01,Kano,Special,43.71,2500,7.5,1.5,47.64
2020-04-01,Port Harcourt,Residential,23.39,750,7.5,1.5,25.49
2020-04-01,Port Harcourt,Commercial,35.91,1500,7.5,1.5,39.15
2020-04-01,Port Harcourt,Industrial,30.66,5000,7.5,1.5,33.42
2020-04-01,Port Harcourt,Special,43.02,2500,7.5,1.5,46.89
2020-04-01,Yola,Residential,22.47,750,7.5,1.5,24.49
2020-04-01,Yola,Commercial,32.29,1500,7.5,1.5,35.2
2020-04-01,Yola,Industrial,26.9,5000,7.5,1.5,29.32
2020-04-01,Yola,Special,42.46,2500,7.5,1.5,46.28
2020-07-01,Abuja,Residential,24.27,750,7.5,1.5,26.45
2020-07-01,Abuja,Commercial,37.44,1500,7.5,1.5,40.81
2020-07-01,Abuja,Industrial,30.63,5000,7.5,1.5,33.39
2020-07-01,Abuja,Special,46.44,2500,7.5,1.5,50.62
2020-07-01,Benin,Residential,23.41,750,7.5,1.5,25.52
2020-07-01,Benin,Commercial,36.1,1500,7.5,1.5,39.35
2020-07-01,Benin,Industrial,29.9,5000,7.5,1.5,32.59
2020-07-01,Benin,Special,47.19,2500,7.5,1.5,51.44
2020-07-01,Eko,Residential,27.14,750,7.5,1.5,29.58
2020-07-01,Eko,Commercial,40.68,1500,7.5,1.5,44.34
2020-07-01,Eko,Industrial,32.36,5000,7.5,1.5,35.27
2020-07-01,Eko,Special,48.6,2500,7.5,1.5,52.98
2020-07-01,Enugu,Residential,23.97,750,7.5,1.5,26.12
2020-07-01,Enugu,Commercial,36.7,1500,7.5,1.5,40.0
2020-07-01,Enugu,Industrial,29.33,5000,7.5,1.5,31.97
2020-07-01,Enugu,Special,47.01,2500,7.5,1.5,51.24
2020-07-01,Ibadan,Residential,23.19,750,7.5,1.5,25.28
2020-07-01,Ibadan,Commercial,36.88,1500,7.5,1.5,40.2
2020-07-01,Ibadan,Industrial,30.05,5000,7.5,1.5,32.76
2020-07-01,Ibadan,Special,45.12,2500,7.5,1.5,49.18
2020-07-01,Ikeja,Residential,28.06,750,7.5,1.5,30.58
2020-07-01,Ikeja,Commercial,40.5,1500,7.5,1.5,44.14
2020-07-01,Ikeja,Industrial,34.56,5000,7.5,1.5,37.67
2020-07-01,Ikeja,Special,49.92,2500,7.5,1.5,54.42
2020-07-01,Jos,Residential,24.14,750,7.5,1.5,26.31
2020-07-01,Jos,Commercial,34.36,1500,7.5,1.5,37.45
2020-07-01,Jos,Industrial,29.61,5000,7.5,1.5,32.27
2020-07-01,Jos,Special,43.69,2500,7.5,1.5,47.63
2020-07-01,Kaduna,Residential,24.98,750,7.5,1.5,27.23
2020-07-01,Kaduna,Commercial,35.99,1500,7.5,1.5,39.23
2020-07-01,Kaduna,Industrial,30.88,5000,7.5,1.5,33.66
2020-07-01,Kaduna,Special,44.71,2500,7.5,1.5,48.74
2020-07-01,Kano,Residential,24.8,750,7.5,1.5,27.03
2020-07-01,Kano,Commercial,34.71,1500,7.5,1.5,37.83
2020-07-01,Kano,Industrial,30.61,5000,7.5,1.5,33.36
2020-07-01,Kano,Special,45.11,2500,7.5,1.5,49.17
2020-07-01,Port Harcourt,Residential,25.27,750,7.5,1.5,27.54
2020-07-01,Port Harcourt,Commercial,36.11,1500,7.5,1.5,39.37
2020-07-01,Port Harcourt,Industrial,30.49,5000,7.5,1.5,33.24
2020-07-01,Port Harcourt,Special,44.16,2500,7.5,1.5,48.13
2020-07-01,Yola,Residential,22.66,750,7.5,1.5,24.7
2020-07-01,Yola,Commercial,30.53,1500,7.5,1.5,33.27
2020-07-01,Yola,Industrial,28.27,5000,7.5,1.5,30.81
2020-07-01,Yola,Special,41.12,2500,7.5,1.5,44.82
2020-10-01,Abuja,Residential,24.72,750,7.5,1.5,26.95
2020-10-01,Abuja,Commercial,38.78,1500,7.5,1.5,42.27
2020-10-01,Abuja,Industrial,31.16,5000,7.5,1.5,33.96
2020-10-01,Abuja,Special,45.68,2500,7.5,1.5,49.79
2020-10-01,Benin,Residential,23.86,750,7.5,1.5,26.01
2020-10-01,Benin,Commercial,37.14,1500,7.5,1.5,40.48
2020-10-01,Benin,Industrial,30.96,5000,7.5,1.5,33.75
2020-10-01,Benin,Special,46.88,2500,7.5,1.5,51.09
2020-10-01,Eko,Residential,26.19,750,7.5,1.5,28.55
2020-10-01,Eko,Commercial,37.42,1500,7.5,1.5,40.79
2020-10-01,Eko,Industrial,33.43,5000,7.5,1.5,36.44
2020-10-01,Eko,Special,49.42,2500,7.5,1.5,53.86
2020-10-01,Enugu,Residential,24.84,750,7.5,1.5,27.07
2020-10-01,Enugu,Commercial,35.65,1500,7.5,1.5,38.86
2020-10-01,Enugu,Industrial,29.89,5000,7.5,1.5,32.58
2020-10-01,Enugu,Special,42.77,2500,7.5,1.5,46.62
2020-10-01,Ibadan,Residential,24.22,750,7.5,1.5,26.4
2020-10-01,Ibadan,Commercial,34.15,1500,7.5,1.5,37.23
2020-10-01,Ibadan,Industrial,31.47,5000,7.5,1.5,34.31
2020-10-01,Ibadan,Special,46.9,2500,7.5,1.5,51.12
2020-10-01,Ikeja,Residential,27.54,750,7.5,1.5,30.02
2020-10-01,Ikeja,Commercial,37.71,1500,7.5,1.5,41.11
2020-10-01,Ikeja,Industrial,32.05,5000,7.5,1.5,34.93
2020-10-01,Ikeja,Special,49.81,2500,7.5,1.5,54.3
2020-10-01,Jos,Residential,23.61,750,7.5,1.5,25.74
2020-10-01,Jos,Commercial,35.09,1500,7.5,1.5,38.25
2020-10-01,Jos,Industrial,29.82,5000,7.5,1.5,32.5
2020-10-01,Jos,Special,41.28,2500,7.5,1.5,44.99
2020-10-01,Kaduna,Residential,25.5,750,7.5,1.5,27.8
2020-10-01,Kaduna,Commercial,34.28,1500,7.5,1.5,37.37
2020-10-01,Kaduna,Industrial,31.23,5000,7.5,1.5,34.04
2020-10-01,Kaduna,Special,45.39,2500,7.5,1.5,49.48
2020-10-01,Kano,Residential,24.73,750,7.5,1.5,26.96
2020-10-01,Kano,Commercial,35.87,1500,7.5,1.5,39.1
2020-10-01,Kano,Industrial,31.32,5000,7.5,1.5,34.13
2020-10-01,Kano,Special,45.62,2500,7.5,1.5,49.72
2020-10-01,Port Harcourt,Residential,25.15,750,7.5,1.5,27.41
2020-10-01,Port Harcourt,Commercial,34.27,1500,7.5,1.5,37.36
2020-10-01,Port Harcourt,Industrial,31.31,5000,7.5,1.5,34.13
2020-10-01,Port Harcourt,Special,47.22,2500,7.5,1.5,51.47
2020-10-01,Yola,Residential,22.22,750,7.5,1.5,24.22
2020-10-01,Yola,Commercial,33.47,1500,7.5,1.5,36.48
2020-10-01,Yola,Industrial,26.42,5000,7.5,1.5,28.8
2020-10-01,Yola,Special,41.83,2500,7.5,1.5,45.6
2021-01-01,Abuja,Residential,27.63,750,7.5,1.5,30.12
2021-01-01,Abuja,Commercial,41.81,1500,7.5,1.5,45.58
2021-01-01,Abuja,Industrial,36.1,5000,7.5,1.5,39.35
2021-01-01,Abuja,Special,53.77,2500,7.5,1.5,58.61
2021-01-01,Benin,Residential,27.68,750,7.5,1.5,30.17
2021-01-01,Benin,Commercial,39.05,1500,7.5,1.5,42.56
2021-01-01,Benin,Industrial,35.43,5000,7.5,1.5,38.61
2021-01-01,Benin,Special,47.91,2500,7.5,1.5,52.23
2021-01-01,Eko,Residential,30.3,750,7.5,1.5,33.03
2021-01-01,Eko,Commercial,45.34,1500,7.5,1.5,49.42
2021-01-01,Eko,Industrial,38.66,5000,7.5,1.5,42.14
2021-01-01,Eko,Special,56.66,2500,7.5,1.5,61.76
2021-01-01,Enugu,Residential,27.42,750,7.5,1.5,29.89
2021-01-01,Enugu,Commercial,39.59,1500,7.5,1.5,43.15
2021-01-01,Enugu,Industrial,33.65,5000,7.5,1.5,36.68
2021-01-01,Enugu,Special,50.02,2500,7.5,1.5,54.52
2021-01-01,Ibadan,Residential,27.76,750,7.5,1.5,30.26
2021-01-01,Ibadan,Commercial,40.68,1500,7.5,1.5,44.34
2021-01-01,Ibadan,Industrial,33.87,5000,7.5,1.5,36.92
2021-01-01,Ibadan,Special,51.61,2500,7.5,1.5,56.26
2021-01-01,Ikeja,Residential,30.02,750,7.5,1.5,32.72
2021-01-01,Ikeja,Commercial,41.97,1500,7.5,1.5,45.75
2021-01-01,Ikeja,Industrial,38.51,5000,7.5,1.5,41.98
2021-01-01,Ikeja,Special,57.49,2500,7.5,1.5,62.67
2021-01-01,Jos,Residential,25.25,750,7.5,1.5,27.52
2021-01-01,Jos,Commercial,38.85,1500,7.5,1.5,42.35
2021-01-01,Jos,Industrial,32.17,5000,7.5,1.5,35.06
2021-01-01,Jos,Special,46.08,2500,7.5,1.5,50.23
2021-01-01,Kaduna,Residential,26.94,750,7.5,1.5,29.36
2021-01-01,Kaduna,Commercial,38.08,1500,7.5,1.5,41.5
2021-01-01,Kaduna,Industrial,34.79,5000,7.5,1.5,37.92
2021-01-01,Kaduna,Special,48.87,2500,7.5,1.5,53.27
2021-01-01,Kano,Residential,26.3,750,7.5,1.5,28.67
2021-01-01,Kano,Commercial,38.6,1500,7.5,1.5,42.08
2021-01-01,Kano,Industrial,32.9,5000,7.5,1.5,35.86
2021-01-01,Kano,Special,51.28,2500,7.5,1.5,55.89
2021-01-01,Port Harcourt,Residential,27.59,750,7.5,1.5,30.08
2021-01-01,Port Harcourt,Commercial,38.29,1500,7.5,1.5,41.73
2021-01-01,Port Harcourt,Industrial,34.58,5000,7.5,1.5,37.7
2021-01-01,Port Harcourt,Special,49.64,2500,7.5,1.5,54.11
2021-01-01,Yola,Residential,24.39,750,7.5,1.5,26.59
2021-01-01,Yola,Commercial,34.44,1500,7.5,1.5,37.54
2021-01-01,Yola,Industrial,31.08,5000,7.5,1.5,33.87
2021-01-01,Yola,Special,44.8,2500,7.5,1.5,48.83
2021-04-01,Abuja,Residential,28.95,750,7.5,1.5,31.56
2021-04-01,Abuja,Commercial,41.44,1500,7.5,1.5,45.17
2021-04-01,Abuja,Industrial,33.91,5000,7.5,1.5,36.97
2021-04-01,Abuja,Special,54.0,2500,7.5,1.5,58.86
2021-04-01,Benin,Residential,27.36,750,7.5,1.5,29.82
2021-04-01,Benin,Commercial,39.5,1500,7.5,1.5,43.05
2021-04-01,Benin,Industrial,32.81,5000,7.5,1.5,35.77
2021-04-01,Benin,Special,51.03,2500,7.5,1.5,55.62
2021-04-01,Eko,Residential,29.26,750,7.5,1.5,31.9
2021-04-01,Eko,Commercial,43.43,1500,7.5,1.5,47.33
2021-04-01,Eko,Industrial,35.56,5000,7.5,1.5,38.76
2021-04-01,Eko,Special,56.97,2500,7.5,1.5,62.1
2021-04-01,Enugu,Residential,26.1,750,7.5,1.5,28.45
2021-04-01,Enugu,Commercial,41.31,1500,7.5,1.5,45.03
2021-04-01,Enugu,Industrial,35.07,5000,7.5,1.5,38.22
2021-04-01,Enugu,Special,52.77,2500,7.5,1.5,57.52
2021-04-01,Ibadan,Residential,28.33,750,7.5,1.5,30.88
2021-04-01,Ibadan,Commercial,41.63,1500,7.5,1.5,45.38
2021-04-01,Ibadan,Industrial,35.13,5000,7.5,1.5,38.3
2021-04-01,Ibadan,Special,48.45,2500,7.5,1.5,52.81
2021-04-01,Ikeja,Residential,29.75,750,7.5,1.5,32.43
2021-04-01,Ikeja,Commercial,41.88,1500,7.5,1.5,45.65
2021-04-01,Ikeja,Industrial,37.37,5000,7.5,1.5,40.74
2021-04-01,Ikeja,Special,55.6,2500,7.5,1.5,60.61
2021-04-01,Jos,Residential,26.95,750,7.5,1.5,29.37
2021-04-01,Jos,Commercial,39.55,1500,7.5,1.5,43.11
2021-04-01,Jos,Industrial,31.36,5000,7.5,1.5,34.18
2021-04-01,Jos,Special,48.27,2500,7.5,1.5,52.62
2021-04-01,Kaduna,Residential,27.12,750,7.5,1.5,29.56
2021-04-01,Kaduna,Commercial,39.95,1500,7.5,1.5,43.54
2021-04-01,Kaduna,Industrial,33.93,5000,7.5,1.5,36.99
2021-04-01,Kaduna,Special,52.49,2500,7.5,1.5,57.21
2021-04-01,Kano,Residential,28.29,750,7.5,1.5,30.84
2021-04-01,Kano,Commercial,38.26,1500,7.5,1.5,41.7
2021-04-01,Kano,Industrial,33.3,5000,7.5,1.5,36.3
2021-04-01,Kano,Special,51.67,2500,7.5,1.5,56.32
2021-04-01,Port Harcourt,Residential,27.72,750,7.5,1.5,30.21
2021-04-01,Port Harcourt,Commercial,40.28,1500,7.5,1.5,43.91
2021-04-01,Port Harcourt,Industrial,35.49,5000,7.5,1.5,38.69
2021-04-01,Port Harcourt,Special,49.58,2500,7.5,1.5,54.04
2021-04-01,Yola,Residential,24.53,750,7.5,1.5,26.74
2021-04-01,Yola,Commercial,37.5,1500,7.5,1.5,40.87
2021-04-01,Yola,Industrial,31.04,5000,7.5,1.5,33.83
2021-04-01,Yola,Special,46.03,2500,7.5,1.5,50.18
2021-07-01,Abuja,Residential,27.59,750,7.5,1.5,30.07
2021-07-01,Abuja,Commercial,40.69,1500,7.5,1.5,44.35
2021-07-01,Abuja,Industrial,35.08,5000,7.5,1.5,38.24
2021-07-01,Abuja,Special,52.73,2500,7.5,1.5,57.48
2021-07-01,Benin,Residential,27.21,750,7.5,1.5,29.66
2021-07-01,Benin,Commercial,41.36,1500,7.5,1.5,45.08
2021-07-01,Benin,Industrial,32.5,5000,7.5,1.5,35.42
2021-07-01,Benin,Special,49.13,2500,7.5,1.5,53.55
2021-07-01,Eko,Residential,28.87,750,7.5,1.5,31.47
2021-07-01,Eko,Commercial,44.77,1500,7.5,1.5,48.79
2021-07-01,Eko,Industrial,38.96,5000,7.5,1.5,42.46
2021-07-01,Eko,Special,57.62,2500,7.5,1.5,62.81
2021-07-01,Enugu,Residential,27.82,750,7.5,1.5,30.33
2021-07-01,Enugu,Commercial,37.86,1500,7.5,1.5,41.26
2021-07-01,Enugu,Industrial,33.31,5000,7.5,1.5,36.3
2021-07-01,Enugu,Special,52.23,2500,7.5,1.5,56.93
2021-07-01,Ibadan,Residential,27.63,750,7.5,1.5,30.12
2021-07-01,Ibadan,Commercial,38.61,1500,7.5,1.5,42.08
2021-07-01,Ibadan,Industrial,33.71,5000,7.5,1.5,36.74
2021-07-01,Ibadan,Special,48.32,2500,7.5,1.5,52.67
2021-07-01,Ikeja,Residential,30.0,750,7.5,1.5,32.7
2021-07-01,Ikeja,Commercial,45.49,1500,7.5,1.5,49.58
2021-07-01,Ikeja,Industrial,35.49,5000,7.5,1.5,38.68
2021-07-01,Ikeja,Special,56.07,2500,7.5,1.5,61.12
2021-07-01,Jos,Residential,25.17,750,7.5,1.5,27.43
2021-07-01,Jos,Commercial,39.62,1500,7.5,1.5,43.19
2021-07-01,Jos,Industrial,30.74,5000,7.5,1.5,33.5
2021-07-01,Jos,Special,48.44,2500,7.5,1.5,52.8
2021-07-01,Kaduna,Residential,26.55,750,7.5,1.5,28.94
2021-07-01,Kaduna,Commercial,41.28,1500,7.5,1.5,45.0
2021-07-01,Kaduna,Industrial,32.55,5000,7.5,1.5,35.47
2021-07-01,Kaduna,Special,50.04,2500,7.5,1.5,54.55
2021-07-01,Kano,Residential,26.36,750,7.5,1.5,28.73
2021-07-01,Kano,Commercial,40.95,1500,7.5,1.5,44.64
2021-07-01,Kano,Industrial,33.32,5000,7.5,1.5,36.32
2021-07-01,Kano,Special,48.82,2500,7.5,1.5,53.21
2021-07-01,Port Harcourt,Residential,27.83,750,7.5,1.5,30.34
2021-07-01,Port Harcourt,Commercial,41.02,1500,7.5,1.5,44.71
2021-07-01,Port Harcourt,Industrial,33.7,5000,7.5,1.5,36.73
2021-07-01,Port Harcourt,Special,49.79,2500,7.5,1.5,54.27
2021-07-01,Yola,Residential,24.82,750,7.5,1.5,27.05
2021-07-01,Yola,Commercial,36.33,1500,7.5,1.5,39.6
2021-07-01,Yola,Industrial,30.93,5000,7.5,1.5,33.71
2021-07-01,Yola,Special,44.34,2500,7.5,1.5,48.33
2021-10-01,Abuja,Residential,29.84,750,7.5,1.5,32.52
2021-10-01,Abuja,Commercial,40.55,1500,7.5,1.5,44.2
2021-10-01,Abuja,Industrial,35.07,5000,7.5,1.5,38.22
2021-10-01,Abuja,Special,51.78,2500,7.5,1.5,56.44
2021-10-01,Benin,Residential,28.39,750,7.5,1.5,30.94
2021-10-01,Benin,Commercial,41.07,1500,7.5,1.5,44.76
2021-10-01,Benin,Industrial,34.88,5000,7.5,1.5,38.02
2021-10-01,Benin,Special,47.9,2500,7.5,1.5,52.22
2021-10-01,Eko,Residential,30.49,750,7.5,1.5,33.24
2021-10-01,Eko,Commercial,42.56,1500,7.5,1.5,46.39
2021-10-01,Eko,Industrial,38.95,5000,7.5,1.5,42.45
2021-10-01,Eko,Special,55.61,2500,7.5,1.5,60.62
2021-10-01,Enugu,Residential,27.39,750,7.5,1.5,29.86
2021-10-01,Enugu,Commercial,39.19,1500,7.5,1.5,42.72
2021-10-01,Enugu,Industrial,33.95,5000,7.5,1.5,37.0
2021-10-01,Enugu,Special,51.66,2500,7.5,1.5,56.31
2021-10-01,Ibadan,Residential,27.38,750,7.5,1.5,29.85
2021-10-01,Ibadan,Commercial,40.32,1500,7.5,1.5,43.95
2021-10-01,Ibadan,Industrial,33.73,5000,7.5,1.5,36.77
2021-10-01,Ibadan,Special,51.49,2500,7.5,1.5,56.12
2021-10-01,Ikeja,Residential,31.13,750,7.5,1.5,33.94
2021-10-01,Ikeja,Commercial,41.77,1500,7.5,1.5,45.53
2021-10-01,Ikeja,Industrial,35.75,5000,7.5,1.5,38.96
2021-10-01,Ikeja,Special,56.47,2500,7.5,1.5,61.55
2021-10-01,Jos,Residential,25.54,750,7.5,1.5,27.84
2021-10-01,Jos,Commercial,36.95,1500,7.5,1.5,40.27
2021-10-01,Jos,Industrial,31.1,5000,7.5,1.5,33.9
2021-10-01,Jos,Special,48.23,2500,7.5,1.5,52.57
2021-10-01,Kaduna,Residential,26.8,750,7.5,1.5,29.21
2021-10-01,Kaduna,Commercial,39.79,1500,7.5,1.5,43.37
2021-10-01,Kaduna,Industrial,35.38,5000,7.5,1.5,38.56
2021-10-01,Kaduna,Special,51.7,2500,7.5,1.5,56.35
2021-10-01,Kano,Residential,28.02,750,7.5,1.5,30.54
2021-10-01,Kano,Commercial,38.27,1500,7.5,1.5,41.71
2021-10-01,Kano,Industrial,33.23,5000,7.5,1.5,36.22
2021-10-01,Kano,Special,48.42,2500,7.5,1.5,52.77
2021-10-01,Port Harcourt,Residential,28.49,750,7.5,1.5,31.06
2021-10-01,Port Harcourt,Commercial,40.48,1500,7.5,1.5,44.13
2021-10-01,Port Harcourt,Industrial,32.2,5000,7.5,1.5,35.1
2021-10-01,Port Harcourt,Special,50.28,2500,7.5,1.5,54.8
2021-10-01,Yola,Residential,23.92,750,7.5,1.5,26.07
2021-10-01,Yola,Commercial,35.93,1500,7.5,1.5,39.16
2021-10-01,Yola,Industrial,29.46,5000,7.5,1.5,32.12
2021-10-01,Yola,Special,43.35,2500,7.5,1.5,47.25
2022-01-01,Abuja,Residential,31.44,750,7.5,1.5,34.27
2022-01-01,Abuja,Commercial,45.8,1500,7.5,1.5,49.92
2022-01-01,Abuja,Industrial,40.64,5000,7.5,1.5,44.3
2022-01-01,Abuja,Special,59.12,2500,7.5,1.5,64.44
2022-01-01,Benin,Residential,29.85,750,7.5,1.5,32.53
2022-01-01,Benin,Commercial,44.84,1500,7.5,1.5,48.88
2022-01-01,Benin,Industrial,36.26,5000,7.5,1.5,39.52
2022-01-01,Benin,Special,57.36,2500,7.5,1.5,62.53
2022-01-01,Eko,Residential,32.35,750,7.5,1.5,35.26
2022-01-01,Eko,Commercial,47.91,1500,7.5,1.5,52.22
2022-01-01,Eko,Industrial,40.76,5000,7.5,1.5,44.43
2022-01-01,Eko,Special,61.88,2500,7.5,1.5,67.45
2022-01-01,Enugu,Residential,31.86,750,7.5,1.5,34.73
2022-01-01,Enugu,Commercial,43.75,1500,7.5,1.5,47.69
2022-01-01,Enugu,Industrial,37.05,5000,7.5,1.5,40.39
2022-01-01,Enugu,Special,54.58,2500,7.5,1.5,59.49
2022-01-01,Ibadan,Residential,30.15,750,7.5,1.5,32.87
2022-01-01,Ibadan,Commercial,43.12,1500,7.5,1.5,47.0
2022-01-01,Ibadan,Industrial,36.51,5000,7.5,1.5,39.8
2022-01-01,Ibadan,Special,58.47,2500,7.5,1.5,63.73
2022-01-01,Ikeja,Residential,32.03,750,7.5,1.5,34.91
2022-01-01,Ikeja,Commercial,50.02,1500,7.5,1.5,54.52
2022-01-01,Ikeja,Industrial,40.43,5000,7.5,1.5,44.07
2022-01-01,Ikeja,Special,59.06,2500,7.5,1.5,64.38
2022-01-01,Jos,Residential,29.81,750,7.5,1.5,32.5
2022-01-01,Jos,Commercial,43.16,1500,7.5,1.5,47.04
2022-01-01,Jos,Industrial,35.39,5000,7.5,1.5,38.58
2022-01-01,Jos,Special,51.37,2500,7.5,1.5,55.99
2022-01-01,Kaduna,Residential,30.06,750,7.5,1.5,32.76
2022-01-01,Kaduna,Commercial,43.11,1500,7.5,1.5,46.99
2022-01-01,Kaduna,Industrial,39.52,5000,7.5,1.5,43.08
2022-01-01,Kaduna,Special,56.62,2500,7.5,1.5,61.71
2022-01-01,Kano,Residential,31.9,750,7.5,1.5,34.77
2022-01-01,Kano,Commercial,43.87,1500,7.5,1.5,47.82
2022-01-01,Kano,Industrial,38.1,5000,7.5,1.5,41.53
2022-01-01,Kano,Special,54.7,2500,7.5,1.5,59.62
2022-01-01,Port Harcourt,Residential,31.42,750,7.5,1.5,34.25
2022-01-01,Port Harcourt,Commercial,42.49,1500,7.5,1.5,46.31
2022-01-01,Port Harcourt,Industrial,38.62,5000,7.5,1.5,42.1
2022-01-01,Port Harcourt,Special,55.84,2500,7.5,1.5,60.86
2022-01-01,Yola,Residential,27.65,750,7.5,1.5,30.14
2022-01-01,Yola,Commercial,40.45,1500,7.5,1.5,44.09
2022-01-01,Yola,Industrial,34.81,5000,7.5,1.5,37.95
