date,disco,allocated_mw,peak_demand_mw,energy_delivered_mwh,load_rejection_mw,technical_losses_percent,commercial_losses_percent
2023-01-06,Jos,127.52,156.05,2509.9,16.77,12.11,39.67
2023-01-06,Kaduna,210.04,314.93,4307.8,65.27,17.51,15.24
2023-01-06,Kano,297.37,449.22,5152.65,61.02,8.56,16.96
2023-01-06,Port Harcourt,342.01,437.64,6910.3,104.94,21.61,20.0
2023-01-06,Yola,35.3,44.58,727.87,11.01,8.54,38.41
2023-01-07,Abuja,380.24,618.06,8375.2,119.48,21.63,23.49
2023-01-07,Benin,239.79,299.27,5315.84,63.37,21.89,26.31
2023-01-07,Eko,489.71,742.33,10376.76,60.96,9.03,21.18
2023-01-07,Enugu,281.02,484.23,5090.84,110.38,13.73,19.55
2023-01-07,Ibadan,374.21,596.96,7405.39,99.77,20.23,20.71
2023-01-07,Ikeja,647.28,1155.31,13399.87,103.48,19.56,16.8
2023-01-07,Jos,80.68,109.29,1579.3,29.08,20.36,33.57
2023-01-07,Kaduna,183.6,258.43,3493.18,72.76,8.68,36.68
2023-01-07,Kano,256.3,375.02,5421.23,63.05,22.85,37.52
2023-01-07,Port Harcourt,275.08,375.78,5598.97,102.8,11.58,30.57
2023-01-07,Yola,32.53,53.35,572.26,10.24,23.45,19.49
2023-01-08,Abuja,492.25,644.15,10793.26,121.92,12.2,36.77
2023-01-08,Benin,247.44,373.36,4690.37,68.76,10.78,24.78
2023-01-08,Eko,614.99,833.24,12755.23,121.5,21.15,18.27
2023-01-08,Enugu,410.04,603.69,7469.41,50.04,10.89,27.99
2023-01-08,Ibadan,375.99,638.18,7288.75,65.65,18.49,32.67
2023-01-08,Ikeja,582.28,757.29,9910.39,186.86,19.28,26.87
2023-01-08,Jos,118.95,200.24,2416.08,42.88,11.5,17.8
2023-01-08,Kaduna,200.74,247.76,4012.13,76.48,8.67,18.05
2023-01-08,Kano,283.39,498.85,5298.44,71.46,8.71,18.71
2023-01-08,Port Harcourt,370.67,659.44,6238.19,142.91,18.87,36.7
2023-01-08,Yola,35.45,53.51,699.55,10.64,10.37,15.75
2023-01-09,Abuja,480.16,634.34,10006.76,187.73,9.6,31.82
2023-01-09,Benin,259.43,446.46,4634.25,79.85,22.25,38.62
2023-01-09,Eko,596.56,893.83,12233.71,215.16,17.7,15.76
2023-01-09,Enugu,425.72,686.99,8880.14,70.12,19.2,24.85
2023-01-09,Ibadan,433.49,547.92,8993.75,173.32,8.82,39.43
2023-01-09,Ikeja,659.62,1136.16,14178.03,178.17,20.55,36.96
2023-01-09,Jos,109.84,153.36,2285.33,37.6,20.96,34.95
2023-01-09,Kaduna,221.82,375.03,3886.54,58.42,8.1,23.11
2023-01-09,Kano,289.5,416.22,6071.71,62.7,15.63,20.94
2023-01-09,Port Harcourt,326.38,436.17,5626.58,91.72,19.36,30.49
2023-01-09,Yola,37.29,53.24,819.53,9.53,16.15,15.64
2023-01-10,Abuja,445.76,641.57,9040.39,115.93,18.33,34.12
2023-01-10,Benin,295.04,481.18,6648.26,31.12,11.33,15.19
2023-01-10,Eko,603.54,1049.44,11021.15,228.2,9.02,38.36
2023-01-10,Enugu,368.16,464.2,7258.37,65.18,12.84,22.68
2023-01-10,Ibadan,462.37,704.42,8631.52,130.9,20.17,21.82
2023-01-10,Ikeja,675.57,860.09,12083.92,205.6,11.08,28.13
2023-01-10,Jos,122.84,155.29,2481.9,21.74,24.37,27.09
2023-01-10,Kaduna,252.41,386.22,4306.23,73.19,24.17,30.04
2023-01-10,Kano,337.77,584.51,6136.7,55.26,18.39,25.28
2023-01-10,Port Harcourt,382.14,664.93,7230.25,65.37,21.27,21.87
2023-01-10,Yola,42.26,61.46,879.24,5.44,18.61,26.29
2023-01-11,Abuja,482.6,792.49,10606.02,79.64,9.63,15.59
2023-01-11,Benin,325.97,509.91,6545.6,55.28,14.65,29.86
2023-01-11,Eko,669.33,1199.89,11792.65,206.52,14.87,25.7
2023-01-11,Enugu,475.81,768.65,10823.49,65.91,9.77,33.11
2023-01-11,Ibadan,502.87,686.17,8687.86,63.21,23.2,19.8
2023-01-11,Ikeja,761.37,1017.19,14412.76,91.99,16.82,16.69
2023-01-11,Jos,146.07,195.77,2927.24,53.17,19.06,28.32
2023-01-11,Kaduna,253.87,355.36,5284.75,101.1,19.25,28.94
2023-01-11,Kano,382.05,565.09,6556.25,102.65,24.28,19.38
2023-01-11,Port Harcourt,424.9,561.11,8504.37,54.81,15.66,33.9
2023-01-11,Yola,42.62,68.15,919.49,16.12,11.99,24.98
2023-01-12,Abuja,465.67,817.81,9331.88,164.2,16.86,30.59
2023-01-12,Benin,207.5,343.03,3645.0,72.17,21.29,32.72
2023-01-12,Eko,436.58,603.31,8023.84,90.83,9.49,38.42
2023-01-12,Enugu,343.56,475.25,6590.15,80.45,18.21,27.89
2023-01-12,Ibadan,418.71,627.3,9526.84,148.82,11.54,38.26
2023-01-12,Ikeja,538.54,910.39,10277.45,195.7,22.76,35.15
2023-01-12,Jos,110.26,152.46,1905.84,24.36,10.95,32.37
2023-01-12,Kaduna,193.5,345.46,3994.89,67.09,10.25,36.55
2023-01-12,Kano,304.79,454.82,6229.11,100.41,10.97,27.56
2023-01-12,Port Harcourt,295.04,379.96,5607.35,35.54,8.44,18.38
2023-01-12,Yola,38.51,58.91,870.08,8.85,13.3,27.65
2023-01-13,Abuja,433.67,687.14,7847.74,123.98,19.05,18.8
2023-01-13,Benin,249.16,415.71,4873.23,29.26,24.91,16.44
2023-01-13,Eko,650.79,1165.05,11867.21,92.85,10.06,22.58
2023-01-13,Enugu,360.82,582.83,6196.65,91.23,24.94,35.35
2023-01-13,Ibadan,466.45,645.45,9582.46,120.4,15.24,18.27
2023-01-13,Ikeja,823.35,1210.22,14793.72,173.17,15.04,35.69
2023-01-13,Jos,131.58,218.63,2219.27,29.59,16.18,15.48
2023-01-13,Kaduna,228.21,377.95,4021.6,59.47,11.66,15.3
2023-01-13,Kano,302.44,540.02,6535.58,117.31,16.29,17.74
2023-01-13,Port Harcourt,374.2,551.05,8182.26,48.43,16.3,18.75
2023-01-13,Yola,38.83,63.78,763.28,8.26,14.71,26.49
2023-01-14,Abuja,665.55,1180.16,14323.61,129.53,19.7,25.94
2023-01-14,Benin,321.81,548.53,5480.63,119.24,15.85,30.93
2023-01-14,Eko,779.97,1354.86,16082.94,221.65,9.13,27.96
2023-01-14,Enugu,444.17,729.54,8827.19,135.06,8.71,17.12
2023-01-14,Ibadan,581.31,722.71,10014.46,60.24,24.26,33.44
2023-01-14,Ikeja,853.93,1176.65,16137.8,283.84,19.24,19.63
2023-01-14,Jos,134.32,169.12,2788.75,44.23,12.51,15.52
2023-01-14,Kaduna,260.43,463.75,4836.87,86.14,18.62,24.55
2023-01-14,Kano,361.95,460.7,7416.39,120.31,18.95,28.26
2023-01-14,Port Harcourt,385.26,686.18,8318.54,72.37,24.66,30.05
2023-01-14,Yola,50.85,83.85,1102.0,15.1,10.18,23.46
2023-01-15,Abuja,585.68,833.6,11357.8,135.77,18.42,38.58
2023-01-15,Benin,343.44,437.17,6176.77,125.73,18.98,22.15
2023-01-15,Eko,873.67,1499.94,19115.15,328.22,12.29,33.88
2023-01-15,Enugu,525.72,896.46,11130.05,175.03,19.15,19.44
2023-01-15,Ibadan,593.13,1062.18,13300.5,67.0,10.8,18.29
2023-01-15,Ikeja,1022.56,1728.81,18488.97,257.44,22.29,33.32
2023-01-15,Jos,161.63,251.2,3208.36,30.59,17.61,32.22
2023-01-15,Kaduna,354.96,561.47,7584.41,52.54,15.85,15.23
2023-01-15,Kano,393.27,643.34,8947.26,51.03,14.83,35.0
2023-01-15,Port Harcourt,436.3,668.88,9248.98,124.26,11.2,23.88
2023-01-15,Yola,57.73,88.48,971.7,18.95,8.6,33.64
2023-01-16,Abuja,478.56,679.93,8978.62,69.23,13.2,36.92
2023-01-16,Benin,281.98,400.69,5496.25,89.28,23.07,29.83
2023-01-16,Eko,508.82,736.55,10671.74,51.37,18.53,23.89
2023-01-16,Enugu,381.57,479.17,7756.93,93.21,18.92,16.62
2023-01-16,Ibadan,394.94,606.97,7963.49,111.0,19.5,35.12
2023-01-16,Ikeja,587.54,995.89,11627.05,72.34,9.0,23.36
2023-01-16,Jos,114.18,185.49,2458.41,29.14,15.48,18.69
2023-01-16,Kaduna,199.53,291.39,3458.16,33.16,18.17,33.39
2023-01-16,Kano,322.43,567.44,6659.95,72.99,18.82,34.64
2023-01-16,Port Harcourt,279.43,404.04,6102.35,60.12,17.72,29.69
2023-01-16,Yola,31.74,44.99,597.0,3.42,8.41,35.79
2023-01-17,Abuja,444.32,612.82,9972.31,78.99,15.3,36.82
2023-01-17,Benin,284.23,372.81,6143.9,67.49,16.21,18.34
2023-01-17,Eko,482.9,790.39,9551.14,111.58,20.4,34.14
2023-01-17,Enugu,330.58,517.74,5822.28,107.58,19.17,38.92
2023-01-17,Ibadan,352.71,435.33,6522.72,62.96,12.2,37.66
2023-01-17,Ikeja,613.08,835.73,13093.08,144.02,21.2,16.63
2023-01-17,Jos,110.07,134.3,1890.53,40.94,10.37,28.31
2023-01-17,Kaduna,215.07,302.9,4774.28,22.91,19.28,39.08
2023-01-17,Kano,299.93,528.51,5132.9,67.68,12.42,33.27
2023-01-17,Port Harcourt,379.3,513.54,7860.96,60.47,17.61,26.6
2023-01-17,Yola,42.04,65.8,794.46,5.64,10.57,20.63
2023-01-18,Abuja,481.08,739.29,9592.82,64.67,22.62,33.07
2023-01-18,Benin,220.99,359.04,4433.25,27.52,15.79,27.12
2023-01-18,Eko,489.56,865.25,10721.2,147.21,15.86,25.29
2023-01-18,Enugu,379.17,579.09,6511.75,96.21,21.71,26.48
2023-01-18,Ibadan,345.38,577.4,6219.72,61.34,10.8,23.26
2023-01-18,Ikeja,703.23,1063.02,12678.69,255.52,22.95,36.76
2023-01-18,Jos,100.3,147.51,2277.69,33.26,8.46,16.63
2023-01-18,Kaduna,215.29,375.8,4312.73,53.68,9.79,31.42
2023-01-18,Kano,318.23,454.52,6827.31,123.9,11.46,28.08
2023-01-18,Port Harcourt,305.62,512.13,6193.56,88.74,21.56,24.9
2023-01-18,Yola,40.79,62.0,723.95,12.6,21.49,22.92
2023-01-19,Abuja,692.35,945.85,15717.12,98.46,11.43,19.61
2023-01-19,Benin,402.56,641.1,7130.36,93.43,18.46,17.09
2023-01-19,Eko,859.95,1446.57,17053.79,335.5,15.1,39.6
2023-01-19,Enugu,540.2,853.95,9613.31,196.95,15.27,19.06
2023-01-19,Ibadan,483.01,741.83,9642.91,152.54,23.13,16.99
2023-01-19,Ikeja,990.02,1299.35,21730.05,342.27,17.19,32.76
2023-01-19,Jos,145.7,216.02,3165.93,34.64,14.08,27.36
2023-01-19,Kaduna,338.96,474.93,6047.99,106.3,22.04,17.52
2023-01-19,Kano,379.33,487.51,7164.62,89.18,20.73,31.28
2023-01-19,Port Harcourt,479.66,677.0,10479.88,115.78,24.64,30.85
2023-01-19,Yola,45.66,73.32,856.21,13.97,9.18,19.37
2023-01-20,Abuja,566.24,963.88,10461.75,165.83,19.8,27.82
2023-01-20,Benin,338.74,449.71,5758.32,64.76,19.1,38.46
2023-01-20,Eko,856.75,1421.9,18446.42,256.59,12.42,37.68
2023-01-20,Enugu,540.26,829.98,9436.11,126.48,15.83,36.61
2023-01-20,Ibadan,573.24,818.72,12990.06,76.36,15.18,16.05
2023-01-20,Ikeja,991.66,1736.25,18326.12,354.52,12.97,37.77
2023-01-20,Jos,165.93,279.25,2805.5,64.52,20.35,22.62
2023-01-20,Kaduna,338.83,463.83,7466.69,45.33,19.96,28.52
2023-01-20,Kano,361.38,486.11,6098.12,86.96,13.12,29.96
2023-01-20,Port Harcourt,434.41,599.46,9235.09,49.71,23.35,36.31
2023-01-20,Yola,53.98,83.99,1195.88,8.4,9.34,20.99
2023-01-21,Abuja,514.84,797.84,11724.29,183.65,16.86,16.59
2023-01-21,Benin,383.75,598.42,6711.65,49.18,23.46,31.73
2023-01-21,Eko,821.86,1419.66,16626.66,209.77,15.32,22.92
2023-01-21,Enugu,488.86,813.62,9978.4,179.78,15.54,30.18
2023-01-21,Ibadan,570.12,886.54,11981.45,97.62,16.71,17.61
2023-01-21,Ikeja,866.46,1293.28,17947.34,333.73,18.21,33.59
2023-01-21,Jos,149.87,236.87,2581.68,26.43,14.15,26.81
2023-01-21,Kaduna,258.41,331.8,4770.4,101.16,13.63,27.05
2023-01-21,Kano,362.55,567.92,6701.34,58.77,16.78,15.14
2023-01-21,Port Harcourt,382.49,509.27,6510.19,50.65,13.76,35.06
2023-01-21,Yola,50.94,76.8,945.54,19.33,14.75,17.18
2023-01-22,Abuja,481.97,678.19,9564.41,174.6,16.39,32.56
2023-01-22,Benin,365.0,466.8,6733.65,79.71,15.17,25.28
2023-01-22,Eko,764.72,1245.29,15636.64,147.45,22.0,38.88
2023-01-22,Enugu,498.04,598.12,10268.78,57.44,12.38,16.49
2023-01-22,Ibadan,515.25,830.56,9010.19,110.86,15.76,24.23
2023-01-22,Ikeja,724.72,1051.83,15441.57,87.91,9.36,23.87
2023-01-22,Jos,154.34,247.12,3221.38,32.19,18.09,15.25
2023-01-22,Kaduna,283.69,495.88,5808.64,102.73,20.31,18.01
2023-01-22,Kano,407.29,504.99,8147.36,58.1,8.2,25.55
2023-01-22,Port Harcourt,383.7,572.33,7775.02,43.4,10.09,28.97
2023-01-22,Yola,43.29,70.89,896.68,15.31,19.77,25.75
2023-01-23,Abuja,524.03,725.14,11284.34,122.58,21.57,35.56
2023-01-23,Benin,362.93,635.12,7035.7,71.01,17.9,24.28
2023-01-23,Eko,723.66,1174.75,15146.51,153.68,10.84,25.76
2023-01-23,Enugu,418.04,724.9,7890.54,61.17,8.43,31.15
2023-01-23,Ibadan,536.22,753.05,9239.21,119.52,13.29,31.93
2023-01-23,Ikeja,869.58,1233.72,15745.82,344.71,15.72,32.21
2023-01-23,Jos,125.32,186.9,2126.16,31.54,24.39,24.61
2023-01-23,Kaduna,242.09,295.0,4630.68,35.83,8.4,33.91
2023-01-23,Kano,369.93,508.12,8212.68,49.88,24.25,22.85
2023-01-23,Port Harcourt,470.52,734.84,10238.66,185.95,12.9,39.03
2023-01-23,Yola,45.27,64.8,853.02,11.88,10.62,28.84
2023-01-24,Abuja,563.57,958.17,10957.2,107.47,12.41,19.87
2023-01-24,Benin,264.35,371.54,4869.72,103.08,17.48,23.68
2023-01-24,Eko,668.91,858.55,13019.77,192.56,16.31,25.04
2023-01-24,Enugu,499.94,863.98,10268.91,135.39,18.55,20.03
2023-01-24,Ibadan,463.9,567.66,9117.18,121.96,11.87,39.1
2023-01-24,Ikeja,880.04,1437.36,17601.13,317.69,10.22,34.76
2023-01-24,Jos,115.93,194.35,2139.35,42.1,24.05,18.72
2023-01-24,Kaduna,258.33,462.05,5089.22,92.76,18.01,24.38
2023-01-24,Kano,325.95,430.89,6965.91,70.39,16.69,27.31
2023-01-24,Port Harcourt,400.97,689.4,9095.75,89.13,22.07,34.11
2023-01-24,Yola,44.5,78.93,801.18,5.91,22.52,25.98
2023-01-25,Abuja,686.51,849.54,15172.38,160.98,16.68,30.66
2023-01-25,Benin,404.04,489.48,7943.88,123.76,20.29,32.31
2023-01-25,Eko,683.43,942.88,12952.56,233.28,12.74,20.27
2023-01-25,Enugu,581.97,701.46,13261.33,176.36,22.08,22.37
2023-01-25,Ibadan,480.9,789.98,10485.88,154.92,10.43,33.84
2023-01-25,Ikeja,995.45,1587.87,21299.35,352.17,18.43,17.22
2023-01-25,Jos,152.95,190.67,2943.62,33.98,9.12,23.72
2023-01-25,Kaduna,271.21,456.98,6098.53,33.01,24.24,28.06
2023-01-25,Kano,384.78,479.48,7620.02,130.19,20.02,16.26
2023-01-25,Port Harcourt,401.56,578.93,7457.59,68.15,12.78,35.09
2023-01-25,Yola,57.76,83.36,1284.48,11.35,16.1,20.65
2023-01-26,Abuja,631.48,986.44,11964.63,185.87,10.09,37.22
2023-01-26,Benin,322.38,473.77,6549.24,92.66,9.22,32.07
2023-01-26,Eko,636.74,1036.86,13839.78,217.25,17.39,28.0
2023-01-26,Enugu,410.82,684.11,7570.84,102.3,12.83,18.35
2023-01-26,Ibadan,525.8,648.1,11195.33,102.68,8.0,27.78
2023-01-26,Ikeja,715.62,977.33,15058.04,85.02,22.27,15.1
2023-01-26,Jos,127.55,209.76,2384.91,16.65,14.12,21.76
2023-01-26,Kaduna,304.46,422.59,6556.02,111.91,15.37,37.75
2023-01-26,Kano,354.55,630.54,6146.34,108.53,16.39,24.69
2023-01-26,Port Harcourt,430.59,698.56,7245.26,64.63,20.12,31.66
2023-01-26,Yola,52.45,86.88,1180.26,16.3,13.07,17.63
2023-01-27,Abuja,620.26,762.24,11760.28,240.06,16.51,25.82
2023-01-27,Benin,342.42,453.82,6510.13,72.23,8.89,34.19
2023-01-27,Eko,724.57,1226.92,15869.56,118.54,19.18,26.81
2023-01-27,Enugu,551.96,733.8,11517.71,155.83,13.02,18.42
2023-01-27,Ibadan,569.79,936.26,10651.61,167.21,14.72,32.83
2023-01-27,Ikeja,811.35,1406.98,15029.76,170.66,8.99,17.79
2023-01-27,Jos,149.34,203.19,3257.62,15.59,14.44,23.43
2023-01-27,Kaduna,254.41,324.27,4905.42,63.06,14.87,28.27
2023-01-27,Kano,407.68,491.64,7984.18,158.61,16.82,31.94
2023-01-27,Port Harcourt,420.74,700.28,9019.69,107.87,24.59,18.14
2023-01-27,Yola,42.37,70.42,916.92,5.76,12.51,15.44
2023-01-28,Abuja,484.7,732.28,9155.33,102.53,8.02,22.5
2023-01-28,Benin,272.81,486.84,5969.75,29.21,23.28,34.58
2023-01-28,Eko,607.09,895.34,11648.92,115.88,9.12,20.71
2023-01-28,Enugu,344.95,514.13,7342.09,83.53,8.98,38.94
2023-01-28,Ibadan,465.2,777.41,10582.41,122.51,24.37,16.89
2023-01-28,Ikeja,644.91,861.1,11592.27,91.73,18.58,34.53
2023-01-28,Jos,114.63,147.66,2483.64,33.33,14.6,31.85
2023-01-28,Kaduna,207.86,292.49,4636.35,38.9,15.99,37.25
2023-01-28,Kano,317.27,392.57,5610.6,32.47,18.73,26.19
2023-01-28,Port Harcourt,299.13,530.88,5976.01,51.62,16.51,31.99
2023-01-28,Yola,32.59,44.48,705.23,7.75,17.29,25.82
2023-01-29,Abuja,335.75,492.65,6062.01,38.61,22.34,39.53
2023-01-29,Benin,236.83,405.51,4322.52,91.93,11.35,38.79
2023-01-29,Eko,535.71,871.61,12153.51,145.1,12.41,25.92
2023-01-29,Enugu,319.7,397.66,6564.81,126.08,11.23,34.81
2023-01-29,Ibadan,383.93,678.11,8661.81,98.45,24.61,33.93
2023-01-29,Ikeja,502.94,747.44,10617.07,87.61,18.89,31.67
2023-01-29,Jos,83.85,129.05,1796.93,20.94,8.21,15.23
2023-01-29,Kaduna,178.58,313.54,3245.21,51.84,11.78,23.04
2023-01-29,Kano,274.76,449.86,4773.17,62.81,8.5,27.02
2023-01-29,Port Harcourt,293.52,373.09,5439.82,64.38,23.63,39.83
2023-01-29,Yola,26.85,44.48,511.0,5.85,20.82,37.96
2023-01-30,Abuja,660.21,933.71,14211.18,115.73,17.59,23.96
2023-01-30,Benin,394.1,529.76,7073.92,147.97,9.73,27.65
2023-01-30,Eko,739.05,904.12,12575.76,112.75,22.74,22.06
2023-01-30,Enugu,610.4,945.49,11853.78,167.27,16.78,33.97
2023-01-30,Ibadan,552.91,780.61,12254.99,212.28,23.17,25.49
2023-01-30,Ikeja,1049.33,1559.09,20761.23,169.37,18.05,19.65
2023-01-30,Jos,153.17,262.38,2763.53,18.59,9.17,38.52
2023-01-30,Kaduna,323.31,467.39,7004.58,113.4,13.65,32.34
2023-01-30,Kano,465.18,740.93,8238.06,168.75,17.16,22.06
2023-01-30,Port Harcourt,473.1,578.39,8311.1,155.97,8.0,25.41
2023-01-30,Yola,54.14,66.74,1225.56,9.09,13.17,22.6
2023-01-31,Abuja,364.95,597.64,8248.17,61.05,19.27,33.55
2023-01-31,Benin,276.49,401.9,5147.55,54.63,20.11,35.42
2023-01-31,Eko,485.17,690.19,10776.44,165.93,24.74,33.86
2023-01-31,Enugu,346.15,538.04,7188.1,42.76,17.26,32.73
2023-01-31,Ibadan,354.11,590.78,7189.27,136.57,8.72,21.63
2023-01-31,Ikeja,663.3,913.98,13986.67,217.36,9.74,27.85
2023-01-31,Jos,107.57,152.91,2409.25,37.46,19.85,32.86
2023-01-31,Kaduna,212.1,371.72,4447.18,67.59,22.65,21.85
2023-01-31,Kano,312.44,411.53,5896.34,62.7,24.63,36.41
2023-01-31,Port Harcourt,341.27,558.39,6884.19,131.09,16.44,24.51
2023-01-31,Yola,32.15,53.74,681.7,6.92,8.43,35.97
2023-02-01,Abuja,385.63,687.26,7491.32,65.75,19.98,35.43
2023-02-01,Benin,214.95,382.66,3677.82,54.05,20.21,36.57
2023-02-01,Eko,410.57,689.76,8259.11,89.9,10.24,36.63
2023-02-01,Enugu,271.72,376.56,5037.68,98.2,19.44,34.92
2023-02-01,Ibadan,308.2,485.39,6235.06,107.82,23.4,15.3
2023-02-01,Ikeja,573.6,706.16,11525.38,106.86,13.22,23.82
2023-02-01,Jos,94.16,131.87,1995.88,20.84,9.16,34.59
2023-02-01,Kaduna,170.03,248.19,3555.85,33.96,8.96,24.35
2023-02-01,Kano,274.59,435.23,5719.37,79.54,11.38,25.46
2023-02-01,Port Harcourt,293.09,369.53,5412.5,53.6,15.34,39.51
2023-02-01,Yola,26.36,39.83,471.14,10.31,9.93,25.09
2023-02-02,Abuja,617.04,896.95,11649.22,135.31,12.49,20.13
2023-02-02,Benin,337.4,459.25,6250.34,100.22,24.47,30.09
2023-02-02,Eko,634.48,790.15,14281.29,120.04,9.57,29.98
2023-02-02,Enugu,502.44,798.43,9247.16,52.52,24.41,21.27
2023-02-02,Ibadan,561.06,911.15,11479.33,108.77,12.61,29.94
2023-02-02,Ikeja,967.82,1711.15,16874.44,141.74,24.06,33.41
2023-02-02,Jos,162.04,214.15,3293.56,50.29,19.56,25.2
2023-02-02,Kaduna,248.42,384.99,4550.76,58.4,24.28,24.98
2023-02-02,Kano,427.09,560.82,8898.25,167.89,9.73,15.21
2023-02-02,Port Harcourt,427.34,536.55,9098.12,159.98,15.38,21.47
2023-02-02,Yola,47.49,77.61,800.47,13.15,18.43,30.94
2023-02-03,Abuja,460.39,577.71,8284.95,167.23,20.56,15.34
2023-02-03,Benin,233.3,309.98,4298.6,40.66,9.06,26.47
2023-02-03,Eko,578.51,904.82,12054.63,71.94,24.18,35.96
2023-02-03,Enugu,393.5,666.51,8812.96,103.6,11.4,30.42
2023-02-03,Ibadan,425.45,698.91,8478.68,51.28,14.31,38.02
2023-02-03,Ikeja,665.35,1013.33,12251.17,140.08,23.22,31.66
2023-02-03,Jos,117.48,173.0,2417.83,20.5,19.99,25.69
2023-02-03,Kaduna,212.58,337.91,4765.44,25.34,22.02,22.31
2023-02-03,Kano,283.55,343.99,5275.85,71.11,8.95,27.28
2023-02-03,Port Harcourt,366.03,462.38,7828.12,81.59,19.14,21.51
