state,lga,year,population_estimate,area_km2,population_density_per_km2,is_synthetic_lga,urban_population_share,rural_population_share,notes,source,is_fabricated
Adamawa,Adamawa LGA 8,2025,116883,1496.27,78.12,True,0.556,0.444,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 9,2025,387092,374.86,1032.63,True,0.618,0.382,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 10,2025,257926,3207.39,80.42,True,0.645,0.355,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 11,2025,12656,3420.46,3.7,True,0.511,0.489,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 12,2025,42470,436.72,97.25,True,0.492,0.508,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 13,2025,97990,1512.1,64.8,True,0.552,0.448,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 14,2025,690145,2551.08,270.53,True,0.604,0.396,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 15,2025,423278,566.38,747.33,True,0.469,0.531,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 16,2025,44467,997.12,44.6,True,0.531,0.469,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 17,2025,450055,1126.68,399.45,True,0.574,0.426,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 18,2025,310916,605.29,513.67,True,0.522,0.478,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 19,2025,34479,1096.7,31.44,True,0.575,0.425,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 20,2025,180407,165.38,1090.85,True,0.527,0.473,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Adamawa,Adamawa LGA 21,2025,97375,1224.4,79.53,True,0.493,0.507,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 1,2025,98818,128.32,770.07,True,0.59,0.41,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 2,2025,48259,16.06,3004.39,True,0.475,0.525,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 3,2025,262052,612.3,427.98,True,0.518,0.482,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 4,2025,190343,263.76,721.64,True,0.52,0.48,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 5,2025,125742,230.4,545.75,True,0.537,0.463,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 6,2025,406358,743.84,546.29,True,0.601,0.399,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 7,2025,94041,23.72,3964.43,True,0.57,0.43,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 8,2025,128257,337.0,380.58,True,0.476,0.524,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 9,2025,318464,51.86,6141.1,True,0.611,0.389,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 10,2025,334697,81.49,4107.37,True,0.538,0.462,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 11,2025,326905,220.82,1480.42,True,0.556,0.444,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 12,2025,20918,411.34,50.85,True,0.468,0.532,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 13,2025,3948,151.78,26.01,True,0.53,0.47,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 14,2025,168369,110.74,1520.4,True,0.496,0.504,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 15,2025,150877,32.68,4616.48,True,0.474,0.526,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 16,2025,214240,206.99,1035.01,True,0.521,0.479,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 17,2025,76704,30.78,2491.74,True,0.497,0.503,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 18,2025,551943,184.61,2989.78,True,0.695,0.305,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 19,2025,264245,197.64,1337.0,True,0.443,0.557,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 20,2025,371608,262.22,1417.15,True,0.563,0.437,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 21,2025,108074,119.45,904.79,True,0.582,0.418,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 22,2025,105035,396.79,264.71,True,0.516,0.484,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 23,2025,757251,94.67,7998.58,True,0.49,0.51,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 24,2025,222240,304.26,730.44,True,0.551,0.449,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 25,2025,292311,39.42,7414.75,True,0.551,0.449,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 26,2025,163872,58.43,2804.45,True,0.545,0.455,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 27,2025,79335,1112.35,71.32,True,0.477,0.523,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 28,2025,416065,237.94,1748.64,True,0.558,0.442,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 29,2025,56233,136.39,412.3,True,0.501,0.499,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 30,2025,128283,90.04,1424.78,True,0.484,0.516,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,Akwa Ibom LGA 31,2025,79670,192.9,413.01,True,0.528,0.472,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 1,2025,331590,34.8,9529.61,True,0.616,0.384,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 2,2025,5886,709.67,8.29,True,0.688,0.312,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 3,2025,301547,25.38,11882.83,True,0.67,0.33,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 4,2025,860883,150.99,5701.55,True,0.715,0.285,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 5,2025,381589,72.43,5268.15,True,0.652,0.348,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 6,2025,344690,58.0,5942.6,True,0.677,0.323,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 7,2025,76258,142.17,536.39,True,0.64,0.36,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 8,2025,42686,63.07,676.77,True,0.704,0.296,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 9,2025,1161,441.23,2.63,True,0.711,0.289,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 10,2025,503357,107.65,4675.98,True,0.606,0.394,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 11,2025,692578,21.69,31932.91,True,0.676,0.324,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 12,2025,311831,228.33,1365.68,True,0.657,0.343,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 13,2025,188805,34.2,5520.19,True,0.714,0.286,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 14,2025,222212,157.46,1411.21,True,0.664,0.336,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 15,2025,100495,2.35,42794.32,True,0.597,0.403,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 16,2025,563192,774.67,727.01,True,0.59,0.41,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 17,2025,141768,1068.38,132.69,True,0.63,0.37,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 18,2025,742804,258.76,2870.65,True,0.687,0.313,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 19,2025,702204,66.08,10626.9,True,0.725,0.275,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 20,2025,44785,242.19,184.91,True,0.753,0.247,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Anambra,Anambra LGA 21,2025,4845,205.5,23.58,True,0.585,0.415,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 1,2025,246425,1510.42,163.15,True,0.559,0.441,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 2,2025,621042,1827.13,339.9,True,0.512,0.488,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 3,2025,497583,355.26,1400.61,True,0.572,0.428,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 4,2025,147957,2053.17,72.06,True,0.573,0.427,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 5,2025,243615,2948.55,82.62,True,0.622,0.378,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 6,2025,111086,5669.83,19.59,True,0.543,0.457,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 7,2025,146218,6749.96,21.66,True,0.536,0.464,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 8,2025,362024,1759.93,205.7,True,0.515,0.485,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 9,2025,761290,177.17,4297.01,True,0.644,0.356,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 10,2025,541779,496.92,1090.26,True,0.476,0.524,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 11,2025,493771,1418.14,348.18,True,0.462,0.538,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 12,2025,124475,759.45,163.9,True,0.612,0.388,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 13,2025,74956,5254.01,14.27,True,0.599,0.401,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 14,2025,91116,2202.68,41.37,True,0.573,0.427,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 15,2025,1029203,1728.83,595.32,True,0.551,0.449,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 16,2025,555144,440.51,1260.24,True,0.582,0.418,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 17,2025,18997,9024.8,2.1,True,0.531,0.469,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 18,2025,98548,1304.25,75.56,True,0.559,0.441,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 19,2025,911186,2982.49,305.51,True,0.464,0.536,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bauchi,Bauchi LGA 20,2025,145269,455.49,318.93,True,0.571,0.429,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 1,2025,590060,211.44,2790.7,True,0.587,0.413,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 2,2025,473251,1143.3,413.94,True,0.617,0.383,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 3,2025,11095,1475.89,7.52,True,0.54,0.46,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 4,2025,398139,318.89,1248.52,True,0.594,0.406,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 5,2025,166306,3452.37,48.17,True,0.635,0.365,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 6,2025,64707,1077.09,60.08,True,0.638,0.362,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 7,2025,33601,758.27,44.31,True,0.601,0.399,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Bayelsa,Bayelsa LGA 8,2025,451229,2335.75,193.18,True,0.656,0.344,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 1,2025,43769,223.56,195.78,True,0.462,0.538,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 2,2025,650578,2678.68,242.87,True,0.418,0.582,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 3,2025,94587,302.54,312.64,True,0.492,0.508,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 4,2025,243271,3105.14,78.34,True,0.492,0.508,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 5,2025,692789,25.52,27144.39,True,0.506,0.494,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 6,2025,48302,722.17,66.88,True,0.523,0.477,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 7,2025,77375,1520.7,50.88,True,0.383,0.617,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 8,2025,415534,1515.06,274.27,True,0.469,0.531,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 9,2025,335916,2956.43,113.62,True,0.569,0.431,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 10,2025,525317,2405.04,218.42,True,0.537,0.463,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 11,2025,328480,297.14,1105.46,True,0.519,0.481,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 12,2025,302039,3465.99,87.14,True,0.382,0.618,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 13,2025,32420,126.59,256.1,True,0.524,0.476,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 14,2025,28290,3819.54,7.41,True,0.455,0.545,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 15,2025,138771,1734.55,80.0,True,0.438,0.562,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 16,2025,616237,1714.2,359.49,True,0.506,0.494,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 17,2025,533106,441.08,1208.64,True,0.461,0.539,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 18,2025,110378,2210.82,49.93,True,0.49,0.51,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 19,2025,381030,1693.54,224.99,True,0.484,0.516,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 20,2025,319515,1634.08,195.53,True,0.52,0.48,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 21,2025,36274,360.8,100.54,True,0.541,0.459,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 22,2025,17331,86.99,199.22,True,0.523,0.477,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Benue,Benue LGA 23,2025,593856,1018.84,582.88,True,0.462,0.538,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 1,2025,115009,2100.35,54.76,True,0.475,0.525,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 2,2025,225976,1152.77,196.03,True,0.516,0.484,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 3,2025,82437,97.82,842.76,True,0.519,0.481,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 4,2025,404526,1584.84,255.25,True,0.388,0.612,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 5,2025,11504,1490.15,7.72,True,0.43,0.57,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 6,2025,17286,487.9,35.43,True,0.454,0.546,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 7,2025,217704,1103.36,197.31,True,0.425,0.575,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 8,2025,228665,643.87,355.14,True,0.35,0.65,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 9,2025,92575,8835.58,10.48,True,0.449,0.551,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 10,2025,42365,704.92,60.1,True,0.481,0.519,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 11,2025,343002,5932.92,57.81,True,0.398,0.602,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 12,2025,227450,6493.0,35.03,True,0.441,0.559,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 13,2025,604691,10737.66,56.31,True,0.479,0.521,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 14,2025,708345,6583.15,107.6,True,0.484,0.516,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 15,2025,340155,1233.07,275.86,True,0.437,0.563,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 16,2025,56418,525.7,107.32,True,0.508,0.492,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 17,2025,814709,1681.92,484.39,True,0.431,0.569,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 18,2025,594803,1048.07,567.52,True,0.447,0.553,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 19,2025,169622,1174.45,144.43,True,0.471,0.529,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 20,2025,17220,2540.74,6.78,True,0.492,0.508,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 21,2025,16260,412.26,39.44,True,0.569,0.431,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 22,2025,158263,220.04,719.24,True,0.44,0.56,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 23,2025,267208,6712.27,39.81,True,0.52,0.48,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 24,2025,273516,1393.88,196.23,True,0.434,0.566,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 25,2025,190959,1941.71,98.35,True,0.436,0.564,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 26,2025,740878,1534.16,482.92,True,0.409,0.591,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Borno,Borno LGA 27,2025,41294,2531.44,16.31,True,0.399,0.601,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 1,2025,463464,822.51,563.48,True,0.483,0.517,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 2,2025,133047,42.83,3106.14,True,0.55,0.45,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 3,2025,198709,2623.5,75.74,True,0.502,0.498,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 4,2025,165345,1136.02,145.55,True,0.549,0.451,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 5,2025,166253,1995.29,83.32,True,0.462,0.538,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 6,2025,310177,690.56,449.17,True,0.53,0.47,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 7,2025,72488,1110.6,65.27,True,0.436,0.564,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 8,2025,243226,1069.12,227.5,True,0.548,0.452,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 9,2025,13617,1095.77,12.43,True,0.52,0.48,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 10,2025,1043740,592.78,1760.76,True,0.454,0.546,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 11,2025,64443,827.07,77.92,True,0.467,0.533,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 12,2025,167936,2013.39,83.41,True,0.524,0.476,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 13,2025,130122,343.42,378.9,True,0.588,0.412,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 14,2025,91598,976.95,93.76,True,0.53,0.47,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 15,2025,17407,2791.54,6.24,True,0.442,0.558,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 16,2025,222178,703.62,315.77,True,0.619,0.381,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 17,2025,57986,340.26,170.42,True,0.471,0.529,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Cross River,Cross River LGA 18,2025,158521,980.77,161.63,True,0.547,0.453,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 1,2025,132400,935.24,141.57,True,0.574,0.426,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 2,2025,314804,125.98,2498.77,True,0.625,0.375,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 3,2025,42498,272.89,155.73,True,0.572,0.428,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 4,2025,132047,986.82,133.81,True,0.607,0.393,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 5,2025,59204,437.81,135.23,True,0.638,0.362,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 6,2025,408786,1866.21,219.05,True,0.694,0.306,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 7,2025,431104,899.38,479.34,True,0.601,0.399,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 8,2025,124390,1514.49,82.13,True,0.587,0.413,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 9,2025,17578,282.8,62.16,True,0.563,0.437,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
Delta,Delta LGA 10,2025,202145,2004.99,100.82,True,0.542,0.458,Fabricated LGA name,NBS/NPCom (fabricated synthesis),True
