firm_id,state,geo_political_zone,location_type,industry_code,industry_name,firm_age_years,num_employees,annual_turnover_naira,legal_structure,owner_age,owner_gender,owner_education,field_of_study,prior_entrepreneurial_exp,digital_literacy_score,digital_tools_computers,digital_tools_accounting_software,digital_tools_crm,digital_tools_ecommerce,digital_tools_cloud_computing,digital_tools_social_media,advanced_tech_ai_ml,advanced_tech_iot,advanced_tech_blockchain,advanced_tech_robotics,website_presence,social_media_presence,online_payments,new_production_methods,supply_chain_software,inventory_management,new_support_processes,new_products_services_3yrs,frequency_new_launches,product_improvement_efforts,revenue_model_changes,value_proposition_changes,customer_engagement_changes,competitive_pressure,customer_demand_innovation,management_innovation_attitude,access_to_credit,cost_of_innovation,internal_capital_sufficiency,skilled_employee_availability,training_costs,management_capability,electricity_reliability,internet_quality_cost,logistics_transportation,regulatory_burden,corruption_informal_charges,govt_support_effectiveness,competition_intensity,demand_uncertainty,international_market_access,profitability_growth_3yrs,sales_growth_3yrs,market_share_growth_3yrs,roi_satisfaction,overall_performance_satisfaction,annual_turnover_growth_pct,profit_margin_pct,employee_growth_pct,new_branches_3yrs,product_line_increase,service_quality_improvement,customer_satisfaction_improvement,innovation_composite_score,constraint_composite_score,performance_composite_score
SME_0033,Kano,North West,Rural,R93,Sports and Recreation,4,6,11902858,Limited Liability Company,30,Female,Secondary Education,Medicine/Health,0,5,3,1,2,2,2,4,1,1,1,1,4,4,5,4,3,4,4,3,3,4,2,3,3,3,4,3,3,4,3,3,4,3,5,4,4,4,4,2,5,5,5,2,2,3,3,3,,8.7,-1.2,0,3,3,3,2.6,3.6666666666666665,2.3333333333333335
SME_0034,Kano,North West,Rural,A01,"Agriculture, Forestry and Fishing",11,3,2299098,Partnership,43,Male,OND/NCE,Economics/Finance,1,5,3,2,3,2,3,2,2,3,2,3,2,2,2,3,2,3,2,3,4,3,1,1,2,3,3,3,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,1,1,1,1,1,,,-14.2,0,1,1,2,2.8,5.0,1.0
SME_0035,Niger,North Central,Rural,H49,Transportation and Storage,1,22,43700276,Limited Liability Company,25,Male,Primary Education,Law,0,5,2,2,2,1,2,2,1,2,1,1,3,3,2,4,5,4,4,2,2,2,3,3,3,4,3,3,4,3,2,3,3,3,4,4,5,3,3,4,2,2,1,2,2,2,2,2,-10.2,12.1,19.1,0,2,2,2,2.4,3.6666666666666665,2.0
SME_0036,Rivers,South South,Urban,A01,"Agriculture, Forestry and Fishing",6,9,4623503,Partnership,55,Male,Secondary Education,Agriculture,1,3,2,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,2,3,3,3,1,1,2,2,2,1,3,3,3,3,3,4,3,3,4,3,3,2,2,2,2,2,3,4,3,2,,,,0,2,3,3,1.8,3.0,2.3333333333333335
SME_0037,Anambra,South East,Urban,C10,Food Products Manufacturing,2,7,6162272,Limited Liability Company,54,Male,Secondary Education,Business/Management,1,6,5,4,4,5,5,5,2,1,1,2,3,3,3,3,4,4,5,3,4,3,4,3,3,3,3,3,4,3,1,3,3,2,3,3,2,5,4,3,3,2,3,4,3,4,3,3,9.9,,11.7,0,5,5,4,3.8,3.3333333333333335,3.3333333333333335
SME_0038,Plateau,North Central,Rural,G47,Retail Trade,6,11,6271889,Limited Liability Company,47,Female,Secondary Education,Education,0,6,3,2,2,3,3,2,1,1,1,2,2,3,3,4,3,4,2,3,2,2,2,1,1,2,1,1,4,3,5,2,3,4,5,4,5,3,2,3,5,4,4,3,2,2,3,2,0.9,5.5,1.1,0,1,1,1,2.8,3.6666666666666665,2.3333333333333335
SME_0039,Imo,South East,Urban,G47,Retail Trade,5,1,816846,Limited Liability Company,51,Male,Secondary Education,Medicine/Health,0,5,1,2,1,2,1,2,3,3,2,3,4,3,4,3,3,3,2,1,1,1,1,1,1,3,3,2,3,4,3,4,3,4,4,3,4,3,3,3,4,4,3,1,2,1,2,1,6.0,-2.9,-1.8,0,2,1,1,1.6,3.6666666666666665,1.3333333333333333
SME_0040,Osun,South West,Urban,C20,Chemical Products Manufacturing,2,59,136447462,Partnership,42,Female,OND/NCE,Education,1,5,3,2,2,3,2,2,2,2,2,2,3,2,3,2,2,3,3,4,4,3,2,2,2,4,3,5,2,2,3,3,2,3,3,3,2,2,1,2,3,3,2,3,4,4,4,3,17.1,17.4,26.2,0,3,4,4,2.6,2.6666666666666665,3.3333333333333335
SME_0041,Taraba,North East,Urban,C25,Metal Products Manufacturing,4,7,12455705,Partnership,47,Female,HND/Bachelor,Law,0,6,3,2,3,4,4,3,1,2,1,1,3,4,4,3,4,3,3,4,3,5,2,3,3,5,4,5,5,4,4,3,3,3,3,2,3,5,4,2,3,4,4,4,3,4,4,3,-7.7,22.1,18.0,0,3,3,3,3.0,3.6666666666666665,3.3333333333333335
SME_0042,Sokoto,North West,Rural,A01,"Agriculture, Forestry and Fishing",2,1,1167837,Partnership,26,Female,Secondary Education,Agriculture,0,6,3,3,3,3,3,3,2,1,1,1,2,3,3,2,1,2,1,2,2,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,1,1,1,1,,1.9,-15.6,0,1,1,1,2.6,4.333333333333333,1.0
SME_0043,Rivers,South South,Urban,C25,Metal Products Manufacturing,15,24,34718368,Limited Liability Company,58,Male,Primary Education,Economics/Finance,1,1,1,1,1,2,1,2,1,1,1,1,2,2,3,2,2,1,2,1,3,1,1,2,1,2,2,2,3,3,2,3,2,4,5,3,4,3,2,2,2,3,1,1,2,1,1,1,5.0,,25.1,0,2,2,2,1.2,3.6666666666666665,1.3333333333333333
SME_0044,Ondo,South West,Urban,Q86,Health Services,7,3,3812849,Sole Proprietorship,36,Male,HND/Bachelor,Medicine/Health,1,5,3,3,2,3,3,3,2,3,4,3,3,1,2,2,1,3,2,2,3,2,1,1,2,4,4,4,5,4,4,2,3,2,5,5,5,5,3,3,5,3,4,2,1,2,3,2,,,-15.4,0,1,2,2,2.4,4.0,1.6666666666666667
SME_0045,Sokoto,North West,Rural,P85,Education Services,16,20,31261128,Partnership,40,Male,HND/Bachelor,Other,1,6,3,3,2,2,2,2,2,1,2,1,3,3,3,3,3,3,4,3,4,2,3,3,3,5,5,5,4,4,5,5,4,5,4,5,5,3,4,5,5,4,4,2,2,3,2,2,-15.9,5.1,-29.9,0,1,1,1,2.8,4.333333333333333,2.0
SME_0046,Ondo,South West,Urban,F41,Construction,2,8,8690002,Partnership,70,Female,Master,Law,1,6,4,4,4,4,4,4,4,5,4,5,4,4,4,4,3,4,4,3,3,2,2,2,2,5,5,3,3,4,4,1,3,2,2,4,3,3,3,4,2,3,2,4,3,4,3,4,22.1,,-8.1,0,4,3,3,3.8,2.0,3.6666666666666665
SME_0047,Ekiti,South West,Urban,H49,Transportation and Storage,1,1,1761962,Sole Proprietorship,39,Male,Secondary Education,Computer Science/IT,0,4,2,2,2,2,2,2,2,3,1,2,3,4,3,3,4,4,3,3,4,3,2,2,3,2,3,2,3,3,4,4,4,3,5,4,4,4,4,5,4,4,5,3,2,3,2,3,,9.3,9.5,0,2,2,2,2.4,4.0,2.6666666666666665
SME_0048,Katsina,North West,Urban,N77,Rental and Leasing,6,9,13642066,Sole Proprietorship,50,Male,HND/Bachelor,Sciences,0,5,2,3,3,2,2,2,2,2,2,2,2,3,3,5,4,3,3,2,3,3,3,2,4,3,2,3,5,4,5,5,5,4,5,5,5,4,5,4,4,4,5,2,2,2,2,2,-4.9,10.1,-14.3,0,1,2,2,3.0,5.0,2.0
SME_0049,Sokoto,North West,Rural,A01,"Agriculture, Forestry and Fishing",6,8,8661559,Sole Proprietorship,48,Male,OND/NCE,Law,1,6,4,4,3,3,3,3,1,1,1,2,2,2,2,3,2,3,2,1,2,2,2,2,2,2,1,1,4,4,4,4,5,5,5,5,5,4,4,3,5,5,5,2,2,1,1,1,-9.9,6.1,-16.5,0,1,2,1,3.0,4.333333333333333,1.6666666666666667
SME_0050,Kebbi,North West,Rural,K64,Financial Services,8,23,59979583,Limited Liability Company,26,Female,OND/NCE,Agriculture,1,6,5,5,4,4,5,4,2,3,2,3,3,3,1,4,4,4,4,5,3,4,4,4,4,5,4,5,4,3,4,3,3,5,5,5,4,3,3,4,3,4,4,5,5,4,4,5,,15.8,42.7,5,3,3,3,4.6,4.0,5.0
SME_0051,Zamfara,North West,Urban,P85,Education Services,8,12,21934121,Partnership,30,Female,Master,Sciences,1,7,3,4,4,3,4,4,4,4,4,4,5,3,4,5,4,5,5,2,3,2,3,3,2,5,4,4,5,5,4,4,3,4,4,5,2,2,3,4,3,4,4,3,3,3,3,3,,,-4.3,0,2,1,2,3.6,4.333333333333333,3.0
SME_0052,Adamawa,North East,Rural,A01,"Agriculture, Forestry and Fishing",15,2,1229230,Sole Proprietorship,66,Male,Secondary Education,Agriculture,0,5,2,3,2,3,2,2,2,1,2,1,3,2,2,2,2,3,1,2,1,1,1,2,2,3,3,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,1,1,1,1,1,8.3,9.6,-30.0,0,1,2,1,2.2,5.0,1.0
SME_0053,Benue,North Central,Rural,C10,Food Products Manufacturing,8,20,21434429,Partnership,48,Male,OND/NCE,Engineering,0,5,3,2,2,2,3,2,1,1,1,1,3,4,3,2,1,2,2,3,4,4,1,1,2,2,2,2,3,3,4,3,3,3,5,5,5,3,2,2,4,4,3,2,1,1,2,1,,8.3,2.1,0,2,1,2,2.4,3.6666666666666665,1.3333333333333333
SME_0054,Kaduna,North West,Rural,Q86,Health Services,1,4,6665855,Sole Proprietorship,41,Male,Secondary Education,Medicine/Health,0,5,3,2,2,3,3,3,3,3,2,2,1,1,1,2,2,2,3,3,3,3,3,2,2,3,3,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,2,2,2,1,2,2.9,-5.0,-7.2,0,1,1,1,2.4,5.0,2.0
SME_0055,Abuja,North Central,Urban,H49,Transportation and Storage,1,41,50804057,Limited Liability Company,35,Male,Secondary Education,Medicine/Health,1,6,2,2,2,1,2,2,3,3,2,3,3,3,2,2,3,3,2,4,3,4,3,3,3,3,3,3,3,3,4,3,1,2,2,2,3,3,2,3,2,2,3,3,3,3,2,3,,22.6,7.3,0,3,2,3,2.4,2.6666666666666665,3.0
SME_0056,Ondo,South West,Urban,A01,"Agriculture, Forestry and Fishing",16,5,6418373,Sole Proprietorship,45,Female,HND/Bachelor,Agriculture,0,5,2,2,1,1,2,1,2,3,3,2,4,4,4,3,4,3,3,2,2,2,3,4,3,2,1,3,4,4,2,3,3,4,3,2,2,5,5,4,3,4,5,3,2,2,2,1,-16.6,,-14.9,0,2,2,3,2.0,3.3333333333333335,2.0
SME_0057,Jigawa,North West,Rural,C20,Chemical Products Manufacturing,4,5,7137192,Partnership,46,Female,Primary Education,Economics/Finance,0,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,4,3,4,1,1,1,3,3,3,3,4,5,4,4,5,5,5,5,5,5,5,5,4,5,2,1,1,1,1,,-3.5,-8.7,0,1,1,1,2.0,4.0,1.3333333333333333
SME_0058,Edo,South South,Urban,G47,Retail Trade,11,3,2845787,Sole Proprietorship,44,Male,OND/NCE,Computer Science/IT,1,5,3,4,3,3,3,3,2,1,2,2,1,1,1,3,3,3,3,2,2,2,1,1,1,2,3,2,3,3,3,5,5,5,4,5,4,5,4,3,4,5,4,1,1,2,2,1,-21.4,5.3,2.0,0,2,2,2,3.0,4.0,1.0
SME_0059,Ondo,South West,Urban,I56,Food and Beverage Services,2,4,5865931,Limited Liability Company,54,Male,OND/NCE,Agriculture,1,4,2,1,2,2,1,1,3,2,2,2,4,4,4,3,2,3,2,1,2,1,3,2,2,2,1,1,5,4,4,3,3,2,5,5,5,4,4,3,4,3,2,1,1,1,1,1,-22.4,,-26.6,0,1,1,1,1.8,4.333333333333333,1.0
SME_0060,Jigawa,North West,Rural,J62,IT Services,7,3,5384499,Sole Proprietorship,31,Female,HND/Bachelor,Sciences,1,8,3,5,4,4,4,4,2,2,1,3,5,5,5,3,5,4,4,4,4,4,3,2,3,5,4,5,5,4,3,5,4,5,5,5,4,5,5,4,5,4,5,2,2,2,3,2,4.1,10.4,1.7,0,3,2,2,3.8,5.0,2.0
SME_0061,Katsina,North West,Rural,R93,Sports and Recreation,2,23,29306298,Limited Liability Company,29,Female,Secondary Education,Education,1,6,4,3,4,2,4,2,1,1,1,2,1,3,2,5,5,5,4,3,2,2,3,3,3,4,3,3,2,2,4,4,4,3,4,4,4,4,5,4,2,5,5,2,3,3,3,3,,,26.7,0,2,1,2,3.8,3.3333333333333335,2.6666666666666665
SME_0062,Zamfara,North West,Urban,C25,Metal Products Manufacturing,1,1,999145,Sole Proprietorship,54,Female,No Formal Education,Education,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,5,3,5,5,5,3,5,5,5,5,5,5,5,5,4,1,2,2,2,2,-19.5,,-18.7,0,1,2,2,1.0,5.0,1.6666666666666667
SME_0063,Ondo,South West,Urban,H49,Transportation and Storage,10,16,14640078,Limited Liability Company,67,Female,HND/Bachelor,Medicine/Health,0,6,3,4,3,3,3,4,2,3,2,2,4,3,3,2,5,4,3,2,1,1,3,3,4,3,3,3,2,2,4,1,2,2,2,2,3,3,3,4,2,2,3,3,4,4,4,4,-34.0,,14.5,0,3,3,2,2.8,1.6666666666666667,3.6666666666666665
SME_0064,Cross River,South South,Urban,H49,Transportation and Storage,1,16,23742769,Partnership,52,Male,OND/NCE,Economics/Finance,1,5,3,2,3,3,3,2,1,2,2,2,2,2,2,3,3,3,3,4,4,3,1,1,1,2,3,3,3,3,2,2,2,4,2,2,2,4,3,1,4,2,3,2,2,2,1,1,16.9,19.3,,2,3,4,4,3.0,2.3333333333333335,1.6666666666666667
