respondent_id,stakeholder_type,state,lga,industry_type,awareness_score_1_5,acceptance_score_1_5,perceived_benefits,perceived_risks,capex_concern_1_5,opex_concern_1_5,reliability_concern_1_5,regulatory_barrier_score_1_5,familiar_with_gas_price_volatility,prefer_grid_integration,prefer_isolated_minigrid,purchase_intent_0_1,comment,source,is_fabricated
R00017,Industrial Manager,Gombe,Gombe LGA 7,Food Processing,3,3,Lower OPEX,Regulatory Risk,4,3,4,3,False,False,False,0,,Primary (synthetic),True
R00018,Policymaker,Imo,Imo LGA 4,Food Processing,5,2,Scalable,Regulatory Risk,4,2,3,3,True,True,False,0,,Primary (synthetic),True
R00019,Industrial Manager,Osun,Osun LGA 19,Cement,5,2,Lower OPEX,Capex,2,4,3,2,True,False,True,0,,Primary (synthetic),True
R00020,Industrial Manager,Benue,Benue LGA 22,FMCG,3,3,Scalable,Gas Price Volatility,4,4,3,4,True,True,False,0,,Primary (synthetic),True
R00021,DisCo Official,Ondo,Ondo LGA 4,FMCG,2,3,Reliability,Regulatory Risk,3,3,3,3,True,True,False,1,,Primary (synthetic),True
R00022,Policymaker,Kwara,Kwara LGA 14,Automotive,3,3,Lower Emissions,Maintenance,4,3,2,3,True,True,False,0,,Primary (synthetic),True
R00023,Policymaker,Delta,Delta LGA 5,Oil & Gas Services,3,2,Reliability,Regulatory Risk,4,3,3,3,False,False,True,0,,Primary (synthetic),True
R00024,Community Leader,Kwara,Kwara LGA 7,Food Processing,3,2,Lower Emissions,Regulatory Risk,3,2,4,3,True,True,False,0,,Primary (synthetic),True
R00025,DisCo Official,Katsina,Katsina LGA 27,Textile,4,4,Reliability,Capex,4,2,4,2,False,True,False,0,,Primary (synthetic),True
R00026,Community Leader,Kogi,Kogi LGA 13,Retail,4,5,Lower Emissions,Capex,3,3,4,3,True,False,False,1,,Primary (synthetic),True
R00027,Community Leader,Akwa Ibom,Akwa Ibom LGA 1,Food Processing,3,3,Reliability,Gas Price Volatility,3,3,3,3,True,True,False,1,,Primary (synthetic),True
R00028,Investor,Benue,Benue LGA 1,Textile,2,4,Lower Emissions,Technical Complexity,5,4,3,4,False,False,False,0,,Primary (synthetic),True
R00029,Industrial Manager,Ondo,Ondo LGA 3,Textile,3,2,Long Life,Technical Complexity,4,4,3,2,False,False,True,0,,Primary (synthetic),True
R00030,Investor,Yobe,Yobe LGA 10,Textile,3,3,Long Life,Technical Complexity,4,1,5,1,False,False,False,0,,Primary (synthetic),True
R00031,Engineer,Bauchi,Bauchi LGA 6,Retail,3,1,Lower Emissions,Regulatory Risk,2,3,2,3,False,False,True,0,,Primary (synthetic),True
R00032,Policymaker,Kaduna,Kaduna LGA 19,FMCG,4,5,Long Life,Regulatory Risk,3,3,3,4,True,False,True,0,,Primary (synthetic),True
R00033,Investor,Bayelsa,Bayelsa LGA 3,Cement,3,4,Long Life,Capex,3,3,2,3,True,True,False,1,,Primary (synthetic),True
R00034,DisCo Official,Rivers,Rivers LGA 11,Retail,4,3,Scalable,Regulatory Risk,3,3,4,3,True,True,False,1,,Primary (synthetic),True
R00035,Industrial Manager,Kaduna,Kaduna LGA 8,Cement,3,3,Lower Emissions,Technical Complexity,3,3,3,4,False,False,False,0,,Primary (synthetic),True
R00036,Industrial Manager,Yobe,Yobe LGA 9,Oil & Gas Services,3,4,Lower OPEX,Capex,5,3,4,2,False,False,False,0,,Primary (synthetic),True
R00037,Community Leader,Niger,Niger LGA 8,Food Processing,2,3,Lower OPEX,Maintenance,4,1,3,2,False,True,False,0,,Primary (synthetic),True
R00038,Policymaker,Ogun,Ogun LGA 7,Automotive,3,3,Long Life,Maintenance,4,4,3,4,True,True,False,0,,Primary (synthetic),True
R00039,Investor,Niger,Niger LGA 25,Oil & Gas Services,3,3,Lower Emissions,Regulatory Risk,4,1,4,5,False,False,False,0,,Primary (synthetic),True
R00040,Community Leader,Niger,Niger LGA 13,Retail,4,3,Lower Emissions,Gas Price Volatility,2,3,4,3,True,False,True,1,,Primary (synthetic),True
R00041,Community Leader,Rivers,Rivers LGA 1,Food Processing,5,4,Lower OPEX,Maintenance,3,3,3,3,True,True,False,1,,Primary (synthetic),True
R00042,Community Leader,Ogun,Ogun LGA 13,Cement,4,3,Reliability,Maintenance,3,2,4,3,True,False,True,1,,Primary (synthetic),True
R00043,Engineer,FCT,Bwari,Food Processing,2,3,Long Life,Regulatory Risk,3,3,3,3,False,True,False,1,,Primary (synthetic),True
R00044,Policymaker,FCT,Gwagwalada,Automotive,2,3,Lower Emissions,Capex,3,4,2,3,False,False,True,1,,Primary (synthetic),True
R00045,Engineer,Imo,Imo LGA 6,Retail,1,3,Reliability,Technical Complexity,4,4,1,4,True,False,True,0,,Primary (synthetic),True
R00046,Policymaker,Bauchi,Bauchi LGA 7,Retail,4,3,Lower Emissions,Capex,4,3,4,4,True,True,False,0,,Primary (synthetic),True
R00047,Policymaker,Sokoto,Sokoto LGA 2,FMCG,4,3,Long Life,Gas Price Volatility,3,2,3,1,True,True,False,1,,Primary (synthetic),True
R00048,Academic,Cross River,Cross River LGA 11,Automotive,3,3,Lower Emissions,Technical Complexity,3,3,4,3,True,True,False,1,,Primary (synthetic),True
R00049,DisCo Official,Benue,Benue LGA 6,Cement,2,2,Lower Emissions,Technical Complexity,4,3,3,3,True,True,False,0,,Primary (synthetic),True
R00050,Policymaker,Yobe,Yobe LGA 7,FMCG,4,1,Lower Emissions,Capex,2,2,4,3,True,True,False,0,,Primary (synthetic),True
R00051,Community Leader,Nasarawa,Nasarawa LGA 13,Food Processing,3,3,Reliability,Gas Price Volatility,4,3,4,3,True,False,False,0,,Primary (synthetic),True
R00052,Community Leader,Ebonyi,Ebonyi LGA 12,FMCG,3,3,Scalable,Capex,3,4,3,4,False,True,False,0,,Primary (synthetic),True
R00053,DisCo Official,Enugu,Enugu LGA 4,Hospitality,3,3,Lower Emissions,Regulatory Risk,3,4,3,3,True,True,False,1,,Primary (synthetic),True
R00054,DisCo Official,Enugu,Enugu LGA 14,Automotive,3,2,Lower OPEX,Regulatory Risk,1,2,3,3,True,False,True,0,,Primary (synthetic),True
R00055,Community Leader,Cross River,Cross River LGA 11,Hospitality,4,2,Scalable,Technical Complexity,3,3,4,3,True,False,True,0,,Primary (synthetic),True
R00056,Investor,Adamawa,Adamawa LGA 20,Cement,3,4,Lower Emissions,Technical Complexity,3,2,4,3,True,True,False,1,,Primary (synthetic),True
R00057,Academic,Akwa Ibom,Akwa Ibom LGA 8,Automotive,3,2,Long Life,Maintenance,3,4,3,2,False,True,False,0,,Primary (synthetic),True
R00058,Community Leader,Kogi,Kogi LGA 11,Food Processing,1,2,Scalable,Capex,3,2,3,2,True,True,False,0,,Primary (synthetic),True
R00059,Investor,Abia,Abia LGA 3,Automotive,4,3,Scalable,Regulatory Risk,3,2,3,3,False,False,True,1,,Primary (synthetic),True
R00060,Academic,Bayelsa,Bayelsa LGA 7,Automotive,3,4,Long Life,Technical Complexity,3,3,3,4,True,False,True,0,,Primary (synthetic),True
R00061,Policymaker,Lagos,Kosofe,Textile,3,4,Long Life,Gas Price Volatility,3,2,4,5,False,True,False,0,,Primary (synthetic),True
R00062,Engineer,Bayelsa,Bayelsa LGA 5,Textile,3,3,Long Life,Gas Price Volatility,3,3,3,4,True,False,True,0,,Primary (synthetic),True
R00063,Industrial Manager,Ekiti,Ekiti LGA 1,Hospitality,1,3,Scalable,Gas Price Volatility,5,2,2,4,True,True,False,0,,Primary (synthetic),True
R00064,Engineer,Borno,Borno LGA 13,Textile,3,3,Long Life,Maintenance,3,5,3,2,False,False,False,1,,Primary (synthetic),True
R00065,Policymaker,Imo,Imo LGA 8,FMCG,4,2,Scalable,Capex,3,3,3,3,False,True,False,0,,Primary (synthetic),True
R00066,Engineer,Imo,Imo LGA 20,Textile,5,3,Lower OPEX,Regulatory Risk,2,1,2,4,False,False,True,0,,Primary (synthetic),True
R00067,Academic,Ondo,Ondo LGA 9,Oil & Gas Services,2,2,Lower OPEX,Gas Price Volatility,4,2,3,2,False,False,True,0,,Primary (synthetic),True
R00068,Academic,Delta,Delta LGA 9,Food Processing,4,2,Lower OPEX,Capex,2,5,3,3,True,False,False,0,,Primary (synthetic),True
R00069,DisCo Official,Ebonyi,Ebonyi LGA 3,Textile,3,2,Reliability,Technical Complexity,4,5,2,3,True,True,False,0,,Primary (synthetic),True
R00070,Investor,Ekiti,Ekiti LGA 9,Retail,1,3,Lower OPEX,Maintenance,4,4,3,3,True,True,False,0,,Primary (synthetic),True
R00071,Policymaker,Imo,Imo LGA 16,Cement,4,3,Reliability,Regulatory Risk,4,2,3,3,False,True,False,0,,Primary (synthetic),True
R00072,Policymaker,Taraba,Taraba LGA 9,Automotive,3,1,Reliability,Maintenance,3,4,3,4,False,True,False,0,,Primary (synthetic),True
R00073,Investor,Anambra,Anambra LGA 12,Hospitality,3,3,Lower OPEX,Regulatory Risk,4,2,4,1,True,True,False,0,,Primary (synthetic),True
R00074,Policymaker,Imo,Imo LGA 12,Automotive,2,3,Lower Emissions,Gas Price Volatility,4,3,4,3,False,False,False,0,,Primary (synthetic),True
R00075,Policymaker,Gombe,Gombe LGA 10,Retail,3,1,Lower OPEX,Capex,2,4,4,3,True,True,False,0,,Primary (synthetic),True
R00076,Engineer,Delta,Delta LGA 17,FMCG,4,4,Reliability,Capex,3,4,1,3,False,True,False,1,,Primary (synthetic),True
R00077,Community Leader,Yobe,Yobe LGA 8,Food Processing,4,5,Lower Emissions,Capex,3,2,3,3,False,True,False,1,,Primary (synthetic),True
R00078,Policymaker,Jigawa,Jigawa LGA 22,Cement,2,1,Reliability,Regulatory Risk,3,2,3,2,False,False,False,0,,Primary (synthetic),True
R00079,Academic,Nasarawa,Nasarawa LGA 12,Retail,2,1,Lower Emissions,Gas Price Volatility,4,3,3,4,True,True,False,0,,Primary (synthetic),True
R00080,Engineer,Ekiti,Ekiti LGA 4,Hospitality,3,3,Reliability,Capex,2,4,3,4,False,True,False,0,,Primary (synthetic),True
R00081,Engineer,Lagos,Apapa,Food Processing,4,3,Reliability,Capex,4,2,3,2,False,True,False,0,,Primary (synthetic),True
R00082,Academic,Kano,Kano LGA 10,FMCG,2,2,Long Life,Technical Complexity,4,3,5,3,True,False,True,0,,Primary (synthetic),True
R00083,Investor,Kogi,Kogi LGA 5,Food Processing,4,1,Long Life,Capex,3,4,4,2,True,False,False,0,,Primary (synthetic),True
R00084,Engineer,Ebonyi,Ebonyi LGA 1,Retail,2,4,Lower Emissions,Maintenance,5,3,2,4,False,True,False,0,,Primary (synthetic),True
R00085,Industrial Manager,Zamfara,Zamfara LGA 7,Textile,2,4,Reliability,Regulatory Risk,3,3,4,3,True,False,True,1,,Primary (synthetic),True
R00086,Community Leader,Delta,Delta LGA 7,Food Processing,3,3,Reliability,Capex,3,2,2,1,False,True,False,1,,Primary (synthetic),True
R00087,Industrial Manager,Ebonyi,Ebonyi LGA 1,Hospitality,4,3,Reliability,Capex,5,4,2,2,True,True,False,0,,Primary (synthetic),True
R00088,DisCo Official,Niger,Niger LGA 16,Textile,2,2,Long Life,Maintenance,3,1,2,2,False,True,False,0,,Primary (synthetic),True
R00089,Industrial Manager,Abia,Abia LGA 4,Cement,4,4,Long Life,Maintenance,4,2,1,2,False,True,False,0,,Primary (synthetic),True
R00090,Policymaker,Edo,Edo LGA 13,Retail,3,3,Long Life,Gas Price Volatility,3,4,4,2,True,False,False,1,,Primary (synthetic),True
R00091,Industrial Manager,Taraba,Taraba LGA 16,Cement,3,2,Lower OPEX,Regulatory Risk,3,2,4,2,True,True,False,0,,Primary (synthetic),True
R00092,Engineer,Akwa Ibom,Akwa Ibom LGA 5,Food Processing,3,2,Lower Emissions,Maintenance,3,4,4,3,False,True,False,0,,Primary (synthetic),True
R00093,DisCo Official,Abia,Abia LGA 8,FMCG,4,2,Lower Emissions,Regulatory Risk,3,2,2,3,False,False,False,0,,Primary (synthetic),True
R00094,Academic,Sokoto,Sokoto LGA 7,Cement,3,3,Reliability,Regulatory Risk,4,3,3,3,True,False,True,0,,Primary (synthetic),True
R00095,Engineer,Ondo,Ondo LGA 3,Oil & Gas Services,3,4,Reliability,Regulatory Risk,4,4,4,3,True,False,True,0,,Primary (synthetic),True
R00096,Engineer,Ekiti,Ekiti LGA 12,Textile,2,3,Lower OPEX,Maintenance,4,3,4,3,True,True,False,0,,Primary (synthetic),True
R00097,Industrial Manager,Zamfara,Zamfara LGA 7,Hospitality,2,2,Lower OPEX,Gas Price Volatility,3,3,4,3,True,False,True,0,,Primary (synthetic),True
R00098,Community Leader,Benue,Benue LGA 4,Oil & Gas Services,2,2,Lower Emissions,Regulatory Risk,4,3,2,3,True,True,False,0,,Primary (synthetic),True
R00099,Community Leader,Kebbi,Kebbi LGA 13,Hospitality,4,2,Scalable,Technical Complexity,3,2,4,2,True,False,False,0,,Primary (synthetic),True
R00100,Policymaker,Cross River,Cross River LGA 5,Oil & Gas Services,4,3,Long Life,Technical Complexity,4,3,3,4,True,True,False,0,,Primary (synthetic),True
R00101,DisCo Official,Oyo,Oyo LGA 33,Oil & Gas Services,4,3,Lower OPEX,Maintenance,3,1,3,4,True,True,False,0,,Primary (synthetic),True
R00102,Industrial Manager,Bayelsa,Bayelsa LGA 2,Food Processing,4,3,Lower OPEX,Capex,4,3,2,3,False,False,True,0,,Primary (synthetic),True
R00103,Academic,Rivers,Rivers LGA 17,Cement,2,4,Lower Emissions,Technical Complexity,4,2,3,2,False,False,False,0,,Primary (synthetic),True
R00104,Engineer,Taraba,Taraba LGA 2,Automotive,4,2,Reliability,Regulatory Risk,4,2,3,3,True,True,False,0,,Primary (synthetic),True
R00105,Community Leader,Rivers,Rivers LGA 13,Hospitality,4,3,Lower Emissions,Maintenance,3,1,4,2,True,True,False,1,,Primary (synthetic),True
R00106,Community Leader,Abia,Abia LGA 13,Oil & Gas Services,5,2,Long Life,Gas Price Volatility,2,3,5,2,True,False,True,0,,Primary (synthetic),True
R00107,Industrial Manager,Kwara,Kwara LGA 4,Hospitality,3,2,Scalable,Technical Complexity,3,3,3,3,True,False,True,0,,Primary (synthetic),True
R00108,Policymaker,Jigawa,Jigawa LGA 8,Retail,2,3,Long Life,Technical Complexity,4,2,3,5,True,False,True,0,,Primary (synthetic),True
R00109,Community Leader,Ekiti,Ekiti LGA 4,Oil & Gas Services,4,3,Long Life,Maintenance,3,1,3,3,True,True,False,1,,Primary (synthetic),True
R00110,Academic,Rivers,Rivers LGA 22,Textile,3,4,Long Life,Technical Complexity,4,2,5,2,True,True,False,0,,Primary (synthetic),True
R00111,Community Leader,Adamawa,Adamawa LGA 5,Hospitality,2,3,Lower OPEX,Capex,3,4,2,5,True,True,False,0,,Primary (synthetic),True
R00112,Community Leader,Bayelsa,Bayelsa LGA 7,Textile,3,2,Long Life,Technical Complexity,3,3,3,4,True,False,True,0,,Primary (synthetic),True
R00113,Community Leader,Sokoto,Sokoto LGA 20,Food Processing,4,3,Reliability,Technical Complexity,3,2,3,3,True,False,True,1,,Primary (synthetic),True
R00114,Policymaker,Anambra,Anambra LGA 13,Oil & Gas Services,2,1,Lower OPEX,Maintenance,3,4,4,3,True,True,False,0,,Primary (synthetic),True
R00115,Community Leader,Kwara,Kwara LGA 14,Hospitality,3,2,Lower Emissions,Regulatory Risk,4,3,3,4,True,True,False,0,,Primary (synthetic),True
R00116,DisCo Official,Rivers,Rivers LGA 12,Oil & Gas Services,4,4,Lower Emissions,Regulatory Risk,3,2,4,4,True,True,False,0,,Primary (synthetic),True
R00117,Engineer,Kaduna,Kaduna LGA 7,Retail,3,3,Reliability,Technical Complexity,2,2,5,4,False,False,True,0,,Primary (synthetic),True
R00118,DisCo Official,Yobe,Yobe LGA 11,Automotive,4,3,Lower Emissions,Regulatory Risk,3,3,4,4,False,False,True,0,,Primary (synthetic),True
R00119,Industrial Manager,Borno,Borno LGA 14,Automotive,1,4,Reliability,Maintenance,3,3,2,2,True,False,False,1,,Primary (synthetic),True
R00120,Policymaker,Ekiti,Ekiti LGA 13,Cement,4,4,Reliability,Gas Price Volatility,2,4,3,3,True,True,False,1,,Primary (synthetic),True
R00121,Policymaker,Abia,Abia LGA 17,Oil & Gas Services,3,3,Reliability,Maintenance,3,2,3,3,True,True,False,1,,Primary (synthetic),True
R00122,DisCo Official,Kaduna,Kaduna LGA 5,FMCG,3,2,Scalable,Maintenance,4,2,4,3,True,False,False,0,,Primary (synthetic),True
R00123,Community Leader,Jigawa,Jigawa LGA 24,Retail,3,2,Lower Emissions,Technical Complexity,4,3,4,3,True,True,False,0,,Primary (synthetic),True
R00124,Policymaker,Benue,Benue LGA 23,Oil & Gas Services,4,2,Scalable,Capex,2,2,3,4,True,True,False,0,,Primary (synthetic),True
R00125,Community Leader,Ondo,Ondo LGA 12,Automotive,3,3,Reliability,Maintenance,4,4,3,4,True,True,False,0,,Primary (synthetic),True
R00126,Academic,Edo,Edo LGA 13,Food Processing,4,3,Scalable,Technical Complexity,3,5,4,3,False,False,False,1,,Primary (synthetic),True
R00127,Industrial Manager,Nasarawa,Nasarawa LGA 7,Cement,4,1,Reliability,Regulatory Risk,3,3,3,3,True,False,False,0,,Primary (synthetic),True
R00128,Academic,Benue,Benue LGA 18,Hospitality,3,2,Lower Emissions,Maintenance,4,4,4,2,True,True,False,0,,Primary (synthetic),True
R00129,Academic,Yobe,Yobe LGA 9,Cement,4,3,Lower OPEX,Technical Complexity,3,3,4,2,True,True,False,1,,Primary (synthetic),True
R00130,Academic,Delta,Delta LGA 12,Oil & Gas Services,3,5,Reliability,Gas Price Volatility,2,4,3,3,True,False,True,1,,Primary (synthetic),True
R00131,DisCo Official,Bauchi,Bauchi LGA 20,Cement,2,4,Lower Emissions,Regulatory Risk,3,3,4,4,True,True,False,0,,Primary (synthetic),True
R00132,DisCo Official,Katsina,Katsina LGA 19,Cement,3,4,Lower OPEX,Technical Complexity,3,3,4,2,False,True,False,1,,Primary (synthetic),True
R00133,Policymaker,Delta,Delta LGA 13,Automotive,3,2,Reliability,Technical Complexity,2,3,4,4,False,True,False,0,,Primary (synthetic),True
R00134,Policymaker,Rivers,Rivers LGA 14,Retail,2,2,Scalable,Capex,4,4,4,3,True,True,False,0,,Primary (synthetic),True
R00135,Policymaker,Yobe,Yobe LGA 8,Cement,2,2,Reliability,Maintenance,2,2,3,2,True,False,True,0,,Primary (synthetic),True
R00136,Community Leader,Zamfara,Zamfara LGA 8,Cement,3,3,Reliability,Regulatory Risk,4,1,3,2,False,False,True,0,,Primary (synthetic),True
R00137,Academic,Gombe,Gombe LGA 1,Textile,4,3,Lower OPEX,Gas Price Volatility,4,4,3,2,False,True,False,0,,Primary (synthetic),True
R00138,Community Leader,Ebonyi,Ebonyi LGA 1,Hospitality,4,3,Long Life,Technical Complexity,5,3,2,4,False,False,True,0,,Primary (synthetic),True
R00139,Policymaker,Ogun,Ogun LGA 11,FMCG,3,3,Lower OPEX,Capex,3,3,3,2,False,False,False,1,,Primary (synthetic),True
R00140,Investor,Zamfara,Zamfara LGA 12,Oil & Gas Services,4,2,Scalable,Capex,3,2,4,5,False,True,False,0,,Primary (synthetic),True
R00141,Engineer,Enugu,Enugu LGA 13,FMCG,3,3,Long Life,Capex,3,2,4,2,True,False,False,1,,Primary (synthetic),True
R00142,Investor,Ebonyi,Ebonyi LGA 1,Hospitality,3,2,Lower OPEX,Technical Complexity,3,3,2,2,True,True,False,0,,Primary (synthetic),True
R00143,Engineer,Bauchi,Bauchi LGA 7,FMCG,3,2,Scalable,Regulatory Risk,2,2,4,3,True,False,True,0,,Primary (synthetic),True
R00144,Industrial Manager,Anambra,Anambra LGA 11,Oil & Gas Services,4,3,Lower Emissions,Technical Complexity,3,4,4,4,False,True,False,0,,Primary (synthetic),True
R00145,Industrial Manager,Ogun,Ogun LGA 17,Textile,5,3,Long Life,Gas Price Volatility,2,3,4,3,False,True,False,1,,Primary (synthetic),True
R00146,Investor,Gombe,Gombe LGA 4,Textile,3,2,Lower Emissions,Capex,4,3,3,2,False,True,False,0,,Primary (synthetic),True
R00147,Investor,Lagos,Surulere,Retail,5,4,Reliability,Regulatory Risk,3,2,4,3,False,True,False,1,,Primary (synthetic),True
R00148,Investor,Abia,Abia LGA 5,Oil & Gas Services,1,2,Lower Emissions,Technical Complexity,3,2,4,3,True,False,True,0,,Primary (synthetic),True
R00149,Academic,Bauchi,Bauchi LGA 6,Automotive,3,4,Lower OPEX,Regulatory Risk,3,4,3,3,True,True,False,1,,Primary (synthetic),True
R00150,Policymaker,Kano,Kano LGA 26,Textile,2,3,Long Life,Maintenance,3,2,4,3,False,False,True,1,,Primary (synthetic),True
R00151,Academic,Anambra,Anambra LGA 8,FMCG,3,3,Long Life,Gas Price Volatility,2,4,3,3,True,True,False,1,,Primary (synthetic),True
R00152,Industrial Manager,Yobe,Yobe LGA 15,Cement,3,3,Lower OPEX,Maintenance,4,3,2,3,True,False,True,0,,Primary (synthetic),True
R00153,DisCo Official,Plateau,Plateau LGA 4,Automotive,3,3,Scalable,Capex,2,3,3,3,True,False,False,1,,Primary (synthetic),True
R00154,Industrial Manager,Plateau,Plateau LGA 7,Food Processing,4,1,Lower OPEX,Maintenance,3,2,3,3,True,True,False,0,,Primary (synthetic),True
R00155,Policymaker,Osun,Osun LGA 28,Food Processing,3,2,Lower Emissions,Technical Complexity,3,2,4,3,True,False,True,0,,Primary (synthetic),True
R00156,Academic,Yobe,Yobe LGA 6,Retail,2,4,Lower OPEX,Regulatory Risk,3,3,3,2,False,True,False,1,,Primary (synthetic),True
R00157,Community Leader,Kebbi,Kebbi LGA 1,Automotive,4,2,Lower OPEX,Capex,3,4,3,2,False,False,False,0,,Primary (synthetic),True
R00158,Community Leader,Benue,Benue LGA 2,Food Processing,2,3,Scalable,Gas Price Volatility,4,3,2,5,True,True,False,0,,Primary (synthetic),True
R00159,Engineer,Katsina,Katsina LGA 20,Cement,3,1,Scalable,Maintenance,2,3,2,4,True,True,False,0,,Primary (synthetic),True
R00160,Community Leader,Ondo,Ondo LGA 12,Textile,2,2,Scalable,Gas Price Volatility,4,2,2,3,False,False,True,0,,Primary (synthetic),True
R00161,Policymaker,Adamawa,Adamawa LGA 20,Cement,2,3,Lower OPEX,Maintenance,4,3,2,3,False,True,False,0,,Primary (synthetic),True
R00162,Industrial Manager,Oyo,Oyo LGA 25,Food Processing,5,1,Long Life,Gas Price Volatility,2,4,1,3,False,False,True,0,,Primary (synthetic),True
R00163,DisCo Official,Kaduna,Kaduna LGA 22,Oil & Gas Services,4,1,Lower OPEX,Gas Price Volatility,3,3,4,3,True,True,False,0,,Primary (synthetic),True
R00164,DisCo Official,Taraba,Taraba LGA 11,Textile,5,2,Lower OPEX,Regulatory Risk,3,5,4,4,True,False,True,0,,Primary (synthetic),True
R00165,DisCo Official,Edo,Edo LGA 13,Textile,3,3,Lower Emissions,Regulatory Risk,3,2,2,2,True,True,False,1,,Primary (synthetic),True
R00166,Industrial Manager,Bayelsa,Bayelsa LGA 2,Retail,5,3,Scalable,Capex,4,4,1,2,True,False,False,0,,Primary (synthetic),True
R00167,Community Leader,Kwara,Kwara LGA 6,Food Processing,3,4,Lower OPEX,Maintenance,3,4,3,2,True,True,False,1,,Primary (synthetic),True
R00168,Engineer,Adamawa,Adamawa LGA 21,Cement,5,4,Lower OPEX,Capex,4,3,3,4,False,False,True,0,,Primary (synthetic),True
R00169,Investor,Benue,Benue LGA 16,FMCG,2,3,Long Life,Technical Complexity,3,2,1,4,True,True,False,0,,Primary (synthetic),True
R00170,Industrial Manager,Edo,Edo LGA 2,Hospitality,4,3,Lower OPEX,Technical Complexity,2,2,4,4,False,True,False,0,,Primary (synthetic),True
R00171,Community Leader,Taraba,Taraba LGA 5,Hospitality,3,3,Lower Emissions,Maintenance,3,3,3,1,True,False,True,1,,Primary (synthetic),True
R00172,DisCo Official,Zamfara,Zamfara LGA 11,Automotive,3,1,Lower Emissions,Capex,2,3,3,3,True,False,True,0,,Primary (synthetic),True
R00173,Community Leader,Ebonyi,Ebonyi LGA 13,Automotive,2,3,Long Life,Capex,3,2,3,3,True,True,False,1,,Primary (synthetic),True
R00174,Community Leader,Bauchi,Bauchi LGA 15,FMCG,4,3,Scalable,Maintenance,2,3,5,2,True,True,False,1,,Primary (synthetic),True
R00175,Investor,Kebbi,Kebbi LGA 14,Textile,3,3,Lower Emissions,Gas Price Volatility,3,2,3,3,False,True,False,1,,Primary (synthetic),True
R00176,Community Leader,FCT,Bwari,Cement,3,4,Lower OPEX,Regulatory Risk,3,3,3,4,False,True,False,0,,Primary (synthetic),True
R00177,Investor,Ondo,Ondo LGA 11,Hospitality,3,3,Long Life,Technical Complexity,3,3,3,3,False,False,True,1,,Primary (synthetic),True
R00178,Industrial Manager,Adamawa,Adamawa LGA 10,FMCG,4,2,Lower OPEX,Maintenance,4,2,5,2,False,True,False,0,,Primary (synthetic),True
R00179,Academic,Benue,Benue LGA 14,Oil & Gas Services,3,4,Long Life,Maintenance,2,3,3,4,False,True,False,0,,Primary (synthetic),True
