# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Weibull_Modulus,Characteristic_Strength_MPa,Applied_Stress_MPa,Failure_Probability,Component
0.00,100.00,10,150,151.02,0.656917,cathode
11.11,0.00,10,150,140.49,0.405153,cathode
11.11,11.11,10,150,128.57,0.192645,cathode
11.11,22.22,10,150,118.27,0.088697,cathode
11.11,33.33,10,150,110.44,0.045743,cathode
11.11,44.44,10,150,106.12,0.030920,cathode
11.11,55.56,10,150,106.12,0.030920,cathode
11.11,66.67,10,150,110.44,0.045743,cathode
11.11,77.78,10,150,118.27,0.088697,cathode
11.11,88.89,10,150,128.57,0.192645,cathode
11.11,100.00,10,150,140.49,0.405153,cathode
22.22,0.00,10,150,131.71,0.238504,cathode
22.22,11.11,10,150,118.27,0.088697,cathode
22.22,22.22,10,150,106.12,0.030920,cathode
22.22,33.33,10,150,96.28,0.011797,cathode
22.22,44.44,10,150,90.47,0.006349,cathode
22.22,55.56,10,150,90.47,0.006349,cathode
22.22,66.67,10,150,96.28,0.011797,cathode
22.22,77.78,10,150,106.12,0.030920,cathode
22.22,88.89,10,150,118.27,0.088697,cathode
22.22,100.00,10,150,131.71,0.238504,cathode
33.33,0.00,10,150,125.29,0.152380,cathode
33.33,11.11,10,150,110.44,0.045743,cathode
33.33,22.22,10,150,96.28,0.011797,cathode
33.33,33.33,10,150,83.67,0.002912,cathode
33.33,44.44,10,150,75.10,0.000989,cathode
33.33,55.56,10,150,75.10,0.000989,cathode
33.33,66.67,10,150,83.67,0.002912,cathode
33.33,77.78,10,150,96.28,0.011797,cathode
33.33,88.89,10,150,110.44,0.045743,cathode
33.33,100.00,10,150,125.29,0.152380,cathode
44.44,0.00,10,150,121.87,0.117777,cathode
44.44,11.11,10,150,106.12,0.030920,cathode
44.44,22.22,10,150,90.47,0.006349,cathode
44.44,33.33,10,150,75.10,0.000989,cathode
44.44,44.44,10,150,61.22,0.000128,cathode
44.44,55.56,10,150,61.22,0.000128,cathode
44.44,66.67,10,150,75.10,0.000989,cathode
44.44,77.78,10,150,90.47,0.006349,cathode
44.44,88.89,10,150,106.12,0.030920,cathode
44.44,100.00,10,150,121.87,0.117777,cathode
55.56,0.00,10,150,121.87,0.117777,cathode
55.56,11.11,10,150,106.12,0.030920,cathode
55.56,22.22,10,150,90.47,0.006349,cathode
55.56,33.33,10,150,75.10,0.000989,cathode
55.56,44.44,10,150,61.22,0.000128,cathode
55.56,55.56,10,150,61.22,0.000128,cathode
55.56,66.67,10,150,75.10,0.000989,cathode
55.56,77.78,10,150,90.47,0.006349,cathode
55.56,88.89,10,150,106.12,0.030920,cathode
55.56,100.00,10,150,121.87,0.117777,cathode
66.67,0.00,10,150,125.29,0.152380,cathode
66.67,11.11,10,150,110.44,0.045743,cathode
66.67,22.22,10,150,96.28,0.011797,cathode
66.67,33.33,10,150,83.67,0.002912,cathode
66.67,44.44,10,150,75.10,0.000989,cathode
66.67,55.56,10,150,75.10,0.000989,cathode
66.67,66.67,10,150,83.67,0.002912,cathode
66.67,77.78,10,150,96.28,0.011797,cathode
66.67,88.89,10,150,110.44,0.045743,cathode
66.67,100.00,10,150,125.29,0.152380,cathode
77.78,0.00,10,150,131.71,0.238504,cathode
77.78,11.11,10,150,118.27,0.088697,cathode
77.78,22.22,10,150,106.12,0.030920,cathode
77.78,33.33,10,150,96.28,0.011797,cathode
77.78,44.44,10,150,90.47,0.006349,cathode
77.78,55.56,10,150,90.47,0.006349,cathode
77.78,66.67,10,150,96.28,0.011797,cathode
77.78,77.78,10,150,106.12,0.030920,cathode
77.78,88.89,10,150,118.27,0.088697,cathode
77.78,100.00,10,150,131.71,0.238504,cathode
88.89,0.00,10,150,140.49,0.405153,cathode
88.89,11.11,10,150,128.57,0.192645,cathode
88.89,22.22,10,150,118.27,0.088697,cathode
88.89,33.33,10,150,110.44,0.045743,cathode
88.89,44.44,10,150,106.12,0.030920,cathode
88.89,55.56,10,150,106.12,0.030920,cathode
88.89,66.67,10,150,110.44,0.045743,cathode
88.89,77.78,10,150,118.27,0.088697,cathode
88.89,88.89,10,150,128.57,0.192645,cathode
88.89,100.00,10,150,140.49,0.405153,cathode
100.00,0.00,10,150,151.02,0.656917,cathode
100.00,11.11,10,150,140.49,0.405153,cathode
100.00,22.22,10,150,131.71,0.238504,cathode
100.00,33.33,10,150,125.29,0.152380,cathode
100.00,44.44,10,150,121.87,0.117777,cathode
100.00,55.56,10,150,121.87,0.117777,cathode
100.00,66.67,10,150,125.29,0.152380,cathode
100.00,77.78,10,150,131.71,0.238504,cathode
100.00,88.89,10,150,140.49,0.405153,cathode
100.00,100.00,10,150,151.02,0.656917,cathode
