# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,Temperature_C
26.32,89.47,0.000,785.88
26.32,89.47,0.500,791.87
26.32,89.47,1.000,792.14
26.32,94.74,0.000,798.72
26.32,94.74,0.500,802.67
26.32,94.74,1.000,800.09
26.32,100.00,0.000,814.16
26.32,100.00,0.500,802.69
26.32,100.00,1.000,797.91
31.58,0.00,0.000,745.19
31.58,0.00,0.500,753.65
31.58,0.00,1.000,745.67
31.58,5.26,0.000,752.20
31.58,5.26,0.500,742.39
31.58,5.26,1.000,755.94
31.58,10.53,0.000,753.39
31.58,10.53,0.500,758.03
31.58,10.53,1.000,758.25
31.58,15.79,0.000,763.45
31.58,15.79,0.500,749.84
31.58,15.79,1.000,759.98
31.58,21.05,0.000,770.32
31.58,21.05,0.500,771.46
31.58,21.05,1.000,758.21
31.58,26.32,0.000,763.84
31.58,26.32,0.500,763.92
31.58,26.32,1.000,764.86
31.58,31.58,0.000,765.01
31.58,31.58,0.500,762.93
31.58,31.58,1.000,763.90
31.58,36.84,0.000,763.48
31.58,36.84,0.500,761.29
31.58,36.84,1.000,773.46
31.58,42.11,0.000,770.17
31.58,42.11,0.500,775.49
31.58,42.11,1.000,761.74
31.58,47.37,0.000,785.87
31.58,47.37,0.500,784.43
31.58,47.37,1.000,770.78
31.58,52.63,0.000,771.04
31.58,52.63,0.500,777.07
31.58,52.63,1.000,775.10
31.58,57.89,0.000,774.59
31.58,57.89,0.500,774.19
31.58,57.89,1.000,769.84
31.58,63.16,0.000,773.27
31.58,63.16,0.500,783.42
31.58,63.16,1.000,781.44
31.58,68.42,0.000,777.62
31.58,68.42,0.500,797.73
31.58,68.42,1.000,779.00
31.58,73.68,0.000,787.32
31.58,73.68,0.500,788.06
31.58,73.68,1.000,787.15
31.58,78.95,0.000,785.72
31.58,78.95,0.500,784.16
31.58,78.95,1.000,791.33
31.58,84.21,0.000,794.65
31.58,84.21,0.500,788.19
31.58,84.21,1.000,797.82
31.58,89.47,0.000,796.55
31.58,89.47,0.500,793.19
31.58,89.47,1.000,787.74
31.58,94.74,0.000,803.95
31.58,94.74,0.500,803.11
31.58,94.74,1.000,800.18
31.58,100.00,0.000,807.11
31.58,100.00,0.500,801.74
31.58,100.00,1.000,797.22
36.84,0.00,0.000,745.16
36.84,0.00,0.500,750.28
36.84,0.00,1.000,746.88
36.84,5.26,0.000,747.04
36.84,5.26,0.500,748.42
36.84,5.26,1.000,747.61
36.84,10.53,0.000,745.09
36.84,10.53,0.500,763.55
36.84,10.53,1.000,763.50
36.84,15.79,0.000,749.90
36.84,15.79,0.500,755.63
36.84,15.79,1.000,764.06
36.84,21.05,0.000,753.72
36.84,21.05,0.500,763.24
36.84,21.05,1.000,760.39
36.84,26.32,0.000,764.98
36.84,26.32,0.500,765.40
36.84,26.32,1.000,751.14
36.84,31.58,0.000,761.95
36.84,31.58,0.500,760.95
36.84,31.58,1.000,761.40
36.84,36.84,0.000,768.88
36.84,36.84,0.500,765.82
36.84,36.84,1.000,768.39
36.84,42.11,0.000,771.05
36.84,42.11,0.500,767.95
36.84,42.11,1.000,775.89
36.84,47.37,0.000,771.50
36.84,47.37,0.500,771.56
36.84,47.37,1.000,777.54
36.84,52.63,0.000,766.51
36.84,52.63,0.500,775.40
36.84,52.63,1.000,772.83
36.84,57.89,0.000,776.90
36.84,57.89,0.500,772.58
36.84,57.89,1.000,776.05
36.84,63.16,0.000,779.03
36.84,63.16,0.500,776.84
36.84,63.16,1.000,785.94
36.84,68.42,0.000,782.01
36.84,68.42,0.500,782.82
36.84,68.42,1.000,788.16
36.84,73.68,0.000,783.90
36.84,73.68,0.500,795.20
36.84,73.68,1.000,792.35
36.84,78.95,0.000,782.08
36.84,78.95,0.500,792.12
36.84,78.95,1.000,778.65
36.84,84.21,0.000,792.48
36.84,84.21,0.500,792.50
36.84,84.21,1.000,798.49
36.84,89.47,0.000,792.97
36.84,89.47,0.500,804.47
36.84,89.47,1.000,782.33
36.84,94.74,0.000,801.45
36.84,94.74,0.500,791.30
36.84,94.74,1.000,801.40
36.84,100.00,0.000,804.10
36.84,100.00,0.500,804.01
36.84,100.00,1.000,792.40
42.11,0.00,0.000,739.18
42.11,0.00,0.500,751.72
42.11,0.00,1.000,745.34
42.11,5.26,0.000,750.40
42.11,5.26,0.500,760.87
42.11,5.26,1.000,750.09
42.11,10.53,0.000,755.40
42.11,10.53,0.500,745.16
42.11,10.53,1.000,755.67
42.11,15.79,0.000,763.39
42.11,15.79,0.500,754.30
42.11,15.79,1.000,756.69
42.11,21.05,0.000,765.20
42.11,21.05,0.500,764.08
42.11,21.05,1.000,766.74
42.11,26.32,0.000,770.19
42.11,26.32,0.500,764.64
42.11,26.32,1.000,775.54
42.11,31.58,0.000,765.10
42.11,31.58,0.500,770.87
42.11,31.58,1.000,767.52
42.11,36.84,0.000,764.07
42.11,36.84,0.500,763.79
42.11,36.84,1.000,773.86
42.11,42.11,0.000,765.92
42.11,42.11,0.500,760.52
42.11,42.11,1.000,758.82
42.11,47.37,0.000,779.45
42.11,47.37,0.500,775.41
42.11,47.37,1.000,767.13
42.11,52.63,0.000,781.85
42.11,52.63,0.500,777.77
42.11,52.63,1.000,772.40
42.11,57.89,0.000,776.07
42.11,57.89,0.500,788.77
42.11,57.89,1.000,778.65
42.11,63.16,0.000,776.74
42.11,63.16,0.500,777.19
42.11,63.16,1.000,780.30
42.11,68.42,0.000,781.73
42.11,68.42,0.500,787.46
42.11,68.42,1.000,785.65
42.11,73.68,0.000,787.70
42.11,73.68,0.500,779.27
42.11,73.68,1.000,793.75
42.11,78.95,0.000,782.97
42.11,78.95,0.500,799.08
42.11,78.95,1.000,789.14
42.11,84.21,0.000,790.88
42.11,84.21,0.500,793.41
42.11,84.21,1.000,785.05
42.11,89.47,0.000,796.08
42.11,89.47,0.500,800.56
42.11,89.47,1.000,789.57
42.11,94.74,0.000,793.84
42.11,94.74,0.500,798.12
42.11,94.74,1.000,796.54
42.11,100.00,0.000,800.48
42.11,100.00,0.500,803.36
42.11,100.00,1.000,801.74
47.37,0.00,0.000,751.93
47.37,0.00,0.500,751.21
47.37,0.00,1.000,747.37
47.37,5.26,0.000,756.81
47.37,5.26,0.500,745.43
47.37,5.26,1.000,749.18
47.37,10.53,0.000,759.23
47.37,10.53,0.500,761.56
47.37,10.53,1.000,758.47
47.37,15.79,0.000,755.98
47.37,15.79,0.500,760.30
47.37,15.79,1.000,752.98
47.37,21.05,0.000,764.72
47.37,21.05,0.500,746.12
47.37,21.05,1.000,756.25
47.37,26.32,0.000,770.08
47.37,26.32,0.500,762.90
47.37,26.32,1.000,769.69
47.37,31.58,0.000,757.49
47.37,31.58,0.500,756.06
47.37,31.58,1.000,772.22
47.37,36.84,0.000,767.65
47.37,36.84,0.500,762.24
47.37,36.84,1.000,768.26
47.37,42.11,0.000,760.62
47.37,42.11,0.500,767.84
47.37,42.11,1.000,772.14
47.37,47.37,0.000,768.49
47.37,47.37,0.500,768.18
47.37,47.37,1.000,774.24
47.37,52.63,0.000,769.08
47.37,52.63,0.500,781.22
47.37,52.63,1.000,771.40
47.37,57.89,0.000,788.22
47.37,57.89,0.500,783.68
47.37,57.89,1.000,776.75
47.37,63.16,0.000,776.64
47.37,63.16,0.500,783.13
47.37,63.16,1.000,786.02
47.37,68.42,0.000,784.25
47.37,68.42,0.500,783.79
47.37,68.42,1.000,784.84
47.37,73.68,0.000,787.67
47.37,73.68,0.500,788.48
47.37,73.68,1.000,792.48
47.37,78.95,0.000,796.81
47.37,78.95,0.500,784.30
47.37,78.95,1.000,788.38
47.37,84.21,0.000,786.76
47.37,84.21,0.500,787.29
47.37,84.21,1.000,801.19
47.37,89.47,0.000,787.31
47.37,89.47,0.500,795.00
47.37,89.47,1.000,788.15
47.37,94.74,0.000,802.20
47.37,94.74,0.500,793.56
47.37,94.74,1.000,784.92
47.37,100.00,0.000,801.48
47.37,100.00,0.500,805.52
47.37,100.00,1.000,797.55
52.63,0.00,0.000,750.07
52.63,0.00,0.500,762.16
52.63,0.00,1.000,745.41
52.63,5.26,0.000,745.59
52.63,5.26,0.500,756.91
52.63,5.26,1.000,751.76
52.63,10.53,0.000,751.82
52.63,10.53,0.500,762.89
52.63,10.53,1.000,758.20
52.63,15.79,0.000,755.31
52.63,15.79,0.500,764.82
52.63,15.79,1.000,750.71
52.63,21.05,0.000,771.82
52.63,21.05,0.500,750.75
52.63,21.05,1.000,763.12
52.63,26.32,0.000,759.57
52.63,26.32,0.500,765.17
52.63,26.32,1.000,760.15
52.63,31.58,0.000,764.90
52.63,31.58,0.500,763.11
52.63,31.58,1.000,768.55
52.63,36.84,0.000,768.52
52.63,36.84,0.500,763.24
52.63,36.84,1.000,763.10
52.63,42.11,0.000,768.45
52.63,42.11,0.500,767.91
52.63,42.11,1.000,771.56
52.63,47.37,0.000,764.85
52.63,47.37,0.500,779.13
52.63,47.37,1.000,770.69
52.63,52.63,0.000,771.93
52.63,52.63,0.500,779.65
52.63,52.63,1.000,772.02
52.63,57.89,0.000,775.78
52.63,57.89,0.500,783.77
52.63,57.89,1.000,775.64
52.63,63.16,0.000,780.42
52.63,63.16,0.500,784.47
52.63,63.16,1.000,784.83
52.63,68.42,0.000,786.14
52.63,68.42,0.500,797.09
52.63,68.42,1.000,782.67
52.63,73.68,0.000,782.29
52.63,73.68,0.500,787.16
52.63,73.68,1.000,788.70
52.63,78.95,0.000,784.67
52.63,78.95,0.500,785.39
52.63,78.95,1.000,780.39
52.63,84.21,0.000,796.08
52.63,84.21,0.500,798.19
52.63,84.21,1.000,796.26
52.63,89.47,0.000,788.76
52.63,89.47,0.500,794.64
52.63,89.47,1.000,792.59
52.63,94.74,0.000,799.34
52.63,94.74,0.500,794.39
52.63,94.74,1.000,797.09
52.63,100.00,0.000,813.77
52.63,100.00,0.500,804.05
52.63,100.00,1.000,798.66
57.89,0.00,0.000,753.13
57.89,0.00,0.500,755.29
57.89,0.00,1.000,752.87
57.89,5.26,0.000,747.36
57.89,5.26,0.500,747.92
57.89,5.26,1.000,748.09
57.89,10.53,0.000,761.90
57.89,10.53,0.500,750.24
57.89,10.53,1.000,750.34
57.89,15.79,0.000,768.73
57.89,15.79,0.500,759.70
57.89,15.79,1.000,756.53
57.89,21.05,0.000,755.70
57.89,21.05,0.500,761.67
57.89,21.05,1.000,761.15
57.89,26.32,0.000,759.73
57.89,26.32,0.500,762.54
57.89,26.32,1.000,766.26
57.89,31.58,0.000,770.84
57.89,31.58,0.500,761.89
57.89,31.58,1.000,769.67
57.89,36.84,0.000,768.94
57.89,36.84,0.500,770.60
57.89,36.84,1.000,770.54
57.89,42.11,0.000,770.37
57.89,42.11,0.500,774.02
57.89,42.11,1.000,779.18
57.89,47.37,0.000,776.11
57.89,47.37,0.500,775.07
57.89,47.37,1.000,778.01
57.89,52.63,0.000,774.66
57.89,52.63,0.500,767.31
57.89,52.63,1.000,772.42
57.89,57.89,0.000,770.03
57.89,57.89,0.500,775.26
57.89,57.89,1.000,776.77
57.89,63.16,0.000,788.12
57.89,63.16,0.500,784.03
57.89,63.16,1.000,781.72
57.89,68.42,0.000,781.39
57.89,68.42,0.500,783.93
57.89,68.42,1.000,778.37
57.89,73.68,0.000,783.63
57.89,73.68,0.500,796.92
57.89,73.68,1.000,786.26
57.89,78.95,0.000,791.53
57.89,78.95,0.500,795.24
57.89,78.95,1.000,794.97
57.89,84.21,0.000,792.83
57.89,84.21,0.500,796.78
57.89,84.21,1.000,791.01
57.89,89.47,0.000,795.82
57.89,89.47,0.500,794.96
57.89,89.47,1.000,796.87
57.89,94.74,0.000,804.69
57.89,94.74,0.500,802.94
57.89,94.74,1.000,800.04
57.89,100.00,0.000,796.47
57.89,100.00,0.500,800.98
57.89,100.00,1.000,801.35
63.16,0.00,0.000,747.39
63.16,0.00,0.500,751.70
63.16,0.00,1.000,745.43
63.16,5.26,0.000,760.13
63.16,5.26,0.500,753.47
63.16,5.26,1.000,758.51
63.16,10.53,0.000,757.25
63.16,10.53,0.500,755.41
63.16,10.53,1.000,747.52
63.16,15.79,0.000,761.11
63.16,15.79,0.500,752.38
63.16,15.79,1.000,765.13
63.16,21.05,0.000,754.30
63.16,21.05,0.500,763.25
63.16,21.05,1.000,763.61
63.16,26.32,0.000,759.62
63.16,26.32,0.500,756.61
63.16,26.32,1.000,764.10
63.16,31.58,0.000,769.86
63.16,31.58,0.500,762.18
63.16,31.58,1.000,775.67
63.16,36.84,0.000,765.94
63.16,36.84,0.500,758.94
63.16,36.84,1.000,765.30
63.16,42.11,0.000,773.71
63.16,42.11,0.500,772.08
63.16,42.11,1.000,768.96
63.16,47.37,0.000,768.04
63.16,47.37,0.500,769.04
63.16,47.37,1.000,773.56
63.16,52.63,0.000,774.82
63.16,52.63,0.500,775.71
63.16,52.63,1.000,768.35
63.16,57.89,0.000,776.07
63.16,57.89,0.500,776.18
63.16,57.89,1.000,781.78
63.16,63.16,0.000,770.71
63.16,63.16,0.500,778.64
63.16,63.16,1.000,779.22
63.16,68.42,0.000,782.80
63.16,68.42,0.500,790.67
63.16,68.42,1.000,784.60
63.16,73.68,0.000,782.87
63.16,73.68,0.500,773.54
63.16,73.68,1.000,789.51
63.16,78.95,0.000,788.71
63.16,78.95,0.500,789.72
63.16,78.95,1.000,791.18
63.16,84.21,0.000,789.25
63.16,84.21,0.500,795.40
63.16,84.21,1.000,790.45
63.16,89.47,0.000,797.90
63.16,89.47,0.500,792.26
63.16,89.47,1.000,788.38
63.16,94.74,0.000,791.35
63.16,94.74,0.500,808.27
63.16,94.74,1.000,799.03
63.16,100.00,0.000,801.86
63.16,100.00,0.500,798.87
63.16,100.00,1.000,792.76
68.42,0.00,0.000,745.40
68.42,0.00,0.500,752.92
68.42,0.00,1.000,739.40
68.42,5.26,0.000,755.38
68.42,5.26,0.500,760.49
68.42,5.26,1.000,754.09
68.42,10.53,0.000,756.33
68.42,10.53,0.500,759.23
68.42,10.53,1.000,763.27
68.42,15.79,0.000,750.43
68.42,15.79,0.500,758.75
68.42,15.79,1.000,749.88
68.42,21.05,0.000,765.70
68.42,21.05,0.500,757.40
68.42,21.05,1.000,759.95
68.42,26.32,0.000,742.64
68.42,26.32,0.500,766.84
68.42,26.32,1.000,763.20
68.42,31.58,0.000,766.49
68.42,31.58,0.500,771.14
68.42,31.58,1.000,760.97
68.42,36.84,0.000,767.13
68.42,36.84,0.500,764.85
68.42,36.84,1.000,760.51
68.42,42.11,0.000,777.56
68.42,42.11,0.500,770.56
68.42,42.11,1.000,771.82
68.42,47.37,0.000,769.46
68.42,47.37,0.500,784.30
68.42,47.37,1.000,769.56
68.42,52.63,0.000,773.10
68.42,52.63,0.500,781.71
68.42,52.63,1.000,775.34
68.42,57.89,0.000,770.34
68.42,57.89,0.500,781.76
68.42,57.89,1.000,781.56
68.42,63.16,0.000,784.27
68.42,63.16,0.500,776.66
68.42,63.16,1.000,777.34
68.42,68.42,0.000,787.90
68.42,68.42,0.500,791.61
68.42,68.42,1.000,782.03
68.42,73.68,0.000,787.35
68.42,73.68,0.500,794.40
68.42,73.68,1.000,796.42
68.42,78.95,0.000,788.63
68.42,78.95,0.500,786.14
68.42,78.95,1.000,785.11
68.42,84.21,0.000,795.03
68.42,84.21,0.500,791.04
68.42,84.21,1.000,786.31
68.42,89.47,0.000,792.16
68.42,89.47,0.500,800.77
68.42,89.47,1.000,796.15
68.42,94.74,0.000,799.67
68.42,94.74,0.500,800.13
68.42,94.74,1.000,798.19
68.42,100.00,0.000,790.93
68.42,100.00,0.500,805.06
68.42,100.00,1.000,792.39
73.68,0.00,0.000,754.19
73.68,0.00,0.500,757.91
73.68,0.00,1.000,748.02
73.68,5.26,0.000,748.04
73.68,5.26,0.500,752.86
73.68,5.26,1.000,749.59
73.68,10.53,0.000,760.30
73.68,10.53,0.500,763.71
73.68,10.53,1.000,759.00
73.68,15.79,0.000,764.48
73.68,15.79,0.500,765.61
73.68,15.79,1.000,754.62
73.68,21.05,0.000,764.44
73.68,21.05,0.500,757.05
73.68,21.05,1.000,766.24
73.68,26.32,0.000,769.70
73.68,26.32,0.500,765.06
73.68,26.32,1.000,767.40
73.68,31.58,0.000,758.28
73.68,31.58,0.500,768.49
73.68,31.58,1.000,767.11
73.68,36.84,0.000,775.18
73.68,36.84,0.500,772.76
73.68,36.84,1.000,761.10
