# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,U_x_um,U_y_um,U_z_um,Total_Displacement_um
7.14,85.71,0.500,-0.0857,0.0714,0.0250,0.1143
7.14,85.71,1.000,-0.0857,0.0714,0.0500,0.1223
7.14,92.86,0.000,-0.0857,0.0857,0.0000,0.1212
7.14,92.86,0.500,-0.0857,0.0857,0.0250,0.1238
7.14,92.86,1.000,-0.0857,0.0857,0.0500,0.1311
7.14,100.00,0.000,-0.0857,0.1000,0.0000,0.1317
7.14,100.00,0.500,-0.0857,0.1000,0.0250,0.1341
7.14,100.00,1.000,-0.0857,0.1000,0.0500,0.1409
14.29,0.00,0.000,-0.0714,-0.1000,0.0000,0.1229
14.29,0.00,0.500,-0.0714,-0.1000,0.0250,0.1254
14.29,0.00,1.000,-0.0714,-0.1000,0.0500,0.1327
14.29,7.14,0.000,-0.0714,-0.0857,0.0000,0.1116
14.29,7.14,0.500,-0.0714,-0.0857,0.0250,0.1143
14.29,7.14,1.000,-0.0714,-0.0857,0.0500,0.1223
14.29,14.29,0.000,-0.0714,-0.0714,0.0000,0.1010
14.29,14.29,0.500,-0.0714,-0.0714,0.0250,0.1041
14.29,14.29,1.000,-0.0714,-0.0714,0.0500,0.1127
14.29,21.43,0.000,-0.0714,-0.0571,0.0000,0.0915
14.29,21.43,0.500,-0.0714,-0.0571,0.0250,0.0948
14.29,21.43,1.000,-0.0714,-0.0571,0.0500,0.1042
14.29,28.57,0.000,-0.0714,-0.0429,0.0000,0.0833
14.29,28.57,0.500,-0.0714,-0.0429,0.0250,0.0870
14.29,28.57,1.000,-0.0714,-0.0429,0.0500,0.0972
14.29,35.71,0.000,-0.0714,-0.0286,0.0000,0.0769
14.29,35.71,0.500,-0.0714,-0.0286,0.0250,0.0809
14.29,35.71,1.000,-0.0714,-0.0286,0.0500,0.0918
14.29,42.86,0.000,-0.0714,-0.0143,0.0000,0.0728
14.29,42.86,0.500,-0.0714,-0.0143,0.0250,0.0770
14.29,42.86,1.000,-0.0714,-0.0143,0.0500,0.0884
14.29,50.00,0.000,-0.0714,0.0000,0.0000,0.0714
14.29,50.00,0.500,-0.0714,0.0000,0.0250,0.0757
14.29,50.00,1.000,-0.0714,0.0000,0.0500,0.0872
14.29,57.14,0.000,-0.0714,0.0143,0.0000,0.0728
14.29,57.14,0.500,-0.0714,0.0143,0.0250,0.0770
14.29,57.14,1.000,-0.0714,0.0143,0.0500,0.0884
14.29,64.29,0.000,-0.0714,0.0286,0.0000,0.0769
14.29,64.29,0.500,-0.0714,0.0286,0.0250,0.0809
14.29,64.29,1.000,-0.0714,0.0286,0.0500,0.0918
14.29,71.43,0.000,-0.0714,0.0429,0.0000,0.0833
14.29,71.43,0.500,-0.0714,0.0429,0.0250,0.0870
14.29,71.43,1.000,-0.0714,0.0429,0.0500,0.0972
14.29,78.57,0.000,-0.0714,0.0571,0.0000,0.0915
14.29,78.57,0.500,-0.0714,0.0571,0.0250,0.0948
14.29,78.57,1.000,-0.0714,0.0571,0.0500,0.1042
14.29,85.71,0.000,-0.0714,0.0714,0.0000,0.1010
14.29,85.71,0.500,-0.0714,0.0714,0.0250,0.1041
14.29,85.71,1.000,-0.0714,0.0714,0.0500,0.1127
14.29,92.86,0.000,-0.0714,0.0857,0.0000,0.1116
14.29,92.86,0.500,-0.0714,0.0857,0.0250,0.1143
14.29,92.86,1.000,-0.0714,0.0857,0.0500,0.1223
14.29,100.00,0.000,-0.0714,0.1000,0.0000,0.1229
14.29,100.00,0.500,-0.0714,0.1000,0.0250,0.1254
14.29,100.00,1.000,-0.0714,0.1000,0.0500,0.1327
21.43,0.00,0.000,-0.0571,-0.1000,0.0000,0.1152
21.43,0.00,0.500,-0.0571,-0.1000,0.0250,0.1179
21.43,0.00,1.000,-0.0571,-0.1000,0.0500,0.1256
21.43,7.14,0.000,-0.0571,-0.0857,0.0000,0.1030
21.43,7.14,0.500,-0.0571,-0.0857,0.0250,0.1060
21.43,7.14,1.000,-0.0571,-0.0857,0.0500,0.1145
21.43,14.29,0.000,-0.0571,-0.0714,0.0000,0.0915
21.43,14.29,0.500,-0.0571,-0.0714,0.0250,0.0948
21.43,14.29,1.000,-0.0571,-0.0714,0.0500,0.1042
21.43,21.43,0.000,-0.0571,-0.0571,0.0000,0.0808
21.43,21.43,0.500,-0.0571,-0.0571,0.0250,0.0846
21.43,21.43,1.000,-0.0571,-0.0571,0.0500,0.0950
21.43,28.57,0.000,-0.0571,-0.0429,0.0000,0.0714
21.43,28.57,0.500,-0.0571,-0.0429,0.0250,0.0757
21.43,28.57,1.000,-0.0571,-0.0429,0.0500,0.0872
21.43,35.71,0.000,-0.0571,-0.0286,0.0000,0.0639
21.43,35.71,0.500,-0.0571,-0.0286,0.0250,0.0686
21.43,35.71,1.000,-0.0571,-0.0286,0.0500,0.0811
21.43,42.86,0.000,-0.0571,-0.0143,0.0000,0.0589
21.43,42.86,0.500,-0.0571,-0.0143,0.0250,0.0640
21.43,42.86,1.000,-0.0571,-0.0143,0.0500,0.0773
21.43,50.00,0.000,-0.0571,0.0000,0.0000,0.0571
21.43,50.00,0.500,-0.0571,0.0000,0.0250,0.0624
21.43,50.00,1.000,-0.0571,0.0000,0.0500,0.0759
21.43,57.14,0.000,-0.0571,0.0143,0.0000,0.0589
21.43,57.14,0.500,-0.0571,0.0143,0.0250,0.0640
21.43,57.14,1.000,-0.0571,0.0143,0.0500,0.0773
21.43,64.29,0.000,-0.0571,0.0286,0.0000,0.0639
21.43,64.29,0.500,-0.0571,0.0286,0.0250,0.0686
21.43,64.29,1.000,-0.0571,0.0286,0.0500,0.0811
21.43,71.43,0.000,-0.0571,0.0429,0.0000,0.0714
21.43,71.43,0.500,-0.0571,0.0429,0.0250,0.0757
21.43,71.43,1.000,-0.0571,0.0429,0.0500,0.0872
21.43,78.57,0.000,-0.0571,0.0571,0.0000,0.0808
21.43,78.57,0.500,-0.0571,0.0571,0.0250,0.0846
21.43,78.57,1.000,-0.0571,0.0571,0.0500,0.0950
21.43,85.71,0.000,-0.0571,0.0714,0.0000,0.0915
21.43,85.71,0.500,-0.0571,0.0714,0.0250,0.0948
21.43,85.71,1.000,-0.0571,0.0714,0.0500,0.1042
21.43,92.86,0.000,-0.0571,0.0857,0.0000,0.1030
21.43,92.86,0.500,-0.0571,0.0857,0.0250,0.1060
21.43,92.86,1.000,-0.0571,0.0857,0.0500,0.1145
21.43,100.00,0.000,-0.0571,0.1000,0.0000,0.1152
21.43,100.00,0.500,-0.0571,0.1000,0.0250,0.1179
21.43,100.00,1.000,-0.0571,0.1000,0.0500,0.1256
28.57,0.00,0.000,-0.0429,-0.1000,0.0000,0.1088
28.57,0.00,0.500,-0.0429,-0.1000,0.0250,0.1116
28.57,0.00,1.000,-0.0429,-0.1000,0.0500,0.1197
28.57,7.14,0.000,-0.0429,-0.0857,0.0000,0.0958
28.57,7.14,0.500,-0.0429,-0.0857,0.0250,0.0990
28.57,7.14,1.000,-0.0429,-0.0857,0.0500,0.1081
28.57,14.29,0.000,-0.0429,-0.0714,0.0000,0.0833
28.57,14.29,0.500,-0.0429,-0.0714,0.0250,0.0870
28.57,14.29,1.000,-0.0429,-0.0714,0.0500,0.0972
28.57,21.43,0.000,-0.0429,-0.0571,0.0000,0.0714
28.57,21.43,0.500,-0.0429,-0.0571,0.0250,0.0757
28.57,21.43,1.000,-0.0429,-0.0571,0.0500,0.0872
28.57,28.57,0.000,-0.0429,-0.0429,0.0000,0.0606
28.57,28.57,0.500,-0.0429,-0.0429,0.0250,0.0656
28.57,28.57,1.000,-0.0429,-0.0429,0.0500,0.0786
28.57,35.71,0.000,-0.0429,-0.0286,0.0000,0.0515
28.57,35.71,0.500,-0.0429,-0.0286,0.0250,0.0573
28.57,35.71,1.000,-0.0429,-0.0286,0.0500,0.0718
28.57,42.86,0.000,-0.0429,-0.0143,0.0000,0.0452
28.57,42.86,0.500,-0.0429,-0.0143,0.0250,0.0516
28.57,42.86,1.000,-0.0429,-0.0143,0.0500,0.0674
28.57,50.00,0.000,-0.0429,0.0000,0.0000,0.0429
28.57,50.00,0.500,-0.0429,0.0000,0.0250,0.0496
28.57,50.00,1.000,-0.0429,0.0000,0.0500,0.0659
28.57,57.14,0.000,-0.0429,0.0143,0.0000,0.0452
28.57,57.14,0.500,-0.0429,0.0143,0.0250,0.0516
28.57,57.14,1.000,-0.0429,0.0143,0.0500,0.0674
28.57,64.29,0.000,-0.0429,0.0286,0.0000,0.0515
28.57,64.29,0.500,-0.0429,0.0286,0.0250,0.0573
28.57,64.29,1.000,-0.0429,0.0286,0.0500,0.0718
28.57,71.43,0.000,-0.0429,0.0429,0.0000,0.0606
28.57,71.43,0.500,-0.0429,0.0429,0.0250,0.0656
28.57,71.43,1.000,-0.0429,0.0429,0.0500,0.0786
28.57,78.57,0.000,-0.0429,0.0571,0.0000,0.0714
28.57,78.57,0.500,-0.0429,0.0571,0.0250,0.0757
28.57,78.57,1.000,-0.0429,0.0571,0.0500,0.0872
28.57,85.71,0.000,-0.0429,0.0714,0.0000,0.0833
28.57,85.71,0.500,-0.0429,0.0714,0.0250,0.0870
28.57,85.71,1.000,-0.0429,0.0714,0.0500,0.0972
28.57,92.86,0.000,-0.0429,0.0857,0.0000,0.0958
28.57,92.86,0.500,-0.0429,0.0857,0.0250,0.0990
28.57,92.86,1.000,-0.0429,0.0857,0.0500,0.1081
28.57,100.00,0.000,-0.0429,0.1000,0.0000,0.1088
28.57,100.00,0.500,-0.0429,0.1000,0.0250,0.1116
28.57,100.00,1.000,-0.0429,0.1000,0.0500,0.1197
35.71,0.00,0.000,-0.0286,-0.1000,0.0000,0.1040
35.71,0.00,0.500,-0.0286,-0.1000,0.0250,0.1070
35.71,0.00,1.000,-0.0286,-0.1000,0.0500,0.1154
35.71,7.14,0.000,-0.0286,-0.0857,0.0000,0.0904
35.71,7.14,0.500,-0.0286,-0.0857,0.0250,0.0937
35.71,7.14,1.000,-0.0286,-0.0857,0.0500,0.1033
35.71,14.29,0.000,-0.0286,-0.0714,0.0000,0.0769
35.71,14.29,0.500,-0.0286,-0.0714,0.0250,0.0809
35.71,14.29,1.000,-0.0286,-0.0714,0.0500,0.0918
35.71,21.43,0.000,-0.0286,-0.0571,0.0000,0.0639
35.71,21.43,0.500,-0.0286,-0.0571,0.0250,0.0686
35.71,21.43,1.000,-0.0286,-0.0571,0.0500,0.0811
35.71,28.57,0.000,-0.0286,-0.0429,0.0000,0.0515
35.71,28.57,0.500,-0.0286,-0.0429,0.0250,0.0573
35.71,28.57,1.000,-0.0286,-0.0429,0.0500,0.0718
35.71,35.71,0.000,-0.0286,-0.0286,0.0000,0.0404
35.71,35.71,0.500,-0.0286,-0.0286,0.0250,0.0475
35.71,35.71,1.000,-0.0286,-0.0286,0.0500,0.0643
35.71,42.86,0.000,-0.0286,-0.0143,0.0000,0.0319
35.71,42.86,0.500,-0.0286,-0.0143,0.0250,0.0406
35.71,42.86,1.000,-0.0286,-0.0143,0.0500,0.0593
35.71,50.00,0.000,-0.0286,0.0000,0.0000,0.0286
35.71,50.00,0.500,-0.0286,0.0000,0.0250,0.0380
35.71,50.00,1.000,-0.0286,0.0000,0.0500,0.0576
35.71,57.14,0.000,-0.0286,0.0143,0.0000,0.0319
35.71,57.14,0.500,-0.0286,0.0143,0.0250,0.0406
35.71,57.14,1.000,-0.0286,0.0143,0.0500,0.0593
35.71,64.29,0.000,-0.0286,0.0286,0.0000,0.0404
35.71,64.29,0.500,-0.0286,0.0286,0.0250,0.0475
35.71,64.29,1.000,-0.0286,0.0286,0.0500,0.0643
35.71,71.43,0.000,-0.0286,0.0429,0.0000,0.0515
35.71,71.43,0.500,-0.0286,0.0429,0.0250,0.0573
35.71,71.43,1.000,-0.0286,0.0429,0.0500,0.0718
35.71,78.57,0.000,-0.0286,0.0571,0.0000,0.0639
35.71,78.57,0.500,-0.0286,0.0571,0.0250,0.0686
35.71,78.57,1.000,-0.0286,0.0571,0.0500,0.0811
35.71,85.71,0.000,-0.0286,0.0714,0.0000,0.0769
35.71,85.71,0.500,-0.0286,0.0714,0.0250,0.0809
35.71,85.71,1.000,-0.0286,0.0714,0.0500,0.0918
35.71,92.86,0.000,-0.0286,0.0857,0.0000,0.0904
35.71,92.86,0.500,-0.0286,0.0857,0.0250,0.0937
35.71,92.86,1.000,-0.0286,0.0857,0.0500,0.1033
35.71,100.00,0.000,-0.0286,0.1000,0.0000,0.1040
35.71,100.00,0.500,-0.0286,0.1000,0.0250,0.1070
35.71,100.00,1.000,-0.0286,0.1000,0.0500,0.1154
42.86,0.00,0.000,-0.0143,-0.1000,0.0000,0.1010
42.86,0.00,0.500,-0.0143,-0.1000,0.0250,0.1041
42.86,0.00,1.000,-0.0143,-0.1000,0.0500,0.1127
42.86,7.14,0.000,-0.0143,-0.0857,0.0000,0.0869
42.86,7.14,0.500,-0.0143,-0.0857,0.0250,0.0904
42.86,7.14,1.000,-0.0143,-0.0857,0.0500,0.1003
42.86,14.29,0.000,-0.0143,-0.0714,0.0000,0.0728
42.86,14.29,0.500,-0.0143,-0.0714,0.0250,0.0770
42.86,14.29,1.000,-0.0143,-0.0714,0.0500,0.0884
42.86,21.43,0.000,-0.0143,-0.0571,0.0000,0.0589
42.86,21.43,0.500,-0.0143,-0.0571,0.0250,0.0640
42.86,21.43,1.000,-0.0143,-0.0571,0.0500,0.0773
42.86,28.57,0.000,-0.0143,-0.0429,0.0000,0.0452
42.86,28.57,0.500,-0.0143,-0.0429,0.0250,0.0516
42.86,28.57,1.000,-0.0143,-0.0429,0.0500,0.0674
42.86,35.71,0.000,-0.0143,-0.0286,0.0000,0.0319
42.86,35.71,0.500,-0.0143,-0.0286,0.0250,0.0406
42.86,35.71,1.000,-0.0143,-0.0286,0.0500,0.0593
42.86,42.86,0.000,-0.0143,-0.0143,0.0000,0.0202
42.86,42.86,0.500,-0.0143,-0.0143,0.0250,0.0321
42.86,42.86,1.000,-0.0143,-0.0143,0.0500,0.0539
42.86,50.00,0.000,-0.0143,0.0000,0.0000,0.0143
42.86,50.00,0.500,-0.0143,0.0000,0.0250,0.0288
42.86,50.00,1.000,-0.0143,0.0000,0.0500,0.0520
42.86,57.14,0.000,-0.0143,0.0143,0.0000,0.0202
42.86,57.14,0.500,-0.0143,0.0143,0.0250,0.0321
42.86,57.14,1.000,-0.0143,0.0143,0.0500,0.0539
42.86,64.29,0.000,-0.0143,0.0286,0.0000,0.0319
42.86,64.29,0.500,-0.0143,0.0286,0.0250,0.0406
42.86,64.29,1.000,-0.0143,0.0286,0.0500,0.0593
42.86,71.43,0.000,-0.0143,0.0429,0.0000,0.0452
42.86,71.43,0.500,-0.0143,0.0429,0.0250,0.0516
42.86,71.43,1.000,-0.0143,0.0429,0.0500,0.0674
42.86,78.57,0.000,-0.0143,0.0571,0.0000,0.0589
42.86,78.57,0.500,-0.0143,0.0571,0.0250,0.0640
42.86,78.57,1.000,-0.0143,0.0571,0.0500,0.0773
42.86,85.71,0.000,-0.0143,0.0714,0.0000,0.0728
42.86,85.71,0.500,-0.0143,0.0714,0.0250,0.0770
42.86,85.71,1.000,-0.0143,0.0714,0.0500,0.0884
42.86,92.86,0.000,-0.0143,0.0857,0.0000,0.0869
42.86,92.86,0.500,-0.0143,0.0857,0.0250,0.0904
42.86,92.86,1.000,-0.0143,0.0857,0.0500,0.1003
42.86,100.00,0.000,-0.0143,0.1000,0.0000,0.1010
42.86,100.00,0.500,-0.0143,0.1000,0.0250,0.1041
42.86,100.00,1.000,-0.0143,0.1000,0.0500,0.1127
50.00,0.00,0.000,0.0000,-0.1000,0.0000,0.1000
50.00,0.00,0.500,0.0000,-0.1000,0.0250,0.1031
50.00,0.00,1.000,0.0000,-0.1000,0.0500,0.1118
50.00,7.14,0.000,0.0000,-0.0857,0.0000,0.0857
50.00,7.14,0.500,0.0000,-0.0857,0.0250,0.0893
50.00,7.14,1.000,0.0000,-0.0857,0.0500,0.0992
50.00,14.29,0.000,0.0000,-0.0714,0.0000,0.0714
50.00,14.29,0.500,0.0000,-0.0714,0.0250,0.0757
50.00,14.29,1.000,0.0000,-0.0714,0.0500,0.0872
50.00,21.43,0.000,0.0000,-0.0571,0.0000,0.0571
50.00,21.43,0.500,0.0000,-0.0571,0.0250,0.0624
50.00,21.43,1.000,0.0000,-0.0571,0.0500,0.0759
50.00,28.57,0.000,0.0000,-0.0429,0.0000,0.0429
50.00,28.57,0.500,0.0000,-0.0429,0.0250,0.0496
50.00,28.57,1.000,0.0000,-0.0429,0.0500,0.0659
50.00,35.71,0.000,0.0000,-0.0286,0.0000,0.0286
50.00,35.71,0.500,0.0000,-0.0286,0.0250,0.0380
50.00,35.71,1.000,0.0000,-0.0286,0.0500,0.0576
50.00,42.86,0.000,0.0000,-0.0143,0.0000,0.0143
50.00,42.86,0.500,0.0000,-0.0143,0.0250,0.0288
50.00,42.86,1.000,0.0000,-0.0143,0.0500,0.0520
50.00,50.00,0.000,0.0000,0.0000,0.0000,0.0000
50.00,50.00,0.500,0.0000,0.0000,0.0250,0.0250
50.00,50.00,1.000,0.0000,0.0000,0.0500,0.0500
50.00,57.14,0.000,0.0000,0.0143,0.0000,0.0143
50.00,57.14,0.500,0.0000,0.0143,0.0250,0.0288
50.00,57.14,1.000,0.0000,0.0143,0.0500,0.0520
50.00,64.29,0.000,0.0000,0.0286,0.0000,0.0286
50.00,64.29,0.500,0.0000,0.0286,0.0250,0.0380
50.00,64.29,1.000,0.0000,0.0286,0.0500,0.0576
50.00,71.43,0.000,0.0000,0.0429,0.0000,0.0429
50.00,71.43,0.500,0.0000,0.0429,0.0250,0.0496
50.00,71.43,1.000,0.0000,0.0429,0.0500,0.0659
50.00,78.57,0.000,0.0000,0.0571,0.0000,0.0571
50.00,78.57,0.500,0.0000,0.0571,0.0250,0.0624
50.00,78.57,1.000,0.0000,0.0571,0.0500,0.0759
50.00,85.71,0.000,0.0000,0.0714,0.0000,0.0714
50.00,85.71,0.500,0.0000,0.0714,0.0250,0.0757
50.00,85.71,1.000,0.0000,0.0714,0.0500,0.0872
50.00,92.86,0.000,0.0000,0.0857,0.0000,0.0857
50.00,92.86,0.500,0.0000,0.0857,0.0250,0.0893
50.00,92.86,1.000,0.0000,0.0857,0.0500,0.0992
50.00,100.00,0.000,0.0000,0.1000,0.0000,0.1000
50.00,100.00,0.500,0.0000,0.1000,0.0250,0.1031
50.00,100.00,1.000,0.0000,0.1000,0.0500,0.1118
57.14,0.00,0.000,0.0143,-0.1000,0.0000,0.1010
57.14,0.00,0.500,0.0143,-0.1000,0.0250,0.1041
57.14,0.00,1.000,0.0143,-0.1000,0.0500,0.1127
57.14,7.14,0.000,0.0143,-0.0857,0.0000,0.0869
57.14,7.14,0.500,0.0143,-0.0857,0.0250,0.0904
57.14,7.14,1.000,0.0143,-0.0857,0.0500,0.1003
57.14,14.29,0.000,0.0143,-0.0714,0.0000,0.0728
57.14,14.29,0.500,0.0143,-0.0714,0.0250,0.0770
57.14,14.29,1.000,0.0143,-0.0714,0.0500,0.0884
57.14,21.43,0.000,0.0143,-0.0571,0.0000,0.0589
57.14,21.43,0.500,0.0143,-0.0571,0.0250,0.0640
57.14,21.43,1.000,0.0143,-0.0571,0.0500,0.0773
57.14,28.57,0.000,0.0143,-0.0429,0.0000,0.0452
57.14,28.57,0.500,0.0143,-0.0429,0.0250,0.0516
57.14,28.57,1.000,0.0143,-0.0429,0.0500,0.0674
57.14,35.71,0.000,0.0143,-0.0286,0.0000,0.0319
57.14,35.71,0.500,0.0143,-0.0286,0.0250,0.0406
57.14,35.71,1.000,0.0143,-0.0286,0.0500,0.0593
57.14,42.86,0.000,0.0143,-0.0143,0.0000,0.0202
57.14,42.86,0.500,0.0143,-0.0143,0.0250,0.0321
57.14,42.86,1.000,0.0143,-0.0143,0.0500,0.0539
57.14,50.00,0.000,0.0143,0.0000,0.0000,0.0143
57.14,50.00,0.500,0.0143,0.0000,0.0250,0.0288
57.14,50.00,1.000,0.0143,0.0000,0.0500,0.0520
57.14,57.14,0.000,0.0143,0.0143,0.0000,0.0202
57.14,57.14,0.500,0.0143,0.0143,0.0250,0.0321
57.14,57.14,1.000,0.0143,0.0143,0.0500,0.0539
57.14,64.29,0.000,0.0143,0.0286,0.0000,0.0319
57.14,64.29,0.500,0.0143,0.0286,0.0250,0.0406
57.14,64.29,1.000,0.0143,0.0286,0.0500,0.0593
57.14,71.43,0.000,0.0143,0.0429,0.0000,0.0452
57.14,71.43,0.500,0.0143,0.0429,0.0250,0.0516
57.14,71.43,1.000,0.0143,0.0429,0.0500,0.0674
57.14,78.57,0.000,0.0143,0.0571,0.0000,0.0589
57.14,78.57,0.500,0.0143,0.0571,0.0250,0.0640
57.14,78.57,1.000,0.0143,0.0571,0.0500,0.0773
57.14,85.71,0.000,0.0143,0.0714,0.0000,0.0728
57.14,85.71,0.500,0.0143,0.0714,0.0250,0.0770
57.14,85.71,1.000,0.0143,0.0714,0.0500,0.0884
57.14,92.86,0.000,0.0143,0.0857,0.0000,0.0869
57.14,92.86,0.500,0.0143,0.0857,0.0250,0.0904
57.14,92.86,1.000,0.0143,0.0857,0.0500,0.1003
57.14,100.00,0.000,0.0143,0.1000,0.0000,0.1010
57.14,100.00,0.500,0.0143,0.1000,0.0250,0.1041
57.14,100.00,1.000,0.0143,0.1000,0.0500,0.1127
64.29,0.00,0.000,0.0286,-0.1000,0.0000,0.1040
64.29,0.00,0.500,0.0286,-0.1000,0.0250,0.1070
64.29,0.00,1.000,0.0286,-0.1000,0.0500,0.1154
64.29,7.14,0.000,0.0286,-0.0857,0.0000,0.0904
64.29,7.14,0.500,0.0286,-0.0857,0.0250,0.0937
64.29,7.14,1.000,0.0286,-0.0857,0.0500,0.1033
64.29,14.29,0.000,0.0286,-0.0714,0.0000,0.0769
64.29,14.29,0.500,0.0286,-0.0714,0.0250,0.0809
64.29,14.29,1.000,0.0286,-0.0714,0.0500,0.0918
64.29,21.43,0.000,0.0286,-0.0571,0.0000,0.0639
