# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
X_mm,Y_mm,Z_mm,Sigma_xx_MPa,Sigma_yy_MPa,Sigma_zz_MPa,Von_Mises_MPa,Component
21.43,50.00,0.000,71.43,80.00,20.00,56.21,anode
21.43,57.14,0.000,71.43,85.71,20.00,59.86,anode
21.43,64.29,0.000,71.43,91.43,20.00,63.82,anode
21.43,71.43,0.000,71.43,97.14,20.00,68.03,anode
21.43,78.57,0.000,71.43,102.86,20.00,72.45,anode
21.43,85.71,0.000,71.43,108.57,20.00,77.04,anode
21.43,92.86,0.000,71.43,114.29,20.00,81.77,anode
21.43,100.00,0.000,71.43,120.00,20.00,86.61,anode
28.57,0.00,0.000,78.57,40.00,20.00,51.57,anode
28.57,7.14,0.000,78.57,45.71,20.00,50.85,anode
28.57,14.29,0.000,78.57,51.43,20.00,50.77,anode
28.57,21.43,0.000,78.57,57.14,20.00,51.33,anode
28.57,28.57,0.000,78.57,62.86,20.00,52.51,anode
28.57,35.71,0.000,78.57,68.57,20.00,54.27,anode
28.57,42.86,0.000,78.57,74.29,20.00,56.55,anode
28.57,50.00,0.000,78.57,80.00,20.00,59.30,anode
28.57,57.14,0.000,78.57,85.71,20.00,62.45,anode
28.57,64.29,0.000,78.57,91.43,20.00,65.95,anode
28.57,71.43,0.000,78.57,97.14,20.00,69.74,anode
28.57,78.57,0.000,78.57,102.86,20.00,73.78,anode
28.57,85.71,0.000,78.57,108.57,20.00,78.02,anode
28.57,92.86,0.000,78.57,114.29,20.00,82.45,anode
28.57,100.00,0.000,78.57,120.00,20.00,87.03,anode
35.71,0.00,0.000,85.71,40.00,20.00,58.34,anode
35.71,7.14,0.000,85.71,45.71,20.00,57.36,anode
35.71,14.29,0.000,85.71,51.43,20.00,56.93,anode
35.71,21.43,0.000,85.71,57.14,20.00,57.07,anode
35.71,28.57,0.000,85.71,62.86,20.00,57.78,anode
35.71,35.71,0.000,85.71,68.57,20.00,59.04,anode
35.71,42.86,0.000,85.71,74.29,20.00,60.81,anode
35.71,50.00,0.000,85.71,80.00,20.00,63.05,anode
35.71,57.14,0.000,85.71,85.71,20.00,65.71,anode
35.71,64.29,0.000,85.71,91.43,20.00,68.75,anode
35.71,71.43,0.000,85.71,97.14,20.00,72.11,anode
35.71,78.57,0.000,85.71,102.86,20.00,75.75,anode
35.71,85.71,0.000,85.71,108.57,20.00,79.64,anode
35.71,92.86,0.000,85.71,114.29,20.00,83.74,anode
35.71,100.00,0.000,85.71,120.00,20.00,88.02,anode
42.86,0.00,0.000,92.86,40.00,20.00,65.20,anode
42.86,7.14,0.000,92.86,45.71,20.00,64.00,anode
42.86,14.29,0.000,92.86,51.43,20.00,63.29,anode
42.86,21.43,0.000,92.86,57.14,20.00,63.10,anode
42.86,28.57,0.000,92.86,62.86,20.00,63.42,anode
42.86,35.71,0.000,92.86,68.57,20.00,64.25,anode
42.86,42.86,0.000,92.86,74.29,20.00,65.57,anode
42.86,50.00,0.000,92.86,80.00,20.00,67.36,anode
42.86,57.14,0.000,92.86,85.71,20.00,69.56,anode
42.86,64.29,0.000,92.86,91.43,20.00,72.15,anode
42.86,71.43,0.000,92.86,97.14,20.00,75.09,anode
42.86,78.57,0.000,92.86,102.86,20.00,78.34,anode
42.86,85.71,0.000,92.86,108.57,20.00,81.85,anode
42.86,92.86,0.000,92.86,114.29,20.00,85.61,anode
42.86,100.00,0.000,92.86,120.00,20.00,89.57,anode
50.00,0.00,0.000,100.00,40.00,20.00,72.11,anode
50.00,7.14,0.000,100.00,45.71,20.00,70.74,anode
50.00,14.29,0.000,100.00,51.43,20.00,69.81,anode
50.00,21.43,0.000,100.00,57.14,20.00,69.34,anode
50.00,28.57,0.000,100.00,62.86,20.00,69.34,anode
50.00,35.71,0.000,100.00,68.57,20.00,69.81,anode
50.00,42.86,0.000,100.00,74.29,20.00,70.74,anode
50.00,50.00,0.000,100.00,80.00,20.00,72.11,anode
50.00,57.14,0.000,100.00,85.71,20.00,73.90,anode
50.00,64.29,0.000,100.00,91.43,20.00,76.08,anode
50.00,71.43,0.000,100.00,97.14,20.00,78.61,anode
50.00,78.57,0.000,100.00,102.86,20.00,81.47,anode
50.00,85.71,0.000,100.00,108.57,20.00,84.61,anode
50.00,92.86,0.000,100.00,114.29,20.00,88.02,anode
50.00,100.00,0.000,100.00,120.00,20.00,91.65,anode
57.14,0.00,0.000,107.14,40.00,20.00,79.06,anode
57.14,7.14,0.000,107.14,45.71,20.00,77.55,anode
57.14,14.29,0.000,107.14,51.43,20.00,76.44,anode
57.14,21.43,0.000,107.14,57.14,20.00,75.74,anode
57.14,28.57,0.000,107.14,62.86,20.00,75.47,anode
57.14,35.71,0.000,107.14,68.57,20.00,75.63,anode
57.14,42.86,0.000,107.14,74.29,20.00,76.22,anode
57.14,50.00,0.000,107.14,80.00,20.00,77.24,anode
57.14,57.14,0.000,107.14,85.71,20.00,78.65,anode
57.14,64.29,0.000,107.14,91.43,20.00,80.45,anode
57.14,71.43,0.000,107.14,97.14,20.00,82.60,anode
57.14,78.57,0.000,107.14,102.86,20.00,85.08,anode
57.14,85.71,0.000,107.14,108.57,20.00,87.87,anode
57.14,92.86,0.000,107.14,114.29,20.00,90.92,anode
57.14,100.00,0.000,107.14,120.00,20.00,94.23,anode
64.29,0.00,0.000,114.29,40.00,20.00,86.05,anode
64.29,7.14,0.000,114.29,45.71,20.00,84.42,anode
64.29,14.29,0.000,114.29,51.43,20.00,83.15,anode
64.29,21.43,0.000,114.29,57.14,20.00,82.26,anode
64.29,28.57,0.000,114.29,62.86,20.00,81.77,anode
64.29,35.71,0.000,114.29,68.57,20.00,81.67,anode
64.29,42.86,0.000,114.29,74.29,20.00,81.97,anode
64.29,50.00,0.000,114.29,80.00,20.00,82.66,anode
64.29,57.14,0.000,114.29,85.71,20.00,83.74,anode
64.29,64.29,0.000,114.29,91.43,20.00,85.19,anode
64.29,71.43,0.000,114.29,97.14,20.00,86.99,anode
64.29,78.57,0.000,114.29,102.86,20.00,89.12,anode
64.29,85.71,0.000,114.29,108.57,20.00,91.56,anode
64.29,92.86,0.000,114.29,114.29,20.00,94.29,anode
64.29,100.00,0.000,114.29,120.00,20.00,97.27,anode
71.43,0.00,0.000,121.43,40.00,20.00,93.05,anode
71.43,7.14,0.000,121.43,45.71,20.00,91.33,anode
71.43,14.29,0.000,121.43,51.43,20.00,89.93,anode
71.43,21.43,0.000,121.43,57.14,20.00,88.88,anode
71.43,28.57,0.000,121.43,62.86,20.00,88.19,anode
71.43,35.71,0.000,121.43,68.57,20.00,87.87,anode
71.43,42.86,0.000,121.43,74.29,20.00,87.91,anode
71.43,50.00,0.000,121.43,80.00,20.00,88.33,anode
71.43,57.14,0.000,121.43,85.71,20.00,89.11,anode
71.43,64.29,0.000,121.43,91.43,20.00,90.25,anode
71.43,71.43,0.000,121.43,97.14,20.00,91.73,anode
71.43,78.57,0.000,121.43,102.86,20.00,93.54,anode
71.43,85.71,0.000,121.43,108.57,20.00,95.65,anode
71.43,92.86,0.000,121.43,114.29,20.00,98.05,anode
71.43,100.00,0.000,121.43,120.00,20.00,100.72,anode
78.57,0.00,0.000,128.57,40.00,20.00,100.08,anode
78.57,7.14,0.000,128.57,45.71,20.00,98.27,anode
78.57,14.29,0.000,128.57,51.43,20.00,96.76,anode
78.57,21.43,0.000,128.57,57.14,20.00,95.58,anode
78.57,28.57,0.000,128.57,62.86,20.00,94.72,anode
78.57,35.71,0.000,128.57,68.57,20.00,94.20,anode
78.57,42.86,0.000,128.57,74.29,20.00,94.03,anode
78.57,50.00,0.000,128.57,80.00,20.00,94.20,anode
78.57,57.14,0.000,128.57,85.71,20.00,94.72,anode
78.57,64.29,0.000,128.57,91.43,20.00,95.58,anode
78.57,71.43,0.000,128.57,97.14,20.00,96.76,anode
78.57,78.57,0.000,128.57,102.86,20.00,98.27,anode
78.57,85.71,0.000,128.57,108.57,20.00,100.08,anode
78.57,92.86,0.000,128.57,114.29,20.00,102.18,anode
78.57,100.00,0.000,128.57,120.00,20.00,104.55,anode
85.71,0.00,0.000,135.71,40.00,20.00,107.12,anode
85.71,7.14,0.000,135.71,45.71,20.00,105.24,anode
85.71,14.29,0.000,135.71,51.43,20.00,103.64,anode
85.71,21.43,0.000,135.71,57.14,20.00,102.33,anode
85.71,28.57,0.000,135.71,62.86,20.00,101.33,anode
85.71,35.71,0.000,135.71,68.57,20.00,100.64,anode
85.71,42.86,0.000,135.71,74.29,20.00,100.28,anode
85.71,50.00,0.000,135.71,80.00,20.00,100.23,anode
85.71,57.14,0.000,135.71,85.71,20.00,100.52,anode
85.71,64.29,0.000,135.71,91.43,20.00,101.13,anode
85.71,71.43,0.000,135.71,97.14,20.00,102.05,anode
85.71,78.57,0.000,135.71,102.86,20.00,103.28,anode
85.71,85.71,0.000,135.71,108.57,20.00,104.81,anode
85.71,92.86,0.000,135.71,114.29,20.00,106.63,anode
85.71,100.00,0.000,135.71,120.00,20.00,108.71,anode
92.86,0.00,0.000,142.86,40.00,20.00,114.18,anode
92.86,7.14,0.000,142.86,45.71,20.00,112.23,anode
92.86,14.29,0.000,142.86,51.43,20.00,110.55,anode
92.86,21.43,0.000,142.86,57.14,20.00,109.13,anode
92.86,28.57,0.000,142.86,62.86,20.00,108.01,anode
92.86,35.71,0.000,142.86,68.57,20.00,107.17,anode
92.86,42.86,0.000,142.86,74.29,20.00,106.64,anode
92.86,50.00,0.000,142.86,80.00,20.00,106.41,anode
92.86,57.14,0.000,142.86,85.71,20.00,106.48,anode
92.86,64.29,0.000,142.86,91.43,20.00,106.87,anode
92.86,71.43,0.000,142.86,97.14,20.00,107.55,anode
92.86,78.57,0.000,142.86,102.86,20.00,108.53,anode
92.86,85.71,0.000,142.86,108.57,20.00,109.81,anode
92.86,92.86,0.000,142.86,114.29,20.00,111.36,anode
92.86,100.00,0.000,142.86,120.00,20.00,113.17,anode
100.00,0.00,0.000,150.00,40.00,20.00,121.24,anode
100.00,7.14,0.000,150.00,45.71,20.00,119.24,anode
100.00,14.29,0.000,150.00,51.43,20.00,117.48,anode
100.00,21.43,0.000,150.00,57.14,20.00,115.98,anode
100.00,28.57,0.000,150.00,62.86,20.00,114.74,anode
100.00,35.71,0.000,150.00,68.57,20.00,113.78,anode
100.00,42.86,0.000,150.00,74.29,20.00,113.09,anode
100.00,50.00,0.000,150.00,80.00,20.00,112.69,anode
100.00,57.14,0.000,150.00,85.71,20.00,112.59,anode
100.00,64.29,0.000,150.00,91.43,20.00,112.77,anode
100.00,71.43,0.000,150.00,97.14,20.00,113.24,anode
100.00,78.57,0.000,150.00,102.86,20.00,113.99,anode
100.00,85.71,0.000,150.00,108.57,20.00,115.02,anode
100.00,92.86,0.000,150.00,114.29,20.00,116.33,anode
100.00,100.00,0.000,150.00,120.00,20.00,117.90,anode
0.00,0.00,0.500,50.00,40.00,50.00,10.00,electrolyte
0.00,7.14,0.500,50.00,51.43,50.00,1.43,electrolyte
0.00,14.29,0.500,50.00,62.86,50.00,12.86,electrolyte
0.00,21.43,0.500,50.00,74.29,50.00,24.29,electrolyte
0.00,28.57,0.500,50.00,85.71,50.00,35.71,electrolyte
0.00,35.71,0.500,50.00,97.14,50.00,47.14,electrolyte
0.00,42.86,0.500,50.00,108.57,50.00,58.57,electrolyte
0.00,50.00,0.500,50.00,120.00,50.00,70.00,electrolyte
0.00,57.14,0.500,50.00,131.43,50.00,81.43,electrolyte
0.00,64.29,0.500,50.00,142.86,50.00,92.86,electrolyte
0.00,71.43,0.500,50.00,154.29,50.00,104.29,electrolyte
0.00,78.57,0.500,50.00,165.71,50.00,115.71,electrolyte
0.00,85.71,0.500,50.00,177.14,50.00,127.14,electrolyte
0.00,92.86,0.500,50.00,188.57,50.00,138.57,electrolyte
0.00,100.00,0.500,50.00,200.00,50.00,150.00,electrolyte
7.14,0.00,0.500,64.29,40.00,50.00,21.14,electrolyte
7.14,7.14,0.500,64.29,51.43,50.00,13.63,electrolyte
7.14,14.29,0.500,64.29,62.86,50.00,13.63,electrolyte
7.14,21.43,0.500,64.29,74.29,50.00,21.14,electrolyte
7.14,28.57,0.500,64.29,85.71,50.00,31.13,electrolyte
7.14,35.71,0.500,64.29,97.14,50.00,41.87,electrolyte
7.14,42.86,0.500,64.29,108.57,50.00,52.90,electrolyte
7.14,50.00,0.500,64.29,120.00,50.00,64.06,electrolyte
7.14,57.14,0.500,64.29,131.43,50.00,75.31,electrolyte
7.14,64.29,0.500,64.29,142.86,50.00,86.60,electrolyte
7.14,71.43,0.500,64.29,154.29,50.00,97.93,electrolyte
7.14,78.57,0.500,64.29,165.71,50.00,109.27,electrolyte
7.14,85.71,0.500,64.29,177.14,50.00,120.64,electrolyte
7.14,92.86,0.500,64.29,188.57,50.00,132.01,electrolyte
7.14,100.00,0.500,64.29,200.00,50.00,143.39,electrolyte
14.29,0.00,0.500,78.57,40.00,50.00,34.67,electrolyte
14.29,7.14,0.500,78.57,51.43,50.00,27.88,electrolyte
14.29,14.29,0.500,78.57,62.86,50.00,24.78,electrolyte
14.29,21.43,0.500,78.57,74.29,50.00,26.69,electrolyte
14.29,28.57,0.500,78.57,85.71,50.00,32.73,electrolyte
14.29,35.71,0.500,78.57,97.14,50.00,41.13,electrolyte
14.29,42.86,0.500,78.57,108.57,50.00,50.73,electrolyte
14.29,50.00,0.500,78.57,120.00,50.00,60.96,electrolyte
14.29,57.14,0.500,78.57,131.43,50.00,71.56,electrolyte
14.29,64.29,0.500,78.57,142.86,50.00,82.38,electrolyte
14.29,71.43,0.500,78.57,154.29,50.00,93.34,electrolyte
14.29,78.57,0.500,78.57,165.71,50.00,104.40,electrolyte
14.29,85.71,0.500,78.57,177.14,50.00,115.54,electrolyte
14.29,92.86,0.500,78.57,188.57,50.00,126.72,electrolyte
14.29,100.00,0.500,78.57,200.00,50.00,137.95,electrolyte
21.43,0.00,0.500,92.86,40.00,50.00,48.63,electrolyte
21.43,7.14,0.500,92.86,51.43,50.00,42.16,electrolyte
21.43,14.29,0.500,92.86,62.86,50.00,38.09,electrolyte
21.43,21.43,0.500,92.86,74.29,50.00,37.23,electrolyte
21.43,28.57,0.500,92.86,85.71,50.00,39.77,electrolyte
21.43,35.71,0.500,92.86,97.14,50.00,45.15,electrolyte
21.43,42.86,0.500,92.86,108.57,50.00,52.51,electrolyte
21.43,50.00,0.500,92.86,120.00,50.00,61.13,electrolyte
21.43,57.14,0.500,92.86,131.43,50.00,70.55,electrolyte
21.43,64.29,0.500,92.86,142.86,50.00,80.50,electrolyte
21.43,71.43,0.500,92.86,154.29,50.00,90.79,electrolyte
21.43,78.57,0.500,92.86,165.71,50.00,101.33,electrolyte
21.43,85.71,0.500,92.86,177.14,50.00,112.04,electrolyte
21.43,92.86,0.500,92.86,188.57,50.00,122.88,electrolyte
21.43,100.00,0.500,92.86,200.00,50.00,133.82,electrolyte
28.57,0.00,0.500,107.14,40.00,50.00,62.74,electrolyte
28.57,7.14,0.500,107.14,51.43,50.00,56.44,electrolyte
28.57,14.29,0.500,107.14,62.86,50.00,51.92,electrolyte
28.57,21.43,0.500,107.14,74.29,50.00,49.67,electrolyte
28.57,28.57,0.500,107.14,85.71,50.00,50.00,electrolyte
28.57,35.71,0.500,107.14,97.14,50.00,52.86,electrolyte
28.57,42.86,0.500,107.14,108.57,50.00,57.87,electrolyte
28.57,50.00,0.500,107.14,120.00,50.00,64.54,electrolyte
28.57,57.14,0.500,107.14,131.43,50.00,72.41,electrolyte
28.57,64.29,0.500,107.14,142.86,50.00,81.13,electrolyte
28.57,71.43,0.500,107.14,154.29,50.00,90.45,electrolyte
28.57,78.57,0.500,107.14,165.71,50.00,100.21,electrolyte
28.57,85.71,0.500,107.14,177.14,50.00,110.30,electrolyte
28.57,92.86,0.500,107.14,188.57,50.00,120.62,electrolyte
28.57,100.00,0.500,107.14,200.00,50.00,131.13,electrolyte
35.71,0.00,0.500,121.43,40.00,50.00,76.92,electrolyte
35.71,7.14,0.500,121.43,51.43,50.00,70.73,electrolyte
35.71,14.29,0.500,121.43,62.86,50.00,65.95,electrolyte
35.71,21.43,0.500,121.43,74.29,50.00,62.91,electrolyte
35.71,28.57,0.500,121.43,85.71,50.00,61.86,electrolyte
35.71,35.71,0.500,121.43,97.14,50.00,62.91,electrolyte
35.71,42.86,0.500,121.43,108.57,50.00,65.95,electrolyte
35.71,50.00,0.500,121.43,120.00,50.00,70.73,electrolyte
35.71,57.14,0.500,121.43,131.43,50.00,76.92,electrolyte
35.71,64.29,0.500,121.43,142.86,50.00,84.21,electrolyte
35.71,71.43,0.500,121.43,154.29,50.00,92.35,electrolyte
35.71,78.57,0.500,121.43,165.71,50.00,101.13,electrolyte
35.71,85.71,0.500,121.43,177.14,50.00,110.39,electrolyte
35.71,92.86,0.500,121.43,188.57,50.00,120.03,electrolyte
35.71,100.00,0.500,121.43,200.00,50.00,129.95,electrolyte
42.86,0.00,0.500,135.71,40.00,50.00,91.13,electrolyte
42.86,7.14,0.500,135.71,51.43,50.00,85.01,electrolyte
42.86,14.29,0.500,135.71,62.86,50.00,80.06,electrolyte
42.86,21.43,0.500,135.71,74.29,50.00,76.52,electrolyte
42.86,28.57,0.500,135.71,85.71,50.00,74.57,electrolyte
42.86,35.71,0.500,135.71,97.14,50.00,74.35,electrolyte
42.86,42.86,0.500,135.71,108.57,50.00,75.88,electrolyte
42.86,50.00,0.500,135.71,120.00,50.00,79.04,electrolyte
42.86,57.14,0.500,135.71,131.43,50.00,83.65,electrolyte
42.86,64.29,0.500,135.71,142.86,50.00,89.50,electrolyte
42.86,71.43,0.500,135.71,154.29,50.00,96.35,electrolyte
42.86,78.57,0.500,135.71,165.71,50.00,104.01,electrolyte
42.86,85.71,0.500,135.71,177.14,50.00,112.31,electrolyte
42.86,92.86,0.500,135.71,188.57,50.00,121.13,electrolyte
42.86,100.00,0.500,135.71,200.00,50.00,130.34,electrolyte
50.00,0.00,0.500,150.00,40.00,50.00,105.36,electrolyte
50.00,7.14,0.500,150.00,51.43,50.00,99.29,electrolyte
50.00,14.29,0.500,150.00,62.86,50.00,94.23,electrolyte
50.00,21.43,0.500,150.00,74.29,50.00,90.34,electrolyte
50.00,28.57,0.500,150.00,85.71,50.00,87.77,electrolyte
50.00,35.71,0.500,150.00,97.14,50.00,86.65,electrolyte
50.00,42.86,0.500,150.00,108.57,50.00,87.03,electrolyte
50.00,50.00,0.500,150.00,120.00,50.00,88.88,electrolyte
50.00,57.14,0.500,150.00,131.43,50.00,92.13,electrolyte
50.00,64.29,0.500,150.00,142.86,50.00,96.63,electrolyte
50.00,71.43,0.500,150.00,154.29,50.00,102.21,electrolyte
50.00,78.57,0.500,150.00,165.71,50.00,108.71,electrolyte
50.00,85.71,0.500,150.00,177.14,50.00,115.98,electrolyte
50.00,92.86,0.500,150.00,188.57,50.00,123.87,electrolyte
50.00,100.00,0.500,150.00,200.00,50.00,132.29,electrolyte
57.14,0.00,0.500,164.29,40.00,50.00,119.60,electrolyte
57.14,7.14,0.500,164.29,51.43,50.00,113.58,electrolyte
57.14,14.29,0.500,164.29,62.86,50.00,108.43,electrolyte
57.14,21.43,0.500,164.29,74.29,50.00,104.29,electrolyte
57.14,28.57,0.500,164.29,85.71,50.00,101.27,electrolyte
57.14,35.71,0.500,164.29,97.14,50.00,99.48,electrolyte
57.14,42.86,0.500,164.29,108.57,50.00,98.98,electrolyte
57.14,50.00,0.500,164.29,120.00,50.00,99.81,electrolyte
57.14,57.14,0.500,164.29,131.43,50.00,101.91,electrolyte
57.14,64.29,0.500,164.29,142.86,50.00,105.22,electrolyte
57.14,71.43,0.500,164.29,154.29,50.00,109.63,electrolyte
57.14,78.57,0.500,164.29,165.71,50.00,115.01,electrolyte
57.14,85.71,0.500,164.29,177.14,50.00,121.23,electrolyte
57.14,92.86,0.500,164.29,188.57,50.00,128.17,electrolyte
57.14,100.00,0.500,164.29,200.00,50.00,135.71,electrolyte
64.29,0.00,0.500,178.57,40.00,50.00,133.85,electrolyte
64.29,7.14,0.500,178.57,51.43,50.00,127.86,electrolyte
64.29,14.29,0.500,178.57,62.86,50.00,122.65,electrolyte
64.29,21.43,0.500,178.57,74.29,50.00,118.31,electrolyte
64.29,28.57,0.500,178.57,85.71,50.00,114.95,electrolyte
64.29,35.71,0.500,178.57,97.14,50.00,112.66,electrolyte
64.29,42.86,0.500,178.57,108.57,50.00,111.49,electrolyte
64.29,50.00,0.500,178.57,120.00,50.00,111.49,electrolyte
64.29,57.14,0.500,178.57,131.43,50.00,112.66,electrolyte
64.29,64.29,0.500,178.57,142.86,50.00,114.95,electrolyte
64.29,71.43,0.500,178.57,154.29,50.00,118.31,electrolyte
64.29,78.57,0.500,178.57,165.71,50.00,122.65,electrolyte
64.29,85.71,0.500,178.57,177.14,50.00,127.86,electrolyte
64.29,92.86,0.500,178.57,188.57,50.00,133.85,electrolyte
64.29,100.00,0.500,178.57,200.00,50.00,140.52,electrolyte
71.43,0.00,0.500,192.86,40.00,50.00,148.11,electrolyte
71.43,7.14,0.500,192.86,51.43,50.00,142.15,electrolyte
71.43,14.29,0.500,192.86,62.86,50.00,136.88,electrolyte
71.43,21.43,0.500,192.86,74.29,50.00,132.40,electrolyte
71.43,28.57,0.500,192.86,85.71,50.00,128.77,electrolyte
71.43,35.71,0.500,192.86,97.14,50.00,126.08,electrolyte
71.43,42.86,0.500,192.86,108.57,50.00,124.38,electrolyte
71.43,50.00,0.500,192.86,120.00,50.00,123.73,electrolyte
71.43,57.14,0.500,192.86,131.43,50.00,124.12,electrolyte
71.43,64.29,0.500,192.86,142.86,50.00,125.56,electrolyte
71.43,71.43,0.500,192.86,154.29,50.00,128.01,electrolyte
71.43,78.57,0.500,192.86,165.71,50.00,131.41,electrolyte
71.43,85.71,0.500,192.86,177.14,50.00,135.68,electrolyte
71.43,92.86,0.500,192.86,188.57,50.00,140.76,electrolyte
71.43,100.00,0.500,192.86,200.00,50.00,146.56,electrolyte
78.57,0.00,0.500,207.14,40.00,50.00,162.37,electrolyte
78.57,7.14,0.500,207.14,51.43,50.00,156.43,electrolyte
78.57,14.29,0.500,207.14,62.86,50.00,151.13,electrolyte
78.57,21.43,0.500,207.14,74.29,50.00,146.52,electrolyte
78.57,28.57,0.500,207.14,85.71,50.00,142.68,electrolyte
78.57,35.71,0.500,207.14,97.14,50.00,139.67,electrolyte
78.57,42.86,0.500,207.14,108.57,50.00,137.55,electrolyte
78.57,50.00,0.500,207.14,120.00,50.00,136.36,electrolyte
78.57,57.14,0.500,207.14,131.43,50.00,136.12,electrolyte
78.57,64.29,0.500,207.14,142.86,50.00,136.84,electrolyte
78.57,71.43,0.500,207.14,154.29,50.00,138.50,electrolyte
78.57,78.57,0.500,207.14,165.71,50.00,141.07,electrolyte
78.57,85.71,0.500,207.14,177.14,50.00,144.50,electrolyte
78.57,92.86,0.500,207.14,188.57,50.00,148.73,electrolyte
78.57,100.00,0.500,207.14,200.00,50.00,153.70,electrolyte
85.71,0.00,0.500,221.43,40.00,50.00,176.64,electrolyte
85.71,7.14,0.500,221.43,51.43,50.00,170.72,electrolyte
85.71,14.29,0.500,221.43,62.86,50.00,165.38,electrolyte
85.71,21.43,0.500,221.43,74.29,50.00,160.67,electrolyte
85.71,28.57,0.500,221.43,85.71,50.00,156.66,electrolyte
85.71,35.71,0.500,221.43,97.14,50.00,153.39,electrolyte
85.71,42.86,0.500,221.43,108.57,50.00,150.92,electrolyte
85.71,50.00,0.500,221.43,120.00,50.00,149.29,electrolyte
85.71,57.14,0.500,221.43,131.43,50.00,148.52,electrolyte
85.71,64.29,0.500,221.43,142.86,50.00,148.63,electrolyte
85.71,71.43,0.500,221.43,154.29,50.00,149.62,electrolyte
85.71,78.57,0.500,221.43,165.71,50.00,151.46,electrolyte
85.71,85.71,0.500,221.43,177.14,50.00,154.13,electrolyte
85.71,92.86,0.500,221.43,188.57,50.00,157.59,electrolyte
85.71,100.00,0.500,221.43,200.00,50.00,161.78,electrolyte
92.86,0.00,0.500,235.71,40.00,50.00,190.91,electrolyte
92.86,7.14,0.500,235.71,51.43,50.00,185.00,electrolyte
92.86,14.29,0.500,235.71,62.86,50.00,179.63,electrolyte
92.86,21.43,0.500,235.71,74.29,50.00,174.84,electrolyte
