sample_id,weld_width_mm,weld_depth_mm,nugget_diameter_mm,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_mm,contact_resistance_mohm,electrical_conductivity_MS_m,grain_size_um,porosity_percent,intermetallic_thickness_um,thermal_conductivity_W_mK,heat_affected_zone_mm,weld_quality_score,surface_roughness_post_weld_um,hardness_HV,crack_density_per_mm2,void_fraction_percent,oxidation_level,weld_penetration_percent,fusion_zone_area_mm2
WLD_000014,1.536,0.101,2.749,162.4,112.7,28.8,7.0608,42.08,42.2,0.86,12.46,46.2,1.548,0.42,4.42,276.8,0.155,1.139,Low,76.7,0.122
WLD_000015,0.694,0.454,2.97,132.6,113.9,40.0,0.5334,28.73,23.0,1.15,6.1,29.0,1.061,0.64,4.9,99.1,0.189,1.054,Medium,95.1,0.247
WLD_000016,2.138,0.187,4.305,124.9,80.3,86.2,1.4746,29.82,24.7,0.4,4.88,29.8,1.985,0.68,1.24,134.3,0.012,-0.006,Low,65.7,0.315
WLD_000017,0.897,0.294,2.604,95.9,71.6,213.1,0.5048,49.62,21.3,0.31,5.77,37.0,0.711,0.66,5.1,220.4,0.018,-0.137,Low,77.2,0.207
WLD_000018,1.182,0.341,3.784,126.1,105.9,225.5,0.7295,30.98,32.9,0.36,9.8,22.3,1.205,0.57,3.36,274.5,0.019,0.353,Low,70.6,0.316
WLD_000019,1.44,0.218,2.532,132.4,109.5,106.9,0.6474,28.17,39.8,0.42,12.0,32.4,1.621,0.57,4.81,175.9,0.0,0.483,Low,79.3,0.246
WLD_000020,0.698,0.415,2.007,71.1,62.0,191.2,1.6395,33.8,14.5,0.5,3.42,34.9,0.467,0.66,3.82,221.4,0.0,0.539,Low,92.2,0.227
WLD_000021,0.983,0.066,2.048,216.0,158.1,3.5,49.7748,30.58,30.7,3.24,9.68,26.5,1.039,0.28,3.95,200.9,0.387,3.237,Medium,87.3,0.051
WLD_000022,0.648,0.289,3.603,57.3,35.1,17.6,3.9502,28.37,21.6,3.03,5.35,23.2,0.632,0.41,3.24,295.0,0.256,2.97,Medium,97.3,0.147
WLD_000023,0.795,0.12,2.481,67.2,56.3,88.9,0.1631,33.84,28.6,0.06,7.57,30.5,0.628,0.61,0.85,106.1,0.017,0.054,Low,74.0,0.075
WLD_000024,0.789,0.102,2.035,50.0,31.1,4.5,6.7773,33.57,11.6,0.87,2.03,27.0,0.596,0.53,4.8,237.9,0.087,0.612,Medium,89.3,0.063
WLD_000025,1.152,0.477,1.374,244.6,135.9,313.1,0.7597,33.55,28.7,0.15,8.08,19.9,1.034,0.73,6.23,206.8,0.055,0.295,Low,86.1,0.431
WLD_000026,1.284,0.308,1.627,265.1,187.1,231.3,1.2622,32.65,35.4,0.56,11.76,26.2,1.434,0.66,4.92,281.1,0.007,0.558,High,73.9,0.31
WLD_000027,0.494,0.43,1.359,50.0,32.6,19.0,8.3307,29.31,10.1,2.11,1.9,23.8,0.406,0.43,1.65,286.8,0.339,2.288,Low,67.2,0.167
WLD_000028,1.092,0.413,3.482,123.1,87.9,278.4,0.5307,31.4,37.8,0.31,10.44,22.6,1.09,0.57,4.77,280.1,0.077,0.477,Low,96.4,0.354
WLD_000029,1.678,0.095,2.273,101.2,77.1,4.7,3.1457,27.88,42.8,0.52,0.33,34.5,1.72,0.72,1.03,213.6,0.0,0.531,Low,63.2,0.125
WLD_000030,0.549,0.101,2.923,50.0,32.2,0.5,2.133,47.05,10.5,1.72,1.13,33.9,0.354,0.62,1.36,258.8,0.143,1.844,High,90.8,0.044
WLD_000031,0.918,0.242,2.261,70.8,66.1,-2.9,41.283,30.09,14.2,2.17,2.84,18.0,1.078,0.38,7.93,130.5,0.162,2.527,Low,75.1,0.174
WLD_000032,0.778,0.316,3.642,50.0,34.9,103.3,1.5369,47.4,32.8,0.28,9.89,39.8,0.786,0.49,5.92,99.4,0.0,0.193,Medium,81.9,0.193
WLD_000033,1.072,0.386,1.584,259.1,197.5,23.8,27.7043,30.45,29.1,1.48,7.2,24.1,0.999,0.46,7.92,85.5,0.178,1.17,High,66.1,0.325
WLD_000034,0.626,0.299,2.42,50.0,31.4,-2.5,3.8445,35.02,10.5,4.75,1.75,38.4,0.366,0.41,4.51,188.1,0.542,4.439,Low,86.6,0.147
WLD_000035,0.634,0.175,3.715,50.0,37.2,18.0,20.0535,30.88,10.9,4.21,2.06,30.6,0.459,0.28,1.4,213.5,0.463,4.403,Low,80.7,0.087
WLD_000036,1.689,0.123,3.985,128.9,105.4,65.1,2.087,29.79,41.6,0.2,12.15,20.0,1.777,0.55,1.98,268.1,0.0,0.249,Medium,84.4,0.163
WLD_000037,1.985,0.221,3.836,50.0,31.5,35.0,3.3883,35.61,22.2,0.45,3.71,34.8,1.728,0.59,1.47,107.8,0.097,0.607,Medium,82.0,0.345
WLD_000038,1.431,0.498,3.773,311.7,200.8,98.7,3.0344,27.58,19.2,0.69,5.15,28.2,1.223,0.76,1.38,198.3,0.174,0.593,High,81.7,0.56
WLD_000039,1.625,0.352,2.922,374.1,229.9,235.8,0.6628,28.86,41.5,0.34,12.59,26.6,1.742,0.72,6.59,200.6,0.083,0.403,Medium,67.2,0.449
WLD_000040,1.35,0.111,3.315,343.7,282.4,11.1,6.0212,27.03,33.5,1.4,10.01,17.2,1.306,0.53,2.12,180.0,0.112,1.147,Low,82.3,0.118
WLD_000041,1.003,0.08,1.866,223.8,184.7,53.9,0.8007,31.27,21.3,0.31,4.78,31.2,0.995,0.78,1.93,291.7,0.0,0.276,Low,75.2,0.063
WLD_000042,2.193,0.235,4.36,50.0,35.7,74.0,3.0079,28.12,24.8,0.34,4.35,31.5,1.886,0.59,4.64,248.6,0.07,0.313,Medium,97.7,0.405
WLD_000043,0.573,0.249,1.303,50.0,34.4,20.8,0.4437,31.67,12.6,3.01,1.35,26.3,0.326,0.6,0.96,173.9,0.176,3.116,High,61.4,0.112
WLD_000044,1.732,0.413,2.749,252.0,154.7,69.7,4.9401,32.54,35.2,0.68,10.59,28.8,1.834,0.55,3.13,98.9,0.066,0.499,Medium,74.1,0.561
WLD_000045,1.34,0.44,3.703,106.5,102.4,172.9,1.4789,30.97,17.3,0.23,3.17,25.9,1.112,0.71,2.51,165.9,0.0,0.371,Medium,73.4,0.463
WLD_000046,2.152,0.317,5.044,207.3,148.3,222.1,0.3654,28.36,28.3,0.0,5.14,26.0,1.926,0.79,4.33,232.5,0.178,-0.117,Low,63.9,0.536
WLD_000047,0.608,0.213,2.131,50.0,37.9,8.4,1.7881,32.48,12.5,2.24,1.65,30.7,0.36,0.59,6.15,264.6,0.012,1.981,High,85.0,0.102
WLD_000048,1.912,0.128,4.644,241.9,163.9,84.2,2.6889,18.57,26.4,0.31,5.19,16.9,1.739,0.74,6.96,214.4,0.0,0.583,Medium,78.5,0.192
WLD_000049,1.986,0.351,4.409,240.6,121.9,142.5,1.4633,20.26,24.3,0.24,5.29,16.3,1.867,0.77,2.55,181.4,0.03,0.531,Low,79.3,0.547
WLD_000050,1.29,0.368,3.302,334.1,209.0,124.3,0.4108,27.84,29.8,0.64,8.0,29.0,1.207,0.76,7.25,106.7,0.0,1.034,Medium,64.5,0.373
WLD_000051,1.846,0.357,4.787,255.8,149.8,279.4,1.7807,29.39,23.1,0.43,4.8,33.7,1.617,0.78,6.46,237.9,0.0,0.082,Medium,84.9,0.517
WLD_000052,0.835,0.142,1.541,63.2,57.4,48.2,0.962,46.43,16.9,0.27,3.0,38.8,0.986,0.69,7.09,255.7,0.0,0.438,Medium,73.4,0.093
WLD_000053,0.911,0.335,1.045,93.4,55.1,143.5,1.0087,33.55,21.0,0.06,0.03,29.5,1.188,0.8,3.62,237.9,0.0,-0.015,Low,89.7,0.24
WLD_000054,1.629,0.226,1.527,166.6,114.6,155.4,0.819,41.23,36.1,0.23,9.01,36.4,1.669,0.63,6.45,181.0,0.064,0.639,High,63.3,0.289
WLD_000055,2.429,0.389,4.207,170.4,108.3,58.1,2.0309,20.05,28.4,0.35,5.07,14.1,2.202,0.7,5.97,140.7,0.011,0.505,Low,62.2,0.741
WLD_000056,1.232,0.256,3.066,305.3,183.4,93.8,0.969,31.09,33.5,0.33,9.57,31.5,1.211,0.72,3.19,211.3,0.193,0.48,Medium,92.9,0.247
WLD_000057,1.296,0.23,3.757,219.7,139.9,28.3,26.5039,19.45,23.9,1.26,5.08,19.7,1.049,0.49,3.65,289.3,0.305,1.143,Medium,94.8,0.234
WLD_000058,0.707,0.323,2.409,94.6,73.2,34.7,9.2337,28.0,17.8,1.22,3.18,23.3,0.556,0.46,1.42,258.9,0.142,1.313,Low,97.7,0.179
WLD_000059,1.345,0.201,2.283,386.3,189.3,56.3,0.8486,26.89,33.7,0.45,10.86,20.5,1.463,0.71,7.67,243.3,0.0,0.56,Medium,77.3,0.212
WLD_000060,0.713,0.274,2.192,50.0,35.6,93.8,1.5013,43.19,12.2,0.89,1.91,35.2,0.635,0.66,7.74,227.0,0.0,0.757,Medium,95.2,0.154
WLD_000061,0.744,0.291,1.75,190.3,124.2,72.8,0.5359,36.65,22.0,0.44,4.88,28.5,0.692,0.75,5.72,261.7,0.123,0.545,Medium,81.6,0.17
WLD_000062,1.079,0.371,2.867,188.1,139.1,171.9,0.1483,21.51,16.9,0.49,3.63,25.3,0.788,0.79,2.46,288.6,0.245,0.58,Low,68.0,0.315
WLD_000063,0.779,0.428,3.215,252.8,174.1,39.3,8.0558,33.37,18.8,1.11,3.65,34.3,0.914,0.61,7.48,199.4,0.065,1.07,Medium,92.9,0.262
WLD_000064,1.179,0.095,2.973,117.9,86.7,54.6,0.3576,28.5,20.2,0.6,4.0,24.4,1.046,0.71,7.52,163.8,0.065,0.857,Low,61.1,0.088
WLD_000065,0.82,0.312,3.55,50.0,33.5,21.3,5.8854,37.48,12.0,1.44,0.34,30.4,0.807,0.56,6.04,220.9,0.116,1.167,Low,81.9,0.201
WLD_000066,0.763,0.149,2.217,103.1,60.3,93.8,0.2116,38.01,32.2,0.15,9.77,26.8,0.804,0.58,7.02,197.9,0.001,-0.017,Low,67.1,0.089
WLD_000067,0.846,0.24,3.536,50.0,30.2,4.0,0.8963,36.57,35.1,4.48,0.23,32.4,0.874,0.54,3.44,164.3,0.533,4.512,High,92.4,0.159
WLD_000068,2.169,0.169,5.188,228.1,153.8,151.2,0.5451,28.38,25.9,0.48,4.5,33.7,1.745,0.79,6.85,119.3,0.013,0.583,Low,80.6,0.287
WLD_000069,0.973,0.125,4.46,50.0,34.5,118.7,0.7622,32.04,13.2,0.19,1.91,31.0,0.734,0.72,3.34,260.1,0.067,0.214,Low,74.3,0.095
WLD_000070,1.103,0.349,3.039,270.2,172.3,126.3,1.4115,29.21,15.9,0.27,3.62,21.6,0.913,0.84,6.19,262.1,0.124,0.408,Medium,77.9,0.302
WLD_000071,2.606,0.36,6.236,263.1,214.3,385.9,1.0071,30.01,27.6,0.33,6.04,20.2,2.233,0.78,7.84,92.5,0.153,0.185,Low,83.2,0.736
WLD_000072,0.702,0.406,2.834,159.7,109.5,178.4,4.0766,31.78,20.0,0.84,4.58,28.6,0.595,0.62,7.47,165.2,0.042,0.938,Low,97.6,0.224
WLD_000073,1.409,0.149,1.945,246.0,224.5,68.5,0.7857,34.84,39.3,0.61,12.5,35.6,1.57,0.65,5.12,91.2,0.14,0.517,Low,66.1,0.165
WLD_000074,1.42,0.263,5.061,50.0,32.5,285.1,1.3036,29.56,16.5,0.14,2.14,31.7,1.203,0.7,5.86,159.7,0.0,0.42,Low,90.4,0.294
WLD_000075,0.761,0.248,3.476,142.5,84.4,79.9,4.5854,31.45,18.0,0.46,4.35,28.0,0.814,0.62,4.13,233.7,0.0,0.435,Medium,62.3,0.148
WLD_000076,0.943,0.444,2.708,50.0,33.8,65.3,12.2773,32.14,11.7,0.99,0.46,29.5,0.666,0.48,7.1,106.2,0.196,0.965,High,79.0,0.328
WLD_000077,1.324,0.091,2.139,278.0,178.6,15.3,2.797,33.34,26.3,1.18,6.44,33.4,1.305,0.69,5.61,180.8,0.173,1.541,Low,85.9,0.095
WLD_000078,0.689,0.356,1.337,50.0,32.6,7.2,1.9078,48.63,14.2,3.91,2.01,41.7,0.738,0.5,3.02,99.4,0.343,3.989,Low,93.5,0.192
WLD_000079,1.465,0.474,2.224,124.6,106.8,25.9,27.4415,30.29,24.8,2.64,7.06,26.2,1.379,0.3,6.97,238.3,0.215,2.677,Low,78.7,0.545
WLD_000080,0.657,0.128,1.279,50.0,36.3,-11.3,2.1536,44.76,11.8,1.25,1.76,35.1,0.434,0.63,1.55,198.1,0.106,1.605,Low,96.9,0.066
WLD_000081,0.682,0.17,2.423,50.0,32.1,-14.6,18.9786,32.19,15.6,2.85,2.93,20.2,0.49,0.33,5.35,211.9,0.289,2.911,Low,94.9,0.091
WLD_000082,1.713,0.29,3.954,242.8,222.1,185.8,2.1905,29.26,29.9,0.55,8.05,25.1,1.554,0.67,2.08,281.8,0.042,0.452,Low,82.0,0.39
WLD_000083,1.423,0.122,3.84,77.0,45.1,84.7,1.9144,35.04,17.5,0.08,0.42,28.7,1.14,0.75,7.22,146.6,0.0,0.39,Low,81.6,0.136
WLD_000084,0.668,0.389,2.444,50.0,30.4,21.6,14.9636,19.83,11.3,1.52,1.14,20.3,0.451,0.44,2.99,116.6,0.233,1.516,Medium,82.9,0.204
WLD_000085,1.302,0.244,2.584,294.4,226.2,167.9,0.0819,33.38,36.0,0.12,9.53,30.3,1.381,0.75,7.31,238.5,0.0,0.387,Low,69.5,0.25
WLD_000086,1.104,0.442,2.657,107.7,70.0,117.4,0.4172,36.22,17.6,0.7,2.52,22.9,0.865,0.73,5.57,169.8,0.061,0.657,Low,71.1,0.383
WLD_000087,0.87,0.124,1.431,60.3,51.4,20.9,2.272,42.49,18.1,1.03,3.22,47.0,0.691,0.61,2.25,205.6,0.098,0.926,Medium,87.8,0.084
WLD_000088,0.923,0.19,2.023,51.4,37.6,10.4,11.9041,35.95,24.2,3.77,0.34,30.4,0.9,0.35,5.49,296.3,0.338,3.646,Low,61.2,0.138
WLD_000089,0.721,0.058,1.112,50.0,39.1,44.0,0.2983,34.37,21.4,0.0,5.87,33.6,0.535,0.64,6.3,294.5,0.043,0.489,Low,97.3,0.033
WLD_000090,2.818,0.197,4.885,141.6,87.3,65.8,3.7125,17.69,27.7,0.53,6.08,18.9,2.608,0.6,2.33,266.2,0.0,0.431,Medium,78.2,0.435
WLD_000091,1.682,0.479,3.997,50.0,41.1,120.8,4.5097,41.08,21.5,0.58,3.66,47.2,1.564,0.56,1.42,236.3,0.037,0.584,High,83.4,0.632
WLD_000092,0.75,0.399,1.786,50.0,33.3,72.8,2.8423,34.84,10.8,1.05,2.15,36.4,0.757,0.61,7.93,225.6,0.12,1.263,Medium,67.3,0.235
WLD_000093,0.737,0.42,3.338,88.0,65.2,-0.4,9.2368,31.66,36.0,3.86,10.79,27.1,0.859,0.15,1.4,203.0,0.391,3.947,Low,60.8,0.243
WLD_000094,0.744,0.453,3.15,50.0,35.5,4.9,9.5724,37.73,11.7,2.19,0.39,31.7,0.639,0.43,7.75,223.1,0.343,2.44,Low,60.8,0.264
WLD_000095,1.567,0.489,1.753,101.4,63.8,199.3,1.7096,34.32,34.3,0.19,0.05,33.1,1.525,0.78,6.2,138.7,0.078,0.094,Medium,83.5,0.602
WLD_000096,1.574,0.441,3.76,146.8,114.8,252.5,2.3374,44.46,29.9,0.0,7.78,43.3,1.471,0.62,6.2,161.7,0.0,0.127,Medium,91.7,0.545
WLD_000097,1.136,0.461,1.35,287.4,213.5,266.7,0.73,35.76,23.1,0.63,5.8,29.6,1.057,0.79,4.66,127.9,0.227,0.778,Medium,76.2,0.411
WLD_000098,0.563,0.282,1.304,50.0,35.0,42.0,7.5014,21.41,9.9,1.03,1.0,26.4,0.251,0.53,7.0,257.6,0.119,1.457,Low,79.8,0.125
WLD_000099,0.949,0.156,1.926,193.0,140.3,68.7,0.7688,27.58,16.6,0.0,3.11,30.4,0.713,0.81,7.0,185.4,0.0,-0.001,Medium,93.9,0.116
WLD_000100,1.054,0.264,3.565,54.3,39.9,114.8,0.4271,33.39,14.5,0.35,2.37,25.2,0.771,0.71,7.12,195.1,0.0,0.383,Medium,68.8,0.218
WLD_000101,0.584,0.278,3.881,50.0,36.8,6.2,7.8353,46.96,11.1,2.15,1.68,31.4,0.356,0.45,5.28,110.9,0.113,2.011,Medium,86.6,0.128
WLD_000102,0.725,0.113,3.676,88.1,51.0,34.0,7.3638,21.58,16.9,0.71,3.28,12.6,0.6,0.52,1.69,241.4,0.114,0.484,Low,86.2,0.064
WLD_000103,0.807,0.274,1.451,74.1,50.8,86.3,1.2145,20.47,20.0,0.28,4.25,24.4,0.534,0.66,7.68,124.6,0.093,0.41,High,74.0,0.173
WLD_000104,1.027,0.122,3.03,64.3,53.4,49.7,2.8374,31.46,11.8,0.44,2.78,39.7,1.059,0.64,3.13,205.5,0.073,0.436,Medium,93.0,0.098
WLD_000105,2.525,0.456,4.871,78.2,63.0,244.9,1.8758,20.21,28.5,0.0,4.94,14.3,2.358,0.64,4.33,127.4,0.069,-0.287,Low,69.4,0.903
WLD_000106,0.625,0.252,1.646,121.1,61.7,70.4,6.7211,31.88,14.0,0.38,2.44,27.0,0.779,0.6,3.35,93.5,0.143,0.469,Low,76.4,0.124
WLD_000107,0.52,0.266,1.808,50.0,32.4,13.9,39.8427,37.11,10.7,6.94,1.28,25.6,0.227,0.26,5.3,115.5,0.657,6.818,Medium,85.2,0.108
WLD_000108,1.615,0.138,2.81,115.3,69.1,94.5,2.63,29.72,21.0,0.22,3.32,16.8,1.404,0.69,6.89,158.4,0.13,0.048,Medium,81.3,0.175
WLD_000109,1.276,0.311,1.742,65.4,42.6,109.6,0.7375,35.29,19.9,0.31,0.16,30.8,1.198,0.77,6.03,130.9,0.141,0.508,Low,89.0,0.312
WLD_000110,1.253,0.241,2.814,279.6,180.7,108.1,3.6126,34.63,37.2,0.13,11.83,25.9,1.416,0.64,5.62,117.0,0.004,0.344,Low,81.2,0.237
WLD_000111,0.913,0.3,2.231,50.0,37.2,165.3,1.633,33.8,13.9,0.41,2.95,23.1,0.669,0.66,5.44,291.9,0.016,0.547,Low,69.7,0.215
WLD_000112,0.814,0.143,3.701,201.9,164.6,39.2,1.8925,38.7,21.4,0.85,5.96,30.4,0.814,0.68,3.28,266.5,0.107,0.857,Low,75.5,0.091
WLD_000113,0.663,0.057,2.509,50.0,35.2,2.6,3.4831,44.79,8.7,0.51,2.22,51.8,0.39,0.62,7.15,158.8,0.022,0.594,Low,95.3,0.03
WLD_000114,0.971,0.351,2.966,192.5,149.4,65.0,0.4571,32.16,20.4,1.0,6.48,24.2,0.837,0.69,3.49,210.6,0.258,1.472,Low,94.2,0.268
WLD_000115,1.295,0.09,1.281,162.7,96.7,40.4,4.1162,34.85,21.5,0.34,2.47,28.7,1.171,0.7,1.95,147.1,0.167,0.348,Low,80.6,0.091
WLD_000116,0.976,0.497,2.058,132.2,75.6,97.8,5.4124,21.28,31.7,0.4,9.45,14.6,0.894,0.47,1.12,269.9,0.015,0.554,High,77.3,0.38
WLD_000117,2.566,0.472,4.845,217.5,169.2,215.1,2.0433,34.75,29.2,0.33,6.31,34.1,2.292,0.71,2.59,241.0,0.183,0.465,Low,93.4,0.95
WLD_000118,1.518,0.276,3.141,269.0,243.2,195.6,0.6534,33.31,39.3,0.48,11.2,34.7,1.611,0.68,7.96,194.8,0.0,0.231,Low,61.1,0.328
WLD_000119,0.513,0.308,1.233,50.0,35.4,32.9,6.8299,33.88,10.9,1.08,2.24,26.4,0.27,0.51,5.85,90.5,0.252,0.999,Low,95.9,0.124
WLD_000120,0.58,0.081,1.316,57.0,43.4,33.2,1.7741,33.51,16.2,0.38,1.59,17.6,0.587,0.69,3.9,151.3,0.048,0.551,High,71.1,0.037
WLD_000121,0.93,0.147,3.527,139.2,86.1,71.1,0.8658,27.99,22.0,0.31,3.74,19.4,0.744,0.74,4.17,294.6,0.276,0.27,Low,76.0,0.107
WLD_000122,1.155,0.105,4.506,208.8,104.2,83.9,0.4961,28.78,18.2,0.35,3.2,27.5,0.863,0.81,4.43,199.7,0.0,0.453,High,75.1,0.095
WLD_000123,1.593,0.287,2.421,243.8,180.6,34.0,0.4169,36.59,22.6,0.99,6.52,24.3,1.477,0.73,7.48,216.0,0.105,0.911,Medium,96.7,0.359
WLD_000124,0.928,0.312,3.567,164.8,107.8,55.1,4.6522,29.69,34.7,0.56,11.44,18.1,1.008,0.49,3.6,225.9,0.0,0.488,Low,81.8,0.227
WLD_000125,0.5,0.439,2.515,50.0,35.2,13.5,21.252,37.32,13.3,2.67,1.94,26.8,0.542,0.36,6.38,271.1,0.406,2.735,High,93.7,0.172
WLD_000126,0.484,0.084,3.405,50.0,39.7,11.5,2.9676,34.16,6.2,1.54,1.49,33.3,0.338,0.6,4.98,209.9,0.231,1.444,Low,65.0,0.032
WLD_000127,0.655,0.452,1.175,50.0,30.3,274.7,0.583,29.3,14.6,0.49,1.8,22.3,0.409,0.71,4.56,118.1,0.019,0.843,Low,70.7,0.232
WLD_000128,1.425,0.235,2.078,50.0,41.9,1.3,40.6626,32.37,21.7,4.42,0.32,29.6,1.285,0.31,6.91,264.9,0.367,4.539,Low,63.7,0.263
WLD_000129,0.574,0.473,2.576,50.0,36.3,14.6,3.5501,47.94,11.4,8.14,1.3,40.2,0.381,0.42,3.29,89.2,0.861,7.955,Medium,61.0,0.213
WLD_000130,0.763,0.468,3.987,50.0,33.9,97.6,3.7124,46.84,13.7,0.44,2.48,36.0,0.649,0.61,1.25,96.9,0.0,0.7,Low,78.7,0.28
WLD_000131,0.731,0.352,2.171,50.0,36.7,121.8,0.4101,35.77,15.8,0.35,0.31,39.7,0.565,0.76,4.36,272.9,0.191,0.551,High,80.5,0.202
WLD_000132,1.2,0.295,1.709,75.8,47.4,169.2,0.4801,29.42,17.3,0.63,3.37,22.6,0.929,0.69,3.83,237.0,0.0,0.853,Low,80.8,0.278
WLD_000133,1.253,0.118,2.045,50.0,37.2,42.8,2.9804,32.8,16.8,0.8,0.24,40.2,1.032,0.67,1.0,102.4,0.0,1.031,Low,72.1,0.116
WLD_000134,0.622,0.417,2.823,50.0,30.1,53.3,4.3871,32.36,16.3,1.73,1.4,16.2,0.3,0.56,3.67,164.0,0.217,1.653,Medium,68.0,0.204
WLD_000135,1.669,0.39,1.029,94.8,54.0,139.5,1.185,36.09,35.9,0.15,0.43,27.6,1.633,0.78,3.2,236.9,0.187,0.043,Low,91.8,0.511
WLD_000136,1.264,0.092,2.963,293.2,205.6,8.2,5.7478,27.86,29.9,1.06,9.43,23.1,1.173,0.56,6.49,274.7,0.0,0.926,High,63.9,0.091
WLD_000137,1.784,0.076,1.526,93.8,60.8,50.1,1.6254,33.61,27.9,0.66,0.31,30.8,1.666,0.75,4.74,271.4,0.0,0.686,High,93.0,0.107
WLD_000138,0.787,0.499,3.37,158.0,85.9,68.0,4.6767,28.9,27.3,0.98,8.16,28.3,0.72,0.51,3.4,159.1,0.022,1.181,Medium,85.5,0.308
WLD_000139,0.891,0.424,1.647,247.4,183.8,38.2,29.3049,19.27,23.3,2.45,5.89,18.5,1.337,0.44,4.56,119.5,0.155,2.271,Low,73.5,0.297
WLD_000140,0.597,0.267,1.51,50.0,38.2,165.7,0.1514,31.06,11.7,0.04,1.31,28.4,0.259,0.75,6.28,272.4,0.058,0.076,Low,82.7,0.125
WLD_000141,0.968,0.076,1.385,85.7,46.3,58.9,0.3899,32.59,35.1,0.55,10.89,22.0,1.032,0.53,0.9,145.2,0.032,0.669,Low,93.7,0.058
WLD_000142,0.593,0.303,1.262,50.0,35.2,2.5,17.6706,31.85,12.2,2.84,1.81,20.0,0.418,0.35,1.7,256.1,0.241,2.763,Low,77.9,0.141
WLD_000143,0.913,0.331,1.249,92.6,58.1,123.3,4.0771,30.9,23.6,0.41,6.5,22.5,0.753,0.54,6.31,130.6,0.0,0.343,Low,95.1,0.237
WLD_000144,1.665,0.295,3.876,364.8,202.1,161.1,2.0069,28.4,31.8,0.0,8.08,19.5,1.515,0.75,4.53,198.0,0.0,0.058,High,91.2,0.386
WLD_000145,1.048,0.438,3.157,169.7,134.7,120.1,1.3061,35.89,37.5,0.57,11.4,29.6,1.078,0.58,3.63,158.3,0.0,0.141,Low,91.1,0.36
WLD_000146,0.931,0.442,3.4,293.9,183.2,125.2,2.224,36.81,21.7,0.58,3.44,31.4,0.937,0.82,1.5,274.9,0.035,0.262,Low,91.7,0.323
WLD_000147,0.532,0.308,2.567,50.0,36.6,16.3,15.3734,30.76,9.5,2.25,0.59,14.2,0.221,0.41,3.01,108.8,0.168,2.57,Low,85.6,0.129
WLD_000148,1.442,0.454,1.397,177.3,107.6,282.7,0.4321,29.63,36.6,0.14,12.07,22.3,1.582,0.63,5.3,272.4,0.0,0.455,Low,94.4,0.513
