sample_id,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_000012,-37.5,85.5,3054,0.5152,0.6079,17.99,98.7,93.8,33142,2.06e-06,12.32,1.87,Intermetallic Embrittlement,3054.0,0.092,0.464,0.743,0.778,1.16,195.0,0.885,0.743
WLD_000013,-26.3,106.3,1975,2.0307,2.3301,14.75,87.1,82.7,6744,9.2e-07,0.24,2.59,Oxidation,1952.7,0.293,0.638,0.74,0.933,0.7,55.1,0.668,0.721
WLD_000014,-25.5,137.3,9856,7.0608,9.8238,39.13,73.4,69.7,7245,1.45e-06,3.21,2.76,Fatigue Cracking,3589.9,1.0,0.275,0.962,0.74,1.49,103.6,0.788,0.914
WLD_000015,-31.9,124.1,721,0.5334,0.6053,13.47,92.2,87.6,11882,2.53e-06,2.68,1.89,Intermetallic Embrittlement,721.0,0.061,0.476,0.679,0.731,4.95,154.6,0.523,0.833
WLD_000016,-24.5,116.4,8104,1.4746,1.87,26.81,84.4,80.2,7910,1.12e-06,2.19,2.46,Fatigue Cracking,3780.7,1.0,0.454,0.604,0.735,2.53,116.3,0.774,0.857
WLD_000017,-21.7,149.8,7917,0.5048,0.6219,23.19,72.0,68.4,4377,1.46e-06,2.39,1.64,Fatigue Cracking,2146.1,1.0,0.428,0.675,0.934,2.35,190.2,0.885,0.812
WLD_000018,-33.9,103.5,8619,0.7295,0.9176,25.78,69.7,66.3,11467,7.6e-07,2.35,2.19,Thermal Degradation,8201.3,0.752,0.341,0.858,0.792,3.42,148.9,0.501,0.875
WLD_000019,-37.7,131.6,5743,0.6474,0.8394,29.66,81.8,77.7,6510,1.75e-06,1.1,2.23,Thermal Degradation,3014.0,0.882,0.362,0.667,0.812,2.58,184.5,0.624,0.937
WLD_000020,-32.9,93.7,1094,1.6395,1.8621,13.58,92.5,87.9,8027,2.15e-06,2.14,1.47,Mechanical Wear,1094.0,0.136,0.727,0.801,0.936,0.39,97.9,0.555,0.724
WLD_000021,-25.4,96.0,127,49.7748,53.2101,6.9,90.0,85.5,9055,2.85e-06,9.17,3.23,Intermetallic Embrittlement,127.0,0.014,0.531,0.777,0.939,0.8,96.2,0.867,0.775
WLD_000022,-23.1,95.7,1613,3.9502,4.4239,11.99,95.5,90.7,2674,2.61e-06,2.13,2.16,Intermetallic Embrittlement,1613.0,0.603,0.507,0.729,0.864,3.44,81.9,0.619,0.92
WLD_000023,-37.0,85.8,4907,0.1631,0.2134,30.85,82.7,78.6,8977,1.09e-06,5.0,2.03,Intermetallic Embrittlement,2231.0,0.547,0.255,0.769,0.871,0.51,127.3,0.519,0.911
WLD_000024,-34.4,89.2,1040,6.7773,8.1374,20.07,96.0,91.2,2702,1.44e-06,4.47,2.2,Interface Delamination,1040.0,0.385,0.479,0.604,0.788,2.99,94.6,0.674,0.745
WLD_000025,-34.8,116.0,2503,0.7597,0.9377,23.43,86.4,82.1,17281,1.5e-06,0.5,1.68,Intermetallic Embrittlement,2503.0,0.145,0.348,0.862,0.869,3.37,165.8,0.5,0.931
WLD_000026,-33.9,141.3,4873,1.2622,1.5662,24.09,71.9,68.3,6218,1.54e-06,4.01,2.01,Intermetallic Embrittlement,3858.8,0.784,0.269,0.862,0.749,2.83,170.7,0.533,0.687
WLD_000027,-21.4,86.5,8232,8.3307,9.8423,18.14,72.0,68.4,5460,2.89e-06,6.29,1.84,Fatigue Cracking,2575.4,1.0,0.479,0.618,0.813,1.17,50.7,0.752,0.891
WLD_000028,-29.8,125.5,1903,0.5307,0.6955,31.05,82.1,78.0,7688,8.8e-07,4.83,1.96,Intermetallic Embrittlement,1903.0,0.248,0.25,0.728,0.727,0.88,58.4,0.869,0.748
WLD_000029,-29.9,130.2,8982,3.1457,4.1937,33.31,67.1,63.7,7864,1.21e-06,1.49,3.28,Fatigue Cracking,4778.0,1.0,0.302,0.909,0.798,4.33,149.4,0.8,0.932
WLD_000030,-29.6,102.7,2425,2.133,2.6026,22.02,90.8,86.3,3970,1.98e-06,4.36,2.27,Thermal Degradation,2425.0,0.611,0.484,0.805,0.906,0.35,191.3,0.769,0.785
WLD_000031,-34.6,115.0,558,41.283,47.2783,14.52,86.4,82.0,2321,1.97e-06,4.63,2.08,Interface Delamination,558.0,0.24,0.487,0.894,0.939,4.66,135.2,0.574,0.788
WLD_000032,-27.0,89.7,1308,1.5369,1.8581,20.9,93.5,88.8,3431,2.22e-06,8.72,1.49,Intermetallic Embrittlement,1308.0,0.381,0.408,0.696,0.921,0.9,195.8,0.585,0.692
WLD_000033,-30.2,131.2,5711,27.7043,33.299,20.19,77.9,74.0,16658,1.19e-06,9.32,1.85,Fatigue Cracking,5711.0,0.343,0.487,0.878,0.814,4.18,194.3,0.862,0.609
WLD_000034,-27.2,139.5,3263,3.8445,4.5014,17.09,82.5,78.4,1930,2.79e-06,3.58,2.36,Mechanical Wear,982.4,1.0,0.642,0.761,0.762,3.37,160.9,0.837,0.777
WLD_000035,-27.4,115.0,5192,20.0535,25.2368,25.85,82.1,78.0,1237,3.05e-06,7.85,2.49,Fatigue Cracking,845.9,1.0,0.452,0.685,0.836,1.77,102.9,0.73,0.63
WLD_000036,-28.7,130.8,2294,2.087,2.5224,20.86,93.2,88.5,3045,1.23e-06,2.19,2.33,Intermetallic Embrittlement,2294.0,0.753,0.407,0.918,0.945,2.31,116.6,0.867,0.634
WLD_000037,-27.9,110.0,8106,3.3883,3.714,9.61,80.2,76.2,5216,7.3e-07,4.83,2.31,Thermal Degradation,1461.0,1.0,0.555,0.741,0.896,4.16,196.2,0.737,0.934
WLD_000038,-37.3,94.6,7526,3.0344,4.0535,33.59,77.0,73.1,58548,1.42e-06,8.22,2.02,Fatigue Cracking,7526.0,0.129,0.349,0.775,0.841,2.33,151.9,0.503,0.656
WLD_000039,-26.2,144.2,8477,0.6628,0.7817,17.94,80.9,76.8,24899,1.43e-06,8.43,2.15,Fatigue Cracking,8327.5,0.34,0.525,0.813,0.734,0.4,96.0,0.808,0.836
WLD_000040,-35.9,136.2,9781,6.0212,8.4798,40.83,71.8,68.2,15300,1.38e-06,6.05,3.05,Fatigue Cracking,4457.5,0.639,0.251,0.873,0.883,0.52,73.4,0.772,0.784
WLD_000041,-35.4,101.7,4622,0.8007,0.9846,22.97,88.2,83.8,21156,1.35e-06,3.59,2.78,Oxidation,4622.0,0.218,0.561,0.796,0.724,1.69,105.2,0.856,0.643
WLD_000042,-21.2,136.1,7144,3.0079,3.9108,30.02,72.4,68.8,3023,8.5e-07,1.68,2.37,Fatigue Cracking,1002.6,1.0,0.362,0.607,0.789,5.0,181.2,0.552,0.89
WLD_000043,-21.4,98.2,5798,0.4437,0.568,28.02,78.9,75.0,4890,2.88e-06,2.21,2.15,Thermal Degradation,3333.5,1.0,0.364,0.732,0.872,4.98,131.8,0.812,0.686
WLD_000044,-30.2,104.0,8301,4.9401,7.0832,43.38,70.2,66.7,26558,1.59e-06,2.53,2.14,Fatigue Cracking,8301.0,0.313,0.217,0.669,0.715,0.59,144.0,0.847,0.727
WLD_000045,-23.2,136.0,1929,1.4789,1.7133,15.85,88.8,84.3,7622,9.4e-07,5.82,1.85,Fatigue Cracking,1929.0,0.253,0.585,0.701,0.741,2.79,71.8,0.632,0.624
WLD_000046,-37.5,129.9,3626,0.3654,0.4759,30.24,93.3,88.6,15322,1.72e-06,1.28,2.12,Intermetallic Embrittlement,3626.0,0.237,0.314,0.63,0.841,3.44,113.9,0.794,0.788
WLD_000047,-28.2,141.7,6775,1.7881,2.3994,34.18,71.9,68.3,2920,1.63e-06,6.09,2.2,Fatigue Cracking,1703.5,1.0,0.318,0.606,0.743,2.6,91.0,0.785,0.672
WLD_000048,-29.1,112.1,3753,2.6889,3.3122,23.18,94.7,89.9,31977,1.21e-06,11.6,3.09,Intermetallic Embrittlement,3753.0,0.117,0.392,0.737,0.845,3.74,61.7,0.85,0.796
WLD_000049,-37.2,148.9,4506,1.4633,1.7688,20.88,86.4,82.0,8584,1.7e-06,8.02,1.97,Intermetallic Embrittlement,3071.7,0.525,0.373,0.714,0.92,0.29,89.2,0.829,0.854
WLD_000050,-23.6,82.3,3952,0.4108,0.4674,13.79,87.7,83.3,78718,1.29e-06,9.59,1.78,Intermetallic Embrittlement,3952.0,0.05,0.45,0.906,0.767,3.76,87.7,0.518,0.642
WLD_000051,-39.0,149.2,8938,1.7807,2.5583,43.67,73.0,69.3,9776,6.6e-07,6.12,2.34,Fatigue Cracking,4207.8,0.914,0.228,0.614,0.707,4.39,99.4,0.871,0.769
WLD_000052,-38.8,105.7,324,0.962,1.1139,15.79,92.8,88.2,2599,2.38e-06,5.0,2.26,Thermal Degradation,324.0,0.125,0.556,0.789,0.756,2.34,162.2,0.831,0.831
WLD_000053,-33.5,141.8,7898,1.0087,1.2934,28.22,79.9,75.9,4675,1.22e-06,0.27,2.09,Fatigue Cracking,2419.7,1.0,0.417,0.938,0.797,4.22,187.5,0.849,0.729
WLD_000054,-35.4,127.2,6509,0.819,1.1287,37.82,84.9,80.7,11907,1.71e-06,5.38,2.03,Fatigue Cracking,3183.2,0.547,0.346,0.661,0.702,2.98,80.5,0.829,0.702
WLD_000055,-40.0,84.3,9798,2.0309,2.8555,40.6,76.8,73.0,19180,9.6e-07,10.75,2.49,Fatigue Cracking,8412.4,0.511,0.278,0.609,0.74,2.07,110.5,0.556,0.649
WLD_000056,-21.3,113.0,6725,0.969,1.2174,25.63,80.0,76.0,60317,1.63e-06,2.62,2.2,Thermal Degradation,6725.0,0.111,0.394,0.679,0.722,2.68,146.9,0.85,0.862
WLD_000057,-39.0,85.2,5073,26.5039,31.6827,19.54,71.4,67.8,22292,1.78e-06,13.6,2.04,Thermal Degradation,5073.0,0.228,0.412,0.657,0.72,2.99,135.0,0.796,0.858
WLD_000058,-36.1,88.8,9764,9.2337,11.3554,22.98,74.9,71.1,9715,1.75e-06,8.14,2.06,Fatigue Cracking,3957.0,1.0,0.445,0.727,0.859,3.06,127.3,0.553,0.85
WLD_000059,-31.9,82.2,1718,0.8486,0.9833,15.88,96.1,91.3,46939,1.11e-06,7.99,2.45,Intermetallic Embrittlement,1718.0,0.037,0.472,0.866,0.711,2.99,142.3,0.862,0.888
WLD_000060,-28.4,85.1,6305,1.5013,1.7273,15.05,95.1,90.3,7984,8.7e-07,3.16,1.95,Fatigue Cracking,3333.1,0.79,0.625,0.821,0.778,4.52,130.5,0.756,0.79
WLD_000061,-28.6,91.9,5200,0.5359,0.6458,20.5,88.4,84.0,25216,9.9e-07,2.51,1.9,Fatigue Cracking,5200.0,0.206,0.537,0.797,0.859,0.71,150.0,0.561,0.923
WLD_000062,-37.6,130.3,6772,0.1483,0.2023,36.41,79.1,75.1,11419,1.62e-06,12.16,1.93,Fatigue Cracking,4268.9,0.593,0.331,0.612,0.888,0.77,79.4,0.558,0.827
WLD_000063,-23.6,125.9,3189,8.0558,9.6634,19.96,83.7,79.5,29064,9.5e-07,1.6,1.79,Interface Delamination,3189.0,0.11,0.419,0.931,0.72,3.69,152.8,0.704,0.907
WLD_000064,-36.7,99.0,3665,0.3576,0.4196,17.33,95.7,90.9,12309,1.67e-06,3.33,3.19,Mechanical Wear,3665.0,0.298,0.705,0.682,0.933,2.06,197.9,0.829,0.794
WLD_000065,-33.9,134.5,6998,5.8854,7.5579,28.42,90.4,85.9,2071,1.89e-06,1.41,1.66,Fatigue Cracking,638.5,1.0,0.468,0.607,0.729,4.39,139.0,0.785,0.715
WLD_000066,-27.8,147.3,7805,0.2116,0.2821,33.31,66.8,63.4,3094,1.79e-06,2.74,1.94,Fatigue Cracking,1083.7,1.0,0.301,0.834,0.703,2.37,185.4,0.515,0.641
WLD_000067,-20.8,120.2,2398,0.8963,1.0665,18.98,79.6,75.6,5671,2.31e-06,0.69,2.42,Oxidation,2398.0,0.423,0.558,0.959,0.775,3.03,134.8,0.82,0.61
WLD_000068,-28.4,85.1,3336,0.5451,0.5809,6.56,85.4,81.1,34442,1.83e-06,6.65,2.92,Oxidation,3336.0,0.097,0.711,0.62,0.854,1.65,145.5,0.617,0.676
WLD_000069,-32.2,107.8,3773,0.7622,0.9541,25.18,85.2,81.0,2303,2.8e-07,5.77,2.23,Intermetallic Embrittlement,1772.9,1.0,0.324,0.703,0.89,4.07,152.9,0.873,0.905
WLD_000070,-33.9,85.4,2331,1.4115,1.5935,12.89,90.9,86.3,44354,1.26e-06,10.57,1.77,Interface Delamination,2331.0,0.053,0.525,0.816,0.774,1.74,136.1,0.684,0.731
WLD_000071,-33.9,144.5,7427,1.0071,1.3158,30.65,76.8,72.9,11758,1.4e-06,5.45,2.29,Fatigue Cracking,7427.0,0.632,0.377,0.611,0.741,4.92,167.6,0.6,0.789
WLD_000072,-31.7,117.9,5912,4.0766,5.8848,44.36,81.3,77.2,13228,1.49e-06,6.62,1.59,Fatigue Cracking,5525.6,0.447,0.263,0.921,0.72,2.3,127.4,0.589,0.87
WLD_000073,-34.1,82.6,6582,0.7857,1.0465,33.19,81.5,77.4,49487,1.07e-06,5.69,2.64,Fatigue Cracking,6582.0,0.133,0.375,0.925,0.831,4.29,103.6,0.604,0.71
WLD_000074,-31.4,117.7,4321,1.3036,1.6186,24.17,90.2,85.7,4617,1.85e-06,4.18,1.75,Thermal Degradation,1328.7,0.936,0.459,0.618,0.907,1.0,95.5,0.632,0.781
WLD_000075,-36.5,144.0,5379,4.5854,5.1706,12.76,77.2,73.4,4493,1.62e-06,5.07,1.69,Thermal Degradation,1723.8,1.0,0.509,0.81,0.774,2.53,96.0,0.761,0.606
WLD_000076,-28.1,109.1,8036,12.2773,17.7453,44.54,77.5,73.6,3903,2.09e-06,1.81,1.92,Thermal Degradation,1835.5,1.0,0.192,0.648,0.737,4.07,53.6,0.822,0.733
WLD_000077,-39.7,132.1,5559,2.797,3.6126,29.16,85.3,81.0,6888,2.13e-06,3.69,2.77,Thermal Degradation,5559.0,0.807,0.385,0.887,0.849,0.27,139.9,0.878,0.704
WLD_000078,-29.8,141.9,7030,1.9078,2.6629,39.58,76.4,72.6,2216,1.83e-06,6.8,1.92,Thermal Degradation,1263.0,1.0,0.236,0.725,0.754,3.24,63.0,0.824,0.914
WLD_000079,-32.1,82.6,6605,27.4415,31.3969,14.41,76.3,72.5,5474,2.8e-06,2.76,2.16,Fatigue Cracking,3046.9,1.0,0.537,0.785,0.925,2.09,97.7,0.765,0.709
WLD_000080,-29.1,109.7,1705,2.1536,2.5575,18.75,96.1,91.3,3838,1.88e-06,5.03,1.99,Oxidation,1705.0,0.444,0.643,0.819,0.944,1.33,84.9,0.558,0.799
WLD_000081,-21.4,139.9,6841,18.9786,27.7409,46.17,78.4,74.5,1141,2.27e-06,0.65,2.05,Fatigue Cracking,607.5,1.0,0.231,0.796,0.8,0.78,71.0,0.754,0.637
WLD_000082,-33.4,104.2,1433,2.1905,2.5525,16.53,90.3,85.8,27702,1.38e-06,3.54,2.02,Intermetallic Embrittlement,1433.0,0.052,0.436,0.93,0.914,4.18,134.3,0.72,0.849
WLD_000083,-21.0,113.0,5629,1.9144,2.3931,25.0,85.0,80.7,6457,9.4e-07,0.53,3.0,Fatigue Cracking,2389.9,0.872,0.475,0.646,0.801,2.13,103.6,0.636,0.844
WLD_000084,-39.5,138.0,1324,14.9636,17.1463,14.59,79.1,75.1,1326,2.32e-06,11.3,1.82,Interface Delamination,740.8,0.998,0.449,0.78,0.776,0.55,164.2,0.897,0.761
WLD_000085,-25.9,140.7,3766,0.0819,0.104,27.01,90.2,85.7,19851,1.2e-06,2.73,2.03,Intermetallic Embrittlement,3766.0,0.19,0.331,0.795,0.823,4.33,134.1,0.781,0.806
WLD_000086,-23.3,89.7,2365,0.4172,0.4627,10.91,94.2,89.5,18935,2.29e-06,6.22,1.82,Intermetallic Embrittlement,2365.0,0.125,0.512,0.958,0.829,1.46,174.0,0.853,0.621
WLD_000087,-22.2,112.7,1604,2.272,2.6803,17.97,93.6,88.9,5061,1.95e-06,8.2,2.38,Oxidation,1604.0,0.317,0.638,0.901,0.946,0.62,54.0,0.843,0.84
WLD_000088,-38.5,135.8,8666,11.9041,15.8465,33.12,72.1,68.5,543,3.18e-06,-2.21,2.6,Fatigue Cracking,368.7,1.0,0.329,0.614,0.921,1.39,154.6,0.572,0.73
WLD_000089,-22.0,124.4,2799,0.2983,0.33,10.61,86.6,82.2,4057,1.19e-06,1.11,2.68,Intermetallic Embrittlement,2405.1,0.69,0.477,0.604,0.733,0.62,164.5,0.586,0.769
WLD_000090,-37.4,80.0,7459,3.7125,4.4195,19.04,83.5,79.3,14575,2.04e-06,11.03,3.1,Fatigue Cracking,6186.6,0.512,0.527,0.601,0.77,3.3,166.7,0.547,0.707
WLD_000091,-33.3,98.8,1585,4.5097,5.2221,15.8,89.2,84.7,4284,1.66e-06,4.03,1.82,Interface Delamination,1585.0,0.37,0.488,0.675,0.879,0.75,105.4,0.867,0.696
WLD_000092,-30.0,119.4,7185,2.8423,4.018,41.36,79.9,75.9,2297,1.98e-06,6.33,1.05,Fatigue Cracking,1577.8,1.0,0.286,0.773,0.835,4.94,125.2,0.843,0.846
WLD_000093,-36.7,103.7,1196,9.2368,11.3019,22.36,93.1,88.5,1942,2.35e-06,0.79,2.08,Intermetallic Embrittlement,848.1,0.616,0.392,0.737,0.867,1.77,183.9,0.818,0.845
WLD_000094,-27.7,145.7,6456,9.5724,12.0428,25.81,74.6,70.9,1579,2.13e-06,-3.04,1.81,Fatigue Cracking,711.7,1.0,0.415,0.857,0.789,0.24,185.8,0.572,0.906
WLD_000095,-21.6,140.3,3962,1.7096,1.9111,11.79,85.3,81.1,3564,1.1e-06,-1.26,2.04,Fatigue Cracking,3962.0,1.0,0.609,0.926,0.927,2.52,180.3,0.729,0.797
WLD_000096,-29.9,139.5,5539,2.3374,3.1551,34.98,93.0,88.4,5388,1.74e-06,3.88,2.07,Fatigue Cracking,2354.9,1.0,0.415,0.731,0.925,4.48,189.4,0.843,0.714
WLD_000097,-33.5,128.4,2705,0.73,0.7894,8.14,90.8,86.3,21823,4.9e-07,0.7,1.78,Intermetallic Embrittlement,2705.0,0.124,0.523,0.76,0.89,4.11,93.5,0.763,0.762
WLD_000098,-34.2,112.1,219,7.5014,8.5302,13.71,91.5,86.9,3018,1.35e-06,12.49,1.75,Interface Delamination,219.0,0.073,0.52,0.677,0.898,1.65,156.8,0.667,0.614
WLD_000099,-35.7,126.4,2416,0.7688,0.943,22.66,91.0,86.4,18448,1e-06,5.98,2.04,Mechanical Wear,2416.0,0.131,0.628,0.872,0.796,2.79,128.8,0.703,0.626
WLD_000100,-20.4,101.4,8931,0.4271,0.5076,18.86,83.1,78.9,11085,5.7e-07,0.44,2.21,Fatigue Cracking,4513.6,0.806,0.527,0.863,0.904,4.03,196.8,0.576,0.925
WLD_000101,-26.8,80.5,2374,7.8353,8.5834,9.55,80.6,76.6,4229,2.43e-06,8.69,2.05,Interface Delamination,2374.0,0.561,0.507,0.816,0.946,4.58,158.4,0.677,0.763
WLD_000102,-39.7,142.0,9330,7.3638,10.7923,46.56,72.0,68.4,3946,2.14e-06,10.75,1.96,Thermal Degradation,1465.3,1.0,0.144,0.743,0.859,4.43,168.1,0.762,0.788
WLD_000103,-32.1,115.0,9479,1.2145,1.4726,21.26,75.1,71.3,5796,1.19e-06,11.24,1.62,Fatigue Cracking,4308.4,1.0,0.463,0.867,0.883,0.48,190.1,0.725,0.729
WLD_000104,-22.9,82.5,4254,2.8374,3.1134,9.73,91.3,86.7,11898,2.16e-06,2.19,2.34,Oxidation,4254.0,0.358,0.709,0.641,0.815,3.98,76.1,0.515,0.889
WLD_000105,-37.4,113.3,6335,1.8758,2.374,26.56,77.5,73.7,5269,8.6e-07,13.66,2.21,Fatigue Cracking,2447.3,1.0,0.422,0.926,0.788,3.72,147.2,0.618,0.802
WLD_000106,-20.3,147.0,4737,6.7211,8.4632,25.92,93.3,88.7,10596,1.26e-06,6.62,1.91,Interface Delamination,2823.5,0.447,0.407,0.704,0.855,3.29,138.0,0.514,0.909
WLD_000107,-36.3,102.8,5521,39.8427,49.3455,23.85,84.3,80.0,1576,3.99e-06,7.18,2.15,Thermal Degradation,1139.2,1.0,0.433,0.806,0.707,1.0,194.5,0.839,0.74
WLD_000108,-25.8,96.6,7544,2.63,3.7063,40.92,80.4,76.4,17448,1.66e-06,2.08,2.57,Fatigue Cracking,6157.0,0.432,0.293,0.82,0.949,0.43,153.3,0.747,0.706
WLD_000109,-39.0,137.2,7717,0.7375,0.9287,25.92,83.3,79.1,3967,1.2e-06,1.88,2.1,Fatigue Cracking,668.5,1.0,0.457,0.85,0.825,2.68,165.7,0.537,0.7
WLD_000110,-35.7,147.6,9068,3.6126,4.3879,21.46,70.9,67.3,10454,1.37e-06,4.07,1.92,Thermal Degradation,3216.6,0.867,0.39,0.814,0.895,4.82,136.7,0.846,0.618
WLD_000111,-20.4,130.2,5939,1.633,2.0948,28.28,83.0,78.8,2357,1.12e-06,5.57,1.82,Fatigue Cracking,1782.0,1.0,0.432,0.865,0.919,0.52,139.4,0.686,0.782
WLD_000112,-34.6,122.6,6907,1.8925,2.4012,26.88,86.0,81.7,11659,7e-07,5.13,2.13,Fatigue Cracking,2478.4,0.592,0.461,0.897,0.781,3.92,57.0,0.661,0.671
WLD_000113,-39.7,98.2,9748,3.4831,4.3391,24.58,79.7,75.7,5577,2.4e-06,7.95,2.71,Fatigue Cracking,1394.6,1.0,0.453,0.626,0.852,4.16,195.8,0.631,0.816
WLD_000114,-26.3,132.9,3376,0.4571,0.5598,22.46,71.7,68.1,15032,1.99e-06,1.81,1.79,Intermetallic Embrittlement,3376.0,0.225,0.284,0.757,0.828,4.76,180.5,0.635,0.822
WLD_000115,-36.4,90.0,1276,4.1162,4.8551,17.95,99.2,94.3,23134,1.4e-06,3.65,2.83,Intermetallic Embrittlement,1276.0,0.055,0.467,0.874,0.857,1.4,65.2,0.77,0.764
WLD_000116,-38.3,142.6,8934,5.4124,7.0824,30.85,75.5,71.7,3132,2.49e-06,10.91,1.9,Fatigue Cracking,1365.6,1.0,0.369,0.96,0.919,2.7,134.9,0.825,0.797
WLD_000117,-32.7,140.8,240,2.0433,2.3648,15.73,93.0,88.4,6422,9.2e-07,6.21,1.98,Intermetallic Embrittlement,240.0,0.037,0.458,0.873,0.774,3.27,120.0,0.776,0.854
WLD_000118,-35.0,124.3,7383,0.6534,0.8588,31.43,78.4,74.5,11336,1.13e-06,1.17,2.16,Thermal Degradation,6123.9,0.651,0.328,0.875,0.909,4.13,138.1,0.608,0.654
WLD_000119,-25.1,118.3,5480,6.8299,8.6248,26.28,79.1,75.1,2236,2.46e-06,1.38,1.6,Thermal Degradation,1307.8,1.0,0.383,0.75,0.859,3.8,148.7,0.826,0.831
WLD_000120,-23.4,88.0,3107,1.7741,2.2457,26.58,93.4,88.7,3686,1.4e-06,6.12,2.39,Interface Delamination,3107.0,0.843,0.401,0.887,0.765,3.36,56.5,0.639,0.701
WLD_000121,-22.6,145.8,1048,0.8658,0.9988,15.37,100.0,95.0,6440,1.33e-06,2.86,2.09,Interface Delamination,1048.0,0.163,0.546,0.899,0.917,1.74,132.2,0.523,0.762
WLD_000122,-37.5,132.0,4290,0.4961,0.5812,17.16,93.0,88.3,6469,1.4e-06,2.17,2.21,Oxidation,4290.0,0.663,0.643,0.804,0.788,1.37,65.6,0.871,0.925
WLD_000123,-35.3,141.6,1879,0.4169,0.4519,8.4,93.1,88.4,9613,2.03e-06,5.19,2.09,Intermetallic Embrittlement,1879.0,0.195,0.531,0.954,0.758,4.8,52.8,0.846,0.858
WLD_000124,-36.5,92.3,6181,4.6522,6.5667,41.15,76.5,72.7,5998,9.5e-07,6.96,1.99,Thermal Degradation,5362.5,1.0,0.221,0.892,0.717,1.45,178.6,0.699,0.736
WLD_000125,-31.2,113.6,4148,21.252,24.4221,14.92,79.5,75.6,1988,2.31e-06,3.13,1.99,Interface Delamination,1502.6,1.0,0.449,0.652,0.896,3.43,97.4,0.896,0.869
WLD_000126,-39.1,85.7,970,2.9676,3.5615,20.01,96.6,91.7,6885,2.48e-06,3.79,2.28,Intermetallic Embrittlement,970.0,0.141,0.433,0.899,0.817,2.29,195.2,0.836,0.827
WLD_000127,-20.9,121.5,3446,0.583,0.7145,22.55,87.0,82.6,8766,1.33e-06,2.25,1.47,Mechanical Wear,3149.5,0.393,0.609,0.946,0.918,2.4,123.5,0.75,0.875
