sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um
WLD_000033,Titanium,Copper,385.7,Oxide-cleaned,Silver-plated,Cold Welding,1720.8,,294.5,2.665,,489.0,92.3,18.7,46.1,Copper,Air,4.6
WLD_000034,Nickel,Copper,299.2,Silver-plated,Bare,Laser Welding,415.8,,108.4,0.03,199.2,697.2,69.9,33.6,66.9,Tungsten,Helium,0.62
WLD_000035,Copper,Steel,174.8,Silver-plated,Silver-plated,Laser Welding,837.7,,114.7,0.027,78.5,260.7,78.9,22.8,31.6,Copper,Helium,3.05
WLD_000036,Brass,Aluminum,123.2,Anodized,Tin-plated,Electron Beam Welding,3774.0,,1764.4,4.6,,275.8,41.4,31.2,50.6,Tungsten,Argon,1.95
WLD_000037,Copper,Nickel,221.4,Anodized,Tin-plated,Resistance Spot Welding,4983.6,,785.8,0.133,,,37.4,19.3,30.7,Graphite,Argon,2.72
WLD_000038,Copper,Steel,498.5,Oxide-cleaned,Passivated,Electron Beam Welding,2959.3,40.9,761.2,1.065,,,46.9,30.9,73.9,Tungsten,Helium,1.42
WLD_000039,Titanium,Copper,352.2,Nickel-plated,Anodized,Cold Welding,3359.2,,2458.3,4.841,,295.0,82.4,31.3,51.0,Tungsten,Nitrogen,4.04
WLD_000040,Titanium,Copper,111.4,Silver-plated,Nickel-plated,Cold Welding,2510.7,57.7,318.5,3.646,138.0,149.0,88.1,31.5,64.9,Tungsten,Argon,2.51
WLD_000041,Nickel,Copper,79.8,Oxide-cleaned,Nickel-plated,Cold Welding,2071.9,,1918.5,1.239,,,36.6,20.4,37.6,Graphite,Helium,0.99
WLD_000042,Brass,Aluminum,235.2,Electropolished,Tin-plated,Resistance Spot Welding,5672.9,,1275.4,0.273,,,25.3,22.7,38.4,Copper,None,2.79
WLD_000043,Copper,Steel,257.4,Nickel-plated,Anodized,Laser Welding,344.6,,165.0,0.033,27.5,481.7,109.4,20.7,55.6,Graphite,None,0.11
WLD_000044,Nickel,Copper,412.8,Bare,Tin-plated,Electron Beam Welding,3947.8,92.8,746.5,3.812,217.6,,39.2,29.7,36.7,Molybdenum,Air,2.71
WLD_000045,Copper,Steel,440.2,Anodized,Tin-plated,Resistance Spot Welding,2697.3,,1711.6,0.44,,,22.6,21.6,46.1,Tungsten,Helium,1.24
WLD_000046,Copper,Steel,317.1,Silver-plated,Nickel-plated,Resistance Spot Welding,5541.8,,2658.1,0.626,,,115.8,28.0,57.9,Graphite,Air,1.96
WLD_000047,Copper,Steel,213.4,Nickel-plated,Electropolished,Laser Welding,564.3,,249.1,0.034,187.4,8.5,49.3,26.3,48.3,Tungsten,Air,0.53
WLD_000048,Aluminum,Steel,128.0,Passivated,Bare,Resistance Spot Welding,4671.6,,2346.8,0.984,,,34.6,34.5,49.9,Graphite,Argon,2.5
WLD_000049,Aluminum,Steel,350.9,Bare,Nickel-plated,Resistance Spot Welding,5001.3,,1759.9,0.793,,,44.3,25.2,46.2,Copper,Helium,1.29
WLD_000050,Titanium,Copper,368.3,Anodized,Electropolished,Cold Welding,2408.7,,1469.4,2.686,,,37.5,34.8,33.2,Copper,Nitrogen,0.53
WLD_000051,Titanium,Copper,356.7,Bare,Bare,Resistance Spot Welding,4312.2,,3227.5,0.815,,,33.9,30.7,72.5,Tungsten,None,3.68
WLD_000052,Copper,Aluminum,142.3,Tin-plated,Tin-plated,Ultrasonic Welding,2352.8,33.0,1699.5,0.366,,,123.4,20.8,40.1,Copper,None,4.09
WLD_000053,Aluminum,Aluminum,335.2,Anodized,Silver-plated,Ultrasonic Welding,2693.0,25.7,1651.5,0.934,,,69.0,23.1,53.1,Molybdenum,Argon,1.24
WLD_000054,Copper,Aluminum,226.2,Nickel-plated,Anodized,Electron Beam Welding,3644.6,16.1,2822.5,3.157,,,123.2,27.1,61.0,Molybdenum,Air,3.96
WLD_000055,Aluminum,Steel,388.6,Oxide-cleaned,Oxide-cleaned,Resistance Spot Welding,6207.6,,650.9,0.613,,,119.1,23.8,73.8,Tungsten,None,0.64
WLD_000056,Nickel,Copper,255.7,Silver-plated,Electropolished,Electron Beam Welding,2251.5,,1256.4,3.871,,282.8,113.1,32.1,60.0,Tungsten,Nitrogen,1.78
WLD_000057,Aluminum,Steel,230.4,Passivated,Nickel-plated,Cold Welding,2536.8,18.2,347.3,1.317,179.9,,139.4,18.4,69.5,Molybdenum,Nitrogen,3.88
WLD_000058,Titanium,Copper,323.0,Anodized,Tin-plated,Electron Beam Welding,596.1,91.5,412.3,1.218,,,128.9,23.3,46.6,Molybdenum,None,1.96
WLD_000059,Copper,Steel,200.8,Silver-plated,Bare,Electron Beam Welding,2494.1,,1272.8,4.324,142.4,,139.4,18.6,59.4,Molybdenum,Air,1.32
WLD_000060,Copper,Aluminum,274.3,Anodized,Oxide-cleaned,Ultrasonic Welding,1406.0,33.2,1301.3,0.125,,,106.3,34.3,38.9,Copper,Helium,2.13
WLD_000061,Nickel,Copper,290.8,Electropolished,Bare,Ultrasonic Welding,1274.8,25.9,910.9,1.62,,,65.4,28.6,53.4,Copper,Air,0.42
WLD_000062,Aluminum,Steel,371.3,Nickel-plated,Nickel-plated,Cold Welding,1874.9,,1700.9,0.818,,473.1,68.5,28.9,43.5,Graphite,Argon,0.22
WLD_000063,Nickel,Copper,427.9,Passivated,Oxide-cleaned,Ultrasonic Welding,1879.3,20.2,472.6,1.06,,,97.4,27.7,47.0,Molybdenum,Argon,2.83
WLD_000064,Brass,Aluminum,94.7,Electropolished,Electropolished,Cold Welding,2492.2,96.5,2836.0,0.748,,,31.3,30.5,61.7,Copper,Air,0.7
WLD_000065,Aluminum,Aluminum,312.4,Silver-plated,Nickel-plated,Laser Welding,1830.2,,312.4,0.034,166.8,363.7,24.4,23.9,71.5,Graphite,Argon,2.24
WLD_000066,Nickel,Copper,148.8,Nickel-plated,Anodized,Friction Stir Welding,732.4,51.3,2688.9,4.009,,,54.9,28.8,57.1,Molybdenum,Argon,0.78
WLD_000067,Aluminum,Aluminum,239.8,Nickel-plated,Nickel-plated,Electron Beam Welding,852.4,,104.3,4.576,,137.1,92.0,32.1,62.6,Molybdenum,None,0.15
WLD_000068,Copper,Steel,168.7,Passivated,Anodized,Resistance Spot Welding,5181.9,,3202.3,0.699,,,42.8,25.1,75.7,Graphite,Nitrogen,2.17
WLD_000069,Copper,Nickel,124.8,Tin-plated,Bare,Resistance Spot Welding,1632.4,,3969.4,0.161,,,128.8,33.6,51.9,Molybdenum,Air,4.75
WLD_000070,Titanium,Copper,348.7,Anodized,Anodized,Electron Beam Welding,2038.3,,1642.5,0.852,254.7,77.4,101.0,23.9,53.7,Graphite,Argon,2.12
WLD_000071,Copper,Steel,359.8,Nickel-plated,Bare,Resistance Spot Welding,6733.7,,4097.4,0.725,,,55.4,24.1,59.5,Graphite,Air,4.59
WLD_000072,Copper,Steel,405.5,Bare,Passivated,Ultrasonic Welding,962.8,31.7,1758.6,1.491,,,124.9,29.8,62.9,Tungsten,Argon,4.53
WLD_000073,Nickel,Copper,149.5,Nickel-plated,Bare,Electron Beam Welding,2745.7,,1785.4,4.997,144.6,,35.7,21.3,66.6,Graphite,Nitrogen,2.17
WLD_000074,Copper,Steel,263.4,Anodized,Silver-plated,Resistance Spot Welding,3233.7,,4230.1,0.133,,,97.5,20.0,41.5,Tungsten,Air,3.51
WLD_000075,Brass,Aluminum,248.5,Passivated,Silver-plated,Ultrasonic Welding,1846.0,36.5,1501.9,1.088,,,75.5,25.1,73.8,Molybdenum,Nitrogen,4.95
WLD_000076,Aluminum,Aluminum,443.6,Oxide-cleaned,Nickel-plated,Resistance Spot Welding,1490.2,,542.7,0.147,,,31.5,26.2,31.9,Graphite,Helium,4.92
WLD_000077,Copper,Nickel,91.3,Passivated,Passivated,Friction Stir Welding,3002.8,,375.9,1.805,,,50.4,18.3,32.1,Tungsten,Argon,0.64
WLD_000078,Copper,Aluminum,355.8,Silver-plated,Tin-plated,Laser Welding,1616.2,,129.5,0.059,196.6,884.3,98.1,34.8,75.2,Molybdenum,Helium,0.42
WLD_000079,Brass,Aluminum,474.2,Passivated,Anodized,Electron Beam Welding,3356.4,,188.5,1.951,,413.1,124.1,21.7,61.5,Copper,Air,3.03
WLD_000080,Copper,Aluminum,128.3,Nickel-plated,Tin-plated,Laser Welding,1033.3,,498.2,0.09,98.0,623.3,117.2,33.2,31.7,Copper,Nitrogen,2.34
WLD_000081,Brass,Aluminum,169.5,Silver-plated,Oxide-cleaned,Ultrasonic Welding,610.9,44.1,167.3,0.725,,,141.1,22.8,66.8,Graphite,Air,3.64
WLD_000082,Copper,Nickel,289.7,Oxide-cleaned,Silver-plated,Electron Beam Welding,3599.0,10.8,2654.6,2.605,173.5,271.9,132.4,26.9,66.7,Graphite,Helium,4.27
WLD_000083,Aluminum,Aluminum,122.2,Oxide-cleaned,Tin-plated,Electron Beam Welding,2850.4,63.8,2270.5,0.835,262.2,,127.4,23.7,36.4,Tungsten,Nitrogen,4.11
WLD_000084,Aluminum,Steel,390.5,Silver-plated,Passivated,Laser Welding,645.4,,308.5,0.098,130.0,260.5,102.4,31.3,57.0,Tungsten,Air,3.83
WLD_000085,Copper,Nickel,244.5,Nickel-plated,Passivated,Friction Stir Welding,2604.0,14.7,2814.8,3.455,,,112.1,27.9,33.4,Copper,Nitrogen,0.47
WLD_000086,Copper,Nickel,442.2,Electropolished,Passivated,Electron Beam Welding,1894.6,61.5,1181.7,0.375,114.7,126.3,20.1,26.0,37.9,Graphite,Argon,0.6
WLD_000087,Copper,Aluminum,123.6,Passivated,Oxide-cleaned,Electron Beam Welding,1333.8,78.4,728.7,0.7,289.2,,115.1,32.6,75.5,Graphite,Air,1.44
WLD_000088,Aluminum,Aluminum,190.4,Nickel-plated,Silver-plated,Cold Welding,1073.8,,141.8,3.276,,236.7,145.9,32.8,39.3,Copper,Air,4.24
WLD_000089,Nickel,Copper,58.0,Oxide-cleaned,Electropolished,Friction Stir Welding,323.6,63.6,2399.8,2.434,,,109.1,21.4,51.5,Copper,Helium,0.41
WLD_000090,Aluminum,Steel,196.7,Nickel-plated,Electropolished,Resistance Spot Welding,7890.5,,1173.1,0.518,,,108.5,34.6,49.8,Tungsten,Air,3.51
WLD_000091,Copper,Aluminum,478.7,Bare,Electropolished,Resistance Spot Welding,4363.5,,972.2,0.318,,,148.3,26.5,37.1,Tungsten,Helium,3.54
WLD_000092,Copper,Nickel,399.1,Nickel-plated,Silver-plated,Ultrasonic Welding,1794.3,13.5,766.2,0.163,,,30.2,20.3,49.8,Molybdenum,Nitrogen,3.48
WLD_000093,Copper,Nickel,419.6,Nickel-plated,Passivated,Friction Stir Welding,597.4,72.1,143.2,4.684,,354.6,133.2,31.6,65.7,Tungsten,Air,2.47
WLD_000094,Aluminum,Aluminum,452.7,Silver-plated,Anodized,Laser Welding,1589.3,,240.5,0.005,41.2,439.2,114.2,29.1,59.7,Copper,None,3.12
WLD_000095,Aluminum,Aluminum,489.1,Silver-plated,Oxide-cleaned,Electron Beam Welding,3200.9,52.3,1688.3,3.61,,487.4,104.5,29.6,40.0,Copper,Argon,4.22
WLD_000096,Copper,Aluminum,440.7,Passivated,Nickel-plated,Electron Beam Welding,3415.7,74.9,2314.8,2.549,156.6,14.8,71.4,28.2,60.3,Graphite,Nitrogen,4.96
WLD_000097,Copper,Nickel,460.6,Silver-plated,Tin-plated,Electron Beam Welding,1970.1,27.4,2339.2,2.056,191.6,,86.6,19.2,50.7,Copper,Helium,2.08
WLD_000098,Aluminum,Steel,281.7,Bare,Silver-plated,Laser Welding,281.0,,326.1,0.032,85.8,858.1,21.2,28.2,59.4,Graphite,None,1.26
WLD_000099,Titanium,Copper,156.2,Tin-plated,Anodized,Cold Welding,1457.4,,2024.7,0.771,,474.3,52.8,24.4,48.0,Molybdenum,None,1.85
WLD_000100,Nickel,Copper,263.6,Bare,Electropolished,Friction Stir Welding,1896.2,58.0,1642.7,0.219,41.3,,26.7,21.8,62.0,Copper,None,0.53
WLD_000101,Copper,Aluminum,278.3,Anodized,Silver-plated,Laser Welding,855.0,,239.9,0.069,13.3,323.8,146.5,22.3,59.0,Molybdenum,Nitrogen,1.78
WLD_000102,Aluminum,Steel,112.8,Electropolished,Anodized,Electron Beam Welding,745.5,74.6,529.0,0.982,51.1,,145.2,29.2,42.8,Molybdenum,Nitrogen,1.93
WLD_000103,Aluminum,Steel,273.7,Bare,Nickel-plated,Ultrasonic Welding,576.0,47.2,1410.1,1.385,,,48.0,24.7,62.9,Copper,Argon,0.62
WLD_000104,Nickel,Copper,121.7,Electropolished,Anodized,Ultrasonic Welding,2666.1,49.7,1529.6,0.272,,,57.5,29.1,35.5,Tungsten,Helium,3.37
WLD_000105,Aluminum,Steel,455.6,Oxide-cleaned,Bare,Resistance Spot Welding,7082.3,,2190.5,0.367,,,104.4,28.7,46.4,Tungsten,None,1.96
WLD_000106,Copper,Steel,251.9,Bare,Electropolished,Ultrasonic Welding,1611.0,10.6,1215.4,0.42,,,103.5,26.5,68.0,Copper,Nitrogen,4.76
WLD_000107,Copper,Nickel,265.6,Oxide-cleaned,Oxide-cleaned,Laser Welding,306.9,,74.5,0.053,56.8,477.2,71.3,30.7,57.5,Graphite,Air,2.65
WLD_000108,Copper,Steel,138.1,Passivated,Electropolished,Electron Beam Welding,3612.5,,2784.8,0.348,108.7,,83.2,22.8,42.8,Molybdenum,None,4.03
WLD_000109,Aluminum,Aluminum,311.4,Nickel-plated,Silver-plated,Cold Welding,2921.4,,1270.0,0.653,,90.8,88.3,19.8,65.5,Tungsten,None,1.36
WLD_000110,Nickel,Copper,241.0,Anodized,Passivated,Cold Welding,2290.9,,1917.8,4.759,246.7,114.1,47.6,25.0,60.5,Copper,Nitrogen,4.51
WLD_000111,Brass,Aluminum,300.5,Tin-plated,Oxide-cleaned,Friction Stir Welding,1244.3,45.3,2019.3,0.523,138.3,84.1,115.8,21.7,73.1,Copper,None,3.25
WLD_000112,Nickel,Copper,142.8,Tin-plated,Nickel-plated,Ultrasonic Welding,1477.3,33.8,1043.9,1.977,,,37.7,24.9,64.8,Tungsten,None,3.62
WLD_000113,Copper,Aluminum,57.1,Electropolished,Silver-plated,Cold Welding,595.6,59.9,858.8,0.443,,96.0,62.0,24.0,41.3,Graphite,None,2.64
WLD_000114,Copper,Nickel,351.3,Silver-plated,Tin-plated,Electron Beam Welding,1230.4,69.6,730.9,2.311,,,69.2,34.9,48.1,Molybdenum,Helium,0.39
WLD_000115,Nickel,Copper,89.9,Oxide-cleaned,Oxide-cleaned,Electron Beam Welding,2822.0,,1630.7,0.529,,173.9,106.4,33.8,69.8,Copper,Helium,4.87
WLD_000116,Aluminum,Steel,496.6,Electropolished,Electropolished,Friction Stir Welding,1125.9,13.8,808.3,3.95,184.5,79.7,28.2,21.9,35.9,Copper,Nitrogen,1.97
WLD_000117,Copper,Nickel,471.6,Bare,Bare,Resistance Spot Welding,6777.0,,1758.7,0.948,,,133.5,31.4,38.1,Molybdenum,Helium,4.27
WLD_000118,Copper,Nickel,275.5,Bare,Nickel-plated,Cold Welding,3306.3,,2640.0,4.347,238.1,,30.5,20.9,50.1,Tungsten,Air,1.8
WLD_000119,Nickel,Copper,307.9,Nickel-plated,Bare,Laser Welding,351.8,,431.0,0.092,102.5,606.6,119.4,26.5,38.7,Copper,Argon,3.36
WLD_000120,Copper,Nickel,80.7,Nickel-plated,Silver-plated,Ultrasonic Welding,1081.4,13.2,1575.8,0.332,,,97.3,32.9,76.8,Copper,Helium,4.27
WLD_000121,Brass,Aluminum,147.2,Anodized,Nickel-plated,Friction Stir Welding,1586.2,,1715.1,0.999,,,118.1,23.1,61.0,Molybdenum,Air,0.94
WLD_000122,Copper,Steel,104.6,Anodized,Anodized,Resistance Spot Welding,2244.4,,3612.3,0.656,,,102.3,22.0,41.4,Graphite,Helium,0.95
WLD_000123,Nickel,Copper,287.2,Passivated,Nickel-plated,Electron Beam Welding,3569.1,,624.1,1.87,,366.8,120.0,25.1,30.6,Molybdenum,None,0.19
WLD_000124,Titanium,Copper,312.0,Passivated,Nickel-plated,Electron Beam Welding,1017.8,,761.5,4.881,288.1,,34.3,25.7,57.4,Graphite,None,2.49
WLD_000125,Nickel,Copper,439.1,Electropolished,Silver-plated,Laser Welding,1004.4,,187.9,0.04,97.3,785.2,136.0,31.4,77.8,Copper,Argon,3.47
WLD_000126,Nickel,Copper,84.4,Bare,Nickel-plated,Laser Welding,173.0,,450.9,0.047,131.1,659.7,136.4,28.4,61.8,Graphite,None,0.84
WLD_000127,Brass,Aluminum,494.7,Passivated,Oxide-cleaned,Electron Beam Welding,344.5,67.6,2416.3,0.572,,193.9,80.1,34.5,79.6,Molybdenum,Air,1.01
WLD_000128,Aluminum,Aluminum,235.5,Oxide-cleaned,Anodized,Cold Welding,3104.6,,111.8,0.457,92.2,312.4,69.7,20.1,40.3,Tungsten,Helium,3.9
WLD_000129,Copper,Aluminum,481.9,Passivated,Anodized,Laser Welding,712.2,,62.6,0.048,31.7,486.5,139.6,28.5,56.0,Tungsten,Air,0.31
WLD_000130,Copper,Aluminum,467.6,Passivated,Bare,Ultrasonic Welding,1440.0,32.0,838.4,0.411,,,55.6,29.5,76.4,Molybdenum,Argon,3.26
WLD_000131,Aluminum,Aluminum,352.2,Anodized,Passivated,Ultrasonic Welding,1146.1,31.8,1308.5,0.52,,,147.2,27.5,67.4,Molybdenum,Helium,0.36
WLD_000132,Brass,Aluminum,295.3,Tin-plated,Bare,Cold Welding,2250.3,15.3,2071.6,0.505,149.1,,64.5,30.9,50.7,Copper,Air,1.56
WLD_000133,Aluminum,Aluminum,118.2,Anodized,Passivated,Friction Stir Welding,2617.9,20.2,1411.6,0.096,,495.9,32.9,31.6,50.1,Molybdenum,Argon,2.82
WLD_000134,Brass,Aluminum,416.8,Tin-plated,Tin-plated,Laser Welding,775.2,,391.9,0.056,11.0,761.2,24.6,21.4,67.3,Tungsten,None,1.9
WLD_000135,Aluminum,Aluminum,390.3,Passivated,Passivated,Cold Welding,3531.3,40.0,1373.4,3.624,179.9,,73.6,18.1,64.8,Tungsten,Helium,0.99
WLD_000136,Copper,Steel,91.8,Passivated,Passivated,Friction Stir Welding,2138.4,14.9,715.0,3.53,,,97.9,18.4,60.1,Molybdenum,Argon,3.22
WLD_000137,Aluminum,Aluminum,76.3,Oxide-cleaned,Silver-plated,Cold Welding,3931.5,,2484.1,2.625,,,115.6,24.3,41.8,Copper,Air,4.03
WLD_000138,Titanium,Copper,499.3,Silver-plated,Anodized,Electron Beam Welding,859.2,52.1,575.8,3.445,225.4,475.2,46.4,34.7,58.3,Molybdenum,None,3.53
WLD_000139,Aluminum,Steel,424.3,Oxide-cleaned,Anodized,Ultrasonic Welding,2824.0,41.3,206.7,1.72,,,49.3,25.8,48.8,Graphite,Argon,2.23
WLD_000140,Brass,Aluminum,267.3,Anodized,Nickel-plated,Friction Stir Welding,389.4,91.4,2351.6,0.085,,,37.1,33.7,49.9,Copper,Helium,0.17
WLD_000141,Brass,Aluminum,75.7,Anodized,Anodized,Friction Stir Welding,1247.7,,2372.0,4.875,,,129.8,20.7,43.4,Graphite,Air,0.41
WLD_000142,Copper,Nickel,302.9,Oxide-cleaned,Silver-plated,Laser Welding,881.1,,173.7,0.09,14.1,664.1,145.2,33.9,58.0,Tungsten,Nitrogen,2.15
WLD_000143,Brass,Aluminum,331.0,Oxide-cleaned,Nickel-plated,Electron Beam Welding,1174.8,23.8,1717.7,2.346,184.5,,34.8,21.8,37.6,Tungsten,Argon,4.27
WLD_000144,Titanium,Copper,295.3,Electropolished,Oxide-cleaned,Electron Beam Welding,3468.5,11.4,2138.1,2.741,,,83.0,34.1,38.3,Graphite,Argon,3.38
WLD_000145,Copper,Nickel,437.9,Tin-plated,Oxide-cleaned,Cold Welding,1304.2,15.6,1100.1,4.891,151.7,,133.4,30.9,57.2,Graphite,None,3.33
WLD_000146,Nickel,Copper,441.8,Tin-plated,Oxide-cleaned,Ultrasonic Welding,1900.5,40.0,1160.2,1.15,,,32.2,22.8,47.2,Tungsten,Helium,4.01
WLD_000147,Titanium,Copper,345.6,Bare,Tin-plated,Laser Welding,277.5,,220.5,0.02,45.5,94.9,66.4,22.7,67.9,Graphite,Argon,2.04
WLD_000148,Brass,Aluminum,453.6,Nickel-plated,Nickel-plated,Friction Stir Welding,2844.4,35.1,2578.7,4.535,,70.4,46.3,33.2,39.2,Graphite,Air,1.63
WLD_000149,Aluminum,Steel,326.9,Anodized,Tin-plated,Ultrasonic Welding,2509.0,30.2,1937.5,0.894,,,147.9,28.8,63.4,Graphite,Helium,4.42
WLD_000150,Titanium,Copper,345.3,Electropolished,Tin-plated,Electron Beam Welding,2327.1,73.3,2676.3,0.443,60.3,409.5,90.3,23.3,65.5,Molybdenum,Nitrogen,4.13
WLD_000151,Nickel,Copper,191.3,Electropolished,Nickel-plated,Cold Welding,3347.3,,562.6,3.574,34.7,,38.5,25.7,47.4,Tungsten,Air,3.29
WLD_000152,Brass,Aluminum,309.8,Bare,Oxide-cleaned,Friction Stir Welding,1990.9,65.2,422.5,3.397,,34.9,42.7,21.9,72.8,Graphite,Air,3.5
WLD_000153,Copper,Aluminum,147.0,Passivated,Passivated,Electron Beam Welding,326.1,,1976.8,4.695,231.0,332.5,53.8,29.4,75.4,Molybdenum,Air,0.64
WLD_000154,Brass,Aluminum,220.8,Anodized,Silver-plated,Electron Beam Welding,2277.3,,2931.6,0.598,,,116.2,22.8,75.9,Graphite,Argon,1.53
WLD_000155,Aluminum,Aluminum,421.7,Tin-plated,Bare,Friction Stir Welding,268.4,74.0,949.0,4.156,,56.4,111.5,19.6,57.0,Tungsten,Argon,0.16
