sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um,weld_width_mm,weld_depth_mm,nugget_diameter_mm,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_mm,contact_resistance_mohm,electrical_conductivity_MS_m,grain_size_um,porosity_percent,intermetallic_thickness_um,thermal_conductivity_W_mK,heat_affected_zone_mm,weld_quality_score,surface_roughness_post_weld_um,hardness_HV,crack_density_per_mm2,void_fraction_percent,oxidation_level,weld_penetration_percent,fusion_zone_area_mm2,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_000018,Brass,Aluminum,340.5,Bare,Silver-plated,Friction Stir Welding,1985.8,,2656.3,3.751,102.6,286.2,147.4,23.2,33.8,Graphite,Argon,1.65,1.182,0.341,3.784,126.1,105.9,225.5,0.7295,30.98,32.9,0.36,9.8,22.3,1.205,0.57,3.36,274.5,0.019,0.353,Low,70.6,0.316,-33.9,103.5,8619,0.7295,0.9176,25.78,69.7,66.3,11467,7.6e-07,2.35,2.19,Thermal Degradation,8201.3,0.752,0.341,0.858,0.792,3.42,148.9,0.501,0.875
WLD_000019,Brass,Aluminum,217.7,Nickel-plated,Passivated,Cold Welding,2844.9,14.2,1864.3,4.951,,438.7,116.3,29.9,64.9,Graphite,None,1.55,1.44,0.218,2.532,132.4,109.5,106.9,0.6474,28.17,39.8,0.42,12.0,32.4,1.621,0.57,4.81,175.9,0.0,0.483,Low,79.3,0.246,-37.7,131.6,5743,0.6474,0.8394,29.66,81.8,77.7,6510,1.75e-06,1.1,2.23,Thermal Degradation,3014.0,0.882,0.362,0.667,0.812,2.58,184.5,0.624,0.937
WLD_000020,Copper,Nickel,414.6,Bare,Electropolished,Electron Beam Welding,510.1,,1902.3,1.012,,,26.6,18.5,74.3,Tungsten,Nitrogen,2.25,0.698,0.415,2.007,71.1,62.0,191.2,1.6395,33.8,14.5,0.5,3.42,34.9,0.467,0.66,3.82,221.4,0.0,0.539,Low,92.2,0.227,-32.9,93.7,1094,1.6395,1.8621,13.58,92.5,87.9,8027,2.15e-06,2.14,1.47,Mechanical Wear,1094.0,0.136,0.727,0.801,0.936,0.39,97.9,0.555,0.724
WLD_000021,Titanium,Copper,66.2,Bare,Nickel-plated,Cold Welding,1288.9,7.9,160.2,4.122,,,87.9,21.7,68.5,Copper,Helium,4.23,0.983,0.066,2.048,216.0,158.1,3.5,49.7748,30.58,30.7,3.24,9.68,26.5,1.039,0.28,3.95,200.9,0.387,3.237,Medium,87.3,0.051,-25.4,96.0,127,49.7748,53.2101,6.9,90.0,85.5,9055,2.85e-06,9.17,3.23,Intermetallic Embrittlement,127.0,0.014,0.531,0.777,0.939,0.8,96.2,0.867,0.775
WLD_000022,Brass,Aluminum,289.1,Passivated,Tin-plated,Friction Stir Welding,704.4,72.9,171.1,2.024,,125.5,44.0,25.3,34.0,Graphite,None,0.39,0.648,0.289,3.603,57.3,35.1,17.6,3.9502,28.37,21.6,3.03,5.35,23.2,0.632,0.41,3.24,295.0,0.256,2.97,Medium,97.3,0.147,-23.1,95.7,1613,3.9502,4.4239,11.99,95.5,90.7,2674,2.61e-06,2.13,2.16,Intermetallic Embrittlement,1613.0,0.603,0.507,0.729,0.864,3.44,81.9,0.619,0.92
WLD_000023,Copper,Nickel,120.4,Nickel-plated,Electropolished,Cold Welding,556.7,,2807.1,3.209,198.8,,114.9,27.6,32.4,Molybdenum,None,0.69,0.795,0.12,2.481,67.2,56.3,88.9,0.1631,33.84,28.6,0.06,7.57,30.5,0.628,0.61,0.85,106.1,0.017,0.054,Low,74.0,0.075,-37.0,85.8,4907,0.1631,0.2134,30.85,82.7,78.6,8977,1.09e-06,5.0,2.03,Intermetallic Embrittlement,2231.0,0.547,0.255,0.769,0.871,0.51,127.3,0.519,0.911
WLD_000024,Copper,Steel,102.2,Oxide-cleaned,Passivated,Ultrasonic Welding,1278.5,49.2,433.1,0.133,,,119.2,23.9,70.3,Tungsten,None,2.05,0.789,0.102,2.035,50.0,31.1,4.5,6.7773,33.57,11.6,0.87,2.03,27.0,0.596,0.53,4.8,237.9,0.087,0.612,Medium,89.3,0.063,-34.4,89.2,1040,6.7773,8.1374,20.07,96.0,91.2,2702,1.44e-06,4.47,2.2,Interface Delamination,1040.0,0.385,0.479,0.604,0.788,2.99,94.6,0.674,0.745
WLD_000025,Copper,Nickel,477.1,Silver-plated,Nickel-plated,Friction Stir Welding,1623.5,52.8,2576.6,3.311,,,103.5,28.0,31.3,Molybdenum,Helium,2.92,1.152,0.477,1.374,244.6,135.9,313.1,0.7597,33.55,28.7,0.15,8.08,19.9,1.034,0.73,6.23,206.8,0.055,0.295,Low,86.1,0.431,-34.8,116.0,2503,0.7597,0.9377,23.43,86.4,82.1,17281,1.5e-06,0.5,1.68,Intermetallic Embrittlement,2503.0,0.145,0.348,0.862,0.869,3.37,165.8,0.5,0.931
WLD_000026,Copper,Nickel,308.0,Bare,Bare,Electron Beam Welding,2273.3,41.7,2885.5,4.531,,,33.1,19.6,30.9,Molybdenum,Argon,3.31,1.284,0.308,1.627,265.1,187.1,231.3,1.2622,32.65,35.4,0.56,11.76,26.2,1.434,0.66,4.92,281.1,0.007,0.558,High,73.9,0.31,-33.9,141.3,4873,1.2622,1.5662,24.09,71.9,68.3,6218,1.54e-06,4.01,2.01,Intermetallic Embrittlement,3858.8,0.784,0.269,0.862,0.749,2.83,170.7,0.533,0.687
WLD_000027,Copper,Steel,430.2,Nickel-plated,Anodized,Laser Welding,595.3,,248.0,0.07,76.2,936.7,25.1,34.4,50.9,Graphite,Nitrogen,2.18,0.494,0.43,1.359,50.0,32.6,19.0,8.3307,29.31,10.1,2.11,1.9,23.8,0.406,0.43,1.65,286.8,0.339,2.288,Low,67.2,0.167,-21.4,86.5,8232,8.3307,9.8423,18.14,72.0,68.4,5460,2.89e-06,6.29,1.84,Fatigue Cracking,2575.4,1.0,0.479,0.618,0.813,1.17,50.7,0.752,0.891
WLD_000028,Brass,Aluminum,413.1,Bare,Tin-plated,Friction Stir Welding,1613.7,37.4,2795.7,4.299,,377.3,33.4,26.6,75.1,Graphite,Argon,1.67,1.092,0.413,3.482,123.1,87.9,278.4,0.5307,31.4,37.8,0.31,10.44,22.6,1.09,0.57,4.77,280.1,0.077,0.477,Low,96.4,0.354,-29.8,125.5,1903,0.5307,0.6955,31.05,82.1,78.0,7688,8.8e-07,4.83,1.96,Intermetallic Embrittlement,1903.0,0.248,0.25,0.728,0.727,0.88,58.4,0.869,0.748
WLD_000029,Aluminum,Aluminum,95.0,Silver-plated,Silver-plated,Electron Beam Welding,3640.5,,992.0,4.753,174.2,224.3,58.1,29.4,46.4,Graphite,None,3.98,1.678,0.095,2.273,101.2,77.1,4.7,3.1457,27.88,42.8,0.52,0.33,34.5,1.72,0.72,1.03,213.6,0.0,0.531,Low,63.2,0.125,-29.9,130.2,8982,3.1457,4.1937,33.31,67.1,63.7,7864,1.21e-06,1.49,3.28,Fatigue Cracking,4778.0,1.0,0.302,0.909,0.798,4.33,149.4,0.8,0.932
WLD_000030,Copper,Aluminum,101.1,Oxide-cleaned,Nickel-plated,Laser Welding,209.4,,274.8,0.045,178.7,351.6,35.2,30.9,37.1,Graphite,Argon,0.6,0.549,0.101,2.923,50.0,32.2,0.5,2.133,47.05,10.5,1.72,1.13,33.9,0.354,0.62,1.36,258.8,0.143,1.844,High,90.8,0.044,-29.6,102.7,2425,2.133,2.6026,22.02,90.8,86.3,3970,1.98e-06,4.36,2.27,Thermal Degradation,2425.0,0.611,0.484,0.805,0.906,0.35,191.3,0.769,0.785
WLD_000031,Titanium,Copper,241.7,Electropolished,Nickel-plated,Ultrasonic Welding,2554.7,38.2,254.6,0.261,,,148.3,24.3,48.7,Graphite,Argon,4.74,0.918,0.242,2.261,70.8,66.1,-2.9,41.283,30.09,14.2,2.17,2.84,18.0,1.078,0.38,7.93,130.5,0.162,2.527,Low,75.1,0.174,-34.6,115.0,558,41.283,47.2783,14.52,86.4,82.0,2321,1.97e-06,4.63,2.08,Interface Delamination,558.0,0.24,0.487,0.894,0.939,4.66,135.2,0.574,0.788
WLD_000032,Copper,Aluminum,316.3,Silver-plated,Anodized,Friction Stir Welding,517.3,58.0,1301.5,4.536,,,21.5,19.0,53.4,Graphite,None,4.13,0.778,0.316,3.642,50.0,34.9,103.3,1.5369,47.4,32.8,0.28,9.89,39.8,0.786,0.49,5.92,99.4,0.0,0.193,Medium,81.9,0.193,-27.0,89.7,1308,1.5369,1.8581,20.9,93.5,88.8,3431,2.22e-06,8.72,1.49,Intermetallic Embrittlement,1308.0,0.381,0.408,0.696,0.921,0.9,195.8,0.585,0.692
WLD_000033,Titanium,Copper,385.7,Oxide-cleaned,Silver-plated,Cold Welding,1720.8,,294.5,2.665,,489.0,92.3,18.7,46.1,Copper,Air,4.6,1.072,0.386,1.584,259.1,197.5,23.8,27.7043,30.45,29.1,1.48,7.2,24.1,0.999,0.46,7.92,85.5,0.178,1.17,High,66.1,0.325,-30.2,131.2,5711,27.7043,33.299,20.19,77.9,74.0,16658,1.19e-06,9.32,1.85,Fatigue Cracking,5711.0,0.343,0.487,0.878,0.814,4.18,194.3,0.862,0.609
WLD_000034,Nickel,Copper,299.2,Silver-plated,Bare,Laser Welding,415.8,,108.4,0.03,199.2,697.2,69.9,33.6,66.9,Tungsten,Helium,0.62,0.626,0.299,2.42,50.0,31.4,-2.5,3.8445,35.02,10.5,4.75,1.75,38.4,0.366,0.41,4.51,188.1,0.542,4.439,Low,86.6,0.147,-27.2,139.5,3263,3.8445,4.5014,17.09,82.5,78.4,1930,2.79e-06,3.58,2.36,Mechanical Wear,982.4,1.0,0.642,0.761,0.762,3.37,160.9,0.837,0.777
WLD_000035,Copper,Steel,174.8,Silver-plated,Silver-plated,Laser Welding,837.7,,114.7,0.027,78.5,260.7,78.9,22.8,31.6,Copper,Helium,3.05,0.634,0.175,3.715,50.0,37.2,18.0,20.0535,30.88,10.9,4.21,2.06,30.6,0.459,0.28,1.4,213.5,0.463,4.403,Low,80.7,0.087,-27.4,115.0,5192,20.0535,25.2368,25.85,82.1,78.0,1237,3.05e-06,7.85,2.49,Fatigue Cracking,845.9,1.0,0.452,0.685,0.836,1.77,102.9,0.73,0.63
WLD_000036,Brass,Aluminum,123.2,Anodized,Tin-plated,Electron Beam Welding,3774.0,,1764.4,4.6,,275.8,41.4,31.2,50.6,Tungsten,Argon,1.95,1.689,0.123,3.985,128.9,105.4,65.1,2.087,29.79,41.6,0.2,12.15,20.0,1.777,0.55,1.98,268.1,0.0,0.249,Medium,84.4,0.163,-28.7,130.8,2294,2.087,2.5224,20.86,93.2,88.5,3045,1.23e-06,2.19,2.33,Intermetallic Embrittlement,2294.0,0.753,0.407,0.918,0.945,2.31,116.6,0.867,0.634
WLD_000037,Copper,Nickel,221.4,Anodized,Tin-plated,Resistance Spot Welding,4983.6,,785.8,0.133,,,37.4,19.3,30.7,Graphite,Argon,2.72,1.985,0.221,3.836,50.0,31.5,35.0,3.3883,35.61,22.2,0.45,3.71,34.8,1.728,0.59,1.47,107.8,0.097,0.607,Medium,82.0,0.345,-27.9,110.0,8106,3.3883,3.714,9.61,80.2,76.2,5216,7.3e-07,4.83,2.31,Thermal Degradation,1461.0,1.0,0.555,0.741,0.896,4.16,196.2,0.737,0.934
WLD_000038,Copper,Steel,498.5,Oxide-cleaned,Passivated,Electron Beam Welding,2959.3,40.9,761.2,1.065,,,46.9,30.9,73.9,Tungsten,Helium,1.42,1.431,0.498,3.773,311.7,200.8,98.7,3.0344,27.58,19.2,0.69,5.15,28.2,1.223,0.76,1.38,198.3,0.174,0.593,High,81.7,0.56,-37.3,94.6,7526,3.0344,4.0535,33.59,77.0,73.1,58548,1.42e-06,8.22,2.02,Fatigue Cracking,7526.0,0.129,0.349,0.775,0.841,2.33,151.9,0.503,0.656
WLD_000039,Titanium,Copper,352.2,Nickel-plated,Anodized,Cold Welding,3359.2,,2458.3,4.841,,295.0,82.4,31.3,51.0,Tungsten,Nitrogen,4.04,1.625,0.352,2.922,374.1,229.9,235.8,0.6628,28.86,41.5,0.34,12.59,26.6,1.742,0.72,6.59,200.6,0.083,0.403,Medium,67.2,0.449,-26.2,144.2,8477,0.6628,0.7817,17.94,80.9,76.8,24899,1.43e-06,8.43,2.15,Fatigue Cracking,8327.5,0.34,0.525,0.813,0.734,0.4,96.0,0.808,0.836
WLD_000040,Titanium,Copper,111.4,Silver-plated,Nickel-plated,Cold Welding,2510.7,57.7,318.5,3.646,138.0,149.0,88.1,31.5,64.9,Tungsten,Argon,2.51,1.35,0.111,3.315,343.7,282.4,11.1,6.0212,27.03,33.5,1.4,10.01,17.2,1.306,0.53,2.12,180.0,0.112,1.147,Low,82.3,0.118,-35.9,136.2,9781,6.0212,8.4798,40.83,71.8,68.2,15300,1.38e-06,6.05,3.05,Fatigue Cracking,4457.5,0.639,0.251,0.873,0.883,0.52,73.4,0.772,0.784
WLD_000041,Nickel,Copper,79.8,Oxide-cleaned,Nickel-plated,Cold Welding,2071.9,,1918.5,1.239,,,36.6,20.4,37.6,Graphite,Helium,0.99,1.003,0.08,1.866,223.8,184.7,53.9,0.8007,31.27,21.3,0.31,4.78,31.2,0.995,0.78,1.93,291.7,0.0,0.276,Low,75.2,0.063,-35.4,101.7,4622,0.8007,0.9846,22.97,88.2,83.8,21156,1.35e-06,3.59,2.78,Oxidation,4622.0,0.218,0.561,0.796,0.724,1.69,105.2,0.856,0.643
WLD_000042,Brass,Aluminum,235.2,Electropolished,Tin-plated,Resistance Spot Welding,5672.9,,1275.4,0.273,,,25.3,22.7,38.4,Copper,None,2.79,2.193,0.235,4.36,50.0,35.7,74.0,3.0079,28.12,24.8,0.34,4.35,31.5,1.886,0.59,4.64,248.6,0.07,0.313,Medium,97.7,0.405,-21.2,136.1,7144,3.0079,3.9108,30.02,72.4,68.8,3023,8.5e-07,1.68,2.37,Fatigue Cracking,1002.6,1.0,0.362,0.607,0.789,5.0,181.2,0.552,0.89
WLD_000043,Copper,Steel,257.4,Nickel-plated,Anodized,Laser Welding,344.6,,165.0,0.033,27.5,481.7,109.4,20.7,55.6,Graphite,None,0.11,0.573,0.249,1.303,50.0,34.4,20.8,0.4437,31.67,12.6,3.01,1.35,26.3,0.326,0.6,0.96,173.9,0.176,3.116,High,61.4,0.112,-21.4,98.2,5798,0.4437,0.568,28.02,78.9,75.0,4890,2.88e-06,2.21,2.15,Thermal Degradation,3333.5,1.0,0.364,0.732,0.872,4.98,131.8,0.812,0.686
WLD_000044,Nickel,Copper,412.8,Bare,Tin-plated,Electron Beam Welding,3947.8,92.8,746.5,3.812,217.6,,39.2,29.7,36.7,Molybdenum,Air,2.71,1.732,0.413,2.749,252.0,154.7,69.7,4.9401,32.54,35.2,0.68,10.59,28.8,1.834,0.55,3.13,98.9,0.066,0.499,Medium,74.1,0.561,-30.2,104.0,8301,4.9401,7.0832,43.38,70.2,66.7,26558,1.59e-06,2.53,2.14,Fatigue Cracking,8301.0,0.313,0.217,0.669,0.715,0.59,144.0,0.847,0.727
WLD_000045,Copper,Steel,440.2,Anodized,Tin-plated,Resistance Spot Welding,2697.3,,1711.6,0.44,,,22.6,21.6,46.1,Tungsten,Helium,1.24,1.34,0.44,3.703,106.5,102.4,172.9,1.4789,30.97,17.3,0.23,3.17,25.9,1.112,0.71,2.51,165.9,0.0,0.371,Medium,73.4,0.463,-23.2,136.0,1929,1.4789,1.7133,15.85,88.8,84.3,7622,9.4e-07,5.82,1.85,Fatigue Cracking,1929.0,0.253,0.585,0.701,0.741,2.79,71.8,0.632,0.624
WLD_000046,Copper,Steel,317.1,Silver-plated,Nickel-plated,Resistance Spot Welding,5541.8,,2658.1,0.626,,,115.8,28.0,57.9,Graphite,Air,1.96,2.152,0.317,5.044,207.3,148.3,222.1,0.3654,28.36,28.3,0.0,5.14,26.0,1.926,0.79,4.33,232.5,0.178,-0.117,Low,63.9,0.536,-37.5,129.9,3626,0.3654,0.4759,30.24,93.3,88.6,15322,1.72e-06,1.28,2.12,Intermetallic Embrittlement,3626.0,0.237,0.314,0.63,0.841,3.44,113.9,0.794,0.788
WLD_000047,Copper,Steel,213.4,Nickel-plated,Electropolished,Laser Welding,564.3,,249.1,0.034,187.4,8.5,49.3,26.3,48.3,Tungsten,Air,0.53,0.608,0.213,2.131,50.0,37.9,8.4,1.7881,32.48,12.5,2.24,1.65,30.7,0.36,0.59,6.15,264.6,0.012,1.981,High,85.0,0.102,-28.2,141.7,6775,1.7881,2.3994,34.18,71.9,68.3,2920,1.63e-06,6.09,2.2,Fatigue Cracking,1703.5,1.0,0.318,0.606,0.743,2.6,91.0,0.785,0.672
