Participant_ID,Country,Age,Gender,Education,Location_Type,Employment_Status,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim,Num_Fraud_Incidents,Months_Since_Last_Incident,Financial_Loss_Band,Recovery_Success,Card_Fraud,Online_Banking_Fraud,SMS_Phishing,ATM_Skimming,Social_Engineering,Technology_Adoption_Score,Financial_Literacy_Score,Risk_Tolerance,Trust_in_Banks,Internet_Hours_Daily,Social_Media_Usage,Data_Collection_Timestamp
17,1,24,1,6,1,1,2,2,6,1,0,0,,0,,0,0,0,0,0,10.0,8.1,5,8.3,10.6,3,2024-03-29 10:08:00
18,2,50,2,3,1,5,2,1,25,4,0,0,,0,,0,0,0,0,0,4.6,5.1,2,5.0,4.4,3,2024-03-30 14:27:00
19,1,33,1,5,2,1,4,2,2,3,1,1,14.0,1,1.0,1,1,1,0,0,10.0,10.0,2,3.6,4.6,1,2024-04-13 15:43:00
20,1,31,1,2,2,1,2,2,6,1,1,1,11.0,4,0.0,0,0,1,0,0,5.6,1.0,3,2.2,1.6,1,2024-06-26 08:33:00
21,2,24,2,5,1,2,4,2,2,1,0,0,,0,,0,0,0,0,0,10.0,5.1,4,7.1,4.3,1,2024-05-09 08:40:00
22,1,32,1,1,1,3,3,1,16,1,1,1,12.0,3,1.0,1,1,1,1,0,4.1,3.3,3,6.2,3.9,0,2024-01-25 12:33:00
23,2,18,1,4,1,3,4,1,2,3,0,0,,0,,0,0,0,0,0,4.5,9.6,3,7.3,3.2,3,2024-06-27 13:45:00
24,2,46,1,3,2,2,3,1,15,1,1,1,2.0,2,0.0,1,0,1,0,0,5.6,3.2,4,4.1,2.3,0,2024-01-19 08:10:00
25,1,21,2,4,1,4,5,3,2,2,0,0,,0,,0,0,0,0,0,5.5,8.0,6,1.4,7.9,2,2024-07-01 13:53:00
26,1,39,1,6,1,3,4,1,2,3,1,1,12.0,3,1.0,1,0,1,1,0,6.6,10.0,3,7.7,7.7,3,2024-05-18 15:59:00
27,1,35,2,3,2,6,4,1,2,1,0,0,,0,,0,0,0,0,0,5.4,4.3,3,7.7,2.0,2,2024-05-21 11:26:00
28,1,26,1,5,1,3,2,1,2,1,0,0,,0,,0,0,0,0,0,8.5,5.8,7,8.9,4.1,3,2024-02-04 14:42:00
29,1,18,2,6,2,1,3,2,2,1,0,0,,0,,0,0,0,0,0,10.0,10.0,7,4.2,15.9,3,2024-01-16 13:36:00
30,1,22,1,1,1,4,2,3,1,3,0,0,,0,,0,0,0,0,0,5.3,3.2,5,5.0,9.4,2,2024-06-03 15:16:00
31,1,18,1,4,1,3,3,2,1,2,1,2,2.0,1,1.0,1,1,0,0,0,7.4,7.3,4,3.5,16.0,3,2024-05-28 15:03:00
32,1,35,1,4,1,1,4,1,13,1,0,0,,0,,0,0,0,0,0,3.2,7.1,4,6.3,7.9,2,2024-01-31 13:17:00
33,1,18,2,4,1,2,3,1,1,5,0,0,,0,,0,0,0,0,0,4.8,9.2,5,6.0,5.3,2,2024-05-31 15:03:00
34,2,34,2,4,1,1,3,1,10,2,0,0,,0,,0,0,0,0,0,5.8,10.0,4,6.5,1.4,3,2024-04-03 15:02:00
35,1,18,1,3,2,1,3,3,2,5,1,2,1.0,2,1.0,0,0,1,1,0,7.0,8.2,5,6.5,2.8,2,2024-05-05 08:34:00
36,1,53,1,4,1,3,5,1,2,4,0,0,,0,,0,0,0,0,0,3.8,8.6,4,6.6,3.9,3,2024-05-05 13:32:00
37,2,37,3,5,1,1,4,1,12,2,0,0,,0,,0,0,0,0,0,5.0,6.2,4,6.8,6.2,1,2024-01-25 08:51:00
38,1,32,2,5,1,5,4,2,8,1,0,0,,0,,0,0,0,0,0,8.2,6.0,5,5.5,4.2,3,2024-01-26 10:34:00
39,2,28,1,4,1,1,5,3,7,2,0,0,,0,,0,0,0,0,0,7.5,5.7,5,5.6,1.2,2,2024-03-17 14:42:00
40,1,23,1,4,1,4,3,2,2,4,0,0,,0,,0,0,0,0,0,7.7,6.1,6,6.5,2.4,2,2024-05-17 16:09:00
41,2,49,1,6,1,3,4,3,10,4,1,1,6.0,3,1.0,0,1,1,1,0,5.6,8.4,1,4.1,1.7,3,2024-04-26 09:48:00
42,1,28,2,4,1,3,3,2,5,2,1,1,16.0,1,0.0,1,0,1,0,0,7.5,10.0,3,1.7,0.5,1,2024-03-10 08:50:00
43,2,29,2,5,1,1,4,1,3,1,0,0,,0,,0,0,0,0,0,8.8,9.1,4,7.8,11.1,1,2024-03-23 09:41:00
44,1,31,1,4,2,2,3,1,3,4,1,3,20.0,4,1.0,1,0,0,0,0,4.9,9.3,4,1.9,8.8,0,2024-04-26 16:28:00
45,1,41,1,2,2,1,1,1,18,1,1,1,1.0,2,0.0,1,1,0,0,0,3.4,5.1,2,3.3,1.1,3,2024-06-18 11:11:00
46,2,41,1,5,1,1,4,1,12,1,1,1,7.0,2,1.0,1,1,1,0,0,8.4,5.3,3,5.2,4.6,2,2024-06-24 12:35:00
47,1,43,1,1,2,3,3,2,3,1,0,0,,0,,0,0,0,0,0,4.1,2.4,4,2.8,3.5,2,2024-01-24 15:09:00
48,1,21,2,4,1,3,3,1,2,2,1,1,6.0,2,0.0,1,0,0,0,1,5.9,7.1,3,5.2,2.5,2,2024-03-11 08:20:00
49,2,18,1,4,2,1,3,2,2,1,0,0,,0,,0,0,0,0,0,6.0,6.0,3,4.1,9.6,3,2024-06-19 15:14:00
50,2,25,2,4,1,1,3,1,2,1,0,0,,0,,0,0,0,0,0,6.9,9.0,6,6.9,7.7,3,2024-04-17 12:15:00
51,1,59,2,3,1,3,3,1,16,4,0,0,,0,,0,0,0,0,0,5.7,4.6,1,5.5,0.8,1,2024-06-01 10:48:00
52,2,54,1,3,2,3,2,1,8,3,1,1,4.0,2,0.0,0,0,1,0,0,4.9,5.2,3,4.2,2.6,2,2024-01-28 13:15:00
53,1,55,2,4,1,1,3,1,18,1,0,0,,0,,0,0,0,0,0,4.0,9.5,5,5.8,1.7,3,2024-04-19 17:03:00
54,1,28,2,4,1,3,4,1,5,2,1,2,10.0,4,0.0,1,1,1,0,0,5.0,8.5,2,3.8,11.8,3,2024-02-03 16:14:00
55,1,22,2,5,1,2,3,3,6,2,0,0,,0,,0,0,0,0,0,10.0,6.3,4,5.2,3.5,3,2024-05-02 10:42:00
56,1,26,1,2,2,1,3,1,6,3,0,0,,0,,0,0,0,0,0,5.4,5.0,7,8.7,10.3,2,2024-03-16 10:43:00
57,1,18,2,3,2,4,1,1,1,1,0,0,,0,,0,0,0,0,0,7.7,5.2,5,5.3,1.1,2,2024-05-17 13:40:00
58,1,43,1,2,1,2,3,2,7,2,1,1,1.0,1,1.0,1,0,1,0,0,6.5,2.8,3,2.4,7.6,1,2024-04-27 13:11:00
59,2,45,2,3,2,3,2,3,12,4,0,0,,0,,0,0,0,0,0,4.8,3.8,5,4.8,5.8,2,2024-02-02 10:03:00
60,1,33,2,5,1,3,5,1,6,4,0,0,,0,,0,0,0,0,0,6.2,5.6,4,6.1,2.8,2,2024-06-02 08:38:00
61,2,24,1,4,1,1,3,1,3,1,0,0,,0,,0,0,0,0,0,5.6,9.1,5,8.5,14.5,3,2024-06-19 15:26:00
62,1,40,1,4,2,1,3,1,20,1,0,0,,0,,0,0,0,0,0,4.9,5.7,5,5.6,5.1,0,2024-03-01 14:34:00
63,1,43,2,3,1,1,1,1,13,5,0,0,,0,,0,0,0,0,0,6.9,3.0,5,4.6,3.2,3,2024-02-26 14:39:00
64,2,25,2,4,1,3,3,1,1,2,0,0,,0,,0,0,0,0,0,8.5,8.5,4,6.7,12.2,2,2024-06-14 15:02:00
65,1,29,2,4,1,1,3,2,5,2,0,0,,0,,0,0,0,0,0,7.0,5.9,5,5.5,2.8,2,2024-03-14 17:33:00
66,1,30,1,4,2,2,4,2,7,1,1,1,39.0,1,1.0,1,1,1,0,1,9.4,4.2,2,4.9,5.8,3,2024-06-20 13:07:00
67,1,31,1,4,1,1,3,2,4,1,0,0,,0,,0,0,0,0,0,6.1,8.8,4,6.6,0.8,3,2024-05-02 14:43:00
68,1,22,3,3,2,4,1,1,4,3,0,0,,0,,0,0,0,0,0,5.2,2.9,7,7.2,13.2,3,2024-06-06 11:21:00
69,1,37,2,4,1,1,5,1,13,2,0,0,,0,,0,0,0,0,0,5.2,10.0,3,8.8,6.5,3,2024-01-24 15:58:00
70,1,42,2,2,1,5,1,1,15,2,0,0,,0,,0,0,0,0,0,4.7,4.1,4,6.5,3.6,1,2024-05-04 12:07:00
71,1,34,2,3,2,3,5,2,2,1,0,0,,0,,0,0,0,0,0,6.6,3.8,4,9.0,7.7,2,2024-02-21 08:40:00
72,2,32,2,4,1,3,2,1,7,2,0,0,,0,,0,0,0,0,0,7.3,7.9,5,5.7,0.5,0,2024-01-28 10:50:00
73,2,29,1,2,1,1,2,1,8,2,0,0,,0,,0,0,0,0,0,4.8,3.7,3,7.2,15.3,3,2024-06-09 17:34:00
74,1,37,1,5,1,1,4,2,7,2,0,0,,0,,0,0,0,0,0,6.7,8.9,4,5.1,2.4,3,2024-06-06 15:09:00
75,1,18,1,3,1,4,3,1,1,3,0,0,,0,,0,0,0,0,0,5.3,5.2,4,6.8,2.3,3,2024-02-28 09:32:00
76,1,18,2,6,2,4,1,2,1,1,0,0,,0,,0,0,0,0,0,10.0,7.8,6,7.3,7.2,3,2024-04-21 08:39:00
77,1,33,1,3,1,3,3,1,5,1,0,0,,0,,0,0,0,0,0,9.4,4.3,5,7.5,10.4,2,2024-06-19 11:14:00
78,2,25,1,4,1,3,3,1,4,3,0,0,,0,,0,0,0,0,0,9.1,7.0,6,7.4,5.1,2,2024-02-02 16:22:00
79,1,25,2,4,2,3,3,1,4,2,1,2,3.0,3,1.0,1,0,1,0,1,8.6,10.0,2,5.4,11.5,3,2024-03-31 08:36:00
80,1,29,2,4,1,1,4,1,7,1,0,0,,0,,0,0,0,0,0,5.0,7.3,6,5.6,5.2,2,2024-06-08 12:32:00
81,2,41,2,3,2,1,3,1,10,2,0,0,,0,,0,0,0,0,0,5.7,4.5,3,5.9,2.4,1,2024-06-26 11:02:00
82,1,32,1,5,1,1,6,2,5,3,0,0,,0,,0,0,0,0,0,6.9,5.7,3,3.9,6.8,1,2024-04-20 09:42:00
83,2,48,1,5,1,1,5,1,20,1,0,0,,0,,0,0,0,0,0,5.8,8.3,4,7.5,7.2,2,2024-04-24 14:18:00
84,1,18,1,3,2,3,2,1,2,1,0,0,,0,,0,0,0,0,0,8.3,6.3,7,5.9,16.0,2,2024-06-23 12:17:00
85,1,45,2,5,1,6,2,1,24,3,0,0,,0,,0,0,0,0,0,4.6,7.8,3,7.1,1.8,3,2024-02-08 08:03:00
86,2,18,1,3,1,2,2,1,2,4,0,0,,0,,0,0,0,0,0,5.2,3.9,6,7.4,4.8,3,2024-03-25 11:58:00
87,2,34,1,3,2,1,1,3,9,3,0,0,,0,,0,0,0,0,0,4.9,8.5,6,5.6,6.6,1,2024-04-08 17:38:00
88,1,18,1,5,1,4,4,1,1,1,1,2,15.0,3,1.0,1,1,1,0,1,8.6,5.6,3,6.5,8.5,3,2024-05-03 15:45:00
89,2,35,2,2,2,5,1,1,15,2,0,0,,0,,0,0,0,0,0,3.7,3.6,3,5.6,1.8,0,2024-05-17 14:22:00
90,2,39,2,5,1,3,5,1,22,1,0,0,,0,,0,0,0,0,0,6.5,8.5,4,5.8,1.5,3,2024-02-28 10:50:00
91,2,41,1,2,2,2,3,1,5,2,0,0,,0,,0,0,0,0,0,3.3,2.1,5,5.3,6.3,2,2024-04-02 16:12:00
92,1,48,2,4,1,1,3,2,4,2,1,1,10.0,2,1.0,0,1,1,0,1,8.7,9.6,3,4.8,9.5,3,2024-02-01 13:20:00
93,1,45,1,4,1,3,3,1,17,2,0,0,,0,,0,0,0,0,0,7.2,10.0,5,8.1,5.6,1,2024-05-29 17:14:00
94,1,36,2,4,1,1,3,2,2,3,1,1,21.0,1,0.0,1,0,1,0,0,8.7,9.6,4,4.7,8.7,1,2024-02-05 13:44:00
95,1,25,1,3,2,1,3,1,5,2,1,1,7.0,2,0.0,0,0,0,0,1,8.4,7.4,4,3.0,16.0,2,2024-04-11 13:21:00
96,1,43,1,1,1,1,1,1,13,4,0,0,,0,,0,0,0,0,0,2.7,6.2,6,10.0,4.6,3,2024-06-16 15:06:00
97,1,18,2,4,1,2,3,2,1,1,0,0,,0,,0,0,0,0,0,7.5,6.0,3,5.9,13.7,3,2024-03-19 16:09:00
98,2,27,1,4,2,3,3,2,4,1,0,0,,0,,0,0,0,0,0,10.0,7.1,6,4.3,5.6,2,2024-06-18 16:07:00
99,1,26,1,5,1,2,4,2,2,1,0,0,,0,,0,0,0,0,0,10.0,7.8,6,7.3,8.6,1,2024-05-02 09:40:00
100,1,21,2,5,1,1,3,1,1,2,0,0,,0,,0,0,0,0,0,9.9,10.0,5,8.0,4.4,3,2024-03-01 15:54:00
101,2,43,2,5,1,6,4,1,14,4,0,0,,0,,0,0,0,0,0,5.8,4.1,3,3.9,2.6,1,2024-04-02 11:02:00
102,2,18,2,4,1,4,1,2,1,1,0,0,,0,,0,0,0,0,0,9.4,5.3,5,4.9,2.8,2,2024-06-04 10:26:00
103,2,34,2,3,2,2,2,1,3,3,1,2,50.0,2,0.0,0,0,0,0,0,6.1,3.3,4,4.1,12.0,3,2024-02-02 12:55:00
104,2,54,1,4,1,1,3,1,11,1,1,3,2.0,1,0.0,1,0,0,1,0,6.4,7.7,3,3.5,1.5,2,2024-02-09 16:04:00
105,1,18,1,5,1,1,1,2,1,3,1,1,22.0,2,1.0,1,1,1,0,0,9.0,6.9,5,2.4,3.5,2,2024-03-26 09:21:00
106,1,36,1,4,1,3,4,3,13,3,0,0,,0,,0,0,0,0,0,4.7,6.3,3,6.5,13.6,1,2024-03-24 08:54:00
107,1,35,2,5,2,1,5,3,12,1,0,0,,0,,0,0,0,0,0,5.6,7.0,5,6.6,3.7,3,2024-03-13 09:03:00
108,1,30,1,3,1,1,2,2,2,3,0,0,,0,,0,0,0,0,0,8.7,4.8,2,5.1,3.4,3,2024-03-06 14:19:00
109,1,39,1,5,1,4,1,1,9,1,1,2,20.0,5,0.0,1,1,1,0,0,6.4,9.2,2,3.3,3.3,0,2024-03-01 16:57:00
110,1,44,2,4,1,2,3,1,10,3,0,0,,0,,0,0,0,0,0,3.7,7.4,4,6.2,6.4,1,2024-04-07 15:16:00
111,1,25,2,3,1,1,3,2,5,4,0,0,,0,,0,0,0,0,0,7.1,5.3,4,7.6,4.9,3,2024-06-26 15:38:00
112,2,33,1,1,1,1,3,2,2,3,0,0,,0,,0,0,0,0,0,8.5,3.8,3,3.8,5.6,2,2024-05-12 16:24:00
113,1,40,2,4,1,1,4,2,2,3,0,0,,0,,0,0,0,0,0,4.7,4.7,5,6.0,2.6,0,2024-04-28 12:32:00
114,2,27,1,4,2,1,3,2,4,1,1,1,15.0,1,1.0,0,1,1,1,1,10.0,7.6,6,4.2,10.5,3,2024-03-04 16:01:00
115,1,26,1,4,2,1,1,2,7,3,0,0,,0,,0,0,0,0,0,8.4,8.5,5,5.5,11.0,2,2024-06-05 09:12:00
116,1,40,2,4,1,1,2,1,22,4,0,0,,0,,0,0,0,0,0,2.7,10.0,4,8.1,2.2,2,2024-06-20 08:18:00
117,2,25,2,4,1,1,4,2,6,1,0,0,,0,,0,0,0,0,0,8.1,6.7,5,5.2,2.9,3,2024-06-13 08:32:00
118,2,48,2,2,1,1,3,2,6,1,0,0,,0,,0,0,0,0,0,6.2,3.4,5,4.6,2.3,1,2024-04-07 08:25:00
119,2,34,2,5,1,3,4,3,4,3,0,0,,0,,0,0,0,0,0,6.0,8.4,5,7.1,14.2,1,2024-06-03 16:16:00
120,2,35,1,3,2,3,2,2,4,1,0,0,,0,,0,0,0,0,0,4.5,5.8,5,4.3,2.8,2,2024-02-26 08:01:00
121,1,53,2,3,1,1,3,1,9,2,0,0,,0,,0,0,0,0,0,5.9,6.4,3,4.1,4.3,2,2024-02-05 12:33:00
122,1,40,1,4,1,5,2,1,15,2,1,2,43.0,5,0.0,0,0,1,1,0,5.9,8.7,4,2.6,16.0,0,2024-07-09 17:19:00
123,1,32,2,4,1,1,1,2,2,3,0,0,,0,,0,0,0,0,0,7.6,9.0,4,7.1,7.9,2,2024-07-03 13:27:00
124,2,19,2,4,1,1,3,1,1,3,0,0,,0,,0,0,0,0,0,7.1,8.8,5,6.7,3.1,2,2024-04-05 15:33:00
125,2,39,1,3,1,1,1,1,3,4,0,0,,0,,0,0,0,0,0,2.7,8.8,3,6.4,1.3,1,2024-05-06 17:52:00
126,1,19,1,4,1,1,4,1,2,2,0,0,,0,,0,0,0,0,0,6.3,5.1,6,9.1,5.6,1,2024-07-09 08:10:00
127,1,46,1,4,1,2,4,1,7,3,1,1,5.0,3,0.0,0,0,1,0,1,4.9,7.6,3,2.7,1.5,2,2024-04-18 17:06:00
128,2,40,1,4,1,3,3,1,12,1,1,3,13.0,2,1.0,1,1,0,0,0,5.5,10.0,4,6.4,6.2,1,2024-03-21 11:46:00
129,2,37,1,3,1,6,2,1,21,5,0,0,,0,,0,0,0,0,0,8.5,4.0,4,5.9,4.2,3,2024-06-17 16:06:00
130,1,60,2,1,2,3,3,1,12,4,0,0,,0,,0,0,0,0,0,1.0,3.7,2,7.8,1.7,1,2024-03-18 10:56:00
131,1,44,2,3,1,1,5,1,8,1,1,4,6.0,2,0.0,1,1,0,1,0,5.6,9.1,3,5.6,5.0,2,2024-01-31 14:40:00
132,2,46,2,3,1,1,3,1,3,4,1,1,5.0,1,0.0,0,1,1,1,1,3.8,4.3,3,5.1,2.8,1,2024-06-26 11:44:00
133,2,39,2,2,2,2,2,1,11,2,0,0,,0,,0,0,0,0,0,6.2,6.4,4,5.8,6.8,0,2024-03-09 10:46:00
134,2,39,2,2,2,1,3,1,21,2,0,0,,0,,0,0,0,0,0,4.5,3.7,4,6.1,4.1,2,2024-03-25 13:08:00
135,1,28,2,5,1,3,3,2,6,1,1,1,17.0,2,0.0,0,1,0,1,0,9.8,7.2,5,3.5,7.6,3,2024-02-23 13:20:00
136,1,29,2,4,2,4,1,2,5,3,0,0,,0,,0,0,0,0,0,8.6,9.7,5,7.3,10.4,2,2024-07-11 13:16:00
137,1,29,1,2,1,1,3,1,9,2,0,0,,0,,0,0,0,0,0,6.9,4.2,4,4.9,5.4,2,2024-04-26 17:51:00
138,1,22,2,5,1,4,1,2,1,1,0,0,,0,,0,0,0,0,0,10.0,4.7,5,4.7,7.8,3,2024-07-08 16:16:00
139,1,37,3,6,2,1,4,3,8,3,0,0,,0,,0,0,0,0,0,5.8,9.1,4,4.3,1.5,2,2024-02-16 08:47:00
140,1,24,2,4,2,1,3,1,7,1,0,0,,0,,0,0,0,0,0,6.0,7.7,6,6.4,2.7,1,2024-02-15 08:09:00
141,2,44,2,3,1,1,4,1,10,4,0,0,,0,,0,0,0,0,0,4.9,8.2,5,5.9,4.2,2,2024-02-05 16:55:00
142,1,28,2,4,1,1,2,2,5,1,1,3,10.0,4,1.0,0,1,0,1,1,8.7,10.0,3,2.8,3.0,3,2024-03-26 10:46:00
143,1,32,1,5,1,1,4,2,1,1,0,0,,0,,0,0,0,0,0,10.0,10.0,3,2.8,1.4,3,2024-03-07 17:41:00
144,1,38,2,3,1,3,3,1,4,1,1,2,5.0,3,1.0,0,1,0,1,0,4.2,7.7,1,4.3,2.8,2,2024-05-11 13:27:00
145,1,27,1,3,1,1,3,1,7,1,0,0,,0,,0,0,0,0,0,6.5,8.4,5,7.0,10.8,3,2024-05-17 11:44:00
146,1,32,2,4,2,2,3,2,7,2,1,1,12.0,3,0.0,0,1,1,0,1,6.2,8.5,5,5.1,3.0,1,2024-02-21 17:43:00
147,1,18,2,6,1,1,4,3,2,1,0,0,,0,,0,0,0,0,0,7.3,7.6,3,7.4,9.1,1,2024-02-07 09:22:00
148,1,47,1,4,2,5,4,1,14,1,1,1,8.0,1,0.0,1,1,0,1,1,4.5,7.4,3,3.1,3.0,3,2024-04-16 15:29:00
149,1,18,1,3,1,2,1,1,1,1,1,2,6.0,1,0.0,0,0,1,0,0,5.4,5.2,3,6.3,5.0,3,2024-02-20 10:54:00
150,2,18,2,4,1,4,1,1,2,3,0,0,,0,,0,0,0,0,0,7.4,8.5,3,6.7,8.1,3,2024-05-24 16:28:00
151,1,31,1,4,1,1,3,2,4,3,1,1,6.0,5,0.0,1,0,1,0,0,8.0,8.5,5,2.5,5.3,3,2024-01-22 15:45:00
152,1,38,1,3,2,3,2,2,7,1,1,2,7.0,2,0.0,1,1,1,1,1,8.0,7.9,3,1.6,1.9,1,2024-02-24 17:52:00
153,1,37,1,2,1,5,2,1,6,5,0,0,,0,,0,0,0,0,0,2.7,3.0,4,5.5,3.4,3,2024-01-17 16:03:00
154,1,42,2,5,1,1,5,1,4,3,0,0,,0,,0,0,0,0,0,9.3,7.0,5,4.3,0.6,0,2024-02-06 16:16:00
155,1,24,1,4,2,4,4,1,3,3,0,0,,0,,0,0,0,0,0,8.0,8.8,6,6.6,10.1,2,2024-06-12 09:32:00
156,2,37,1,2,2,1,3,2,7,2,0,0,,0,,0,0,0,0,0,7.4,5.3,5,6.3,0.5,0,2024-03-21 11:57:00
157,2,24,1,3,2,1,1,1,2,2,0,0,,0,,0,0,0,0,0,4.8,6.7,4,7.4,3.5,2,2024-03-10 16:34:00
158,2,28,2,4,1,2,3,2,5,2,1,1,11.0,2,0.0,1,1,1,0,1,9.2,9.3,5,4.7,4.4,2,2024-03-27 10:50:00
159,1,36,1,3,2,5,1,1,14,4,0,0,,0,,0,0,0,0,0,4.8,5.7,5,9.0,3.7,3,2024-07-03 08:13:00
160,2,33,1,5,1,5,4,2,1,2,0,0,,0,,0,0,0,0,0,10.0,8.3,4,6.2,2.0,2,2024-06-22 09:38:00
161,1,48,1,2,2,1,2,3,3,3,0,0,,0,,0,0,0,0,0,3.0,3.1,4,5.0,4.8,1,2024-06-27 13:02:00
162,2,38,2,4,1,1,4,1,12,2,0,0,,0,,0,0,0,0,0,5.3,6.0,2,7.2,1.3,2,2024-07-03 16:29:00
163,1,32,1,4,1,1,3,2,5,2,0,0,,0,,0,0,0,0,0,7.7,8.4,4,7.7,7.9,3,2024-02-08 09:27:00
164,1,41,2,4,1,1,3,1,4,1,1,1,1.0,5,0.0,0,0,0,0,1,5.7,8.8,3,4.2,3.3,2,2024-05-14 08:40:00
165,1,35,2,2,1,1,2,1,4,2,1,1,16.0,1,0.0,0,0,1,0,0,4.7,5.7,5,4.2,3.5,3,2024-03-02 12:30:00
166,2,31,2,5,1,1,4,1,2,1,0,0,,0,,0,0,0,0,0,5.6,10.0,7,6.1,7.7,2,2024-04-24 08:25:00
167,1,23,2,4,1,1,2,1,6,2,1,1,35.0,4,0.0,0,1,1,1,1,6.1,10.0,2,2.6,6.1,2,2024-06-04 13:23:00
168,2,32,2,3,2,1,2,1,16,3,0,0,,0,,0,0,0,0,0,3.4,4.0,2,8.4,4.9,3,2024-05-12 09:23:00
169,2,25,2,6,1,3,4,1,9,4,0,0,,0,,0,0,0,0,0,7.3,6.0,5,6.3,0.5,3,2024-06-03 17:14:00
170,2,18,2,3,1,5,1,3,1,1,0,0,,0,,0,0,0,0,0,7.1,6.6,6,7.3,4.3,2,2024-06-21 17:09:00
171,2,63,2,3,2,1,2,1,15,2,0,0,,0,,0,0,0,0,0,5.5,6.1,3,6.6,2.4,2,2024-04-18 09:36:00
172,1,30,1,4,1,3,2,1,7,3,1,1,40.0,2,0.0,1,0,0,0,1,2.5,8.0,2,6.6,3.7,3,2024-01-15 13:34:00
173,1,27,1,5,1,1,5,1,3,4,0,0,,0,,0,0,0,0,0,8.2,8.6,7,5.1,11.4,2,2024-04-06 10:57:00
174,1,31,1,6,1,4,5,1,13,2,1,1,10.0,1,0.0,1,0,1,0,1,7.4,7.2,1,5.7,4.7,2,2024-02-26 17:28:00
175,1,42,2,4,1,2,3,1,7,1,1,1,6.0,3,0.0,0,0,0,1,1,3.5,6.5,2,3.1,3.9,3,2024-04-11 13:54:00
176,1,38,1,3,1,3,3,1,9,3,1,1,1.0,2,1.0,1,0,1,1,0,6.2,7.4,3,4.2,2.8,2,2024-03-31 17:31:00
177,1,41,1,3,1,1,2,1,16,2,0,0,,0,,0,0,0,0,0,5.8,7.0,5,6.7,1.3,2,2024-07-12 15:50:00
178,1,18,1,4,1,3,4,3,2,4,0,0,,0,,0,0,0,0,0,5.6,8.2,4,6.1,16.0,2,2024-01-16 08:45:00
179,2,35,1,3,1,3,3,3,12,2,1,2,26.0,2,1.0,1,1,1,0,1,3.0,5.1,3,1.6,2.5,2,2024-03-12 11:54:00
180,1,39,1,1,2,1,3,1,1,4,0,0,,0,,0,0,0,0,0,2.6,3.6,3,8.4,5.9,2,2024-04-10 16:04:00
