Distribution_Company,Customer_Class,Tariff_Class,Fixed_Charge_NGN,Energy_Charge_NGN_per_kWh,Monthly_Service_Charge_NGN,Minimum_Monthly_Charge_NGN,Peak_Rate_NGN_per_kWh,Off_Peak_Rate_NGN_per_kWh,VAT_Percent,Effective_Date,Subsidy_Percent
Kano_Electric,Industrial,D2_HV_Maximum_Demand,15000,68.00,25000,75000,80.00,56.00,7.5,2024-01-01,0
Kano_Electric,Industrial,D3_EHV_Maximum_Demand,25000,56.00,40000,125000,68.00,44.00,7.5,2024-01-01,0
Benin_Electric,Residential,R1_Single_Phase,750,65.00,1200,2500,0,0,7.5,2024-01-01,0
Benin_Electric,Residential,R2_Single_Phase,1000,78.00,1500,3500,0,0,7.5,2024-01-01,0
Benin_Electric,Residential,R3_Three_Phase,1500,92.00,2000,5000,0,0,7.5,2024-01-01,0
Benin_Electric,Commercial,C1_Single_Phase,2000,100.00,3000,8000,0,0,7.5,2024-01-01,0
Benin_Electric,Commercial,C2_Three_Phase,3500,115.00,5000,15000,0,0,7.5,2024-01-01,0
Benin_Electric,Commercial,C3_Maximum_Demand,5000,128.00,8000,25000,145.00,111.00,7.5,2024-01-01,0
Benin_Electric,Industrial,D1_LV_Maximum_Demand,8000,90.00,12000,40000,104.00,76.00,7.5,2024-01-01,0
Benin_Electric,Industrial,D2_HV_Maximum_Demand,15000,74.00,25000,75000,87.00,61.00,7.5,2024-01-01,0
Benin_Electric,Industrial,D3_EHV_Maximum_Demand,25000,62.00,40000,125000,74.00,50.00,7.5,2024-01-01,0
