# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,ASR_Ohm_cm2,Temperature_C,Condition
3030.3,0.2409,800,steady_state
3030.3,0.3982,800,after_cycling
3080.8,0.2424,800,steady_state
3080.8,0.4018,800,after_cycling
3131.3,0.2439,800,steady_state
3131.3,0.4055,800,after_cycling
3181.8,0.2455,800,steady_state
3181.8,0.4091,800,after_cycling
3232.3,0.2470,800,steady_state
3232.3,0.4127,800,after_cycling
3282.8,0.2485,800,steady_state
3282.8,0.4164,800,after_cycling
3333.3,0.2500,800,steady_state
3333.3,0.4200,800,after_cycling
3383.8,0.2515,800,steady_state
3383.8,0.4236,800,after_cycling
3434.3,0.2530,800,steady_state
3434.3,0.4273,800,after_cycling
3484.8,0.2545,800,steady_state
3484.8,0.4309,800,after_cycling
3535.4,0.2561,800,steady_state
3535.4,0.4345,800,after_cycling
3585.9,0.2576,800,steady_state
3585.9,0.4382,800,after_cycling
3636.4,0.2591,800,steady_state
3636.4,0.4418,800,after_cycling
3686.9,0.2606,800,steady_state
3686.9,0.4455,800,after_cycling
3737.4,0.2621,800,steady_state
3737.4,0.4491,800,after_cycling
3787.9,0.2636,800,steady_state
3787.9,0.4527,800,after_cycling
3838.4,0.2652,800,steady_state
3838.4,0.4564,800,after_cycling
3888.9,0.2667,800,steady_state
3888.9,0.4600,800,after_cycling
3939.4,0.2682,800,steady_state
3939.4,0.4636,800,after_cycling
3989.9,0.2697,800,steady_state
3989.9,0.4673,800,after_cycling
4040.4,0.2712,800,steady_state
4040.4,0.4709,800,after_cycling
4090.9,0.2727,800,steady_state
4090.9,0.4745,800,after_cycling
4141.4,0.2742,800,steady_state
4141.4,0.4782,800,after_cycling
4191.9,0.2758,800,steady_state
4191.9,0.4818,800,after_cycling
4242.4,0.2773,800,steady_state
4242.4,0.4855,800,after_cycling
4292.9,0.2788,800,steady_state
4292.9,0.4891,800,after_cycling
4343.4,0.2803,800,steady_state
4343.4,0.4927,800,after_cycling
4393.9,0.2818,800,steady_state
4393.9,0.4964,800,after_cycling
4444.4,0.2833,800,steady_state
4444.4,0.5000,800,after_cycling
4494.9,0.2848,800,steady_state
4494.9,0.5036,800,after_cycling
4545.5,0.2864,800,steady_state
4545.5,0.5073,800,after_cycling
4596.0,0.2879,800,steady_state
4596.0,0.5109,800,after_cycling
4646.5,0.2894,800,steady_state
4646.5,0.5145,800,after_cycling
4697.0,0.2909,800,steady_state
4697.0,0.5182,800,after_cycling
4747.5,0.2924,800,steady_state
4747.5,0.5218,800,after_cycling
4798.0,0.2939,800,steady_state
4798.0,0.5255,800,after_cycling
4848.5,0.2955,800,steady_state
4848.5,0.5291,800,after_cycling
4899.0,0.2970,800,steady_state
4899.0,0.5327,800,after_cycling
4949.5,0.2985,800,steady_state
4949.5,0.5364,800,after_cycling
5000.0,0.3000,800,steady_state
5000.0,0.5400,800,after_cycling
