# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Current_Density_A_per_cm2,Voltage_V_600C,Voltage_V_650C,Voltage_V_700C,Voltage_V_750C,Voltage_V_800C,Power_Density_W_per_cm2_600C,Power_Density_W_per_cm2_650C,Power_Density_W_per_cm2_700C,Power_Density_W_per_cm2_750C,Power_Density_W_per_cm2_800C
0.9796,0.6122,0.6512,0.6902,0.7292,0.7681,0.5997,0.6379,0.6761,0.7143,0.7524
1.0204,0.5877,0.6288,0.6698,0.7108,0.7518,0.5997,0.6416,0.6835,0.7253,0.7671
1.0612,0.5631,0.6061,0.6492,0.6923,0.7353,0.5976,0.6432,0.6889,0.7347,0.7803
1.1020,0.5383,0.5834,0.6285,0.6736,0.7187,0.5932,0.6429,0.6926,0.7423,0.7920
1.1429,0.5133,0.5604,0.6076,0.6547,0.7018,0.5866,0.6405,0.6944,0.7482,0.8021
1.1837,0.4881,0.5373,0.5865,0.6357,0.6848,0.5778,0.6360,0.6942,0.7525,0.8106
1.2245,0.4628,0.5140,0.5652,0.6165,0.6677,0.5667,0.6294,0.6921,0.7549,0.8176
1.2653,0.4373,0.4906,0.5438,0.5971,0.6504,0.5533,0.6208,0.6881,0.7555,0.8230
1.3061,0.4116,0.4669,0.5223,0.5776,0.6329,0.5376,0.6098,0.6822,0.7544,0.8266
1.3469,0.3858,0.4432,0.5005,0.5579,0.6152,0.5196,0.5970,0.6741,0.7515,0.8286
1.3878,0.3598,0.4192,0.4786,0.5380,0.5974,0.4993,0.5817,0.6642,0.7466,0.8290
1.4286,0.3337,0.3951,0.4565,0.5180,0.5794,0.4767,0.5644,0.6521,0.7400,0.8277
1.4694,0.3074,0.3708,0.4343,0.4978,0.5612,0.4517,0.5448,0.6382,0.7315,0.8246
1.5102,0.2809,0.3464,0.4119,0.4774,0.5429,0.4242,0.5231,0.6221,0.7210,0.8199
1.5510,0.2542,0.3218,0.3893,0.4569,0.5244,0.3943,0.4991,0.6038,0.7087,0.8134
1.5918,0.2274,0.2970,0.3666,0.4362,0.5058,0.3620,0.4728,0.5836,0.6944,0.8052
1.6327,0.2004,0.2720,0.3437,0.4153,0.4869,0.3272,0.4441,0.5611,0.6780,0.7949
1.6735,0.1732,0.2469,0.3206,0.3943,0.4679,0.2898,0.4132,0.5365,0.6598,0.7830
1.7143,0.1459,0.2216,0.2973,0.3731,0.4488,0.2501,0.3799,0.5097,0.6396,0.7694
1.7551,0.1184,0.1962,0.2739,0.3517,0.4295,0.2078,0.3444,0.4807,0.6173,0.7538
1.7959,0.1000,0.1706,0.2504,0.3302,0.4100,0.1796,0.3064,0.4497,0.5930,0.7363
1.8367,0.1000,0.1448,0.2266,0.3085,0.3903,0.1837,0.2660,0.4162,0.5666,0.7169
1.8776,0.1000,0.1188,0.2027,0.2866,0.3705,0.1878,0.2231,0.3806,0.5381,0.6956
1.9184,0.1000,0.1000,0.1786,0.2646,0.3505,0.1918,0.1918,0.3426,0.5076,0.6724
1.9592,0.1000,0.1000,0.1544,0.2424,0.3303,0.1959,0.1959,0.3025,0.4749,0.6471
2.0000,0.1000,0.1000,0.1300,0.2200,0.3100,0.2000,0.2000,0.2600,0.4400,0.6200
