# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Frequency_Hz,Z_Real_Ohm_cm2,Z_Imaginary_Ohm_cm2,Temperature_C
394420.61,0.3000,-0.0000,700
475081.02,0.3000,-0.0000,700
572236.77,0.3000,-0.0000,700
689261.21,0.3000,-0.0000,700
830217.57,0.3000,-0.0000,700
1000000.00,0.3000,-0.0000,700
0.01,0.3500,-0.0001,750
0.01,0.3500,-0.0002,750
0.01,0.3500,-0.0002,750
0.02,0.3500,-0.0002,750
0.02,0.3500,-0.0003,750
0.03,0.3500,-0.0003,750
0.03,0.3500,-0.0004,750
0.04,0.3500,-0.0005,750
0.04,0.3500,-0.0006,750
0.05,0.3500,-0.0007,750
0.06,0.3500,-0.0008,750
0.08,0.3500,-0.0010,750
0.09,0.3500,-0.0012,750
0.11,0.3500,-0.0014,750
0.14,0.3500,-0.0017,750
0.16,0.3500,-0.0020,750
0.20,0.3500,-0.0025,750
0.24,0.3500,-0.0030,750
0.28,0.3499,-0.0036,750
0.34,0.3499,-0.0043,750
0.41,0.3499,-0.0052,750
0.50,0.3498,-0.0062,750
0.60,0.3497,-0.0075,750
0.72,0.3496,-0.0091,750
0.87,0.3494,-0.0109,750
1.05,0.3491,-0.0131,750
1.26,0.3488,-0.0158,750
1.52,0.3482,-0.0189,750
1.83,0.3474,-0.0227,750
2.21,0.3462,-0.0272,750
2.66,0.3446,-0.0325,750
3.20,0.3422,-0.0386,750
3.85,0.3389,-0.0457,750
4.64,0.3343,-0.0538,750
5.59,0.3280,-0.0625,750
6.73,0.3196,-0.0718,750
8.11,0.3088,-0.0809,750
9.77,0.2953,-0.0892,750
11.77,0.2793,-0.0956,750
14.17,0.2615,-0.0993,750
17.07,0.2430,-0.0998,750
20.57,0.2249,-0.0968,750
24.77,0.2084,-0.0910,750
29.84,0.1943,-0.0831,750
35.94,0.1828,-0.0740,750
43.29,0.1738,-0.0648,750
52.14,0.1670,-0.0558,750
62.80,0.1621,-0.0476,750
75.65,0.1585,-0.0403,750
91.12,0.1559,-0.0339,750
109.75,0.1541,-0.0284,750
132.19,0.1529,-0.0237,750
159.23,0.1520,-0.0198,750
191.79,0.1514,-0.0165,750
231.01,0.1509,-0.0137,750
278.26,0.1507,-0.0114,750
335.16,0.1504,-0.0095,750
403.70,0.1503,-0.0079,750
486.26,0.1502,-0.0065,750
585.70,0.1501,-0.0054,750
705.48,0.1501,-0.0045,750
849.75,0.1501,-0.0037,750
1023.53,0.1500,-0.0031,750
1232.85,0.1500,-0.0026,750
1484.97,0.1500,-0.0021,750
1788.65,0.1500,-0.0018,750
2154.43,0.1500,-0.0015,750
2595.02,0.1500,-0.0012,750
3125.72,0.1500,-0.0010,750
3764.94,0.1500,-0.0008,750
4534.88,0.1500,-0.0007,750
5462.28,0.1500,-0.0006,750
6579.33,0.1500,-0.0005,750
7924.83,0.1500,-0.0004,750
9545.48,0.1500,-0.0003,750
11497.57,0.1500,-0.0003,750
13848.86,0.1500,-0.0002,750
16681.01,0.1500,-0.0002,750
20092.33,0.1500,-0.0002,750
24201.28,0.1500,-0.0001,750
29150.53,0.1500,-0.0001,750
35111.92,0.1500,-0.0001,750
42292.43,0.1500,-0.0001,750
50941.38,0.1500,-0.0001,750
61359.07,0.1500,-0.0001,750
73907.22,0.1500,-0.0000,750
89021.51,0.1500,-0.0000,750
107226.72,0.1500,-0.0000,750
129154.97,0.1500,-0.0000,750
155567.61,0.1500,-0.0000,750
187381.74,0.1500,-0.0000,750
225701.97,0.1500,-0.0000,750
271858.82,0.1500,-0.0000,750
327454.92,0.1500,-0.0000,750
394420.61,0.1500,-0.0000,750
475081.02,0.1500,-0.0000,750
572236.77,0.1500,-0.0000,750
689261.21,0.1500,-0.0000,750
830217.57,0.1500,-0.0000,750
1000000.00,0.1500,-0.0000,750
0.01,-0.1000,0.0001,800
0.01,-0.1000,0.0001,800
0.01,-0.1000,0.0001,800
0.02,-0.1000,0.0001,800
0.02,-0.1000,0.0001,800
0.03,-0.1000,0.0002,800
0.03,-0.1000,0.0002,800
0.04,-0.1000,0.0002,800
0.04,-0.1000,0.0003,800
0.05,-0.1000,0.0003,800
0.06,-0.1000,0.0004,800
0.08,-0.1000,0.0005,800
0.09,-0.1000,0.0006,800
0.11,-0.1000,0.0007,800
0.14,-0.1000,0.0009,800
0.16,-0.1000,0.0010,800
0.20,-0.1000,0.0012,800
0.24,-0.1000,0.0015,800
0.28,-0.1000,0.0018,800
0.34,-0.1000,0.0022,800
0.41,-0.0999,0.0026,800
0.50,-0.0999,0.0031,800
0.60,-0.0999,0.0038,800
0.72,-0.0998,0.0045,800
0.87,-0.0997,0.0054,800
1.05,-0.0996,0.0066,800
1.26,-0.0994,0.0079,800
1.52,-0.0991,0.0095,800
1.83,-0.0987,0.0114,800
2.21,-0.0981,0.0136,800
2.66,-0.0973,0.0162,800
3.20,-0.0961,0.0193,800
3.85,-0.0945,0.0229,800
4.64,-0.0922,0.0269,800
5.59,-0.0890,0.0313,800
6.73,-0.0848,0.0359,800
8.11,-0.0794,0.0405,800
9.77,-0.0726,0.0446,800
11.77,-0.0647,0.0478,800
14.17,-0.0558,0.0497,800
17.07,-0.0465,0.0499,800
20.57,-0.0375,0.0484,800
24.77,-0.0292,0.0455,800
29.84,-0.0222,0.0415,800
35.94,-0.0164,0.0370,800
43.29,-0.0119,0.0324,800
52.14,-0.0085,0.0279,800
62.80,-0.0060,0.0238,800
75.65,-0.0042,0.0201,800
91.12,-0.0030,0.0170,800
109.75,-0.0021,0.0142,800
132.19,-0.0014,0.0119,800
159.23,-0.0010,0.0099,800
191.79,-0.0007,0.0082,800
231.01,-0.0005,0.0069,800
278.26,-0.0003,0.0057,800
335.16,-0.0002,0.0047,800
403.70,-0.0002,0.0039,800
486.26,-0.0001,0.0033,800
585.70,-0.0001,0.0027,800
705.48,-0.0001,0.0023,800
849.75,-0.0000,0.0019,800
1023.53,-0.0000,0.0016,800
1232.85,-0.0000,0.0013,800
1484.97,-0.0000,0.0011,800
1788.65,-0.0000,0.0009,800
2154.43,-0.0000,0.0007,800
2595.02,-0.0000,0.0006,800
3125.72,-0.0000,0.0005,800
3764.94,-0.0000,0.0004,800
4534.88,-0.0000,0.0004,800
5462.28,-0.0000,0.0003,800
6579.33,-0.0000,0.0002,800
7924.83,-0.0000,0.0002,800
9545.48,-0.0000,0.0002,800
11497.57,-0.0000,0.0001,800
13848.86,-0.0000,0.0001,800
16681.01,-0.0000,0.0001,800
20092.33,-0.0000,0.0001,800
24201.28,-0.0000,0.0001,800
29150.53,-0.0000,0.0001,800
35111.92,-0.0000,0.0000,800
42292.43,-0.0000,0.0000,800
50941.38,-0.0000,0.0000,800
61359.07,-0.0000,0.0000,800
73907.22,-0.0000,0.0000,800
89021.51,-0.0000,0.0000,800
107226.72,-0.0000,0.0000,800
129154.97,-0.0000,0.0000,800
155567.61,-0.0000,0.0000,800
187381.74,-0.0000,0.0000,800
225701.97,-0.0000,0.0000,800
271858.82,-0.0000,0.0000,800
327454.92,-0.0000,0.0000,800
394420.61,-0.0000,0.0000,800
475081.02,-0.0000,0.0000,800
572236.77,-0.0000,0.0000,800
689261.21,-0.0000,0.0000,800
830217.57,-0.0000,0.0000,800
1000000.00,-0.0000,0.0000,800
