Image_ID,Image_Type,Material,Temperature_C,Time_min,Magnification,Pixel_Size_nm,Image_Width_px,Image_Height_px,Porosity_fraction,Average_Pore_Size_um,Average_Grain_Size_um,Filename,Voxel_Size_um,Volume_Width_vx,Volume_Height_vx,Volume_Depth_vx,Tortuosity,Connectivity_factor
SEM_00013,SEM,anode,1300,120,10000.0,76.04437392940042,2048.0,2048.0,0.18758864112209317,0.8168042885505024,1.903860466924935,sem_anode_1300C_120min_13.tif,,,,,,
SEM_00014,SEM,anode,1300,240,1000.0,84.20512516153839,2048.0,2048.0,0.09737460371099181,0.7376195118296608,1.8984087495816249,sem_anode_1300C_240min_14.tif,,,,,,
SEM_00015,SEM,anode,1350,0,10000.0,54.58535085268373,2048.0,2048.0,0.556959253093161,2.6968815351465194,0.7691418202144319,sem_anode_1350C_0min_15.tif,,,,,,
SEM_00016,SEM,anode,1350,10,2000.0,67.18511017019145,2048.0,2048.0,0.47106966658919475,1.8899892821373458,1.294700271148295,sem_anode_1350C_10min_16.tif,,,,,,
SEM_00017,SEM,anode,1350,20,2000.0,82.36501841125207,2048.0,2048.0,0.4274019285007582,1.2800101975656661,1.608804538967479,sem_anode_1350C_20min_17.tif,,,,,,
SEM_00018,SEM,anode,1350,40,10000.0,70.42290643134845,2048.0,2048.0,0.30675475468309527,1.2065245061842533,1.5100823500198768,sem_anode_1350C_40min_18.tif,,,,,,
SEM_00019,SEM,anode,1350,80,10000.0,53.25800457298021,2048.0,2048.0,0.1371047187392553,0.8674147469049509,1.7460893635677708,sem_anode_1350C_80min_19.tif,,,,,,
CT_00020,X-ray_CT,anode,1350,80,,,,,0.1371047187392553,0.8674147469049509,,ct_anode_1350C_80min_20.raw,0.9935132918773075,1024.0,1024.0,1024.0,1.5081826892891352,0.9797025436753889
SEM_00021,SEM,anode,1350,160,5000.0,84.24956321869276,2048.0,2048.0,0.01953995611582362,0.8262707649042744,1.8006347152738402,sem_anode_1350C_160min_21.tif,,,,,,
SEM_00022,SEM,anode,1400,0,5000.0,74.0259097968015,2048.0,2048.0,0.5404196435794952,2.2756893816060337,0.7283540675795586,sem_anode_1400C_0min_22.tif,,,,,,
SEM_00023,SEM,anode,1400,5,2000.0,67.98705149283802,2048.0,2048.0,0.4960301089098759,1.8376263692965868,1.4966114474385734,sem_anode_1400C_5min_23.tif,,,,,,
CT_00024,X-ray_CT,anode,1400,5,,,,,0.4960301089098759,1.8376263692965868,,ct_anode_1400C_5min_24.raw,0.9759854453303702,1024.0,1024.0,1024.0,3.042834661752086,0.6838410015264399
SEM_00025,SEM,anode,1400,10,2000.0,73.63963870354627,2048.0,2048.0,0.4337613785603659,1.429365371913652,1.7447818115852183,sem_anode_1400C_10min_25.tif,,,,,,
CT_00026,X-ray_CT,anode,1400,10,,,,,0.4337613785603659,1.429365371913652,,ct_anode_1400C_10min_26.raw,0.9460834433060898,1024.0,1024.0,1024.0,2.830903338738404,0.7264565015586699
SEM_00027,SEM,anode,1400,20,5000.0,52.86974547971226,2048.0,2048.0,0.3342361304380451,1.6814030481727493,1.9603295378679586,sem_anode_1400C_20min_27.tif,,,,,,
SEM_00028,SEM,anode,1400,40,2000.0,78.99602840799905,2048.0,2048.0,0.21562940817217455,0.9939029501660869,1.8000433686885693,sem_anode_1400C_40min_28.tif,,,,,,
SEM_00029,SEM,anode,1400,80,1000.0,92.63222482020042,2048.0,2048.0,0.02715840879128005,0.7714686223180818,2.171100381173363,sem_anode_1400C_80min_29.tif,,,,,,
SEM_00030,SEM,electrolyte,1250,0,5000.0,15.988900999853366,2048.0,2048.0,0.5538422751898351,2.513820534890963,0.8106093031865541,sem_electrolyte_1250C_0min_30.tif,,,,,,
SEM_00031,SEM,electrolyte,1250,30,5000.0,27.3289690394911,2048.0,2048.0,0.43218116711942844,1.7503186697788085,0.9638303744456599,sem_electrolyte_1250C_30min_31.tif,,,,,,
SEM_00032,SEM,electrolyte,1250,60,5000.0,61.6078105678689,2048.0,2048.0,0.3702682759180032,1.2144260650801928,1.0274243780985288,sem_electrolyte_1250C_60min_32.tif,,,,,,
SEM_00033,SEM,electrolyte,1250,120,10000.0,44.33943810714929,2048.0,2048.0,0.29109313528853625,0.8997138251902386,1.1195811973381744,sem_electrolyte_1250C_120min_33.tif,,,,,,
CT_00034,X-ray_CT,electrolyte,1250,120,,,,,0.29109313528853625,0.8997138251902386,,ct_electrolyte_1250C_120min_34.raw,1.244356689923167,1024.0,1024.0,1024.0,2.100060644102315,0.8676283163721098
SEM_00035,SEM,electrolyte,1250,240,1000.0,99.57211968688598,2048.0,2048.0,0.18874185753616637,0.7367638082583471,1.3314595020843412,sem_electrolyte_1250C_240min_35.tif,,,,,,
CT_00036,X-ray_CT,electrolyte,1250,240,,,,,0.18874185753616637,0.7367638082583471,,ct_electrolyte_1250C_240min_36.raw,0.6351975430709176,1024.0,1024.0,1024.0,1.8542866164584415,0.932840203688868
SEM_00037,SEM,electrolyte,1250,480,2000.0,87.68747648200898,2048.0,2048.0,0.1687797875109987,0.8136370296728633,1.12117784980167,sem_electrolyte_1250C_480min_37.tif,,,,,,
SEM_00038,SEM,electrolyte,1300,0,5000.0,31.04770487232672,2048.0,2048.0,0.5435878877831329,2.06301473616803,0.8460550065590446,sem_electrolyte_1300C_0min_38.tif,,,,,,
SEM_00039,SEM,electrolyte,1300,15,5000.0,84.64545669900119,2048.0,2048.0,0.4736860782039823,1.609457236362857,0.9361291853816789,sem_electrolyte_1300C_15min_39.tif,,,,,,
SEM_00040,SEM,electrolyte,1300,30,10000.0,17.27067886325093,2048.0,2048.0,0.38893846112351915,1.5026663405037215,1.0186343237969342,sem_electrolyte_1300C_30min_40.tif,,,,,,
SEM_00041,SEM,electrolyte,1300,60,5000.0,65.5520764931141,2048.0,2048.0,0.25990252536908676,1.0339333491835285,1.3079226835856657,sem_electrolyte_1300C_60min_41.tif,,,,,,
SEM_00042,SEM,electrolyte,1300,120,10000.0,51.57269844222477,2048.0,2048.0,0.13760143282381246,0.7377886673950558,1.2934048585024016,sem_electrolyte_1300C_120min_42.tif,,,,,,
CT_00043,X-ray_CT,electrolyte,1300,120,,,,,0.13760143282381246,0.7377886673950558,,ct_electrolyte_1300C_120min_43.raw,1.1598045031429804,1024.0,1024.0,1024.0,1.7274471996949174,0.9170653087656039
SEM_00044,SEM,electrolyte,1300,240,2000.0,54.83911822654265,2048.0,2048.0,0.032160474974628206,0.7509621577015941,1.3300069670651025,sem_electrolyte_1300C_240min_44.tif,,,,,,
SEM_00045,SEM,electrolyte,1350,0,10000.0,19.239465561464534,2048.0,2048.0,0.5812105441850681,2.445753184836064,0.6757255481428328,sem_electrolyte_1350C_0min_45.tif,,,,,,
SEM_00046,SEM,electrolyte,1350,10,10000.0,22.02451666128577,2048.0,2048.0,0.46271323590766245,1.7745400831552078,1.1630236271952294,sem_electrolyte_1350C_10min_46.tif,,,,,,
CT_00047,X-ray_CT,electrolyte,1350,10,,,,,0.46271323590766245,1.7745400831552078,,ct_electrolyte_1350C_10min_47.raw,1.7219495779608243,1024.0,1024.0,1024.0,2.949071487971138,0.7129156741718996
SEM_00048,SEM,electrolyte,1350,20,5000.0,24.6076584361443,2048.0,2048.0,0.4074465616636873,1.7646099139618505,1.2485610892403864,sem_electrolyte_1350C_20min_48.tif,,,,,,
SEM_00049,SEM,electrolyte,1350,40,2000.0,23.826310775392102,2048.0,2048.0,0.27943835991905536,1.0948632971945769,1.4871694949978695,sem_electrolyte_1350C_40min_49.tif,,,,,,
SEM_00050,SEM,electrolyte,1350,80,2000.0,59.779811797952796,2048.0,2048.0,0.091823406330621,0.8555042239279771,1.5559101057090454,sem_electrolyte_1350C_80min_50.tif,,,,,,
SEM_00051,SEM,electrolyte,1350,160,5000.0,58.441999644888796,2048.0,2048.0,0.029740971205219256,0.7590345726745107,1.5155879905485745,sem_electrolyte_1350C_160min_51.tif,,,,,,
CT_00052,X-ray_CT,electrolyte,1350,160,,,,,0.029740971205219256,0.7590345726745107,,ct_electrolyte_1350C_160min_52.raw,1.760031393328401,1024.0,1024.0,1024.0,1.3780617576333756,0.9661867322550248
SEM_00053,SEM,electrolyte,1400,0,10000.0,17.591995132248165,2048.0,2048.0,0.5422971592831091,2.799325699446559,0.7401074197264336,sem_electrolyte_1400C_0min_53.tif,,,,,,
SEM_00054,SEM,electrolyte,1400,5,1000.0,26.033228151857205,2048.0,2048.0,0.48945113083267505,2.2786904121908624,1.1660914674141736,sem_electrolyte_1400C_5min_54.tif,,,,,,
CT_00055,X-ray_CT,electrolyte,1400,5,,,,,0.48945113083267505,2.2786904121908624,,ct_electrolyte_1400C_5min_55.raw,1.7498803199703,1024.0,1024.0,1024.0,3.019036603286499,0.671658117341664
SEM_00056,SEM,electrolyte,1400,10,5000.0,78.16081536964758,2048.0,2048.0,0.43567006568257144,2.0324182936959927,1.2540760669140651,sem_electrolyte_1400C_10min_56.tif,,,,,,
CT_00057,X-ray_CT,electrolyte,1400,10,,,,,0.43567006568257144,2.0324182936959927,,ct_electrolyte_1400C_10min_57.raw,0.5646907589827311,1024.0,1024.0,1024.0,2.8624179558467038,0.6879466681957899
SEM_00058,SEM,electrolyte,1400,20,2000.0,76.07716061153683,2048.0,2048.0,0.3459097198758436,1.1676564153898747,1.4480512075933507,sem_electrolyte_1400C_20min_58.tif,,,,,,
SEM_00059,SEM,electrolyte,1400,40,10000.0,79.32345264239837,2048.0,2048.0,0.14958945020543143,0.8539121663887241,1.5453697480754947,sem_electrolyte_1400C_40min_59.tif,,,,,,
SEM_00060,SEM,electrolyte,1400,80,10000.0,93.64525752557338,2048.0,2048.0,0.028169813064353785,0.9118017309938259,1.791301524513339,sem_electrolyte_1400C_80min_60.tif,,,,,,
SEM_00061,SEM,functional_layer,1250,0,5000.0,89.8330567125607,2048.0,2048.0,0.5689575184169084,2.463501243117013,0.7463434304503639,sem_functional_layer_1250C_0min_61.tif,,,,,,
SEM_00062,SEM,functional_layer,1250,30,10000.0,53.221806384215725,2048.0,2048.0,0.44070700427710613,1.758850692156246,1.1181498935616905,sem_functional_layer_1250C_30min_62.tif,,,,,,
SEM_00063,SEM,functional_layer,1250,60,2000.0,50.48595281929882,2048.0,2048.0,0.3636742322842661,1.2839840113368128,1.212763370400011,sem_functional_layer_1250C_60min_63.tif,,,,,,
SEM_00064,SEM,functional_layer,1250,120,5000.0,76.3364677522103,2048.0,2048.0,0.272777069507448,0.8925436010736078,1.2727053476297743,sem_functional_layer_1250C_120min_64.tif,,,,,,
SEM_00065,SEM,functional_layer,1250,240,10000.0,68.94995590664888,2048.0,2048.0,0.21127692743261076,0.737343444713456,1.4132578243185272,sem_functional_layer_1250C_240min_65.tif,,,,,,
CT_00066,X-ray_CT,functional_layer,1250,240,,,,,0.21127692743261076,0.737343444713456,,ct_functional_layer_1250C_240min_66.raw,1.404649615560105,1024.0,1024.0,1024.0,1.8389723103122353,0.9468549050085592
SEM_00067,SEM,functional_layer,1250,480,1000.0,83.0343175748976,2048.0,2048.0,0.17692696184542323,0.740642200897125,1.6220081277227159,sem_functional_layer_1250C_480min_67.tif,,,,,,
CT_00068,X-ray_CT,functional_layer,1250,480,,,,,0.17692696184542323,0.740642200897125,,ct_functional_layer_1250C_480min_68.raw,1.3228723029832214,1024.0,1024.0,1024.0,1.7236091675008818,0.9099831881446646
SEM_00069,SEM,functional_layer,1300,0,10000.0,16.45547202499702,2048.0,2048.0,0.5172156865248652,2.615897477644034,0.8702967993398185,sem_functional_layer_1300C_0min_69.tif,,,,,,
SEM_00070,SEM,functional_layer,1300,15,1000.0,95.53607590028382,2048.0,2048.0,0.4714485080901694,2.0068282811781173,1.2324076042024916,sem_functional_layer_1300C_15min_70.tif,,,,,,
SEM_00071,SEM,functional_layer,1300,30,1000.0,57.35285552261528,2048.0,2048.0,0.4090804469396443,1.4527739379805646,1.3245772566877976,sem_functional_layer_1300C_30min_71.tif,,,,,,
SEM_00072,SEM,functional_layer,1300,60,10000.0,87.56073220721692,2048.0,2048.0,0.31439730907028207,1.1017543445253297,1.3864411958033027,sem_functional_layer_1300C_60min_72.tif,,,,,,
CT_00073,X-ray_CT,functional_layer,1300,60,,,,,0.31439730907028207,1.1017543445253297,,ct_functional_layer_1300C_60min_73.raw,1.0071253798530837,1024.0,1024.0,1024.0,2.231599453912984,0.8532328886420439
SEM_00074,SEM,functional_layer,1300,120,1000.0,78.260726988666,2048.0,2048.0,0.1680923233613745,0.8475721553180455,1.4262799796118293,sem_functional_layer_1300C_120min_74.tif,,,,,,
SEM_00075,SEM,functional_layer,1300,240,5000.0,38.59534247356216,2048.0,2048.0,0.055877793035319666,0.7845832431320073,1.6681183653576015,sem_functional_layer_1300C_240min_75.tif,,,,,,
CT_00076,X-ray_CT,functional_layer,1300,240,,,,,0.055877793035319666,0.7845832431320073,,ct_functional_layer_1300C_240min_76.raw,1.163224793647339,1024.0,1024.0,1024.0,1.4252532211414513,1.000604215130106
SEM_00077,SEM,functional_layer,1350,0,10000.0,25.248460817523792,2048.0,2048.0,0.5446227334690656,1.9794660124432941,0.6793264389598164,sem_functional_layer_1350C_0min_77.tif,,,,,,
CT_00078,X-ray_CT,functional_layer,1350,0,,,,,0.5446227334690656,1.9794660124432941,,ct_functional_layer_1350C_0min_78.raw,0.596879812513113,1024.0,1024.0,1024.0,2.899038491562288,0.6482471270203863
SEM_00079,SEM,functional_layer,1350,10,2000.0,95.52017721962696,2048.0,2048.0,0.4845559817407571,2.0403787094523445,1.0288476724330586,sem_functional_layer_1350C_10min_79.tif,,,,,,
CT_00080,X-ray_CT,functional_layer,1350,10,,,,,0.4845559817407571,2.0403787094523445,,ct_functional_layer_1350C_10min_80.raw,1.663184601201971,1024.0,1024.0,1024.0,3.0661106869797927,0.7013418763507918
SEM_00081,SEM,functional_layer,1350,20,10000.0,49.770736590727594,2048.0,2048.0,0.41468239767291803,1.3646162500342858,1.562917360468122,sem_functional_layer_1350C_20min_81.tif,,,,,,
CT_00082,X-ray_CT,functional_layer,1350,20,,,,,0.41468239767291803,1.3646162500342858,,ct_functional_layer_1350C_20min_82.raw,1.684955257156403,1024.0,1024.0,1024.0,2.7108332080120157,0.7848121394698456
SEM_00083,SEM,functional_layer,1350,40,2000.0,26.916107409220785,2048.0,2048.0,0.3017216598916551,1.0546376320324147,1.4140498277930669,sem_functional_layer_1350C_40min_83.tif,,,,,,
CT_00084,X-ray_CT,functional_layer,1350,40,,,,,0.3017216598916551,1.0546376320324147,,ct_functional_layer_1350C_40min_84.raw,1.2669937342546502,1024.0,1024.0,1024.0,2.321663515319524,0.8234216854863402
SEM_00085,SEM,functional_layer,1350,80,5000.0,51.56788057924576,2048.0,2048.0,0.11789680507333024,0.7313499007782903,1.8897887621364662,sem_functional_layer_1350C_80min_85.tif,,,,,,
SEM_00086,SEM,functional_layer,1350,160,5000.0,91.56507394515958,2048.0,2048.0,0.024472128439781006,0.7348954252569653,1.8738330511626964,sem_functional_layer_1350C_160min_86.tif,,,,,,
SEM_00087,SEM,functional_layer,1400,0,10000.0,91.10996133014011,2048.0,2048.0,0.5424692376431701,2.313300276551515,0.6722220672507883,sem_functional_layer_1400C_0min_87.tif,,,,,,
SEM_00088,SEM,functional_layer,1400,5,2000.0,85.16211475077641,2048.0,2048.0,0.5025841513981871,2.0650876226269435,1.160927098386337,sem_functional_layer_1400C_5min_88.tif,,,,,,
CT_00089,X-ray_CT,functional_layer,1400,5,,,,,0.5025841513981871,2.0650876226269435,,ct_functional_layer_1400C_5min_89.raw,1.6715260957670979,1024.0,1024.0,1024.0,3.040042500874234,0.6563750494740015
SEM_00090,SEM,functional_layer,1400,10,2000.0,24.632775109214666,2048.0,2048.0,0.46368627660423706,1.8474749732809679,1.3687762819829135,sem_functional_layer_1400C_10min_90.tif,,,,,,
CT_00091,X-ray_CT,functional_layer,1400,10,,,,,0.46368627660423706,1.8474749732809679,,ct_functional_layer_1400C_10min_91.raw,0.566849764533151,1024.0,1024.0,1024.0,2.6269446891083765,0.7238255373732105
SEM_00092,SEM,functional_layer,1400,20,1000.0,26.642035478911552,2048.0,2048.0,0.3434085961072076,1.6805610549616383,1.5059115231672444,sem_functional_layer_1400C_20min_92.tif,,,,,,
SEM_00093,SEM,functional_layer,1400,40,10000.0,36.27629240781212,2048.0,2048.0,0.18022076479700688,0.8522522832823555,1.6284796774373071,sem_functional_layer_1400C_40min_93.tif,,,,,,
CT_00094,X-ray_CT,functional_layer,1400,40,,,,,0.18022076479700688,0.8522522832823555,,ct_functional_layer_1400C_40min_94.raw,0.7417856479748087,1024.0,1024.0,1024.0,1.9857982542779915,0.9117495257011409
SEM_00095,SEM,functional_layer,1400,80,1000.0,95.9860855672291,2048.0,2048.0,0.024729569552773476,0.6867367963323749,1.953109026826212,sem_functional_layer_1400C_80min_95.tif,,,,,,
