state,year,saidi_hours_per_year,saifi_interruptions_per_year,availability_percent,customer_base_thousands,avg_petrol_price_naira_per_liter,avg_diesel_price_naira_per_liter,biomass_energy_potential_twh,biomass_electricity_potential_mwh,daily_flaring_mmscf,annual_flaring_mmscf,co2_emissions_tonnes,economic_value_lost_usd_millions,sofc_priority_score,sofc_gas_availability_mmscf_per_day,sofc_power_potential_mw,sofc_economic_viability_score
Yobe,2024,49.2,122.27,99.44,458,238.89083333333338,269.5216666666666,26.321213888888888,118885.91724,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Adamawa,2024,24.63,142.4,99.72,189,242.68500000000003,254.35,25.797936111111117,83447.51086,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Taraba,2024,46.08,150.9,99.47,292,221.05000000000004,230.26500000000001,23.302813888888885,106717.52081,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Gombe,2024,28.2,122.09,99.68,227,220.51333333333332,233.08083333333335,32.93019722222222,161597.78481,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Kebbi,2024,37.02,217.22,99.58,381,226.75250000000003,287.2025,32.187530555555554,103086.10302,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Zamfara,2024,19.64,153.53,99.78,89,213.26250000000002,221.7591666666667,36.55430833333334,130068.48928,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Katsina,2024,33.91,138.53,99.61,94,221.17583333333334,228.23749999999998,40.16366111111111,196126.88453,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Jigawa,2024,30.97,180.87,99.65,255,213.09083333333334,224.835,33.14563611111112,164213.62577,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Niger,2024,29.81,125.93,99.66,368,199.2108333333333,222.96166666666662,23.703869444444443,111648.70853,0.0,0.0,0.0,0.0,4,0.0,0.0,2
Kwara,2024,24.73,141.98,99.72,241,206.08499999999995,230.08416666666668,15.888672222222224,177510.155,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Benue,2024,42.49,138.99,99.51,446,196.84166666666667,232.05916666666664,7.315508333333334,79538.9327,0.0,0.0,0.0,0.0,4,0.0,0.0,2
Nasarawa,2024,45.06,170.51,99.49,133,218.74499999999998,246.89750000000004,34.95106111111111,137365.28227000005,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Edo,2024,35.99,114.16,99.59,194,221.2825,225.77416666666667,16.74900277777778,68346.46661,16.44,6000.28,15.0,0.02,6,16.44,8.22,3
Bayelsa,2024,25.65,126.93,99.71,389,209.24166666666667,246.5716666666667,12.632208333333333,130648.04102,26.770000000000003,9769.83,24.43,0.03,6,26.770000000000003,13.385000000000002,3
Akwa Ibom,2024,33.66,133.02,99.62,266,211.29416666666668,236.85833333333335,9.799236111111112,128228.71475,21.39,7807.17,19.52,0.02,6,21.39,10.695,3
Ebonyi,2024,31.21,156.15,99.64,51,198.18583333333336,254.62083333333337,15.29953888888889,99483.16118,0.0,0.0,0.0,0.0,4,0.0,0.0,2
Ekiti,2024,38.76,149.0,99.56,172,195.38083333333336,253.40833333333333,18.56721388888889,120535.26115999998,0.0,0.0,0.0,0.0,4,0.0,0.0,2
Osun,2024,24.03,202.06,99.73,459,224.53250000000003,218.33083333333332,11.85523888888889,122884.71169,0.0,0.0,0.0,0.0,4,0.0,0.0,3
Ondo,2024,31.0,92.7,99.65,349,194.02333333333334,245.3525,15.89644722222222,116778.86208,0.0,0.0,0.0,0.0,4,0.0,0.0,2
