state,year,energy_potential_gj,biogas_potential_m3,electricity_potential_kwh,annual_energy_potential_gj,annual_biogas_potential_m3,annual_electricity_potential_kwh,total_energy_potential_gj,total_biogas_potential_m3,total_electricity_potential_kwh,total_energy_potential_twh,total_electricity_potential_mwh
Nasarawa,2020,3007.94,36862821.4,73725642.8,102429.19,5121459.27,10242918.55,105437.13,41984280.67,83968561.35,29.288091666666666,83968.56134999999
Nasarawa,2021,3708.52,45448382.059999995,90896764.13,78068.39,3903419.65,7806839.3100000005,81776.91,49351801.70999999,98703603.44,22.715808333333335,98703.60343999999
Nasarawa,2022,2346.82,28760661.04,57521322.089999996,75948.79000000001,3797439.57,7594879.13,78295.61000000002,32558100.61,65116201.22,21.74878055555556,65116.201219999995
Nasarawa,2023,4983.070000000001,61068459.879999995,122136919.8,103941.45,5197073.58,10394147.16,108924.52,66265533.45999999,132531066.96,30.256811111111112,132531.06696
Nasarawa,2024,5111.9,62647045.019999996,125294090.08,120711.92,6035596.12,12071192.19,125823.81999999999,68682641.14,137365282.27,34.95106111111111,137365.28227000003
Niger,2020,3947.9700000000003,48382851.17,96765702.31,90030.01000000001,4501500.42,9003000.86,93977.98000000001,52884351.59,105768703.17,26.104994444444447,105768.70317000001
Niger,2021,3576.26,43827639.31,87655278.61,93459.46,4672973.07,9345946.17,97035.72,48500612.38,97001224.78,26.954366666666665,97001.22478
Niger,2022,3004.02,36814594.050000004,73629188.12,81456.85,4072843.52,8145687.0600000005,84460.87000000001,40887437.57000001,81774875.18,23.46135277777778,81774.87518
Niger,2023,4519.01,55380909.89,110761819.76,109177.55,5458876.52,10917753.07,113696.56,60839786.41,121679572.83000001,31.582377777777776,121679.57283000002
Niger,2024,4224.25,51768870.04,103537740.06,81109.68,4055484.23,8110968.470000001,85333.93,55824354.269999996,111648708.53,23.703869444444443,111648.70853
Ogun,2020,4532.61,55547765.910000004,111095531.87,42033.450000000004,2101671.71,4203343.4,46566.060000000005,57649437.620000005,115298875.27000001,12.935016666666668,115298.87527
Ogun,2021,6704.11,82159665.32000001,164319330.64000002,46622.69,2331133.8,4662267.63,53326.8,84490799.12,168981598.27,14.813,168981.59827000002
Ogun,2022,6584.95,80699421.61,161398843.15,50746.61,2537330.87,5074661.77,57331.56,83236752.48,166473504.92000002,15.925433333333332,166473.50492
Ogun,2023,7079.34,86758268.52,173516537.04999998,43003.48,2150173.2800000003,4300346.6,50082.82000000001,88908441.8,177816883.64999998,13.911894444444446,177816.88364999997
Ogun,2024,6553.150000000001,80309807.27,160619614.55,39649.83,1982492.04,3964984.05,46202.98,82292299.31,164584598.60000002,12.834161111111111,164584.59860000003
Ondo,2020,5761.58,70608863.55,141217727.1,51145.229999999996,2557261.98,5114523.93,56906.81,73166125.53,146332251.03,15.80744722222222,146332.25103
Ondo,2021,5334.099999999999,65369956.76,130739913.56,42148.07,2107403.87,4214807.72,47482.17,67477360.63,134954721.28,13.189491666666667,134954.72128
Ondo,2022,6897.36,84528152.2,169056304.33,53224.96,2661247.65,5322495.28,60122.32,87189399.85000001,174378799.61,16.700644444444443,174378.79961000002
Ondo,2023,6837.36,83792804.94,167585609.87,39955.89,1997794.94,3995589.91,46793.25,85790599.88,171581199.78,12.998125,171581.19978
Ondo,2024,4549.58,55755549.2,111511098.44,52677.63,2633881.83,5267763.64,57227.21,58389431.03,116778862.08,15.896447222222221,116778.86207999999
Osun,2020,4161.17,50995676.42,101991352.79,48667.380000000005,2433368.86,4866737.75,52828.55,53429045.28,106858090.54,14.674597222222223,106858.09054
Osun,2021,5217.9,63946187.65,127892375.35000001,34402.69,1720133.8,3440267.61,39620.590000000004,65666321.449999996,131332642.96000001,11.005719444444445,131332.64296
Osun,2022,6550.97,80283025.8,160566051.54,44990.49,2249525.06,4499050.08,51541.46,82532550.86,165065101.62,14.317072222222222,165065.10162
Osun,2023,7187.63,88085467.37,176170934.74,39265.45,1963271.92,3926543.85,46453.079999999994,90048739.29,180097478.59,12.903633333333332,180097.47859
Osun,2024,4859.29,59551377.400000006,119102754.81,37819.57,1890978.46,3781956.88,42678.86,61442355.86000001,122884711.69,11.85523888888889,122884.71169
Oyo,2020,5709.01,69964572.14,139929144.28,63191.18,3159559.37,6319118.73,68900.19,73124131.51,146248263.01,19.138941666666668,146248.26301
Oyo,2021,5230.22,64097067.83,128194135.65,43251.08,2162554.34,4325108.68,48481.3,66259622.17,132519244.33000001,13.467027777777778,132519.24433000002
Oyo,2022,7002.78,85820222.62,171640445.28,60920.92,3046045.85,6092091.68,67923.7,88866268.47,177732536.96,18.867694444444442,177732.53696
Oyo,2023,6768.17,82944807.58,165889615.18,43426.81,2171340.73,4342681.44,50194.979999999996,85116148.31,170232296.62,13.94305,170232.29662
Oyo,2024,6884.719999999999,84373042.92999999,168746085.84,59803.630000000005,2990182.67,5980365.32,66688.35,87363225.6,174726451.16,18.524541666666668,174726.45116
Plateau,2020,3322.39,40716343.480000004,81432686.95,99721.56,4986077.67,9972155.35,103043.95,45702421.150000006,91404842.3,28.623319444444444,91404.8423
Plateau,2021,3239.0299999999997,39694761.87,79389523.72,94638.22,4731910.75,9463821.52,97877.25,44426672.62,88853345.24,27.188125,88853.34524
Plateau,2022,2901.6000000000004,35559541.18,71119082.37,91130.69,4556534.7,9113069.41,94032.29000000001,40116075.88,80232151.78,26.120080555555557,80232.15178
Plateau,2023,2330.23,28557328.92,57114657.8,90608.44,4530422.18,9060844.35,92938.67,33087751.1,66175502.15,25.81629722222222,66175.50215
Plateau,2024,4754.22,58263425.519999996,116526851.06,89742.75,4487138.2,8974276.38,94496.97,62750563.72,125501127.44,26.249158333333334,125501.12744
Rivers,2020,4942.32,60568732.65,121137465.28999999,45394.71,2269734.89,4539469.8,50337.03,62838467.54,125676935.08999999,13.982508333333334,125676.93508999998
Rivers,2021,5560.64,68146452.47,136292904.9,43521.43,2176071.69,4352143.41,49082.07,70322524.16,140645048.31,13.633908333333332,140645.04831
Rivers,2022,5660.95,69375609.96000001,138751219.92000002,49313.24,2465662.27,4931324.54,54974.189999999995,71841272.23,143682544.46,15.270608333333332,143682.54446
Rivers,2023,4494.83,55084727.89,110169455.75,21608.79,1080438.43,2160876.86,26103.620000000003,56165166.32,112330332.61,7.251005555555556,112330.33261
Rivers,2024,5208.42,63829713.42,127659426.85,43776.54,2188827.02,4377654.04,48984.96,66018540.440000005,132037080.89,13.606933333333332,132037.08089
Sokoto,2020,4620.25,56621851.89,113243703.74,139960.5,6998025.09,13996050.18,144580.75,63619876.980000004,127239753.91999999,40.161319444444445,127239.75391999999
Sokoto,2021,4448.17,54512842.65,109025685.28999999,107014.52,5350725.59,10701451.15,111462.69,59863568.239999995,119727136.44,30.961858333333335,119727.13644
Sokoto,2022,2827.7200000000003,34654090.12,69308180.24,104338.33,5216916.34,10433832.63,107166.05,39871006.45999999,79742012.86999999,29.76834722222222,79742.01286999999
Sokoto,2023,3469.3,42516586.739999995,85033173.45,142317.39,7115870.399999999,14231740.79,145786.69,49632457.13999999,99264914.24000001,40.49630277777778,99264.91424000001
Sokoto,2024,2588.49,31722381.43,63444762.84,137344.01,6867201.08,13734402.14,139932.5,38589582.51,77179164.98,38.87013888888889,77179.16498
Taraba,2020,4645.56,56932072.17,113864144.34,103608.41,5180420.449999999,10360840.91,108253.97,62112492.620000005,124224985.25,30.070547222222224,124224.98525
Taraba,2021,3771.13,46215769.089999996,92431538.19,72272.75,3613636.93,7227273.9,76043.88,49829406.019999996,99658812.09,21.1233,99658.81209
Taraba,2022,2774.69,34004151.54,68008303.07,107474.01,5373700.22,10747400.44,110248.7,39377851.76,78755703.50999999,30.62463888888889,78755.70350999999
Taraba,2023,4108.38,50348719.940000005,100697439.87,79694.28,3984713.72,7969427.47,83802.66,54333433.660000004,108666867.34,23.27851666666667,108666.86734
Taraba,2024,4028.15,49365661.25,98731322.53,79861.98,3993099.14,7986198.28,83890.12999999999,53358760.39,106717520.81,23.302813888888885,106717.52081
Yobe,2020,3021.07,37023539.08,74047078.21000001,71334.38,3566719.5300000003,7133439.07,74355.45000000001,40590258.61,81180517.28,20.65429166666667,81180.51728
Yobe,2021,2401.32,29428347.4,58856694.8,105379.53,5268976.87,10537953.73,107780.85,34697324.269999996,69394648.53,29.939125,69394.64853
