state,year,livestock_type,population_thousands,daily_manure_production_kg,annual_manure_production_tonnes,daily_biogas_potential_m3,annual_biogas_potential_m3,annual_methane_production_m3,annual_electricity_potential_kwh,annual_energy_potential_gj,methane_content
Abia,2023,horses,278.96,5579.28,2036.44,223.17,81457.44,48874.46,162914.87,1629.15,0.6
Abia,2024,cattle,2221.75,55543.73,20273.46,2221.75,810938.43,486563.06,1621876.87,16218.77,0.6
Abia,2024,sheep,6665.25,16663.12,6082.04,833.16,304101.91,182461.15,608203.82,6082.04,0.6
Abia,2024,goats,8887.0,17773.99,6487.51,888.7,324375.37,194625.22,648750.75,6487.51,0.6
Abia,2024,pigs,888.7,4443.5,1621.88,266.61,97312.61,63253.2,194625.22,1946.25,0.65
Abia,2024,poultry,22217.49,2221.75,810.94,177.74,64875.07,45412.55,129750.15,1297.5,0.7
Abia,2024,donkeys,444.35,6665.25,2432.82,266.61,97312.61,58387.57,194625.22,1946.25,0.6
Abia,2024,horses,222.17,4443.5,1621.88,177.74,64875.07,38925.04,129750.15,1297.5,0.6
Adamawa,2020,cattle,4279.31,106982.71,39048.69,4279.31,1561947.53,937168.52,3123895.06,31238.95,0.6
Adamawa,2020,sheep,12837.92,32094.81,11714.61,1604.74,585730.32,351438.19,1171460.65,11714.61,0.6
Adamawa,2020,goats,17117.23,34234.47,12495.58,1711.72,624779.01,374867.41,1249558.02,12495.58,0.6
Adamawa,2020,pigs,1711.72,8558.62,3123.9,513.52,187433.7,121831.91,374867.41,3748.67,0.65
Adamawa,2020,poultry,42793.08,4279.31,1561.95,342.34,124955.8,87469.06,249911.6,2499.12,0.7
Adamawa,2020,donkeys,855.86,12837.92,4685.84,513.52,187433.7,112460.22,374867.41,3748.67,0.6
Adamawa,2020,horses,427.93,8558.62,3123.9,342.34,124955.8,74973.48,249911.6,2499.12,0.6
Adamawa,2021,cattle,6892.4,172309.92,62893.12,6892.4,2515724.79,1509434.88,5031449.59,50314.5,0.6
Adamawa,2021,sheep,20677.19,51692.98,18867.94,2584.65,943396.8,566038.08,1886793.59,18867.94,0.6
Adamawa,2021,goats,27569.59,55139.17,20125.8,2756.96,1006289.92,603773.95,2012579.83,20125.8,0.6
Adamawa,2021,pigs,2756.96,13784.79,5031.45,827.09,301886.98,196226.53,603773.95,6037.74,0.65
Adamawa,2021,poultry,68923.97,6892.4,2515.72,551.39,201257.98,140880.59,402515.97,4025.16,0.7
Adamawa,2021,donkeys,1378.48,20677.19,7547.17,827.09,301886.98,181132.19,603773.95,6037.74,0.6
Adamawa,2021,horses,689.24,13784.79,5031.45,551.39,201257.98,120754.79,402515.97,4025.16,0.6
Adamawa,2022,cattle,7103.33,177583.24,64817.88,7103.33,2592715.24,1555629.14,5185430.48,51854.3,0.6
Adamawa,2022,sheep,21309.99,53274.97,19445.36,2663.75,972268.21,583360.93,1944536.43,19445.36,0.6
Adamawa,2022,goats,28413.32,56826.64,20741.72,2841.33,1037086.1,622251.66,2074172.19,20741.72,0.6
Adamawa,2022,pigs,2841.33,14206.66,5185.43,852.4,311125.83,202231.79,622251.66,6222.52,0.65
Adamawa,2022,poultry,71033.29,7103.33,2592.72,568.27,207417.22,145192.05,414834.44,4148.34,0.7
Adamawa,2022,donkeys,1420.67,21309.99,7778.15,852.4,311125.83,186675.5,622251.66,6222.52,0.6
Adamawa,2022,horses,710.33,14206.66,5185.43,568.27,207417.22,124450.33,414834.44,4148.34,0.6
Adamawa,2023,cattle,6430.24,160756.04,58675.96,6430.24,2347038.24,1408222.95,4694076.49,46940.76,0.6
Adamawa,2023,sheep,19290.73,48226.81,17602.79,2411.34,880139.34,528083.6,1760278.68,17602.79,0.6
Adamawa,2023,goats,25720.97,51441.93,18776.31,2572.1,938815.3,563289.18,1877630.6,18776.31,0.6
Adamawa,2023,pigs,2572.1,12860.48,4694.08,771.63,281644.59,183068.98,563289.18,5632.89,0.65
Adamawa,2023,poultry,64302.42,6430.24,2347.04,514.42,187763.06,131434.14,375526.12,3755.26,0.7
Adamawa,2023,donkeys,1286.05,19290.73,7041.11,771.63,281644.59,168986.75,563289.18,5632.89,0.6
Adamawa,2023,horses,643.02,12860.48,4694.08,514.42,187763.06,112657.84,375526.12,3755.26,0.6
Adamawa,2024,cattle,5619.14,140478.5,51274.65,5619.14,2050986.14,1230591.68,4101972.27,41019.72,0.6
Adamawa,2024,sheep,16857.42,42143.55,15382.4,2107.18,769119.8,461471.88,1538239.6,15382.4,0.6
Adamawa,2024,goats,22476.56,44953.12,16407.89,2247.66,820394.45,492236.67,1640788.91,16407.89,0.6
Adamawa,2024,pigs,2247.66,11238.28,4101.97,674.3,246118.34,159976.92,492236.67,4922.37,0.65
Adamawa,2024,poultry,56191.4,5619.14,2050.99,449.53,164078.89,114855.22,328157.78,3281.58,0.7
Adamawa,2024,donkeys,1123.83,16857.42,6152.96,674.3,246118.34,147671.0,492236.67,4922.37,0.6
Adamawa,2024,horses,561.91,11238.28,4101.97,449.53,164078.89,98447.33,328157.78,3281.58,0.6
Akwa Ibom,2020,cattle,1698.42,42460.48,15498.07,1698.42,619922.99,371953.79,1239845.98,12398.46,0.6
Akwa Ibom,2020,sheep,5095.26,12738.14,4649.42,636.91,232471.12,139482.67,464942.24,4649.42,0.6
Akwa Ibom,2020,goats,6793.68,13587.35,4959.38,679.37,247969.2,148781.52,495938.39,4959.38,0.6
Akwa Ibom,2020,pigs,679.37,3396.84,1239.85,203.81,74390.76,48353.99,148781.52,1487.82,0.65
Akwa Ibom,2020,poultry,16984.19,1698.42,619.92,135.87,49593.84,34715.69,99187.68,991.88,0.7
Akwa Ibom,2020,donkeys,339.68,5095.26,1859.77,203.81,74390.76,44634.46,148781.52,1487.82,0.6
Akwa Ibom,2020,horses,169.84,3396.84,1239.85,135.87,49593.84,29756.3,99187.68,991.88,0.6
Akwa Ibom,2021,cattle,2525.47,63136.72,23044.9,2525.47,921796.07,553077.64,1843592.15,18435.92,0.6
Akwa Ibom,2021,sheep,7576.41,18941.02,6913.47,947.05,345673.53,207404.12,691347.06,6913.47,0.6
Akwa Ibom,2021,goats,10101.87,20203.75,7374.37,1010.19,368718.43,221231.06,737436.86,7374.37,0.6
Akwa Ibom,2021,pigs,1010.19,5050.94,1843.59,303.06,110615.53,71900.09,221231.06,2212.31,0.65
Akwa Ibom,2021,poultry,25254.69,2525.47,921.8,202.04,73743.69,51620.58,147487.37,1474.87,0.7
Akwa Ibom,2021,donkeys,505.09,7576.41,2765.39,303.06,110615.53,66369.32,221231.06,2212.31,0.6
Akwa Ibom,2021,horses,252.55,5050.94,1843.59,202.04,73743.69,44246.21,147487.37,1474.87,0.6
Akwa Ibom,2022,cattle,2961.87,74046.84,27027.1,2961.87,1081083.92,648650.35,2162167.84,21621.68,0.6
Akwa Ibom,2022,sheep,8885.62,22214.05,8108.13,1110.7,405406.47,243243.88,810812.94,8108.13,0.6
Akwa Ibom,2022,goats,11847.5,23694.99,8648.67,1184.75,432433.57,259460.14,864867.14,8648.67,0.6
Akwa Ibom,2022,pigs,1184.75,5923.75,2162.17,355.42,129730.07,84324.55,259460.14,2594.6,0.65
Akwa Ibom,2022,poultry,29618.74,2961.87,1081.08,236.95,86486.71,60540.7,172973.43,1729.73,0.7
Akwa Ibom,2022,donkeys,592.37,8885.62,3243.25,355.42,129730.07,77838.04,259460.14,2594.6,0.6
Akwa Ibom,2022,horses,296.19,5923.75,2162.17,236.95,86486.71,51892.03,172973.43,1729.73,0.6
Akwa Ibom,2023,cattle,3023.85,75596.21,27592.62,3023.85,1103704.67,662222.8,2207409.34,22074.09,0.6
Akwa Ibom,2023,sheep,9071.55,22678.86,8277.79,1133.94,413889.25,248333.55,827778.5,8277.79,0.6
Akwa Ibom,2023,goats,12095.39,24190.79,8829.64,1209.54,441481.87,264889.12,882963.73,8829.64,0.6
Akwa Ibom,2023,pigs,1209.54,6047.7,2207.41,362.86,132444.56,86088.96,264889.12,2648.89,0.65
Akwa Ibom,2023,poultry,30238.48,3023.85,1103.7,241.91,88296.37,61807.46,176592.75,1765.93,0.7
Akwa Ibom,2023,donkeys,604.77,9071.55,3311.11,362.86,132444.56,79466.74,264889.12,2648.89,0.6
Akwa Ibom,2023,horses,302.38,6047.7,2207.41,241.91,88296.37,52977.82,176592.75,1765.93,0.6
Akwa Ibom,2024,cattle,2866.92,71673.03,26160.66,2866.92,1046426.25,627855.75,2092852.49,20928.52,0.6
Akwa Ibom,2024,sheep,8600.76,21501.91,7848.2,1075.1,392409.84,235445.91,784819.68,7848.2,0.6
Akwa Ibom,2024,goats,11467.68,22935.37,8371.41,1146.77,418570.5,251142.3,837141.0,8371.41,0.6
Akwa Ibom,2024,pigs,1146.77,5733.84,2092.85,344.03,125571.15,81621.25,251142.3,2511.42,0.65
Akwa Ibom,2024,poultry,28669.21,2866.92,1046.43,229.35,83714.1,58599.87,167428.2,1674.28,0.7
Akwa Ibom,2024,donkeys,573.38,8600.76,3139.28,344.03,125571.15,75342.69,251142.3,2511.42,0.6
Akwa Ibom,2024,horses,286.69,5733.84,2092.85,229.35,83714.1,50228.46,167428.2,1674.28,0.6
Anambra,2020,cattle,2784.06,69601.58,25404.58,2784.06,1016183.1,609709.86,2032366.2,20323.66,0.6
Anambra,2020,sheep,8352.19,20880.47,7621.37,1044.02,381068.66,228641.2,762137.33,7621.37,0.6
Anambra,2020,goats,11136.25,22272.51,8129.46,1113.63,406473.24,243883.94,812946.48,8129.46,0.6
Anambra,2020,pigs,1113.63,5568.13,2032.37,334.09,121941.97,79262.28,243883.94,2438.84,0.65
Anambra,2020,poultry,27840.63,2784.06,1016.18,222.73,81294.65,56906.25,162589.3,1625.89,0.7
Anambra,2020,donkeys,556.81,8352.19,3048.55,334.09,121941.97,73165.18,243883.94,2438.84,0.6
Anambra,2020,horses,278.41,5568.13,2032.37,222.73,81294.65,48776.79,162589.3,1625.89,0.6
Anambra,2021,cattle,1718.33,42958.21,15679.75,1718.33,627189.84,376313.9,1254379.68,12543.8,0.6
Anambra,2021,sheep,5154.98,12887.46,4703.92,644.37,235196.19,141117.71,470392.38,4703.92,0.6
Anambra,2021,goats,6873.31,13746.63,5017.52,687.33,250875.94,150525.56,501751.87,5017.52,0.6
Anambra,2021,pigs,687.33,3436.66,1254.38,206.2,75262.78,48920.81,150525.56,1505.26,0.65
Anambra,2021,poultry,17183.28,1718.33,627.19,137.47,50175.19,35122.63,100350.37,1003.5,0.7
Anambra,2021,donkeys,343.67,5154.98,1881.57,206.2,75262.78,45157.67,150525.56,1505.26,0.6
Anambra,2021,horses,171.83,3436.66,1254.38,137.47,50175.19,30105.11,100350.37,1003.5,0.6
Anambra,2022,cattle,1932.65,48316.32,17635.46,1932.65,705418.3,423250.98,1410836.6,14108.37,0.6
Anambra,2022,sheep,5797.96,14494.9,5290.64,724.74,264531.86,158719.12,529063.72,5290.64,0.6
Anambra,2022,goats,7730.61,15461.22,5643.35,773.06,282167.32,169300.39,564334.64,5643.35,0.6
Anambra,2022,pigs,773.06,3865.31,1410.84,231.92,84650.2,55022.63,169300.39,1693.0,0.65
Anambra,2022,poultry,19326.53,1932.65,705.42,154.61,56433.46,39503.42,112866.93,1128.67,0.7
Anambra,2022,donkeys,386.53,5797.96,2116.25,231.92,84650.2,50790.12,169300.39,1693.0,0.6
Anambra,2022,horses,193.27,3865.31,1410.84,154.61,56433.46,33860.08,112866.93,1128.67,0.6
Anambra,2023,cattle,3593.85,89846.2,32793.86,3593.85,1311754.57,787052.74,2623509.14,26235.09,0.6
Anambra,2023,sheep,10781.54,26953.86,9838.16,1347.69,491907.96,295144.78,983815.93,9838.16,0.6
Anambra,2023,goats,14375.39,28750.79,10494.04,1437.54,524701.83,314821.1,1049403.65,10494.04,0.6
Anambra,2023,pigs,1437.54,7187.7,2623.51,431.26,157410.55,102316.86,314821.1,3148.21,0.65
Anambra,2023,poultry,35938.48,3593.85,1311.75,287.51,104940.37,73458.26,209880.73,2098.81,0.7
Anambra,2023,donkeys,718.77,10781.54,3935.26,431.26,157410.55,94446.33,314821.1,3148.21,0.6
Anambra,2023,horses,359.38,7187.7,2623.51,287.51,104940.37,62964.22,209880.73,2098.81,0.6
Anambra,2024,cattle,3038.4,75960.03,27725.41,3038.4,1109016.4,665409.84,2218032.8,22180.33,0.6
Anambra,2024,sheep,9115.2,22788.01,8317.62,1139.4,415881.15,249528.69,831762.3,8317.62,0.6
Anambra,2024,goats,12153.6,24307.21,8872.13,1215.36,443606.56,266163.94,887213.12,8872.13,0.6
Anambra,2024,pigs,1215.36,6076.8,2218.03,364.61,133081.97,86503.28,266163.94,2661.64,0.65
Anambra,2024,poultry,30384.01,3038.4,1109.02,243.07,88721.31,62104.92,177442.62,1774.43,0.7
Anambra,2024,donkeys,607.68,9115.2,3327.05,364.61,133081.97,79849.18,266163.94,2661.64,0.6
Anambra,2024,horses,303.84,6076.8,2218.03,243.07,88721.31,53232.79,177442.62,1774.43,0.6
Bauchi,2020,cattle,6027.59,150689.78,55001.77,6027.59,2200070.77,1320042.46,4400141.54,44001.42,0.6
Bauchi,2020,sheep,18082.77,45206.93,16500.53,2260.35,825026.54,495015.92,1650053.08,16500.53,0.6
Bauchi,2020,goats,24110.36,48220.73,17600.57,2411.04,880028.31,528016.99,1760056.62,17600.57,0.6
Bauchi,2020,pigs,2411.04,12055.18,4400.14,723.31,264008.49,171605.52,528016.99,5280.17,0.65
Bauchi,2020,poultry,60275.91,6027.59,2200.07,482.21,176005.66,123203.96,352011.32,3520.11,0.7
Bauchi,2020,donkeys,1205.52,18082.77,6600.21,723.31,264008.49,158405.1,528016.99,5280.17,0.6
Bauchi,2020,horses,602.76,12055.18,4400.14,482.21,176005.66,105603.4,352011.32,3520.11,0.6
Bauchi,2021,cattle,6493.55,162338.68,59253.62,6493.55,2370144.68,1422086.81,4740289.36,47402.89,0.6
Bauchi,2021,sheep,19480.64,48701.6,17776.09,2435.08,888804.25,533282.55,1777608.51,17776.09,0.6
Bauchi,2021,goats,25974.19,51948.38,18961.16,2597.42,948057.87,568834.72,1896115.74,18961.16,0.6
Bauchi,2021,pigs,2597.42,12987.09,4740.29,779.23,284417.36,184871.29,568834.72,5688.35,0.65
Bauchi,2021,poultry,64935.47,6493.55,2370.14,519.48,189611.57,132728.1,379223.15,3792.23,0.7
Bauchi,2021,donkeys,1298.71,19480.64,7110.43,779.23,284417.36,170650.42,568834.72,5688.35,0.6
Bauchi,2021,horses,649.35,12987.09,4740.29,519.48,189611.57,113766.94,379223.15,3792.23,0.6
Bauchi,2022,cattle,8469.94,211748.39,77288.16,8469.94,3091526.5,1854915.9,6183053.01,61830.53,0.6
Bauchi,2022,sheep,25409.81,63524.52,23186.45,3176.23,1159322.44,695593.46,2318644.88,23186.45,0.6
Bauchi,2022,goats,33879.74,67759.49,24732.21,3387.97,1236610.6,741966.36,2473221.2,24732.21,0.6
Bauchi,2022,pigs,3387.97,16939.87,6183.05,1016.39,370983.18,241139.07,741966.36,7419.66,0.65
Bauchi,2022,poultry,84699.36,8469.94,3091.53,677.59,247322.12,173125.48,494644.24,4946.44,0.7
Bauchi,2022,donkeys,1693.99,25409.81,9274.58,1016.39,370983.18,222589.91,741966.36,7419.66,0.6
Bauchi,2022,horses,846.99,16939.87,6183.05,677.59,247322.12,148393.27,494644.24,4946.44,0.6
Bauchi,2023,cattle,6556.55,163913.78,59828.53,6556.55,2393141.25,1435884.75,4786282.51,47862.83,0.6
Bauchi,2023,sheep,19669.65,49174.14,17948.56,2458.71,897427.97,538456.78,1794855.94,17948.56,0.6
Bauchi,2023,goats,26226.21,52452.41,19145.13,2622.62,957256.5,574353.9,1914513.0,19145.13,0.6
Bauchi,2023,pigs,2622.62,13113.1,4786.28,786.79,287176.95,186665.02,574353.9,5743.54,0.65
Bauchi,2023,poultry,65565.51,6556.55,2393.14,524.52,191451.3,134015.91,382902.6,3829.03,0.7
Bauchi,2023,donkeys,1311.31,19669.65,7179.42,786.79,287176.95,172306.17,574353.9,5743.54,0.6
Bauchi,2023,horses,655.66,13113.1,4786.28,524.52,191451.3,114870.78,382902.6,3829.03,0.6
Bauchi,2024,cattle,7260.32,181507.88,66250.37,7260.32,2650014.99,1590009.0,5300029.99,53000.3,0.6
Bauchi,2024,sheep,21780.95,54452.36,19875.11,2722.62,993755.62,596253.37,1987511.25,19875.11,0.6
Bauchi,2024,goats,29041.26,58082.52,21200.12,2904.13,1060006.0,636003.6,2120012.0,21200.12,0.6
Bauchi,2024,pigs,2904.13,14520.63,5300.03,871.24,318001.8,206701.17,636003.6,6360.04,0.65
Bauchi,2024,poultry,72603.15,7260.32,2650.01,580.83,212001.2,148400.84,424002.4,4240.02,0.7
Bauchi,2024,donkeys,1452.06,21780.95,7950.04,871.24,318001.8,190801.08,636003.6,6360.04,0.6
Bauchi,2024,horses,726.03,14520.63,5300.03,580.83,212001.2,127200.72,424002.4,4240.02,0.6
Bayelsa,2020,cattle,2097.47,52436.69,19139.39,2097.47,765575.67,459345.4,1531151.33,15311.51,0.6
Bayelsa,2020,sheep,6292.4,15731.01,5741.82,786.55,287090.87,172254.52,574181.75,5741.82,0.6
Bayelsa,2020,goats,8389.87,16779.74,6124.61,838.99,306230.27,183738.16,612460.53,6124.61,0.6
Bayelsa,2020,pigs,838.99,4194.94,1531.15,251.7,91869.08,59714.9,183738.16,1837.38,0.65
Bayelsa,2020,poultry,20974.68,2097.47,765.58,167.8,61246.05,42872.24,122492.11,1224.92,0.7
Bayelsa,2020,donkeys,419.49,6292.4,2296.73,251.7,91869.08,55121.45,183738.16,1837.38,0.6
Bayelsa,2020,horses,209.75,4194.94,1531.15,167.8,61246.05,36747.63,122492.11,1224.92,0.6
Bayelsa,2021,cattle,2455.3,61382.6,22404.65,2455.3,896186.0,537711.6,1792372.0,17923.72,0.6
Bayelsa,2021,sheep,7365.91,18414.78,6721.39,920.74,336069.75,201641.85,672139.5,6721.39,0.6
Bayelsa,2021,goats,9821.22,19642.43,7169.49,982.12,358474.4,215084.64,716948.8,7169.49,0.6
Bayelsa,2021,pigs,982.12,4910.61,1792.37,294.64,107542.32,69902.51,215084.64,2150.85,0.65
Bayelsa,2021,poultry,24553.04,2455.3,896.19,196.42,71694.88,50186.42,143389.76,1433.9,0.7
Bayelsa,2021,donkeys,491.06,7365.91,2688.56,294.64,107542.32,64525.39,215084.64,2150.85,0.6
Bayelsa,2021,horses,245.53,4910.61,1792.37,196.42,71694.88,43016.93,143389.76,1433.9,0.6
Bayelsa,2022,cattle,2442.16,61053.95,22284.69,2442.16,891387.62,534832.57,1782775.25,17827.75,0.6
Bayelsa,2022,sheep,7326.47,18316.18,6685.41,915.81,334270.36,200562.22,668540.72,6685.41,0.6
Bayelsa,2022,goats,9768.63,19537.26,7131.1,976.86,356555.05,213933.03,713110.1,7131.1,0.6
Bayelsa,2022,pigs,976.86,4884.32,1782.78,293.06,106966.51,69528.23,213933.03,2139.33,0.65
Bayelsa,2022,poultry,24421.58,2442.16,891.39,195.37,71311.01,49917.71,142622.02,1426.22,0.7
Bayelsa,2022,donkeys,488.43,7326.47,2674.16,293.06,106966.51,64179.91,213933.03,2139.33,0.6
Bayelsa,2022,horses,244.22,4884.32,1782.78,195.37,71311.01,42786.61,142622.02,1426.22,0.6
Bayelsa,2023,cattle,1578.91,39472.68,14407.53,1578.91,576301.09,345780.65,1152602.18,11526.02,0.6
Bayelsa,2023,sheep,4736.72,11841.8,4322.26,592.09,216112.91,129667.75,432225.82,4322.26,0.6
Bayelsa,2023,goats,6315.63,12631.26,4610.41,631.56,230520.44,138312.26,461040.87,4610.41,0.6
Bayelsa,2023,pigs,631.56,3157.81,1152.6,189.47,69156.13,44951.48,138312.26,1383.12,0.65
Bayelsa,2023,poultry,15789.07,1578.91,576.3,126.31,46104.09,32272.86,92208.17,922.08,0.7
Bayelsa,2023,donkeys,315.78,4736.72,1728.9,189.47,69156.13,41493.68,138312.26,1383.12,0.6
Bayelsa,2023,horses,157.89,3157.81,1152.6,126.31,46104.09,27662.45,92208.17,922.08,0.6
Bayelsa,2024,cattle,2715.28,67882.04,24776.94,2715.28,991077.73,594646.64,1982155.46,19821.55,0.6
Bayelsa,2024,sheep,8145.84,20364.61,7433.08,1018.23,371654.15,222992.49,743308.3,7433.08,0.6
Bayelsa,2024,goats,10861.13,21722.25,7928.62,1086.11,396431.09,237858.66,792862.19,7928.62,0.6
Bayelsa,2024,pigs,1086.11,5430.56,1982.16,325.83,118929.33,77304.06,237858.66,2378.59,0.65
Bayelsa,2024,poultry,27152.81,2715.28,991.08,217.22,79286.22,55500.35,158572.44,1585.72,0.7
Bayelsa,2024,donkeys,543.06,8145.84,2973.23,325.83,118929.33,71357.6,237858.66,2378.59,0.6
Bayelsa,2024,horses,271.53,5430.56,1982.16,217.22,79286.22,47571.73,158572.44,1585.72,0.6
Benue,2020,cattle,1474.5,36862.45,13454.8,1474.5,538191.83,322915.1,1076383.67,10763.84,0.6
Benue,2020,sheep,4423.49,11058.74,4036.44,552.94,201821.94,121093.16,403643.88,4036.44,0.6
Benue,2020,goats,5897.99,11795.99,4305.53,589.8,215276.73,129166.04,430553.47,4305.53,0.6
Benue,2020,pigs,589.8,2949.0,1076.38,176.94,64583.02,41978.96,129166.04,1291.66,0.65
Benue,2020,poultry,14744.98,1474.5,538.19,117.96,43055.35,30138.74,86110.69,861.11,0.7
Benue,2020,donkeys,294.9,4423.49,1614.58,176.94,64583.02,38749.81,129166.04,1291.66,0.6
Benue,2020,horses,147.45,2949.0,1076.38,117.96,43055.35,25833.21,86110.69,861.11,0.6
Benue,2021,cattle,1700.32,42508.08,15515.45,1700.32,620618.03,372370.82,1241236.07,12412.36,0.6
Benue,2021,sheep,5100.97,12752.43,4654.64,637.62,232731.76,139639.06,465463.52,4654.64,0.6
Benue,2021,goats,6801.29,13602.59,4964.94,680.13,248247.21,148948.33,496494.43,4964.94,0.6
Benue,2021,pigs,680.13,3400.65,1241.24,204.04,74474.16,48408.21,148948.33,1489.48,0.65
Benue,2021,poultry,17003.23,1700.32,620.62,136.03,49649.44,34754.61,99298.89,992.99,0.7
Benue,2021,donkeys,340.06,5100.97,1861.85,204.04,74474.16,44684.5,148948.33,1489.48,0.6
Benue,2021,horses,170.03,3400.65,1241.24,136.03,49649.44,29789.67,99298.89,992.99,0.6
Benue,2022,cattle,2642.56,66064.04,24113.38,2642.56,964535.05,578721.03,1929070.1,19290.7,0.6
Benue,2022,sheep,7927.69,19819.21,7234.01,990.96,361700.64,217020.39,723401.29,7234.01,0.6
Benue,2022,goats,10570.25,21140.49,7716.28,1057.02,385814.02,231488.41,771628.04,7716.28,0.6
Benue,2022,pigs,1057.02,5285.12,1929.07,317.11,115744.21,75233.73,231488.41,2314.88,0.65
Benue,2022,poultry,26425.62,2642.56,964.54,211.4,77162.8,54013.96,154325.61,1543.26,0.7
Benue,2022,donkeys,528.51,7927.69,2893.61,317.11,115744.21,69446.52,231488.41,2314.88,0.6
Benue,2022,horses,264.26,5285.12,1929.07,211.4,77162.8,46297.68,154325.61,1543.26,0.6
Benue,2023,cattle,2506.2,62654.99,22869.07,2506.2,914762.9,548857.74,1829525.8,18295.26,0.6
Benue,2023,sheep,7518.6,18796.5,6860.72,939.82,343036.09,205821.65,686072.17,6860.72,0.6
Benue,2023,goats,10024.8,20049.6,7318.1,1002.48,365905.16,219543.1,731810.32,7318.1,0.6
Benue,2023,pigs,1002.48,5012.4,1829.53,300.74,109771.55,71351.51,219543.1,2195.43,0.65
Benue,2023,poultry,25062.0,2506.2,914.76,200.5,73181.03,51226.72,146362.06,1463.62,0.7
Benue,2023,donkeys,501.24,7518.6,2744.29,300.74,109771.55,65862.93,219543.1,2195.43,0.6
Benue,2023,horses,250.62,5012.4,1829.53,200.5,73181.03,43908.62,146362.06,1463.62,0.6
Benue,2024,cattle,3022.26,75556.51,27578.13,3022.26,1103125.06,661875.04,2206250.12,22062.5,0.6
Benue,2024,sheep,9066.78,22666.95,8273.44,1133.35,413671.9,248203.14,827343.8,8273.44,0.6
Benue,2024,goats,12089.04,24178.08,8825.0,1208.9,441250.02,264750.01,882500.05,8825.0,0.6
Benue,2024,pigs,1208.9,6044.52,2206.25,362.67,132375.01,86043.75,264750.01,2647.5,0.65
Benue,2024,poultry,30222.6,3022.26,1103.13,241.78,88250.0,61775.0,176500.01,1765.0,0.7
Benue,2024,donkeys,604.45,9066.78,3309.38,362.67,132375.01,79425.0,264750.01,2647.5,0.6
Benue,2024,horses,302.23,6044.52,2206.25,241.78,88250.0,52950.0,176500.01,1765.0,0.6
