region,year,saidi_hours_per_year,saifi_interruptions_per_year,avg_duration_hours,availability_percent,customer_base_thousands
Jigawa,2021,44.0,202.46,0.22,99.5,298
Jigawa,2022,30.35,189.26,0.16,99.65,443
Jigawa,2023,41.3,146.15,0.28,99.53,88
Jigawa,2024,30.97,180.87,0.17,99.65,255
Niger,2020,35.21,117.29,0.3,99.6,204
Niger,2021,46.9,145.15,0.32,99.46,272
Niger,2022,36.63,108.54,0.34,99.58,414
Niger,2023,41.95,111.46,0.38,99.52,463
Niger,2024,29.81,125.93,0.24,99.66,368
Kwara,2020,36.18,149.88,0.24,99.59,453
Kwara,2021,34.61,108.91,0.32,99.6,268
Kwara,2022,27.32,142.97,0.19,99.69,450
Kwara,2023,31.89,118.51,0.27,99.64,169
Kwara,2024,24.73,141.98,0.17,99.72,241
Benue,2020,40.79,161.55,0.25,99.53,56
Benue,2021,31.19,172.18,0.18,99.64,416
Benue,2022,36.81,165.61,0.22,99.58,107
Benue,2023,28.98,126.37,0.23,99.67,275
Benue,2024,42.49,138.99,0.31,99.51,446
Nasarawa,2020,47.57,149.08,0.32,99.46,337
Nasarawa,2021,34.35,170.39,0.2,99.61,71
Nasarawa,2022,34.44,178.59,0.19,99.61,431
Nasarawa,2023,34.04,148.31,0.23,99.61,70
Nasarawa,2024,45.06,170.51,0.26,99.49,133
Edo,2020,39.33,136.79,0.29,99.55,429
Edo,2021,35.19,152.78,0.23,99.6,212
Edo,2022,25.7,144.53,0.18,99.71,61
Edo,2023,31.75,131.9,0.24,99.64,76
Edo,2024,35.99,114.16,0.32,99.59,194
Bayelsa,2020,26.33,133.9,0.2,99.7,248
Bayelsa,2021,27.61,110.52,0.25,99.68,230
Bayelsa,2022,29.99,150.75,0.2,99.66,453
Bayelsa,2023,28.2,123.44,0.23,99.68,255
Bayelsa,2024,25.65,126.93,0.2,99.71,389
Akwa Ibom,2020,33.49,112.33,0.3,99.62,166
Akwa Ibom,2021,34.12,129.76,0.26,99.61,113
Akwa Ibom,2022,31.68,105.09,0.3,99.64,323
Akwa Ibom,2023,33.87,122.54,0.28,99.61,144
Akwa Ibom,2024,33.66,133.02,0.25,99.62,266
Ebonyi,2020,34.43,180.97,0.19,99.61,137
Ebonyi,2021,35.5,150.34,0.24,99.59,95
Ebonyi,2022,34.72,175.01,0.2,99.6,135
Ebonyi,2023,35.07,160.88,0.22,99.6,473
Ebonyi,2024,31.21,156.15,0.2,99.64,51
Ekiti,2020,29.73,215.34,0.14,99.66,203
Ekiti,2021,33.53,159.35,0.21,99.62,408
Ekiti,2022,30.16,197.12,0.15,99.66,192
Ekiti,2023,29.52,155.34,0.19,99.66,354
Ekiti,2024,38.76,149.0,0.26,99.56,172
Osun,2020,21.04,198.12,0.11,99.76,419
Osun,2021,29.49,225.18,0.13,99.66,397
Osun,2022,27.58,175.09,0.16,99.69,300
Osun,2023,23.94,194.99,0.12,99.73,257
Osun,2024,24.03,202.06,0.12,99.73,459
Ondo,2020,29.97,120.23,0.25,99.66,61
Ondo,2021,30.49,104.34,0.29,99.65,350
Ondo,2022,34.77,110.24,0.32,99.6,287
Ondo,2023,30.42,101.13,0.3,99.65,168
Ondo,2024,31.0,92.7,0.33,99.65,349
