state,year,month,petrol_price_naira_per_liter,diesel_price_naira_per_liter,price_difference_naira
Adamawa,2021,10,170.69,192.94,22.25
Adamawa,2021,11,176.16,205.5,29.34
Adamawa,2021,12,183.7,213.57,29.88
Adamawa,2022,1,211.38,246.96,35.58
Adamawa,2022,2,220.68,238.11,17.43
Adamawa,2022,3,231.73,244.92,13.19
Adamawa,2022,4,235.56,261.35,25.79
Adamawa,2022,5,227.07,238.45,11.38
Adamawa,2022,6,197.58,239.93,42.35
Adamawa,2022,7,195.84,228.78,32.93
Adamawa,2022,8,198.45,217.57,19.12
Adamawa,2022,9,183.04,204.69,21.65
Adamawa,2022,10,196.32,206.31,9.99
Adamawa,2022,11,190.74,219.82,29.08
Adamawa,2022,12,216.7,234.59,17.89
Adamawa,2023,1,239.23,262.72,23.49
Adamawa,2023,2,235.94,259.65,23.71
Adamawa,2023,3,257.12,268.69,11.57
Adamawa,2023,4,249.58,264.42,14.85
Adamawa,2023,5,233.19,245.28,12.09
Adamawa,2023,6,232.22,245.92,13.7
Adamawa,2023,7,221.84,235.96,14.12
Adamawa,2023,8,205.97,217.9,11.92
Adamawa,2023,9,208.77,217.89,9.12
Adamawa,2023,10,209.9,224.31,14.41
Adamawa,2023,11,222.33,222.92,0.59
Adamawa,2023,12,222.44,228.84,6.39
Adamawa,2024,1,254.57,270.42,15.85
Adamawa,2024,2,258.71,281.19,22.48
Adamawa,2024,3,255.05,269.04,14.0
Adamawa,2024,4,272.88,274.76,1.89
Adamawa,2024,5,245.92,269.87,23.95
Adamawa,2024,6,249.85,249.16,-0.69
Adamawa,2024,7,233.96,233.53,-0.43
Adamawa,2024,8,212.25,234.98,22.72
Adamawa,2024,9,219.84,233.98,14.13
Adamawa,2024,10,227.24,245.39,18.15
Adamawa,2024,11,231.49,239.31,7.82
Adamawa,2024,12,250.46,250.57,0.11
Akwa Ibom,2020,1,147.32,169.05,21.73
Akwa Ibom,2020,2,165.43,170.49,5.06
Akwa Ibom,2020,3,160.55,163.74,3.19
Akwa Ibom,2020,4,154.56,163.03,8.48
Akwa Ibom,2020,5,155.42,165.04,9.62
Akwa Ibom,2020,6,149.66,150.5,0.84
Akwa Ibom,2020,7,146.3,149.67,3.37
Akwa Ibom,2020,8,135.27,142.13,6.85
Akwa Ibom,2020,9,131.5,135.0,3.5
Akwa Ibom,2020,10,132.6,144.18,11.58
Akwa Ibom,2020,11,133.14,140.58,7.44
Akwa Ibom,2020,12,140.61,146.82,6.21
Akwa Ibom,2021,1,180.69,189.35,8.66
Akwa Ibom,2021,2,187.32,203.62,16.3
Akwa Ibom,2021,3,183.58,205.31,21.73
Akwa Ibom,2021,4,185.57,206.52,20.95
Akwa Ibom,2021,5,183.6,188.31,4.71
Akwa Ibom,2021,6,170.37,190.25,19.88
Akwa Ibom,2021,7,163.96,184.86,20.9
Akwa Ibom,2021,8,160.09,165.83,5.74
Akwa Ibom,2021,9,148.61,171.51,22.9
Akwa Ibom,2021,10,150.13,173.09,22.96
Akwa Ibom,2021,11,171.12,179.84,8.72
Akwa Ibom,2021,12,170.6,190.58,19.98
Akwa Ibom,2022,1,195.46,209.93,14.48
Akwa Ibom,2022,2,202.65,228.66,26.01
Akwa Ibom,2022,3,190.14,212.89,22.74
Akwa Ibom,2022,4,185.98,209.17,23.18
Akwa Ibom,2022,5,179.6,216.24,36.64
Akwa Ibom,2022,6,170.63,198.58,27.95
Akwa Ibom,2022,7,175.21,182.97,7.76
Akwa Ibom,2022,8,167.96,180.7,12.74
Akwa Ibom,2022,9,154.32,185.6,31.27
Akwa Ibom,2022,10,164.94,191.7,26.76
Akwa Ibom,2022,11,173.35,197.96,24.61
Akwa Ibom,2022,12,174.39,195.72,21.32
Akwa Ibom,2023,1,222.39,238.56,16.17
Akwa Ibom,2023,2,216.57,255.93,39.36
Akwa Ibom,2023,3,218.55,262.98,44.43
Akwa Ibom,2023,4,227.24,247.28,20.04
Akwa Ibom,2023,5,217.31,246.79,29.48
Akwa Ibom,2023,6,193.88,238.43,44.55
Akwa Ibom,2023,7,191.9,224.85,32.95
Akwa Ibom,2023,8,181.09,217.63,36.54
Akwa Ibom,2023,9,179.69,196.19,16.5
Akwa Ibom,2023,10,191.88,200.79,8.91
Akwa Ibom,2023,11,188.33,227.54,39.21
Akwa Ibom,2023,12,210.99,230.88,19.89
Akwa Ibom,2024,1,220.24,243.56,23.32
Akwa Ibom,2024,2,236.74,262.92,26.17
Akwa Ibom,2024,3,242.47,267.13,24.66
Akwa Ibom,2024,4,223.21,256.3,33.09
Akwa Ibom,2024,5,214.94,249.03,34.1
Akwa Ibom,2024,6,212.93,245.16,32.23
Akwa Ibom,2024,7,200.44,215.62,15.18
Akwa Ibom,2024,8,188.65,221.2,32.56
Akwa Ibom,2024,9,195.04,203.93,8.89
Akwa Ibom,2024,10,187.49,219.9,32.41
Akwa Ibom,2024,11,194.78,231.42,36.64
Akwa Ibom,2024,12,218.6,226.13,7.53
Anambra,2020,1,144.73,182.08,37.35
Anambra,2020,2,156.43,199.43,43.0
Anambra,2020,3,161.02,198.14,37.13
Anambra,2020,4,149.81,182.94,33.14
Anambra,2020,5,150.64,185.54,34.9
Anambra,2020,6,138.54,182.82,44.28
Anambra,2020,7,127.46,166.77,39.31
Anambra,2020,8,121.28,159.96,38.69
Anambra,2020,9,120.06,152.08,32.02
Anambra,2020,10,122.63,162.86,40.23
Anambra,2020,11,135.88,168.29,32.41
Anambra,2020,12,146.05,173.48,27.43
Anambra,2021,1,162.19,211.26,49.07
Anambra,2021,2,164.19,218.76,54.57
Anambra,2021,3,166.76,219.79,53.03
Anambra,2021,4,173.09,219.24,46.15
Anambra,2021,5,159.69,202.99,43.3
Anambra,2021,6,166.31,192.74,26.42
Anambra,2021,7,152.87,186.25,33.39
Anambra,2021,8,144.44,177.88,33.44
Anambra,2021,9,144.18,180.0,35.83
Anambra,2021,10,138.5,171.79,33.29
Anambra,2021,11,157.71,189.81,32.09
Anambra,2021,12,158.15,194.6,36.45
Anambra,2022,1,181.55,198.37,16.82
Anambra,2022,2,190.14,199.54,9.4
Anambra,2022,3,199.94,221.16,21.22
Anambra,2022,4,192.3,209.09,16.79
Anambra,2022,5,178.74,207.63,28.9
Anambra,2022,6,176.74,185.26,8.53
Anambra,2022,7,171.63,188.02,16.39
Anambra,2022,8,165.63,179.08,13.45
Anambra,2022,9,157.95,171.15,13.2
Anambra,2022,10,165.36,181.54,16.18
Anambra,2022,11,157.36,173.52,16.16
Anambra,2022,12,171.39,197.69,26.3
Anambra,2023,1,221.13,215.93,-5.2
Anambra,2023,2,237.36,233.89,-3.47
Anambra,2023,3,237.27,228.22,-9.04
Anambra,2023,4,224.77,221.03,-3.75
Anambra,2023,5,209.35,226.51,17.15
Anambra,2023,6,215.17,218.53,3.36
Anambra,2023,7,208.05,198.82,-9.23
Anambra,2023,8,195.69,198.56,2.86
Anambra,2023,9,194.34,182.58,-11.76
Anambra,2023,10,189.63,183.05,-6.57
Anambra,2023,11,207.21,199.82,-7.38
Anambra,2023,12,202.98,211.7,8.73
Anambra,2024,1,215.77,248.7,32.93
Anambra,2024,2,232.74,259.92,27.18
Anambra,2024,3,235.61,265.17,29.56
Anambra,2024,4,233.48,254.57,21.1
Anambra,2024,5,232.9,242.15,9.25
Anambra,2024,6,205.93,221.89,15.96
Anambra,2024,7,208.25,223.88,15.63
Anambra,2024,8,199.23,206.59,7.36
Anambra,2024,9,185.39,199.4,14.02
Anambra,2024,10,192.33,214.61,22.28
Anambra,2024,11,200.88,219.84,18.96
Anambra,2024,12,222.4,229.33,6.93
Bauchi,2020,1,154.76,181.54,26.78
Bauchi,2020,2,167.69,193.94,26.25
Bauchi,2020,3,158.04,195.9,37.86
Bauchi,2020,4,161.7,181.11,19.41
Bauchi,2020,5,155.74,187.96,32.22
Bauchi,2020,6,148.82,167.88,19.06
Bauchi,2020,7,143.37,158.05,14.68
Bauchi,2020,8,130.26,150.23,19.96
Bauchi,2020,9,129.05,148.38,19.32
Bauchi,2020,10,131.12,158.21,27.09
Bauchi,2020,11,136.98,159.76,22.78
Bauchi,2020,12,154.84,170.36,15.52
Bauchi,2021,1,170.99,174.01,3.02
Bauchi,2021,2,176.53,184.56,8.04
Bauchi,2021,3,178.85,183.21,4.36
Bauchi,2021,4,175.65,188.0,12.36
Bauchi,2021,5,171.24,179.91,8.67
Bauchi,2021,6,168.08,177.01,8.93
Bauchi,2021,7,152.27,169.96,17.69
Bauchi,2021,8,155.43,152.02,-3.41
Bauchi,2021,9,156.87,162.91,6.04
Bauchi,2021,10,146.73,155.12,8.38
Bauchi,2021,11,164.51,169.11,4.6
Bauchi,2021,12,162.72,168.65,5.93
Bauchi,2022,1,186.96,207.71,20.75
Bauchi,2022,2,190.5,223.19,32.7
Bauchi,2022,3,184.6,215.03,30.43
Bauchi,2022,4,195.29,226.41,31.12
Bauchi,2022,5,184.99,211.14,26.15
Bauchi,2022,6,169.06,199.39,30.33
Bauchi,2022,7,167.72,185.52,17.8
Bauchi,2022,8,157.03,180.84,23.81
Bauchi,2022,9,150.78,177.19,26.41
Bauchi,2022,10,156.1,179.93,23.83
Bauchi,2022,11,160.82,197.86,37.04
Bauchi,2022,12,177.62,204.03,26.41
Bauchi,2023,1,204.34,231.12,26.78
Bauchi,2023,2,222.49,244.14,21.65
Bauchi,2023,3,221.76,232.25,10.48
Bauchi,2023,4,215.8,235.03,19.23
Bauchi,2023,5,216.25,231.89,15.64
Bauchi,2023,6,200.07,229.97,29.9
Bauchi,2023,7,194.88,202.86,7.98
Bauchi,2023,8,178.03,193.35,15.33
Bauchi,2023,9,178.05,190.67,12.62
Bauchi,2023,10,179.6,196.0,16.4
Bauchi,2023,11,186.54,216.6,30.06
Bauchi,2023,12,194.47,219.84,25.37
Bauchi,2024,1,209.29,264.59,55.29
Bauchi,2024,2,235.91,286.75,50.84
Bauchi,2024,3,235.34,273.27,37.93
Bauchi,2024,4,217.91,281.3,63.39
Bauchi,2024,5,227.09,268.83,41.75
Bauchi,2024,6,208.85,248.99,40.13
Bauchi,2024,7,202.31,234.29,31.98
Bauchi,2024,8,186.07,230.81,44.73
Bauchi,2024,9,186.77,223.23,36.45
Bauchi,2024,10,182.12,235.11,53.0
Bauchi,2024,11,192.84,243.82,50.99
Bauchi,2024,12,200.2,254.11,53.9
Bayelsa,2020,1,154.24,155.02,0.79
Bayelsa,2020,2,155.18,174.67,19.49
Bayelsa,2020,3,161.35,173.79,12.44
Bayelsa,2020,4,158.29,169.54,11.25
Bayelsa,2020,5,160.88,162.44,1.56
Bayelsa,2020,6,148.91,151.89,2.98
Bayelsa,2020,7,139.72,151.83,12.11
Bayelsa,2020,8,140.91,146.48,5.57
Bayelsa,2020,9,129.35,141.1,11.75
Bayelsa,2020,10,142.38,135.51,-6.87
Bayelsa,2020,11,135.72,149.09,13.37
Bayelsa,2020,12,150.45,158.48,8.04
Bayelsa,2021,1,158.26,193.13,34.87
Bayelsa,2021,2,163.14,213.32,50.18
Bayelsa,2021,3,173.71,209.85,36.14
Bayelsa,2021,4,166.43,214.62,48.19
Bayelsa,2021,5,161.37,206.18,44.81
Bayelsa,2021,6,154.41,187.99,33.58
Bayelsa,2021,7,147.04,177.23,30.19
Bayelsa,2021,8,145.41,173.9,28.48
Bayelsa,2021,9,136.07,178.14,42.07
Bayelsa,2021,10,140.25,174.61,34.35
Bayelsa,2021,11,153.59,183.06,29.48
Bayelsa,2021,12,149.4,198.71,49.3
Bayelsa,2022,1,184.94,211.9,26.96
Bayelsa,2022,2,200.94,213.74,12.8
Bayelsa,2022,3,208.92,221.87,12.96
Bayelsa,2022,4,191.64,209.01,17.38
Bayelsa,2022,5,187.04,210.87,23.83
Bayelsa,2022,6,174.2,197.42,23.21
Bayelsa,2022,7,178.15,193.26,15.11
Bayelsa,2022,8,164.27,184.82,20.55
Bayelsa,2022,9,158.05,182.55,24.5
Bayelsa,2022,10,160.69,177.23,16.54
Bayelsa,2022,11,178.75,179.72,0.97
Bayelsa,2022,12,177.78,200.4,22.62
Bayelsa,2023,1,215.17,236.08,20.91
Bayelsa,2023,2,213.01,239.52,26.51
Bayelsa,2023,3,214.08,256.33,42.25
Bayelsa,2023,4,220.25,240.86,20.61
Bayelsa,2023,5,210.27,245.59,35.32
Bayelsa,2023,6,194.05,225.81,31.76
Bayelsa,2023,7,191.08,215.06,23.97
Bayelsa,2023,8,174.76,212.1,37.34
Bayelsa,2023,9,188.74,202.81,14.07
Bayelsa,2023,10,187.22,213.13,25.91
Bayelsa,2023,11,194.93,205.3,10.37
Bayelsa,2023,12,202.55,226.27,23.72
Bayelsa,2024,1,227.66,269.32,41.66
Bayelsa,2024,2,224.68,257.0,32.32
Bayelsa,2024,3,239.65,279.8,40.15
Bayelsa,2024,4,217.31,278.59,61.27
Bayelsa,2024,5,226.25,258.82,32.56
Bayelsa,2024,6,209.69,243.54,33.85
Bayelsa,2024,7,188.61,229.87,41.26
Bayelsa,2024,8,195.54,213.59,18.04
Bayelsa,2024,9,183.9,219.17,35.27
Bayelsa,2024,10,190.51,234.16,43.65
Bayelsa,2024,11,194.37,230.15,35.78
Bayelsa,2024,12,212.73,244.85,32.13
Benue,2020,1,144.39,165.47,21.08
Benue,2020,2,154.96,175.53,20.57
Benue,2020,3,163.41,176.68,13.27
Benue,2020,4,156.24,179.3,23.07
Benue,2020,5,142.47,173.8,31.32
Benue,2020,6,138.04,170.37,32.32
Benue,2020,7,130.74,153.39,22.65
Benue,2020,8,124.88,156.15,31.27
Benue,2020,9,128.4,147.97,19.57
Benue,2020,10,124.64,152.47,27.83
Benue,2020,11,131.57,160.87,29.3
Benue,2020,12,138.43,157.82,19.39
Benue,2021,1,161.56,182.5,20.94
Benue,2021,2,170.69,196.52,25.82
Benue,2021,3,168.58,198.69,30.12
Benue,2021,4,164.47,198.62,34.15
Benue,2021,5,154.99,184.72,29.73
Benue,2021,6,158.41,189.81,31.4
Benue,2021,7,143.39,168.66,25.27
Benue,2021,8,141.65,164.45,22.81
Benue,2021,9,131.06,157.91,26.85
Benue,2021,10,142.65,168.61,25.95
Benue,2021,11,138.37,167.82,29.45
Benue,2021,12,148.77,184.83,36.06
Benue,2022,1,180.36,192.34,11.98
Benue,2022,2,183.98,200.27,16.29
Benue,2022,3,176.1,202.84,26.74
Benue,2022,4,185.24,212.97,27.73
Benue,2022,5,180.89,196.68,15.79
Benue,2022,6,169.57,183.68,14.11
Benue,2022,7,155.15,186.92,31.77
Benue,2022,8,144.91,165.7,20.8
Benue,2022,9,145.71,162.27,16.56
Benue,2022,10,147.47,174.31,26.83
Benue,2022,11,157.18,186.86,29.67
Benue,2022,12,172.06,186.27,14.21
Benue,2023,1,199.07,221.01,21.95
Benue,2023,2,206.7,232.03,25.33
Benue,2023,3,207.76,235.52,27.76
Benue,2023,4,199.97,244.65,44.68
Benue,2023,5,202.49,218.12,15.63
Benue,2023,6,194.82,215.22,20.4
Benue,2023,7,185.54,210.85,25.31
Benue,2023,8,170.34,187.43,17.09
Benue,2023,9,165.19,194.75,29.55
Benue,2023,10,173.91,192.06,18.15
Benue,2023,11,172.06,211.57,39.51
Benue,2023,12,197.0,216.04,19.05
Benue,2024,1,199.92,251.37,51.45
Benue,2024,2,209.04,251.7,42.65
Benue,2024,3,215.06,254.23,39.17
Benue,2024,4,220.64,258.02,37.38
Benue,2024,5,203.86,229.57,25.7
Benue,2024,6,192.77,239.07,46.31
Benue,2024,7,197.13,220.51,23.38
Benue,2024,8,184.54,213.43,28.89
Benue,2024,9,174.18,215.46,41.28
Benue,2024,10,181.22,207.51,26.29
Benue,2024,11,190.39,208.49,18.1
Benue,2024,12,193.35,235.35,41.99
Borno,2020,1,165.05,197.79,32.73
Borno,2020,2,171.57,203.98,32.42
Borno,2020,3,181.32,205.27,23.95
Borno,2020,4,176.43,206.48,30.04
Borno,2020,5,172.14,208.74,36.6
Borno,2020,6,165.05,185.05,19.99
Borno,2020,7,146.05,176.65,30.6
Borno,2020,8,148.73,166.18,17.44
Borno,2020,9,145.12,173.09,27.97
Borno,2020,10,144.89,178.69,33.8
Borno,2020,11,147.21,173.26,26.06
Borno,2020,12,164.98,190.39,25.41
Borno,2021,1,197.02,224.73,27.71
Borno,2021,2,215.46,229.76,14.3
Borno,2021,3,206.95,230.21,23.26
Borno,2021,4,206.29,216.17,9.88
Borno,2021,5,210.58,209.87,-0.71
Borno,2021,6,201.19,206.29,5.1
Borno,2021,7,177.14,197.87,20.73
Borno,2021,8,182.41,193.85,11.44
Borno,2021,9,178.58,189.63,11.05
Borno,2021,10,179.23,196.06,16.83
Borno,2021,11,178.32,196.83,18.51
Borno,2021,12,187.15,217.52,30.37
Borno,2022,1,232.84,237.28,4.44
Borno,2022,2,228.56,237.13,8.57
Borno,2022,3,248.94,227.32,-21.62
Borno,2022,4,240.76,230.76,-10.0
Borno,2022,5,237.83,238.32,0.49
Borno,2022,6,226.93,216.2,-10.73
Borno,2022,7,213.89,213.02,-0.87
Borno,2022,8,194.87,204.5,9.63
Borno,2022,9,186.5,196.96,10.46
Borno,2022,10,193.11,190.47,-2.63
Borno,2022,11,197.69,209.96,12.28
Borno,2022,12,213.8,221.63,7.83
Borno,2023,1,222.28,265.29,43.01
Borno,2023,2,224.97,270.14,45.17
Borno,2023,3,240.9,273.2,32.3
Borno,2023,4,223.01,254.1,31.09
Borno,2023,5,229.6,245.46,15.86
Borno,2023,6,218.76,246.23,27.47
Borno,2023,7,209.11,240.21,31.1
Borno,2023,8,202.19,220.91,18.72
Borno,2023,9,194.85,218.8,23.95
Borno,2023,10,192.21,227.12,34.9
Borno,2023,11,207.81,244.54,36.73
Borno,2023,12,216.52,243.5,26.98
Borno,2024,1,243.84,283.42,39.58
Borno,2024,2,255.34,298.7,43.36
Borno,2024,3,256.96,300.72,43.76
Borno,2024,4,247.24,290.48,43.23
Borno,2024,5,262.59,292.78,30.19
Borno,2024,6,235.7,285.91,50.22
Borno,2024,7,220.15,278.83,58.68
Borno,2024,8,224.04,246.01,21.97
Borno,2024,9,212.84,262.36,49.52
Borno,2024,10,227.49,255.71,28.22
Borno,2024,11,229.1,257.94,28.84
Borno,2024,12,250.17,273.33,23.16
Cross River,2020,1,167.96,176.19,8.24
Cross River,2020,2,167.33,176.21,8.89
Cross River,2020,3,169.21,178.57,9.36
Cross River,2020,4,176.77,179.38,2.61
Cross River,2020,5,158.82,184.23,25.41
Cross River,2020,6,164.33,174.76,10.43
Cross River,2020,7,157.78,154.02,-3.76
Cross River,2020,8,143.05,157.03,13.98
Cross River,2020,9,145.22,145.61,0.39
Cross River,2020,10,149.11,148.86,-0.26
Cross River,2020,11,146.19,159.8,13.61
Cross River,2020,12,159.73,168.93,9.21
Cross River,2021,1,158.11,194.67,36.55
Cross River,2021,2,174.06,218.73,44.67
Cross River,2021,3,175.76,218.34,42.58
Cross River,2021,4,170.15,210.27,40.12
Cross River,2021,5,155.22,200.3,45.09
Cross River,2021,6,152.23,187.9,35.67
Cross River,2021,7,149.76,182.83,33.07
Cross River,2021,8,134.94,170.93,35.99
Cross River,2021,9,141.32,165.93,24.61
Cross River,2021,10,145.79,175.77,29.98
Cross River,2021,11,146.2,184.59,38.39
Cross River,2021,12,159.2,189.6,30.4
Cross River,2022,1,188.75,221.04,32.29
Cross River,2022,2,205.94,223.89,17.96
Cross River,2022,3,209.55,231.31,21.76
Cross River,2022,4,204.15,227.83,23.67
Cross River,2022,5,197.07,216.81,19.74
Cross River,2022,6,186.23,207.96,21.73
Cross River,2022,7,168.88,200.03,31.15
Cross River,2022,8,174.36,176.55,2.19
Cross River,2022,9,171.04,175.77,4.73
Cross River,2022,10,165.34,189.78,24.44
Cross River,2022,11,168.91,198.82,29.9
Cross River,2022,12,190.16,202.98,12.82
Cross River,2023,1,191.93,233.88,41.94
Cross River,2023,2,198.92,225.37,26.45
Cross River,2023,3,201.41,234.7,33.29
Cross River,2023,4,201.82,221.84,20.02
Cross River,2023,5,194.67,224.06,29.39
Cross River,2023,6,189.05,209.15,20.11
Cross River,2023,7,173.92,210.61,36.69
Cross River,2023,8,158.47,202.6,44.12
Cross River,2023,9,165.67,183.0,17.33
Cross River,2023,10,161.75,198.15,36.4
Cross River,2023,11,164.22,203.55,39.33
Cross River,2023,12,177.9,215.08,37.19
Cross River,2024,1,215.72,275.61,59.89
Cross River,2024,2,218.47,262.37,43.9
Cross River,2024,3,221.34,262.69,41.35
Cross River,2024,4,202.96,267.64,64.68
Cross River,2024,5,205.73,270.38,64.65
Cross River,2024,6,199.75,249.37,49.62
Cross River,2024,7,182.13,250.03,67.9
Cross River,2024,8,177.85,227.9,50.06
Cross River,2024,9,170.6,232.31,61.71
Cross River,2024,10,182.64,222.62,39.98
Cross River,2024,11,178.57,242.49,63.93
Cross River,2024,12,199.19,245.04,45.86
Delta,2020,1,165.23,170.66,5.43
Delta,2020,2,170.77,171.45,0.68
Delta,2020,3,172.49,167.32,-5.17
Delta,2020,4,180.48,167.57,-12.91
Delta,2020,5,172.91,158.99,-13.91
Delta,2020,6,153.89,148.33,-5.56
Delta,2020,7,152.79,145.9,-6.89
Delta,2020,8,149.98,141.77,-8.22
Delta,2020,9,149.26,135.66,-13.61
Delta,2020,10,150.05,146.08,-3.97
Delta,2020,11,154.59,152.94,-1.65
Delta,2020,12,162.57,157.59,-4.98
Delta,2021,1,169.76,180.55,10.79
Delta,2021,2,173.59,184.35,10.76
Delta,2021,3,164.13,179.96,15.82
Delta,2021,4,171.71,183.4,11.69
Delta,2021,5,158.03,178.32,20.29
Delta,2021,6,148.39,171.36,22.97
Delta,2021,7,143.99,166.27,22.29
Delta,2021,8,139.03,154.55,15.53
Delta,2021,9,132.82,146.43,13.62
Delta,2021,10,140.19,154.94,14.75
Delta,2021,11,148.87,158.11,9.24
Delta,2021,12,158.18,176.09,17.91
Delta,2022,1,195.67,188.96,-6.71
Delta,2022,2,197.66,213.5,15.84
Delta,2022,3,198.05,206.08,8.03
Delta,2022,4,205.29,207.71,2.42
Delta,2022,5,197.23,187.09,-10.14
Delta,2022,6,183.48,187.7,4.22
Delta,2022,7,170.07,175.34,5.26
Delta,2022,8,162.59,163.93,1.34
Delta,2022,9,166.32,162.43,-3.88
Delta,2022,10,171.7,174.38,2.68
Delta,2022,11,182.72,172.66,-10.06
Delta,2022,12,180.51,179.96,-0.56
Delta,2023,1,198.8,247.63,48.83
Delta,2023,2,206.17,246.56,40.39
Delta,2023,3,223.07,257.8,34.73
Delta,2023,4,220.46,252.96,32.5
Delta,2023,5,205.22,244.75,39.53
Delta,2023,6,190.3,234.9,44.6
Delta,2023,7,189.6,221.49,31.89
Delta,2023,8,180.57,209.37,28.8
Delta,2023,9,179.25,208.09,28.84
Delta,2023,10,173.84,197.33,23.49
Delta,2023,11,183.93,207.37,23.44
Delta,2023,12,206.02,219.63,13.61
Delta,2024,1,228.49,250.79,22.3
Delta,2024,2,248.1,252.18,4.08
Delta,2024,3,248.6,260.93,12.33
Delta,2024,4,237.59,264.75,27.15
Delta,2024,5,247.2,247.39,0.19
Delta,2024,6,218.0,236.31,18.3
Delta,2024,7,204.39,210.17,5.78
Delta,2024,8,200.32,211.23,10.91
Delta,2024,9,209.73,213.66,3.93
Delta,2024,10,210.28,210.44,0.17
Delta,2024,11,210.23,217.67,7.44
Delta,2024,12,235.72,221.45,-14.27
Ebonyi,2020,1,163.43,178.11,14.68
Ebonyi,2020,2,169.94,186.99,17.04
Ebonyi,2020,3,179.17,181.05,1.88
Ebonyi,2020,4,166.37,181.92,15.55
Ebonyi,2020,5,171.22,169.14,-2.08
Ebonyi,2020,6,158.53,168.07,9.54
Ebonyi,2020,7,152.25,151.79,-0.46
Ebonyi,2020,8,146.13,157.72,11.59
Ebonyi,2020,9,136.43,145.38,8.95
Ebonyi,2020,10,149.79,146.69,-3.1
Ebonyi,2020,11,154.05,157.47,3.42
Ebonyi,2020,12,152.65,172.04,19.39
Ebonyi,2021,1,168.42,193.77,25.36
Ebonyi,2021,2,170.83,196.52,25.69
Ebonyi,2021,3,187.36,196.27,8.91
Ebonyi,2021,4,179.55,195.21,15.66
Ebonyi,2021,5,175.49,184.9,9.41
