state,year,crop,crop_production_tonnes,residue_production_tonnes,dry_residue_tonnes,energy_content_mj_per_kg,moisture_content,energy_potential_gj,biogas_potential_m3,electricity_potential_kwh
Adamawa,2023,groundnut,14321.82,25779.27,23716.93,17.8,0.08,422.16,4743386.49,9486772.99
Adamawa,2023,soybean,8593.09,13748.95,12236.56,17.0,0.11,208.02,2447312.45,4894624.9
Adamawa,2023,sugarcane,2864.36,859.31,644.48,19.2,0.25,12.37,128896.37,257792.74
Adamawa,2023,cotton,4582.98,10082.56,8872.65,16.0,0.12,141.96,1774530.68,3549061.35
Adamawa,2023,palm_oil,11457.46,11457.46,9738.84,20.5,0.15,199.65,1947767.4,3895534.8
Adamawa,2024,rice,31494.37,47241.55,40155.32,15.5,0.15,622.41,8031063.76,16062127.52
Adamawa,2024,maize,50390.99,60469.19,53212.88,17.2,0.12,915.26,10642576.73,21285153.45
Adamawa,2024,sorghum,18896.62,24565.61,21126.42,16.8,0.14,354.92,4225284.37,8450568.74
Adamawa,2024,millet,12597.75,13857.52,12056.04,16.5,0.13,198.92,2411208.79,4822417.58
Adamawa,2024,cassava,62988.74,50390.99,40312.79,14.2,0.2,572.44,8062558.13,16125116.25
Adamawa,2024,yam,37793.24,22675.94,18594.27,13.8,0.18,256.6,3718854.94,7437709.87
Adamawa,2024,sweet_potato,9448.31,6613.82,5555.61,14.5,0.16,80.56,1111121.29,2222242.58
Adamawa,2024,cocoa,6298.87,12597.75,11337.97,18.5,0.1,209.75,2267594.47,4535188.95
Adamawa,2024,groundnut,15747.18,28344.93,26077.34,17.8,0.08,464.18,5215467.29,10430934.58
Adamawa,2024,soybean,9448.31,15117.3,13454.39,17.0,0.11,228.72,2690878.77,5381757.55
Adamawa,2024,sugarcane,3149.44,944.83,708.62,19.2,0.25,13.61,141724.65,283449.31
Adamawa,2024,cotton,5039.1,11086.02,9755.7,16.0,0.12,156.09,1951139.07,3902278.13
Adamawa,2024,palm_oil,12597.75,12597.75,10708.09,20.5,0.15,219.52,2141617.0,4283234.0
Akwa Ibom,2020,rice,20411.69,30617.53,26024.9,15.5,0.15,403.39,5204980.92,10409961.84
Akwa Ibom,2020,maize,32658.7,39190.44,34487.59,17.2,0.12,593.19,6897518.25,13795036.49
Akwa Ibom,2020,sorghum,12247.01,15921.12,13692.16,16.8,0.14,230.03,2738432.32,5476864.63
Akwa Ibom,2020,millet,8164.68,8981.14,7813.59,16.5,0.13,128.92,1562718.98,3125437.96
Akwa Ibom,2020,cassava,40823.38,32658.7,26126.96,14.2,0.2,371.0,5225392.61,10450785.22
Akwa Ibom,2020,yam,24494.03,14696.42,12051.06,13.8,0.18,166.3,2410212.34,4820424.68
Akwa Ibom,2020,sweet_potato,6123.51,4286.45,3600.62,14.5,0.16,52.21,720124.42,1440248.84
Akwa Ibom,2020,cocoa,4082.34,8164.68,7348.21,18.5,0.1,135.94,1469641.67,2939283.34
Akwa Ibom,2020,groundnut,10205.84,18370.52,16900.88,17.8,0.08,300.84,3380175.85,6760351.69
Akwa Ibom,2020,soybean,6123.51,9797.61,8719.87,17.0,0.11,148.24,1743974.78,3487949.57
Akwa Ibom,2020,sugarcane,2041.17,612.35,459.26,19.2,0.25,8.82,91852.6,183705.21
Akwa Ibom,2020,cotton,3265.87,7184.91,6322.73,16.0,0.12,101.16,1264545.01,2529090.02
Akwa Ibom,2020,palm_oil,8164.68,8164.68,6939.97,20.5,0.15,142.27,1387994.91,2775989.82
Akwa Ibom,2021,rice,40186.16,60279.24,51237.36,15.5,0.15,794.18,10247471.05,20494942.1
Akwa Ibom,2021,maize,64297.86,77157.43,67898.54,17.2,0.12,1167.85,13579707.52,27159415.04
Akwa Ibom,2021,sorghum,24111.7,31345.21,26956.88,16.8,0.14,452.88,5391375.36,10782750.72
Akwa Ibom,2021,millet,16074.46,17681.91,15383.26,16.5,0.13,253.82,3076652.48,6153304.97
Akwa Ibom,2021,cassava,80372.32,64297.86,51438.29,14.2,0.2,730.42,10287657.21,20575314.42
Akwa Ibom,2021,yam,48223.39,28934.04,23725.91,13.8,0.18,327.42,4745181.89,9490363.78
Akwa Ibom,2021,sweet_potato,12055.85,8439.09,7088.84,14.5,0.16,102.79,1417767.76,2835535.52
Akwa Ibom,2021,cocoa,8037.23,16074.46,14467.02,18.5,0.1,267.64,2893403.59,5786807.18
Akwa Ibom,2021,groundnut,20093.08,36167.54,33274.14,17.8,0.08,592.28,6654828.26,13309656.52
Akwa Ibom,2021,soybean,12055.85,19289.36,17167.53,17.0,0.11,291.85,3433505.59,6867011.19
Akwa Ibom,2021,sugarcane,4018.62,1205.58,904.19,19.2,0.25,17.36,180837.72,361675.45
Akwa Ibom,2021,cotton,6429.79,14145.53,12448.07,16.0,0.12,199.17,2489613.05,4979226.09
Akwa Ibom,2021,palm_oil,16074.46,16074.46,13663.29,20.5,0.15,280.1,2732658.95,5465317.89
Akwa Ibom,2022,rice,38114.81,57172.21,48596.38,15.5,0.15,753.24,9719275.77,19438551.53
Akwa Ibom,2022,maize,60983.69,73180.43,64398.78,17.2,0.12,1107.66,12879755.56,25759511.11
Akwa Ibom,2022,sorghum,22868.88,29729.55,25567.41,16.8,0.14,429.53,5113482.5,10226965.0
Akwa Ibom,2022,millet,15245.92,16770.52,14590.35,16.5,0.13,240.74,2918069.62,5836139.24
Akwa Ibom,2022,cassava,76229.61,60983.69,48786.95,14.2,0.2,692.77,9757390.57,19514781.15
Akwa Ibom,2022,yam,45737.77,27442.66,22502.98,13.8,0.18,310.54,4500596.4,9001192.8
Akwa Ibom,2022,sweet_potato,11434.44,8004.11,6723.45,14.5,0.16,97.49,1344690.39,2689380.78
Akwa Ibom,2022,cocoa,7622.96,15245.92,13721.33,18.5,0.1,253.84,2744266.1,5488532.2
Akwa Ibom,2022,groundnut,19057.4,34303.33,31559.06,17.8,0.08,561.75,6311812.03,12623624.05
Akwa Ibom,2022,soybean,11434.44,18295.11,16282.65,17.0,0.11,276.8,3256529.1,6513058.21
Akwa Ibom,2022,sugarcane,3811.48,1143.44,857.58,19.2,0.25,16.47,171516.63,343033.26
Akwa Ibom,2022,cotton,6098.37,13416.41,11806.44,16.0,0.12,188.9,2361288.52,4722577.04
Akwa Ibom,2022,palm_oil,15245.92,15245.92,12959.03,20.5,0.15,265.66,2591806.87,5183613.74
Akwa Ibom,2023,rice,25701.59,38552.38,32769.53,15.5,0.15,507.93,6553905.23,13107810.46
Akwa Ibom,2023,maize,41122.54,49347.05,43425.41,17.2,0.12,746.92,8685081.0,17370162.01
Akwa Ibom,2023,sorghum,15420.95,20047.24,17240.63,16.8,0.14,289.64,3448125.2,6896250.4
Akwa Ibom,2023,millet,10280.64,11308.7,9838.57,16.5,0.13,162.34,1967713.67,3935427.33
Akwa Ibom,2023,cassava,51403.18,41122.54,32898.03,14.2,0.2,467.15,6579606.82,13159213.64
Akwa Ibom,2023,yam,30841.91,18505.14,15174.22,13.8,0.18,209.4,3034843.65,6069687.29
Akwa Ibom,2023,sweet_potato,7710.48,5397.33,4533.76,14.5,0.16,65.74,906752.07,1813504.13
Akwa Ibom,2023,cocoa,5140.32,10280.64,9252.57,18.5,0.1,171.17,1850514.42,3701028.84
Akwa Ibom,2023,groundnut,12850.79,23131.43,21280.92,17.8,0.08,378.8,4256183.16,8512366.33
Akwa Ibom,2023,soybean,7710.48,12336.76,10979.72,17.0,0.11,186.66,2195943.78,4391887.55
Akwa Ibom,2023,sugarcane,2570.16,771.05,578.29,19.2,0.25,11.1,115657.15,231314.3
Akwa Ibom,2023,cotton,4112.25,9046.96,7961.32,16.0,0.12,127.38,1592264.85,3184529.7
Akwa Ibom,2023,palm_oil,10280.64,10280.64,8738.54,20.5,0.15,179.14,1747708.06,3495416.12
Akwa Ibom,2024,rice,25527.42,38291.13,32547.46,15.5,0.15,504.49,6509491.92,13018983.84
Akwa Ibom,2024,maize,40843.87,49012.65,43131.13,17.2,0.12,741.86,8626225.53,17252451.05
Akwa Ibom,2024,sorghum,15316.45,19911.39,17123.79,16.8,0.14,287.68,3424758.57,6849517.14
Akwa Ibom,2024,millet,10210.97,11232.06,9771.9,16.5,0.13,161.24,1954379.22,3908758.44
Akwa Ibom,2024,cassava,51054.84,40843.87,32675.1,14.2,0.2,463.99,6535019.34,13070038.68
Akwa Ibom,2024,yam,30632.9,18379.74,15071.39,13.8,0.18,207.99,3014277.67,6028555.34
Akwa Ibom,2024,sweet_potato,7658.23,5360.76,4503.04,14.5,0.16,65.29,900607.35,1801214.71
Akwa Ibom,2024,cocoa,5105.48,10210.97,9189.87,18.5,0.1,170.01,1837974.19,3675948.38
Akwa Ibom,2024,groundnut,12763.71,22974.68,21136.7,17.8,0.08,376.23,4227340.63,8454681.27
Akwa Ibom,2024,soybean,7658.23,12253.16,10905.31,17.0,0.11,185.39,2181062.7,4362125.41
Akwa Ibom,2024,sugarcane,2552.74,765.82,574.37,19.2,0.25,11.03,114873.39,229746.77
Akwa Ibom,2024,cotton,4084.39,8985.65,7907.37,16.0,0.12,126.52,1581474.68,3162949.36
Akwa Ibom,2024,palm_oil,10210.97,10210.97,8679.32,20.5,0.15,177.93,1735864.51,3471729.02
Anambra,2020,rice,28668.09,43002.14,36551.82,15.5,0.15,566.55,7310363.0,14620726.0
Anambra,2020,maize,45868.94,55042.73,48437.61,17.2,0.12,833.13,9687521.04,19375042.08
Anambra,2020,sorghum,17200.85,22361.11,19230.55,16.8,0.14,323.07,3846110.98,7692221.96
Anambra,2020,millet,11467.24,12613.96,10974.14,16.5,0.13,181.07,2194828.99,4389657.97
Anambra,2020,cassava,57336.18,45868.94,36695.16,14.2,0.2,521.07,7339031.09,14678062.18
Anambra,2020,yam,34401.71,20641.02,16925.64,13.8,0.18,233.57,3385128.09,6770256.18
Anambra,2020,sweet_potato,8600.43,6020.3,5057.05,14.5,0.16,73.33,1011410.22,2022820.44
Anambra,2020,cocoa,5733.62,11467.24,10320.51,18.5,0.1,190.93,2064102.49,4128204.99
Anambra,2020,groundnut,14334.05,25801.28,23737.18,17.8,0.08,422.52,4747435.74,9494871.47
Anambra,2020,soybean,8600.43,13760.68,12247.01,17.0,0.11,208.2,2449401.63,4898803.25
Anambra,2020,sugarcane,2866.81,860.04,645.03,19.2,0.25,12.38,129006.41,258012.81
Anambra,2020,cotton,4586.89,10091.17,8880.23,16.0,0.12,142.08,1776045.52,3552091.05
Anambra,2020,palm_oil,11467.24,11467.24,9747.15,20.5,0.15,199.82,1949430.13,3898860.27
Anambra,2021,rice,31706.54,47559.81,40425.84,15.5,0.15,626.6,8085168.15,16170336.3
Anambra,2021,maize,50730.47,60876.56,53571.37,17.2,0.12,921.43,10714274.59,21428549.18
Anambra,2021,sorghum,19023.93,24731.1,21268.75,16.8,0.14,357.31,4253749.64,8507499.28
Anambra,2021,millet,12682.62,13950.88,12137.26,16.5,0.13,200.26,2427452.84,4854905.67
Anambra,2021,cassava,63413.08,50730.47,40584.37,14.2,0.2,576.3,8116874.69,16233749.38
Anambra,2021,yam,38047.85,22828.71,18719.54,13.8,0.18,258.33,3743908.45,7487816.9
Anambra,2021,sweet_potato,9511.96,6658.37,5593.03,14.5,0.16,81.1,1118606.79,2237213.59
Anambra,2021,cocoa,6341.31,12682.62,11414.36,18.5,0.1,211.17,2282871.01,4565742.01
Anambra,2021,groundnut,15853.27,28535.89,26253.02,17.8,0.08,467.3,5250603.31,10501206.63
Anambra,2021,soybean,9511.96,15219.14,13545.03,17.0,0.11,230.27,2709006.93,5418013.86
Anambra,2021,sugarcane,3170.65,951.2,713.4,19.2,0.25,13.7,142679.44,285358.88
Anambra,2021,cotton,5073.05,11160.7,9821.42,16.0,0.12,157.14,1964283.67,3928567.35
Anambra,2021,palm_oil,12682.62,12682.62,10780.22,20.5,0.15,220.99,2156044.84,4312089.68
Anambra,2022,rice,36914.93,55372.4,47066.54,15.5,0.15,729.53,9413308.11,18826616.23
Anambra,2022,maize,59063.89,70876.67,62371.47,17.2,0.12,1072.79,12474294.42,24948588.84
Anambra,2022,sorghum,22148.96,28793.65,24762.54,16.8,0.14,416.01,4952507.52,9905015.03
Anambra,2022,millet,14765.97,16242.57,14131.04,16.5,0.13,233.16,2826207.33,5652414.66
Anambra,2022,cassava,73829.87,59063.89,47251.12,14.2,0.2,670.97,9450223.05,18900446.09
Anambra,2022,yam,44297.92,26578.75,21794.58,13.8,0.18,300.77,4358915.38,8717830.76
Anambra,2022,sweet_potato,11074.48,7752.14,6511.79,14.5,0.16,94.42,1302358.86,2604717.73
Anambra,2022,cocoa,7382.99,14765.97,13289.38,18.5,0.1,245.85,2657875.23,5315750.46
Anambra,2022,groundnut,18457.47,33223.44,30565.57,17.8,0.08,544.07,6113113.03,12226226.07
Anambra,2022,soybean,11074.48,17719.17,15770.06,17.0,0.11,268.09,3154011.94,6308023.88
Anambra,2022,sugarcane,3691.49,1107.45,830.59,19.2,0.25,15.95,166117.2,332234.4
Anambra,2022,cotton,5906.39,12994.06,11434.77,16.0,0.12,182.96,2286953.98,4573907.95
Anambra,2022,palm_oil,14765.97,14765.97,12551.08,20.5,0.15,257.3,2510215.5,5020430.99
Anambra,2023,rice,35657.23,53485.85,45462.97,15.5,0.15,704.68,9092594.77,18185189.54
Anambra,2023,maize,57051.58,68461.89,60246.46,17.2,0.12,1036.24,12049292.65,24098585.29
Anambra,2023,sorghum,21394.34,27812.64,23918.87,16.8,0.14,401.84,4783774.57,9567549.13
Anambra,2023,millet,14262.89,15689.18,13649.59,16.5,0.13,225.22,2729917.87,5459835.73
Anambra,2023,cassava,71314.47,57051.58,45641.26,14.2,0.2,648.11,9128252.01,18256504.01
Anambra,2023,yam,42788.68,25673.21,21052.03,13.8,0.18,290.52,4210406.24,8420812.47
Anambra,2023,sweet_potato,10697.17,7488.02,6289.94,14.5,0.16,91.2,1257987.23,2515974.46
Anambra,2023,cocoa,7131.45,14262.89,12836.6,18.5,0.1,237.48,2567320.88,5134641.75
Anambra,2023,groundnut,17828.62,32091.51,29524.19,17.8,0.08,525.53,5904838.02,11809676.03
Anambra,2023,soybean,10697.17,17115.47,15232.77,17.0,0.11,258.96,3046554.11,6093108.21
Anambra,2023,sugarcane,3565.72,1069.72,802.29,19.2,0.25,15.4,160457.55,320915.11
Anambra,2023,cotton,5705.16,12551.35,11045.18,16.0,0.12,176.72,2209036.99,4418073.97
Anambra,2023,palm_oil,14262.89,14262.89,12123.46,20.5,0.15,248.53,2424691.94,4849383.88
Anambra,2024,rice,33290.55,49935.82,42445.45,15.5,0.15,657.9,8489090.1,16978180.21
Anambra,2024,maize,53264.88,63917.85,56247.71,17.2,0.12,967.46,11249542.46,22499084.93
Anambra,2024,sorghum,19974.33,25966.63,22331.3,16.8,0.14,375.17,4466260.11,8932520.22
Anambra,2024,millet,13316.22,14647.84,12743.62,16.5,0.13,210.27,2548724.46,5097448.93
Anambra,2024,cassava,66581.1,53264.88,42611.9,14.2,0.2,605.09,8522380.65,17044761.31
Anambra,2024,yam,39948.66,23969.2,19654.74,13.8,0.18,271.24,3930948.08,7861896.15
Anambra,2024,sweet_potato,9987.16,6991.02,5872.45,14.5,0.16,85.15,1174490.58,2348981.17
Anambra,2024,cocoa,6658.11,13316.22,11984.6,18.5,0.1,221.72,2396919.56,4793839.12
Anambra,2024,groundnut,16645.27,29961.49,27564.57,17.8,0.08,490.65,5512914.99,11025829.97
Anambra,2024,soybean,9987.16,15979.46,14221.72,17.0,0.11,241.77,2844344.54,5688689.09
Anambra,2024,sugarcane,3329.05,998.72,749.04,19.2,0.25,14.38,149807.47,299614.94
Anambra,2024,cotton,5326.49,11718.27,10312.08,16.0,0.12,164.99,2062416.12,4124832.24
Anambra,2024,palm_oil,13316.22,13316.22,11318.79,20.5,0.15,232.04,2263757.36,4527514.72
Bauchi,2020,rice,52237.06,78355.59,66602.25,15.5,0.15,1032.33,13320449.76,26640899.53
Bauchi,2020,maize,83579.29,100295.15,88259.73,17.2,0.12,1518.07,17651946.6,35303893.21
Bauchi,2020,sorghum,31342.23,40744.91,35040.62,16.8,0.14,588.68,7008123.69,14016247.37
Bauchi,2020,millet,20894.82,22984.31,19996.35,16.5,0.13,329.94,3999269.15,7998538.3
