date,total_demand_mw,available_supply_mw,load_shedding_mw,supply_factor,lagos_demand_mw,abuja_demand_mw,kano_demand_mw,rivers_demand_mw,oyo_demand_mw,kaduna_demand_mw,other_states_demand_mw
2024-01-18,4620.8,3179.25,1441.55,0.688,1155.2,693.12,554.5,462.08,369.66,323.46,1062.78
2024-01-19,4767.98,2893.58,1874.4,0.607,1192.0,715.2,572.16,476.8,381.44,333.76,1096.64
2024-01-20,3854.33,3013.56,840.77,0.782,963.58,578.15,462.52,385.43,308.35,269.8,886.5
2024-01-21,4679.01,3099.11,1579.9,0.662,1169.75,701.85,561.48,467.9,374.32,327.53,1076.17
2024-01-22,4230.07,2978.03,1252.04,0.704,1057.52,634.51,507.61,423.01,338.41,296.1,972.92
2024-01-23,4190.87,3327.2,863.67,0.794,1047.72,628.63,502.9,419.09,335.27,293.36,963.9
2024-01-24,4942.52,3731.73,1210.79,0.755,1235.63,741.38,593.1,494.25,395.4,345.98,1136.78
2024-01-25,5220.33,3224.59,1995.74,0.618,1305.08,783.05,626.44,522.03,417.63,365.42,1200.68
2024-01-26,4959.02,3169.79,1789.23,0.639,1239.76,743.85,595.08,495.9,396.72,347.13,1140.58
2024-01-27,4349.66,2947.92,1401.74,0.678,1087.41,652.45,521.96,434.97,347.97,304.48,1000.42
2024-01-28,4280.19,2800.4,1479.79,0.654,1070.05,642.03,513.62,428.02,342.41,299.61,984.44
2024-01-29,4690.69,3077.97,1612.72,0.656,1172.67,703.6,562.88,469.07,375.26,328.35,1078.86
2024-01-30,5452.11,3863.04,1589.08,0.709,1363.03,817.82,654.25,545.21,436.17,381.65,1253.99
2024-01-31,5104.64,3138.89,1965.74,0.615,1276.16,765.7,612.56,510.46,408.37,357.32,1174.07
2024-02-01,4766.89,3801.01,965.88,0.797,1191.72,715.03,572.03,476.69,381.35,333.68,1096.38
2024-02-02,4634.57,2785.86,1848.71,0.601,1158.64,695.19,556.15,463.46,370.77,324.42,1065.95
2024-02-03,4760.17,3632.45,1127.72,0.763,1190.04,714.03,571.22,476.02,380.81,333.21,1094.84
2024-02-04,4961.16,3741.98,1219.19,0.754,1240.29,744.17,595.34,496.12,396.89,347.28,1141.07
2024-02-05,5476.61,3367.07,2109.54,0.615,1369.15,821.49,657.19,547.66,438.13,383.36,1259.62
2024-02-06,4601.2,3554.99,1046.22,0.773,1150.3,690.18,552.14,460.12,368.1,322.08,1058.28
2024-02-07,4879.56,3536.02,1343.54,0.725,1219.89,731.93,585.55,487.96,390.36,341.57,1122.3
2024-02-08,4805.76,3182.36,1623.4,0.662,1201.44,720.86,576.69,480.58,384.46,336.4,1105.32
2024-02-09,4965.9,3302.51,1663.39,0.665,1241.48,744.89,595.91,496.59,397.27,347.61,1142.16
2024-02-10,4935.59,3837.14,1098.45,0.777,1233.9,740.34,592.27,493.56,394.85,345.49,1135.19
2024-02-11,5195.92,3608.27,1587.65,0.694,1298.98,779.39,623.51,519.59,415.67,363.71,1195.06
2024-02-12,5279.74,3971.19,1308.55,0.752,1319.94,791.96,633.57,527.97,422.38,369.58,1214.34
2024-02-13,4777.54,3402.83,1374.71,0.712,1194.38,716.63,573.3,477.75,382.2,334.43,1098.83
2024-02-14,5100.01,3593.19,1506.82,0.705,1275.0,765.0,612.0,510.0,408.0,357.0,1173.0
2024-02-15,5932.1,4066.5,1865.6,0.686,1483.02,889.81,711.85,593.21,474.57,415.25,1364.38
2024-02-16,5185.24,3437.14,1748.09,0.663,1296.31,777.79,622.23,518.52,414.82,362.97,1192.6
2024-02-17,4497.53,3155.98,1341.55,0.702,1124.38,674.63,539.7,449.75,359.8,314.83,1034.43
2024-02-18,4543.64,3099.11,1444.53,0.682,1135.91,681.55,545.24,454.36,363.49,318.05,1045.04
2024-02-19,5356.98,4023.68,1333.3,0.751,1339.25,803.55,642.84,535.7,428.56,374.99,1232.11
2024-02-20,4763.48,3743.8,1019.67,0.786,1190.87,714.52,571.62,476.35,381.08,333.44,1095.6
2024-02-21,4931.94,3756.28,1175.66,0.762,1232.98,739.79,591.83,493.19,394.55,345.24,1134.35
2024-02-22,5678.48,4319.82,1358.67,0.761,1419.62,851.77,681.42,567.85,454.28,397.49,1306.05
2024-02-23,5383.19,3430.78,1952.41,0.637,1345.8,807.48,645.98,538.32,430.66,376.82,1238.13
2024-02-24,4744.72,3613.05,1131.67,0.761,1186.18,711.71,569.37,474.47,379.58,332.13,1091.29
2024-02-25,5163.32,4023.35,1139.97,0.779,1290.83,774.5,619.6,516.33,413.07,361.43,1187.56
2024-02-26,4871.5,3144.98,1726.52,0.646,1217.88,730.73,584.58,487.15,389.72,341.01,1120.45
2024-02-27,5076.09,3479.26,1596.83,0.685,1269.02,761.41,609.13,507.61,406.09,355.33,1167.5
2024-02-28,5412.21,3254.85,2157.36,0.601,1353.05,811.83,649.47,541.22,432.98,378.85,1244.81
2024-02-29,5402.28,3793.21,1609.07,0.702,1350.57,810.34,648.27,540.23,432.18,378.16,1242.52
2024-03-01,4526.58,2824.46,1702.12,0.624,1131.64,678.99,543.19,452.66,362.13,316.86,1041.11
2024-03-02,4552.72,3039.05,1513.68,0.668,1138.18,682.91,546.33,455.27,364.22,318.69,1047.13
2024-03-03,4682.71,3295.49,1387.21,0.704,1170.68,702.41,561.93,468.27,374.62,327.79,1077.02
2024-03-04,5509.63,4080.45,1429.18,0.741,1377.41,826.44,661.16,550.96,440.77,385.67,1267.22
2024-03-05,5439.36,4310.63,1128.72,0.792,1359.84,815.9,652.72,543.94,435.15,380.75,1251.05
2024-03-06,5270.14,3427.47,1842.67,0.65,1317.53,790.52,632.42,527.01,421.61,368.91,1212.13
2024-03-07,4296.23,2822.49,1473.75,0.657,1074.06,644.44,515.55,429.62,343.7,300.74,988.13
2024-03-08,5308.6,3224.33,2084.28,0.607,1327.15,796.29,637.03,530.86,424.69,371.6,1220.98
2024-03-09,4824.87,2944.6,1880.27,0.61,1206.22,723.73,578.98,482.49,385.99,337.74,1109.72
2024-03-10,5983.99,3923.88,2060.11,0.656,1496.0,897.6,718.08,598.4,478.72,418.88,1376.32
2024-03-11,5237.72,3294.42,1943.31,0.629,1309.43,785.66,628.53,523.77,419.02,366.64,1204.68
2024-03-12,5507.07,3843.33,1663.74,0.698,1376.77,826.06,660.85,550.71,440.57,385.5,1266.63
2024-03-13,5962.57,3860.93,2101.64,0.648,1490.64,894.38,715.51,596.26,477.01,417.38,1371.39
2024-03-14,5758.68,4293.92,1464.76,0.746,1439.67,863.8,691.04,575.87,460.69,403.11,1324.5
2024-03-15,6112.59,4442.06,1670.54,0.727,1528.15,916.89,733.51,611.26,489.01,427.88,1405.9
2024-03-16,4151.63,2935.85,1215.78,0.707,1037.91,622.74,498.2,415.16,332.13,290.61,954.87
2024-03-17,4353.6,2647.66,1705.94,0.608,1088.4,653.04,522.43,435.36,348.29,304.75,1001.33
2024-03-18,5068.78,3640.29,1428.49,0.718,1267.2,760.32,608.25,506.88,405.5,354.81,1165.82
2024-03-19,4542.95,3311.97,1230.98,0.729,1135.74,681.44,545.15,454.29,363.44,318.01,1044.88
2024-03-20,5416.95,3439.08,1977.87,0.635,1354.24,812.54,650.03,541.7,433.36,379.19,1245.9
2024-03-21,4888.23,3848.73,1039.5,0.787,1222.06,733.24,586.59,488.82,391.06,342.18,1124.29
2024-03-22,6220.83,3903.59,2317.23,0.628,1555.21,933.12,746.5,622.08,497.67,435.46,1430.79
2024-03-23,4469.89,3508.59,961.3,0.785,1117.47,670.48,536.39,446.99,357.59,312.89,1028.08
2024-03-24,4695.59,3641.28,1054.31,0.775,1173.9,704.34,563.47,469.56,375.65,328.69,1079.98
2024-03-25,5831.73,4452.2,1379.53,0.763,1457.93,874.76,699.81,583.17,466.54,408.22,1341.3
2024-03-26,4730.77,3363.77,1367.0,0.711,1182.69,709.62,567.69,473.08,378.46,331.15,1088.08
2024-03-27,4528.88,2801.66,1727.22,0.619,1132.22,679.33,543.47,452.89,362.31,317.02,1041.64
2024-03-28,5497.25,4284.79,1212.46,0.779,1374.31,824.59,659.67,549.73,439.78,384.81,1264.37
2024-03-29,5538.89,3698.91,1839.99,0.668,1384.72,830.83,664.67,553.89,443.11,387.72,1273.95
2024-03-30,5239.31,3509.51,1729.8,0.67,1309.83,785.9,628.72,523.93,419.14,366.75,1205.04
2024-03-31,5113.47,3975.3,1138.17,0.777,1278.37,767.02,613.62,511.35,409.08,357.94,1176.1
2024-04-01,5560.36,4203.5,1356.87,0.756,1390.09,834.05,667.24,556.04,444.83,389.23,1278.88
2024-04-02,5032.72,3182.32,1850.4,0.632,1258.18,754.91,603.93,503.27,402.62,352.29,1157.52
2024-04-03,5525.0,4307.9,1217.1,0.78,1381.25,828.75,663.0,552.5,442.0,386.75,1270.75
2024-04-04,5557.22,3339.96,2217.26,0.601,1389.31,833.58,666.87,555.72,444.58,389.01,1278.16
2024-04-05,5012.51,3168.72,1843.79,0.632,1253.13,751.88,601.5,501.25,401.0,350.88,1152.88
2024-04-06,5763.56,4209.66,1553.9,0.73,1440.89,864.53,691.63,576.36,461.08,403.45,1325.62
2024-04-07,5086.13,3279.81,1806.32,0.645,1271.53,762.92,610.34,508.61,406.89,356.03,1169.81
2024-04-08,4868.19,3237.74,1630.46,0.665,1217.05,730.23,584.18,486.82,389.46,340.77,1119.68
2024-04-09,5816.4,4358.22,1458.18,0.749,1454.1,872.46,697.97,581.64,465.31,407.15,1337.77
2024-04-10,5909.05,4322.6,1586.45,0.732,1477.26,886.36,709.09,590.91,472.72,413.63,1359.08
2024-04-11,5609.73,4003.45,1606.28,0.714,1402.43,841.46,673.17,560.97,448.78,392.68,1290.24
2024-04-12,5252.5,3430.1,1822.41,0.653,1313.13,787.88,630.3,525.25,420.2,367.68,1208.08
2024-04-13,4478.42,2905.59,1572.83,0.649,1119.6,671.76,537.41,447.84,358.27,313.49,1030.04
2024-04-14,4803.25,3738.89,1064.35,0.778,1200.81,720.49,576.39,480.32,384.26,336.23,1104.75
2024-04-15,5558.27,4036.57,1521.7,0.726,1389.57,833.74,666.99,555.83,444.66,389.08,1278.4
2024-04-16,5378.13,3847.41,1530.72,0.715,1344.53,806.72,645.38,537.81,430.25,376.47,1236.97
2024-04-17,6147.25,4293.88,1853.38,0.699,1536.81,922.09,737.67,614.73,491.78,430.31,1413.87
2024-04-18,5698.38,3739.02,1959.36,0.656,1424.6,854.76,683.81,569.84,455.87,398.89,1310.63
2024-04-19,4899.02,2963.24,1935.78,0.605,1224.76,734.85,587.88,489.9,391.92,342.93,1126.77
2024-04-20,4302.2,3390.53,911.67,0.788,1075.55,645.33,516.26,430.22,344.18,301.15,989.51
2024-04-21,5045.88,3990.21,1055.67,0.791,1261.47,756.88,605.51,504.59,403.67,353.21,1160.55
2024-04-22,5223.79,3150.42,2073.37,0.603,1305.95,783.57,626.86,522.38,417.9,365.67,1201.47
2024-04-23,5718.76,4493.02,1225.74,0.786,1429.69,857.81,686.25,571.88,457.5,400.31,1315.31
2024-04-24,5584.19,4426.72,1157.47,0.793,1396.05,837.63,670.1,558.42,446.73,390.89,1284.36
2024-04-25,5287.04,4074.2,1212.84,0.771,1321.76,793.06,634.44,528.7,422.96,370.09,1216.02
2024-04-26,4869.09,3750.31,1118.78,0.77,1217.27,730.36,584.29,486.91,389.53,340.84,1119.89
2024-04-27,4057.36,2691.59,1365.77,0.663,1014.34,608.6,486.88,405.74,324.59,284.02,933.19
2024-04-28,4877.87,3840.01,1037.86,0.787,1219.47,731.68,585.34,487.79,390.23,341.45,1121.91
2024-04-29,4639.1,3429.25,1209.85,0.739,1159.78,695.87,556.69,463.91,371.13,324.74,1066.99
2024-04-30,4824.27,3487.96,1336.32,0.723,1206.07,723.64,578.91,482.43,385.94,337.7,1109.58
2024-05-01,5365.77,4281.94,1083.83,0.798,1341.44,804.87,643.89,536.58,429.26,375.6,1234.13
2024-05-02,5307.54,4115.87,1191.68,0.775,1326.89,796.13,636.91,530.75,424.6,371.53,1220.74
2024-05-03,4666.67,3491.39,1175.28,0.748,1166.67,700.0,560.0,466.67,373.33,326.67,1073.33
2024-05-04,5247.44,3525.74,1721.69,0.672,1311.86,787.12,629.69,524.74,419.8,367.32,1206.91
2024-05-05,5225.24,3441.96,1783.28,0.659,1306.31,783.79,627.03,522.52,418.02,365.77,1201.81
2024-05-06,5513.79,4264.44,1249.34,0.773,1378.45,827.07,661.65,551.38,441.1,385.97,1268.17
2024-05-07,5503.85,4307.57,1196.27,0.783,1375.96,825.58,660.46,550.38,440.31,385.27,1265.88
2024-05-08,5494.99,4174.32,1320.67,0.76,1373.75,824.25,659.4,549.5,439.6,384.65,1263.85
2024-05-09,7226.37,5275.2,1951.17,0.73,1806.59,1083.96,867.16,722.64,578.11,505.85,1662.06
2024-05-10,5703.84,4437.59,1266.25,0.778,1425.96,855.58,684.46,570.38,456.31,399.27,1311.88
2024-05-11,4982.35,3326.22,1656.14,0.668,1245.59,747.35,597.88,498.24,398.59,348.76,1145.94
2024-05-12,4307.94,3083.0,1224.94,0.716,1076.98,646.19,516.95,430.79,344.63,301.56,990.83
2024-05-13,5054.79,3069.21,1985.58,0.607,1263.7,758.22,606.57,505.48,404.38,353.84,1162.6
2024-05-14,6363.11,4182.52,2180.58,0.657,1590.78,954.47,763.57,636.31,509.05,445.42,1463.51
2024-05-15,4193.73,3011.8,1181.93,0.718,1048.43,629.06,503.25,419.37,335.5,293.56,964.56
2024-05-16,4903.06,3066.43,1836.63,0.625,1225.76,735.46,588.37,490.31,392.24,343.21,1127.7
2024-05-17,5694.2,4011.27,1682.93,0.704,1423.55,854.13,683.3,569.42,455.54,398.59,1309.67
2024-05-18,4281.69,3102.42,1179.27,0.725,1070.42,642.25,513.8,428.17,342.54,299.72,984.79
2024-05-19,4914.14,3032.36,1881.77,0.617,1228.53,737.12,589.7,491.41,393.13,343.99,1130.25
2024-05-20,5124.5,3628.8,1495.7,0.708,1281.13,768.68,614.94,512.45,409.96,358.72,1178.64
2024-05-21,4758.0,3461.38,1296.62,0.727,1189.5,713.7,570.96,475.8,380.64,333.06,1094.34
2024-05-22,4049.51,3073.73,975.78,0.759,1012.38,607.43,485.94,404.95,323.96,283.47,931.39
2024-05-23,5160.34,3375.72,1784.62,0.654,1290.09,774.05,619.24,516.03,412.83,361.22,1186.88
2024-05-24,4653.24,2815.53,1837.7,0.605,1163.31,697.99,558.39,465.32,372.26,325.73,1070.24
2024-05-25,4485.26,3554.7,930.56,0.793,1121.31,672.79,538.23,448.53,358.82,313.97,1031.61
2024-05-26,4754.67,3241.69,1512.98,0.682,1188.67,713.2,570.56,475.47,380.37,332.83,1093.57
2024-05-27,5450.69,3459.33,1991.36,0.635,1362.67,817.6,654.08,545.07,436.06,381.55,1253.66
2024-05-28,4765.99,3383.11,1382.87,0.71,1191.5,714.9,571.92,476.6,381.28,333.62,1096.18
2024-05-29,4664.66,3465.46,1199.19,0.743,1166.16,699.7,559.76,466.47,373.17,326.53,1072.87
2024-05-30,4350.03,3440.76,909.27,0.791,1087.51,652.5,522.0,435.0,348.0,304.5,1000.51
2024-05-31,5420.12,4051.97,1368.15,0.748,1355.03,813.02,650.41,542.01,433.61,379.41,1246.63
2024-06-01,5401.64,3694.29,1707.35,0.684,1350.41,810.25,648.2,540.16,432.13,378.11,1242.38
2024-06-02,4902.7,3184.53,1718.17,0.65,1225.67,735.4,588.32,490.27,392.22,343.19,1127.62
2024-06-03,5547.88,3344.7,2203.18,0.603,1386.97,832.18,665.75,554.79,443.83,388.35,1276.01
2024-06-04,4562.83,2843.62,1719.21,0.623,1140.71,684.42,547.54,456.28,365.03,319.4,1049.45
2024-06-05,5113.78,3553.23,1560.55,0.695,1278.45,767.07,613.65,511.38,409.1,357.96,1176.17
2024-06-06,5260.72,3259.36,2001.35,0.62,1315.18,789.11,631.29,526.07,420.86,368.25,1209.96
2024-06-07,3290.44,2088.24,1202.19,0.635,822.61,493.57,394.85,329.04,263.23,230.33,756.8
2024-06-08,3921.27,2693.01,1228.26,0.687,980.32,588.19,470.55,392.13,313.7,274.49,901.89
2024-06-09,5067.01,3683.81,1383.2,0.727,1266.75,760.05,608.04,506.7,405.36,354.69,1165.41
2024-06-10,4135.42,2518.72,1616.7,0.609,1033.86,620.31,496.25,413.54,330.83,289.48,951.15
2024-06-11,5504.46,3856.57,1647.88,0.701,1376.11,825.67,660.53,550.45,440.36,385.31,1266.02
2024-06-12,4107.76,3168.31,939.45,0.771,1026.94,616.16,492.93,410.78,328.62,287.54,944.79
2024-06-13,4312.46,2648.34,1664.12,0.614,1078.11,646.87,517.5,431.25,345.0,301.87,991.87
2024-06-14,4987.33,3633.19,1354.14,0.728,1246.83,748.1,598.48,498.73,398.99,349.11,1147.09
2024-06-15,4306.84,3393.99,912.85,0.788,1076.71,646.03,516.82,430.68,344.55,301.48,990.57
2024-06-16,4099.29,2931.38,1167.91,0.715,1024.82,614.89,491.91,409.93,327.94,286.95,942.84
2024-06-17,5471.29,3784.22,1687.07,0.692,1367.82,820.69,656.55,547.13,437.7,382.99,1258.4
2024-06-18,4124.6,2924.85,1199.75,0.709,1031.15,618.69,494.95,412.46,329.97,288.72,948.66
2024-06-19,4620.95,3660.89,960.06,0.792,1155.24,693.14,554.51,462.09,369.68,323.47,1062.82
2024-06-20,4952.16,3867.99,1084.18,0.781,1238.04,742.82,594.26,495.22,396.17,346.65,1139.0
2024-06-21,4792.78,2943.91,1848.87,0.614,1198.2,718.92,575.13,479.28,383.42,335.49,1102.34
2024-06-22,3921.47,2603.05,1318.42,0.664,980.37,588.22,470.58,392.15,313.72,274.5,901.94
2024-06-23,3922.44,2446.17,1476.28,0.624,980.61,588.37,470.69,392.24,313.8,274.57,902.16
2024-06-24,5008.04,3702.68,1305.36,0.739,1252.01,751.21,600.96,500.8,400.64,350.56,1151.85
2024-06-25,5014.35,3745.79,1268.56,0.747,1253.59,752.15,601.72,501.44,401.15,351.0,1153.3
2024-06-26,4725.98,3595.04,1130.95,0.761,1181.5,708.9,567.12,472.6,378.08,330.82,1086.98
2024-06-27,4190.83,3143.63,1047.19,0.75,1047.71,628.62,502.9,419.08,335.27,293.36,963.89
2024-06-28,4299.07,3273.17,1025.9,0.761,1074.77,644.86,515.89,429.91,343.93,300.94,988.79
2024-06-29,4076.31,2749.08,1327.23,0.674,1019.08,611.45,489.16,407.63,326.1,285.34,937.55
2024-06-30,4118.68,3110.76,1007.91,0.755,1029.67,617.8,494.24,411.87,329.49,288.31,947.3
2024-07-01,4754.36,3668.86,1085.5,0.772,1188.59,713.15,570.52,475.44,380.35,332.81,1093.5
2024-07-02,4401.42,3018.49,1382.93,0.686,1100.36,660.21,528.17,440.14,352.11,308.1,1012.33
2024-07-03,4846.28,3007.72,1838.56,0.621,1211.57,726.94,581.55,484.63,387.7,339.24,1114.65
2024-07-04,4824.21,3765.35,1058.86,0.781,1206.05,723.63,578.91,482.42,385.94,337.69,1109.57
2024-07-05,5026.2,3337.45,1688.75,0.664,1256.55,753.93,603.14,502.62,402.1,351.83,1156.03
2024-07-06,3995.69,3113.06,882.63,0.779,998.92,599.35,479.48,399.57,319.66,279.7,919.01
2024-07-07,4102.23,3241.26,860.97,0.79,1025.56,615.33,492.27,410.22,328.18,287.16,943.51
2024-07-08,4342.25,3103.35,1238.9,0.715,1085.56,651.34,521.07,434.23,347.38,303.96,998.72
2024-07-09,4025.41,2651.3,1374.1,0.659,1006.35,603.81,483.05,402.54,322.03,281.78,925.84
2024-07-10,5282.9,3517.0,1765.9,0.666,1320.72,792.43,633.95,528.29,422.63,369.8,1215.07
2024-07-11,4857.65,3683.64,1174.02,0.758,1214.41,728.65,582.92,485.77,388.61,340.04,1117.26
2024-07-12,4681.65,3548.33,1133.32,0.758,1170.41,702.25,561.8,468.16,374.53,327.72,1076.78
2024-07-13,3885.93,2376.29,1509.64,0.612,971.48,582.89,466.31,388.59,310.87,272.02,893.76
2024-07-14,3529.18,2505.38,1023.79,0.71,882.29,529.38,423.5,352.92,282.33,247.04,811.71
2024-07-15,4711.32,3157.44,1553.87,0.67,1177.83,706.7,565.36,471.13,376.91,329.79,1083.6
2024-07-16,4214.77,2627.55,1587.23,0.623,1053.69,632.22,505.77,421.48,337.18,295.03,969.4
2024-07-17,4438.72,3212.05,1226.67,0.724,1109.68,665.81,532.65,443.87,355.1,310.71,1020.91
2024-07-18,4008.33,2486.07,1522.27,0.62,1002.08,601.25,481.0,400.83,320.67,280.58,921.92
2024-07-19,4336.65,2665.1,1671.55,0.615,1084.16,650.5,520.4,433.67,346.93,303.57,997.43
2024-07-20,3603.93,2754.74,849.19,0.764,900.98,540.59,432.47,360.39,288.31,252.27,828.9
2024-07-21,3604.98,2224.15,1380.82,0.617,901.24,540.75,432.6,360.5,288.4,252.35,829.14
2024-07-22,4286.15,3417.47,868.68,0.797,1071.54,642.92,514.34,428.62,342.89,300.03,985.82
2024-07-23,3569.96,2722.31,847.65,0.763,892.49,535.49,428.4,357.0,285.6,249.9,821.09
2024-07-24,3574.55,2821.93,752.62,0.789,893.64,536.18,428.95,357.45,285.96,250.22,822.15
2024-07-25,3847.92,2906.83,941.09,0.755,961.98,577.19,461.75,384.79,307.83,269.35,885.02
2024-07-26,4043.39,2877.6,1165.79,0.712,1010.85,606.51,485.21,404.34,323.47,283.04,929.98
2024-07-27,4023.58,2503.63,1519.95,0.622,1005.89,603.54,482.83,402.36,321.89,281.65,925.42
2024-07-28,3634.11,2538.52,1095.59,0.699,908.53,545.12,436.09,363.41,290.73,254.39,835.85
2024-07-29,4082.11,2495.23,1586.88,0.611,1020.53,612.32,489.85,408.21,326.57,285.75,938.89
2024-07-30,3958.3,2469.04,1489.26,0.624,989.58,593.75,475.0,395.83,316.66,277.08,910.41
2024-07-31,4193.45,3141.77,1051.68,0.749,1048.36,629.02,503.21,419.35,335.48,293.54,964.49
2024-08-01,3713.95,2661.69,1052.26,0.717,928.49,557.09,445.67,371.39,297.12,259.98,854.21
2024-08-02,3991.65,2623.08,1368.57,0.657,997.91,598.75,479.0,399.17,319.33,279.42,918.08
2024-08-03,3765.53,2913.47,852.07,0.774,941.38,564.83,451.86,376.55,301.24,263.59,866.07
2024-08-04,3689.22,2267.98,1421.24,0.615,922.3,553.38,442.71,368.92,295.14,258.25,848.52
2024-08-05,4001.4,2844.08,1157.32,0.711,1000.35,600.21,480.17,400.14,320.11,280.1,920.32
2024-08-06,3993.37,2898.71,1094.66,0.726,998.34,599.01,479.2,399.34,319.47,279.54,918.47
2024-08-07,4168.75,3081.33,1087.42,0.739,1042.19,625.31,500.25,416.87,333.5,291.81,958.81
2024-08-08,4810.88,3448.74,1362.14,0.717,1202.72,721.63,577.31,481.09,384.87,336.76,1106.5
2024-08-09,3643.43,2842.72,800.71,0.78,910.86,546.51,437.21,364.34,291.47,255.04,837.99
2024-08-10,4316.05,2829.07,1486.98,0.655,1079.01,647.41,517.93,431.6,345.28,302.12,992.69
2024-08-11,3244.61,2068.84,1175.77,0.638,811.15,486.69,389.35,324.46,259.57,227.12,746.26
2024-08-12,3079.84,2207.42,872.42,0.717,769.96,461.98,369.58,307.98,246.39,215.59,708.36
2024-08-13,3693.76,2273.69,1420.08,0.616,923.44,554.06,443.25,369.38,295.5,258.56,849.57
2024-08-14,4020.15,2660.96,1359.19,0.662,1005.04,603.02,482.42,402.02,321.61,281.41,924.64
2024-08-15,4603.26,3511.18,1092.08,0.763,1150.81,690.49,552.39,460.33,368.26,322.23,1058.75
2024-08-16,3517.74,2751.52,766.21,0.782,879.43,527.66,422.13,351.77,281.42,246.24,809.08
2024-08-17,3639.31,2782.28,857.03,0.765,909.83,545.9,436.72,363.93,291.15,254.75,837.04
2024-08-18,3002.38,2361.51,640.87,0.787,750.6,450.36,360.29,300.24,240.19,210.17,690.55
2024-08-19,4534.88,3506.43,1028.45,0.773,1133.72,680.23,544.19,453.49,362.79,317.44,1043.02
2024-08-20,4273.45,3407.89,865.57,0.797,1068.36,641.02,512.81,427.35,341.88,299.14,982.89
2024-08-21,3633.63,2289.49,1344.14,0.63,908.41,545.04,436.04,363.36,290.69,254.35,835.73
2024-08-22,3151.17,2501.97,649.19,0.794,787.79,472.68,378.14,315.12,252.09,220.58,724.77
2024-08-23,4306.43,3309.16,997.27,0.768,1076.61,645.96,516.77,430.64,344.51,301.45,990.48
2024-08-24,3366.09,2298.92,1067.17,0.683,841.52,504.91,403.93,336.61,269.29,235.63,774.2
2024-08-25,3817.21,2499.05,1318.15,0.655,954.3,572.58,458.06,381.72,305.38,267.2,877.96
2024-08-26,3767.09,2839.62,927.47,0.754,941.77,565.06,452.05,376.71,301.37,263.7,866.43
2024-08-27,3773.93,2977.45,796.48,0.789,943.48,566.09,452.87,377.39,301.91,264.17,868.0
2024-08-28,3579.0,2469.9,1109.1,0.69,894.75,536.85,429.48,357.9,286.32,250.53,823.17
2024-08-29,3972.18,2485.91,1486.26,0.626,993.04,595.83,476.66,397.22,317.77,278.05,913.6
2024-08-30,3775.99,2438.27,1337.73,0.646,944.0,566.4,453.12,377.6,302.08,264.32,868.48
2024-08-31,3523.24,2587.25,935.98,0.734,880.81,528.49,422.79,352.32,281.86,246.63,810.34
2024-09-01,2830.92,1762.85,1068.07,0.623,707.73,424.64,339.71,283.09,226.47,198.16,651.11
2024-09-02,4181.75,3070.72,1111.03,0.734,1045.44,627.26,501.81,418.18,334.54,292.72,961.8
2024-09-03,4274.79,3009.59,1265.2,0.704,1068.7,641.22,512.97,427.48,341.98,299.24,983.2
2024-09-04,3736.47,2878.71,857.76,0.77,934.12,560.47,448.38,373.65,298.92,261.55,859.39
2024-09-05,4446.77,3447.72,999.05,0.775,1111.69,667.02,533.61,444.68,355.74,311.27,1022.76
