State,Region,Rice_Production_tonnes,Rice_Husk_Available_tonnes,Maize_Production_tonnes,Maize_Cobs_Available_tonnes,Sugarcane_Production_tonnes,Sugarcane_Bagasse_tonnes,Cassava_Production_tonnes,Cassava_Peels_tonnes,Yam_Production_tonnes,Yam_Peels_tonnes,Palm_Oil_Production_tonnes,Palm_Kernel_Shell_tonnes,Cotton_Production_tonnes,Cotton_Stalk_tonnes,Sorghum_Production_tonnes,Sorghum_Straw_tonnes,Total_Biomass_Potential_tonnes,Biomass_Energy_Potential_TJ,Current_Utilization_Percent,Year
Plateau,North Central,289000,57800,356000,71200,8900,1780,567000,113400,289000,57800,6700,3350,16000,32000,223000,446000,789330,15167.9,7.8,2023
Nasarawa,North Central,156000,31200,198000,39600,12000,2400,678000,135600,198000,39600,9800,4900,12000,24000,178000,356000,643300,12361.9,8.5,2023
Oyo,South West,123000,24600,456000,91200,67000,13400,1456000,291200,398000,79600,45000,22500,5600,11200,89000,178000,711700,13676.5,14.5,2023
Ogun,South West,98000,19600,334000,66800,45000,9000,1123000,224600,289000,57800,34000,17000,4200,8400,67000,134000,541200,10401.4,13.8,2023
Ondo,South West,87000,17400,234000,46800,34000,6800,876000,175200,234000,46800,67000,33500,3400,6800,56000,112000,478500,9195.3,16.2,2023
Osun,South West,76000,15200,198000,39600,28000,5600,789000,157800,198000,39600,38000,19000,2800,5600,45000,90000,395400,7600.0,15.4,2023
Ekiti,South West,67000,13400,167000,33400,23000,4600,645000,129000,178000,35600,29000,14500,2300,4600,38000,76000,314500,6044.0,14.1,2023
Lagos,South West,12000,2400,45000,9000,8900,1780,234000,46800,67000,13400,12000,6000,800,1600,15000,30000,111380,2140.1,22.5,2023
Delta,South South,156000,31200,289000,57800,45000,9000,1234000,246800,312000,62400,89000,44500,3400,6800,78000,156000,614500,11808.9,18.7,2023
Edo,South South,134000,26800,234000,46800,38000,7600,1045000,209000,267000,53400,78000,39000,2900,5800,67000,134000,530400,10190.9,17.3,2023
Rivers,South South,98000,19600,178000,35600,28000,5600,789000,157800,198000,39600,56000,28000,1800,3600,45000,90000,380200,7308.0,19.8,2023
Bayelsa,South South,67000,13400,89000,17800,15000,3000,456000,91200,123000,24600,34000,17000,900,1800,28000,56000,225800,4339.9,16.5,2023
Cross River,South South,112000,22400,198000,39600,34000,6800,798000,159600,223000,44600,67000,33500,2100,4200,56000,112000,424700,8161.9,18.2,2023
Akwa Ibom,South South,145000,29000,223000,44600,38000,7600,956000,191200,267000,53400,78000,39000,2400,4800,67000,134000,505600,9716.9,17.9,2023
Anambra,South East,87000,17400,234000,46800,23000,4600,1123000,224600,289000,57800,45000,22500,1900,3800,56000,112000,490500,9425.6,19.5,2023
Enugu,South East,76000,15200,198000,39600,28000,5600,956000,191200,256000,51200,38000,19000,2300,4600,67000,134000,460400,8847.3,18.7,2023
Abia,South East,98000,19600,223000,44600,34000,6800,876000,175200,234000,46800,56000,28000,2100,4200,78000,156000,481200,9248.4,19.2,2023
Imo,South East,89000,17800,198000,39600,28000,5600,798000,159600,223000,44600,48000,24000,1700,3400,67000,134000,428200,8229.9,18.9,2023
Ebonyi,South East,234000,46800,289000,57800,18000,3600,645000,129000,267000,53400,28000,14000,2800,5600,89000,178000,487200,9359.9,17.8,2023
Bauchi,North East,278000,55600,398000,79600,12000,2400,456000,91200,178000,35600,5600,2800,23000,46000,334000,668000,981200,18857.8,6.9,2023
Gombe,North East,198000,39600,289000,57800,9800,1960,398000,79600,145000,29000,4200,2100,19000,38000,267000,534000,781060,15009.2,7.4,2023
Yobe,North East,167000,33400,234000,46800,7800,1560,334000,66800,112000,22400,3100,1550,21000,42000,289000,578000,716510,13766.9,6.2,2023
Borno,North East,189000,37800,267000,53400,8900,1780,378000,75600,123000,24600,3500,1750,24000,48000,312000,624000,870430,16729.7,5.8,2023
Adamawa,North East,223000,44600,334000,66800,15000,3000,456000,91200,156000,31200,6700,3350,26000,52000,289000,578000,876150,16840.4,7.1,2023
Taraba,North East,198000,39600,278000,55600,18000,3600,512000,102400,189000,37800,12000,6000,20000,40000,234000,468000,753000,14467.6,8.3,2023
