participant_id,age,gender,education,income,banking_years,prev_incident,tech_comfort,t1_attitude,t1_subjective_norm,t1_pbc,t1_intention,t1_knowledge,t1_risk_perception,t1_trust_banking,t2_srb1_check_statements,t2_srb2_strong_passwords,t2_srb3_two_factor_auth,t2_srb4_logout_after_use,t2_srb5_verify_alerts,t2_srb_composite,t2_objective_scenario1_phishing_sms,t2_objective_scenario2_suspicious_email,t2_objective_scenario3_public_wifi,t2_objective_scenario4_password_sharing,t2_objective_scenario5_suspicious_app,t2_objective_score,t2_intention_behavior_gap,t2_gap_category,t2_gap_pbc_moderated,t2_gap_age_moderated,t2_gap_incident_moderated,time_gap_weeks,t2_dropout,completion_status
P0011,23,Female,Some College,46063.76,3,0,3.23,5.01,4.71,3.99,4.25,3.8,7.0,6.04,,,,,,,,,,,,,,Missing,,,,6.94,1,Incomplete
P0012,34,Female,Master's,137834.02,9,1,3.28,3.34,6.57,2.47,4.37,4.0,4.87,6.55,2.4422520612361427,2.373908347617877,2.365166735315265,3.6301901797901026,3.7072386246469793,2.9,2.0,1.0,2.0,2.0,1.0,7.12,0.16,Slight Overperformer,0.23508522083833258,0.13123407445607985,0.6612340744560798,4.59,0,Complete
P0013,52,Female,Bachelor's,20000.0,4,0,3.09,4.62,5.35,2.53,3.32,4.76,4.58,4.83,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,6.4,-1.22,Underperformer,-1.7529435273288003,-1.1555784642774554,-1.2155784642774554,3.27,0,Complete
P0014,29,Male,Some College,50558.84,11,0,4.38,5.65,5.39,5.3,5.46,4.76,7.0,5.87,4.697050799833361,4.027725696542153,4.110280679757021,3.5914293381604616,4.948423645252816,4.27,2.0,1.0,1.0,0.0,1.0,5.28,0.99,Overperformer,0.6021599871544264,0.9335123029688425,0.9885123029688425,3.85,0,Complete
P0015,26,Male,High School,200000.0,3,0,5.92,4.56,6.31,5.73,3.51,2.62,5.64,4.92,1.0,1.0,1.0,,1.0,1.07,2.0,2.0,2.0,2.0,0.0,7.71,-1.24,Underperformer,-0.5978433523371168,-1.3101048082690567,-1.2401048082690567,2.77,0,Complete
P0016,32,Female,Some College,45507.27,10,0,6.76,5.22,4.29,5.6,4.27,3.91,3.99,6.71,2.858524894338485,3.4215466528838876,1.0,1.5072144247241326,4.085375095779156,2.57,2.0,0.0,0.0,2.0,1.0,5.46,-0.11,Slight Overperformer,-0.05952088743335219,-0.15475520230546722,-0.11475520230546721,4.81,0,Complete
P0017,26,Female,Master's,136006.56,2,0,3.41,6.09,3.16,6.05,3.86,4.05,5.15,4.71,1.0,1.190565382502918,2.503111681396868,1.0,1.470379644706995,1.43,0.0,2.0,2.0,2.0,2.0,7.55,-1.05,Underperformer,-0.40455265676097407,-1.1226623138418474,-1.0526623138418474,5.05,0,Complete
P0018,28,Female,Bachelor's,21952.37,6,0,7.0,4.96,6.37,6.24,4.96,4.41,5.78,2.98,,,,,,,,,,,,,,Missing,,,,5.41,1,Incomplete
P0019,31,Female,Bachelor's,35396.28,9,0,2.99,4.08,4.98,1.52,3.2,4.43,4.79,2.2,3.3783229774738004,5.006037805714146,3.5962439318729773,3.2172092778657353,3.9564345151095153,3.83,2.0,2.0,1.0,0.0,0.0,5.01,1.67,Overperformer,2.920718649761897,1.6297164220693414,1.6747164220693413,3.67,0,Complete
P0020,23,Male,Bachelor's,37302.65,3,1,6.13,4.84,4.98,5.13,4.02,7.0,4.38,6.97,1.2903376854904043,2.0600636509104744,2.081186136352857,2.189549739144593,2.6816703085780125,2.06,0.0,1.0,2.0,2.0,0.0,5.2,-0.5,Slight Underperformer,-0.33253535239589704,-0.5882109221558491,-0.003210922155849172,3.19,0,Complete
P0021,41,Male,Some College,20000.0,4,0,3.42,6.9,3.98,3.76,5.06,2.24,5.27,5.42,5.628919578981776,4.127567333530298,5.400400902377039,3.773253080075164,4.343851503102323,4.65,1.0,2.0,0.0,0.0,2.0,5.19,1.57,Overperformer,1.6826967318952162,1.5740424459515308,1.5690424459515309,5.49,0,Complete
P0022,22,Female,Master's,20000.0,6,0,3.19,7.0,4.0,3.45,3.6,5.47,4.33,5.51,,,,,,,,,,,,,,Missing,,,,5.38,1,Incomplete
P0023,21,Male,Bachelor's,20000.0,5,0,3.38,2.78,5.9,5.28,4.83,5.78,6.2,6.74,3.826835741980459,3.4272700962066014,3.3500958451946588,,2.068091396497861,3.16,2.0,1.0,2.0,0.0,0.0,5.49,0.19,Slight Overperformer,0.11433830684565585,0.091029120014509,0.186029120014509,3.01,0,Complete
P0024,33,Male,High School,70098.23,4,0,4.42,6.51,6.08,2.08,5.05,4.74,3.36,2.65,4.528961605633426,5.254294692166699,3.985222607487184,1.8363747081085922,3.358722145030552,3.79,2.0,2.0,1.0,0.0,2.0,7.71,0.71,Slight Overperformer,1.1238013574911463,0.6777444531240199,0.7127444531240199,3.62,0,Complete
P0025,40,Male,High School,72964.08,10,0,5.37,5.5,5.82,2.05,4.44,3.02,5.6,4.33,3.1698312099657087,3.3371964921111035,4.132389096873579,3.1254744789433984,2.2674336753162643,3.21,2.0,2.0,0.0,2.0,2.0,7.52,0.43,Slight Overperformer,0.6799253745365419,0.42884901970288825,0.42884901970288825,4.79,0,Complete
P0026,33,Female,Bachelor's,47062.38,12,0,5.5,6.31,5.83,5.39,4.94,6.5,6.07,4.49,3.652647849155343,4.542413198567993,4.118483291640004,4.07979925450916,4.72954199965954,4.22,1.0,1.0,1.0,2.0,2.0,7.51,1.2,Overperformer,0.7003249751596639,1.1643931115628268,1.1993931115628267,3.75,0,Complete
P0027,30,Other,Master's,70212.55,12,0,3.08,4.54,5.54,5.18,2.84,1.0,5.4,5.76,1.7533739746924095,2.3126179302234795,1.3054944836922773,,2.2403801900476306,1.79,2.0,1.0,0.0,2.0,1.0,5.8,-0.19,Slight Underperformer,-0.11982762504272637,-0.23574186396199676,-0.18574186396199677,4.03,0,Complete
P0028,28,Female,Some College,31846.43,8,0,3.02,3.08,4.97,4.69,4.26,2.98,6.7,3.9,4.75544027475423,5.642340947373844,5.212741878463617,6.416550278406027,5.3089172610652335,5.47,2.0,1.0,1.0,0.0,1.0,5.21,2.78,Overperformer,2.2047907666704676,2.7218166364054595,2.7818166364054595,2.53,0,Complete
P0029,27,Female,Master's,94991.75,8,0,3.13,5.9,4.57,3.27,3.89,5.76,3.99,3.24,3.0874823536586167,2.027113836730238,4.211341198284254,3.294032376274093,4.673024500361892,3.46,1.0,1.0,2.0,1.0,2.0,7.17,0.96,Overperformer,1.1678385151746085,0.8925871946838893,0.9575871946838892,2.88,0,Complete
P0030,45,Female,Bachelor's,36571.73,3,0,4.33,4.07,6.37,5.54,3.93,3.44,4.73,3.23,1.0,2.827817397242418,1.8939246490352137,1.0372341267895921,1.0,1.55,2.0,2.0,1.0,0.0,2.0,7.65,-0.97,Underperformer,-0.520493135069712,-0.9431944065243304,-0.9681944065243304,3.91,0,Complete
P0031,34,Female,High School,38036.11,5,1,4.18,3.53,4.31,5.45,3.66,6.39,5.14,6.29,1.2075200881774526,1.0,1.0,2.620216670244214,1.0,1.37,1.0,0.0,2.0,1.0,2.0,7.27,-1.02,Underperformer,-0.574882806277605,-1.048802999575309,-0.518802999575309,3.3,0,Complete
P0032,27,Female,High School,29364.03,6,0,3.07,3.62,5.28,4.62,5.14,1.73,6.28,3.83,4.27429007322432,4.944697059910404,3.6505737433909866,2.366732973307384,3.379706253765846,3.72,0.0,2.0,0.0,2.0,2.0,6.16,0.6,Slight Overperformer,0.48729445551645306,0.5335152934052583,0.5985152934052582,2.85,0,Complete
P0033,25,Female,High School,62790.58,7,0,4.9,5.92,3.75,2.85,2.76,2.33,5.74,4.08,1.9739247370583752,2.202676678033578,1.0,1.6901763430814554,2.645038599499785,1.9,1.0,2.0,0.0,2.0,1.0,5.91,-0.03,Slight Overperformer,-0.041274423898072655,-0.10569929072078303,-0.030699290720783035,3.69,0,Complete
P0034,38,Female,Bachelor's,25927.02,7,0,7.0,5.37,3.94,3.9,4.34,3.2,7.0,5.62,3.023013703788098,3.570047360320882,4.132797882595123,4.059462429026606,,3.34,2.0,1.0,2.0,2.0,2.0,8.95,0.62,Slight Overperformer,0.6351957676334357,0.6075317023449378,0.6175317023449378,3.12,0,Complete
P0035,45,Male,High School,79312.03,6,0,3.74,6.14,4.49,5.67,5.18,4.63,4.61,3.89,3.244299142323509,3.822336653032704,4.4046317543605396,3.9936615117348873,3.9914955722540357,3.89,2.0,0.0,0.0,2.0,2.0,5.48,0.74,Slight Overperformer,0.37013345761370303,0.7680759571840775,0.7430759571840775,4.03,0,Complete
P0036,43,Male,Some College,20000.0,8,0,3.85,6.0,3.75,6.36,4.81,3.67,3.97,2.58,1.0,3.338120097940707,1.0,1.0,1.7143612847132332,1.61,2.0,2.0,1.0,2.0,1.0,7.31,-1.35,Underperformer,-0.3949883235015277,-1.3350196419314382,-1.350019641931438,4.99,0,Complete
P0037,24,Female,Bachelor's,20000.0,7,0,5.34,4.69,5.84,4.04,4.71,3.26,7.0,2.74,3.0154158372864757,4.846087327799672,5.589812135701062,,,4.78,0.0,0.0,2.0,2.0,2.0,5.4,1.87,Overperformer,1.8481801544803782,1.792247193015684,1.872247193015684,3.7,0,Complete
P0038,28,Male,Bachelor's,62940.27,7,0,3.66,5.12,3.05,4.15,5.11,6.13,3.93,4.73,2.571195492845553,2.4840414652407903,2.737901797311981,2.6210803299009893,3.436497122848156,2.77,1.0,2.0,1.0,2.0,1.0,7.42,-0.34,Slight Underperformer,-0.32573787010829264,-0.4011358390751502,-0.3411358390751502,3.57,0,Complete
P0039,26,Male,High School,33832.08,3,0,5.5,4.59,4.93,4.27,3.83,6.27,6.25,5.45,2.3419072314249663,1.1573198822226425,1.7656840302042174,1.0,1.691623152522503,1.59,2.0,0.0,2.0,2.0,1.0,7.12,-0.88,Underperformer,-0.8085783637481159,-0.9508912310947488,-0.8808912310947488,5.07,0,Complete
P0040,29,Male,Some College,25257.71,2,1,3.42,4.95,4.97,4.88,4.24,3.38,4.42,4.54,3.717508916886082,1.2998121738411954,1.6806416029620963,1.0,2.2405381699164213,1.99,1.0,2.0,0.0,2.0,2.0,7.72,-0.69,Slight Underperformer,-0.5044583276760816,-0.7417630593798207,-0.18676305937982063,4.73,0,Complete
P0041,41,Female,Bachelor's,74016.71,7,0,7.0,4.04,2.45,3.69,3.67,1.44,3.22,5.36,,,,,,,,,,,,,,Missing,,,,4.8,1,Incomplete
P0042,50,Male,Bachelor's,22341.27,4,0,5.02,5.67,4.23,1.0,3.68,1.0,5.09,2.7,,1.1433377826576359,1.5826342068484003,2.2754923901345605,1.0480424592618607,1.73,2.0,2.0,1.0,2.0,2.0,8.7,-0.66,Slight Underperformer,-1.259797210060987,-0.6130511631899931,-0.6630511631899931,2.0,0,Complete
P0043,35,Male,Master's,30941.05,4,0,3.57,6.49,5.13,6.17,5.34,4.36,6.49,2.79,1.8415550050741003,2.9510449999881976,1.814357364659398,3.594100610205426,2.9280886985209054,2.63,2.0,0.0,2.0,1.0,2.0,7.34,-0.6,Slight Underperformer,-0.20951315697062511,-0.6252605608593435,-0.6002605608593434,3.55,0,Complete
P0044,25,Male,High School,111233.0,9,1,3.62,4.22,5.36,7.0,4.89,4.98,4.16,7.0,1.5243977382145357,1.910648876466276,3.4104672403396608,3.120216931461652,2.5560966875804003,2.5,2.0,0.0,2.0,1.0,0.0,5.61,-0.5,Slight Underperformer,-0.04982442658109898,-0.5732442658109915,0.0017557341890084288,3.43,0,Complete
P0045,30,Female,Master's,124407.02,5,0,3.73,6.74,4.53,3.64,2.61,4.09,6.13,6.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.99,-0.86,Underperformer,-0.9515404867314248,-0.9094054029656402,-0.8594054029656402,3.17,0,Complete
P0046,54,Female,Bachelor's,127761.25,13,0,6.56,5.34,5.68,3.01,3.32,3.89,6.34,5.8,1.0922674576453628,1.7657487815528188,1.0,1.0,1.0069705994456783,1.17,1.0,1.0,0.0,2.0,2.0,6.13,-1.04,Underperformer,-1.3500404377612791,-0.9700972625275617,-1.0400972625275617,5.05,0,Complete
P0047,32,Male,Bachelor's,28978.21,8,0,2.6,5.49,4.66,4.31,3.39,2.79,4.1,3.94,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.93,-1.25,Underperformer,-1.134178998762014,-1.2896708006322015,-1.2496708006322015,3.46,0,Complete
P0048,28,Female,Bachelor's,97203.53,3,0,3.5,3.16,4.82,4.24,4.15,4.98,5.25,4.49,1.6841919577154676,,3.309280159434102,3.32963992744014,2.2520130935332934,2.64,2.0,0.0,0.0,2.0,2.0,6.33,0.01,Slight Overperformer,0.008601031234166017,-0.05073914817961929,0.009260851820380722,2.61,0,Complete
P0049,29,Female,Some College,20000.0,9,0,3.66,3.03,5.13,5.89,4.1,6.52,7.0,4.8,,,,,,,,,,,,,,Missing,,,,4.25,1,Incomplete
P0050,35,Female,High School,20000.0,7,0,4.48,5.37,6.01,4.58,4.42,1.0,6.22,6.51,2.722926367377733,2.1450353519810212,2.999021943642872,3.448348883174285,3.1317590614209156,2.89,2.0,2.0,1.0,0.0,2.0,7.79,0.13,Slight Overperformer,0.10363790075258889,0.10031010337235627,0.12531010337235626,3.99,0,Complete
P0051,24,Male,Bachelor's,20000.0,3,0,4.09,6.15,3.92,3.39,3.98,3.88,5.21,5.32,3.2445348078965246,5.279956840978741,4.876030790502783,3.7567247946961264,2.899318744912768,4.01,0.0,2.0,1.0,2.0,1.0,6.28,1.47,Overperformer,1.7357997269023657,1.387408399314074,1.467408399314074,3.08,0,Complete
P0052,26,Male,Bachelor's,138454.16,4,0,2.26,4.39,4.17,2.65,2.52,2.54,5.96,5.48,1.0,2.546543340338361,2.8376344481107556,3.149797181744775,2.2554611463774914,2.36,0.0,2.0,1.0,2.0,1.0,5.85,0.55,Slight Overperformer,0.7656918186772304,0.47546867597156167,0.5454686759715617,5.02,0,Complete
P0053,43,Female,Bachelor's,20000.0,9,0,3.9,7.0,3.93,5.71,6.41,1.76,4.75,4.58,3.2833104571876977,3.7702066358307627,2.5390076106917743,2.7881137392657456,4.170471832461828,3.31,0.0,1.0,2.0,2.0,2.0,6.57,-0.45,Slight Underperformer,-0.2208133628056633,-0.4389434438111911,-0.4539434438111911,4.53,0,Complete
P0054,35,Other,Some College,32819.36,1,0,4.35,6.08,4.37,5.34,5.87,2.31,6.73,5.83,3.600515053917569,4.125276671113067,3.1654743838680828,3.9451573906023696,3.401776013872757,3.65,2.0,1.0,1.0,2.0,1.0,6.78,0.15,Slight Overperformer,0.09239871961273358,0.12945988676634537,0.15445988676634537,4.53,0,Complete
P0055,32,Female,Master's,20000.0,1,0,3.56,4.11,6.65,5.98,6.25,4.57,6.72,5.19,3.0743870159391484,1.720633222499231,4.81086599115454,3.1538985029307183,4.1889344759522045,3.39,2.0,2.0,1.0,2.0,2.0,9.96,-0.29,Slight Underperformer,-0.11880392472777024,-0.3336585429380689,-0.2936585429380689,4.48,0,Complete
P0056,44,Male,Bachelor's,63331.13,6,0,5.53,5.24,5.54,3.14,4.48,4.61,5.63,4.86,1.0,1.0,,1.0,1.0,1.16,2.0,1.0,1.0,1.0,0.0,3.85,-1.64,Underperformer,-2.0643577199396854,-1.6227618811787812,-1.6427618811787812,5.09,0,Complete
P0057,25,Male,High School,26889.55,6,0,5.88,7.0,3.33,7.0,5.54,6.19,5.75,3.83,2.982215085903987,2.536984116592283,2.120542467254,1.0425246872782377,1.5567757267368183,2.05,1.0,2.0,2.0,1.0,2.0,8.35,-1.28,Underperformer,-0.12799845107244257,-1.354984510724426,-1.279984510724426,3.84,0,Complete
P0058,28,Male,Some College,20000.0,7,0,4.38,3.71,4.02,2.06,4.03,4.01,4.4,4.65,2.2372450135215955,2.268183114802331,1.7651514179077532,1.8665707119787058,1.4115261819674298,1.91,0.0,2.0,2.0,2.0,1.0,6.99,-0.66,Slight Underperformer,-1.0465781136168877,-0.7214067645457831,-0.6614067645457831,2.76,0,Complete
P0059,34,Male,Bachelor's,51706.05,6,1,4.85,5.83,5.28,5.49,4.46,1.36,4.01,3.4,3.532550356901461,3.0195196026469344,2.368410159437321,1.921362006787482,2.148299611648992,2.6,2.0,1.0,2.0,0.0,2.0,7.02,-0.19,Slight Underperformer,-0.10345448531928124,-0.2174285569525762,0.3125714430474238,3.79,0,Complete
P0060,34,Female,Bachelor's,20000.0,8,0,1.26,4.81,3.62,1.83,2.2,3.64,5.09,4.75,3.726367444460137,,1.3259065625673045,3.2893942210057268,2.0824046649028607,2.49,2.0,1.0,1.0,2.0,0.0,5.98,0.83,Overperformer,1.3751292182719477,0.8023901976032097,0.8323901976032098,2.34,0,Complete
P0061,21,Male,Bachelor's,20000.0,12,1,3.87,6.05,3.86,3.39,3.46,1.92,5.4,4.92,,,,,,,,,,,,,,Missing,,,,2.94,1,Incomplete
P0062,27,Female,Master's,20000.0,6,1,6.01,6.72,6.55,6.69,6.42,2.19,6.67,1.67,1.0,1.8174228365131617,1.1541574875201779,2.0340639622439456,1.8240652174034622,1.57,0.0,2.0,2.0,2.0,2.0,8.03,-2.2,Underperformer,-0.4277503433971548,-2.2656972828812285,-1.7006972828812286,5.62,0,Complete
P0063,29,Male,Some College,20000.0,2,0,3.86,4.74,4.0,5.66,3.88,4.87,6.51,4.5,2.0022797636884766,4.088001446247794,2.8852551708244873,2.191224313340547,3.4683144231799816,2.93,2.0,2.0,0.0,2.0,2.0,8.05,0.43,Slight Overperformer,0.2169971301681424,0.37827760780369973,0.4332776078036997,2.9,0,Complete
P0064,35,Male,Some College,41890.88,1,1,3.39,6.54,6.04,3.74,4.54,4.29,5.7,3.27,2.5832646304049485,2.1547857660158822,3.035353456951859,2.9763254571264106,1.7226725457377527,2.49,2.0,0.0,2.0,2.0,0.0,6.54,-0.33,Slight Underperformer,-0.3579580296705075,-0.35662299395556707,0.16837700604443295,2.83,0,Complete
P0065,34,Male,Master's,20000.0,4,0,7.0,7.0,6.43,3.77,3.61,4.88,6.81,5.45,3.0196306090954743,2.814546392504446,2.79812953554217,3.148590769651113,3.609988494154403,3.08,0.0,2.0,2.0,2.0,1.0,7.83,0.72,Slight Overperformer,0.7648277152705297,0.6861901278731122,0.7161901278731122,4.67,0,Complete
P0066,30,Female,Master's,20000.0,5,0,7.0,5.28,3.85,4.64,4.59,3.46,4.46,5.63,5.306191470735033,,3.8598115232429127,2.5559869317212085,3.1342647982986067,3.68,2.0,1.0,1.0,1.0,1.0,6.33,0.83,Overperformer,0.6710326349514524,0.7807545791461259,0.8307545791461259,4.86,0,Complete
P0067,19,Male,Bachelor's,36246.75,2,0,5.2,6.14,3.64,5.22,3.45,5.19,6.69,4.25,2.397576963850738,2.206692838227786,2.5041772857825286,1.0,2.682587680704391,2.16,1.0,1.0,1.0,1.0,1.0,5.59,-0.12,Slight Overperformer,-0.07554740984100977,-0.22414852922878217,-0.11914852922878216,2.33,0,Complete
P0068,31,Female,Master's,23508.43,1,0,6.21,4.49,4.44,6.25,3.99,3.38,4.63,5.51,2.9265577350291387,3.6662530828610773,3.705820298826781,3.1254488857767524,4.291112113497413,3.54,0.0,2.0,1.0,2.0,2.0,6.83,0.99,Overperformer,0.3218948453356034,0.9474713600271539,0.992471360027154,4.25,0,Complete
P0069,31,Female,High School,178729.6,4,0,1.16,5.22,3.38,3.86,4.76,5.68,6.86,5.57,1.3006732140764723,1.6063877911810256,1.6579864923489473,1.0,1.0,1.31,2.0,2.0,1.0,1.0,0.0,6.28,-1.62,Underperformer,-1.6915344830617434,-1.6689485350799342,-1.6239485350799343,3.45,0,Complete
P0070,75,Male,Master's,157490.0,16,0,3.32,4.99,4.96,2.24,4.33,4.52,5.49,4.5,1.4292265650240068,1.0,1.3215785145755334,1.5300948929528317,2.052396990744362,1.47,2.0,1.0,0.0,1.0,2.0,6.82,-1.25,Underperformer,-1.9141620721497823,-1.0785855232974568,-1.2535855232974569,4.33,0,Complete
P0071,29,Female,Some College,20000.0,7,0,3.8,6.16,4.53,4.72,4.94,3.69,3.3,6.79,2.287666849010084,3.1104064179836453,4.713625017887495,3.6730589985303728,4.2750727033928095,3.61,2.0,1.0,2.0,2.0,2.0,9.3,0.59,Slight Overperformer,0.45908745376814103,0.5305160812103732,0.5855160812103732,3.7,0,Complete
P0072,34,Male,High School,56710.24,7,0,4.15,6.65,5.27,3.86,4.81,4.32,6.3,3.86,2.4554959540983647,2.4363395369322913,2.0515894882050354,1.594103623771605,3.4508639563423573,2.4,1.0,2.0,1.0,2.0,0.0,5.96,-0.56,Slight Underperformer,-0.5879247587646841,-0.5941617297641046,-0.5641617297641046,2.63,0,Complete
P0073,46,Female,High School,66133.19,5,0,3.77,5.07,6.62,2.68,3.49,3.97,6.39,6.71,1.4575747810287933,1.0,2.8853601394294177,2.5076820034222336,1.7934446265913713,1.93,2.0,1.0,1.0,2.0,1.0,6.98,-0.37,Slight Underperformer,-0.5182747673546817,-0.3411862277329163,-0.3711862277329163,3.52,0,Complete
P0074,40,Female,Some College,22516.8,4,0,1.0,7.0,5.86,4.92,4.62,6.39,5.0,4.51,3.843552290916503,3.3227181129374594,4.565427042612432,4.824866306745296,5.307657871418822,4.37,0.0,1.0,0.0,0.0,0.0,1.8,1.51,Overperformer,1.0922728074281363,1.5066267074038828,1.5066267074038828,4.63,0,Complete
P0075,51,Male,Some College,20000.0,8,0,5.08,7.0,5.44,4.2,4.58,4.37,5.09,3.7,2.461445033294688,3.266350010716365,3.4989891220105895,3.13945243001527,3.774592763309346,3.23,0.0,2.0,1.0,0.0,1.0,4.64,0.38,Slight Overperformer,0.3602212036974519,0.43841481850788605,0.38341481850788606,5.94,0,Complete
P0076,21,Female,Some College,35959.96,2,1,5.32,6.22,2.24,4.93,3.07,4.0,5.32,4.34,,,,,,,,,,,,,,Missing,,,,4.39,1,Incomplete
P0077,23,Female,High School,31625.64,18,0,6.9,4.58,5.38,3.25,3.95,3.64,3.38,3.37,1.6505750918779416,1.1727687016422692,2.194689952530917,1.717407909058443,1.6548991325791012,1.68,2.0,2.0,0.0,2.0,2.0,8.14,-0.85,Underperformer,-1.044695553825389,-0.9373489050308963,-0.8523489050308963,3.61,0,Complete
P0078,26,Male,Some College,25626.66,2,0,3.32,4.47,7.0,5.18,4.85,5.26,2.9,5.82,1.0,1.0,1.0,2.1787862912825116,1.0,1.24,2.0,2.0,1.0,0.0,2.0,7.18,-1.75,Underperformer,-1.1271212338890195,-1.815900554763415,-1.745900554763415,2.82,0,Complete
P0079,20,Female,Bachelor's,51733.12,8,1,3.19,4.23,1.0,2.66,1.78,5.06,6.93,2.72,1.7761734153608397,1.4165127828168367,1.0,1.6023498594230006,1.7732374902154557,1.51,2.0,2.0,0.0,1.0,1.0,5.93,0.07,Slight Overperformer,0.09675078935334974,-0.031048971855182655,0.5689510281448174,3.84,0,Complete
P0080,32,Male,Some College,20000.0,3,0,1.0,6.34,5.7,3.34,5.63,3.59,4.59,6.61,5.368124005282024,4.122042714669732,,5.77437009685457,,4.95,1.0,2.0,1.0,2.0,2.0,8.73,1.58,Overperformer,1.8892353968092466,1.5374557169799692,1.5774557169799692,3.62,0,Complete
P0081,23,Female,Some College,20000.0,6,0,4.06,3.75,4.59,4.16,4.19,2.27,7.0,3.58,2.29107699399616,3.3831837357735113,2.899205178849275,1.0053120938549045,2.004149275462656,2.32,2.0,2.0,2.0,2.0,2.0,9.72,-0.33,Slight Underperformer,-0.3186272843104337,-0.4196840961879174,-0.3346840961879174,4.31,0,Complete
P0082,54,Male,Bachelor's,39627.02,9,0,5.85,6.01,3.7,6.94,5.87,2.65,7.0,5.89,4.05782444523412,4.683249263797904,5.670120255202895,3.464151683395043,3.3778751219807077,4.25,2.0,2.0,0.0,0.0,0.0,3.7,0.76,Overperformer,0.08976345523737905,0.8279051458100393,0.7579051458100392,3.94,0,Complete
